"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","19_T33_Ac_WK","25_ctl1_Ac_GF_1","27_ctl2_Ac_YG_1","31_T22_Ac_UV","35_T43_Ac_MT","37_T13_Ac_ML","38_T23_Ac_IN","41_ctl3_Ac_RN_1","47_T31_Ac_JB","52_T11_Ac_II","53_T21_Ac_NH","54_T42_Ac_JQ","57_T32_Ac_NM"
"Acerv_evm.TU.Segkk2181_pilon.1",88.6733280049009,-2.45000983822509,0.354889589152129,-6.90358329214009,5.0706902224965e-12,6.54915861451298e-09,"CvsT1",94,70,71,66,104,81,70,52,55,165,64,149,37
"Acerv_evm.TU.Segkk3996_pilon.1",79.6404445315258,-1.94063141829281,0.312110268666215,-6.21777497608774,5.04253989500193e-10,3.79913359922604e-07,"CvsT1",86,62,67,89,149,65,92,41,65,88,49,117,28
"Acerv_evm.TU.Segkk223_pilon.4",74.9843103016989,-2.10691848578796,0.478739459573537,-4.40097101597769,1.07767520767506e-05,0.00324775385086339,"CvsT1",84,22,77,76,119,54,105,38,68,86,45,100,33
"Acerv_evm.TU.Segkk1040_pilon.15",197.08207896563,1.22445918639654,0.33984362116343,3.60300770749997,0.000314556197665527,0.0412159794651308,"CvsT1",243,422,604,124,226,104,160,646,193,69,72,146,105
"Acerv_evm.TU.Segkk3395_pilon.4",87.0602308492711,-1.84261873668471,0.396270742130755,-4.6498985183133,3.32098395746331e-06,0.00125104233164274,"CvsT1",74,63,50,79,161,76,112,91,73,99,43,163,29
"Acerv_evm.TU.Segkk3525_pilon.1",30.4771373417541,-2.72603434565656,0.493419551096705,-5.52477975304689,3.29899190698961e-08,1.65701032394962e-05,"CvsT1",48,19,11,27,58,21,24,9,28,39,27,45,10
"Acerv_evm.TU.Segkk4345_pilon.12",52.0998325681553,-1.64624927389044,0.389833389281138,-4.22295606060365,2.41118840637058e-05,0.00589177145459363,"CvsT1",64,73,65,46,62,50,49,34,19,75,27,83,30
"Acerv_evm.TU.Segkk119_pilon.17",104.277060227824,-2.40961330697902,0.429124064847801,-5.6151903478861,1.96345978810645e-08,1.04421411436885e-05,"CvsT1",110,35,36,108,186,75,283,28,72,50,81,132,38
"Acerv_evm.TU.Segkk1821_pilon.34",23.2015840639911,-1.68612303961563,0.422156882663122,-3.99406739262177,6.49493895413674e-05,0.0116292611999875,"CvsT1",24,21,27,19,29,21,23,23,17,33,9,28,16
"Acerv_evm.TU.Segkk3096_pilon.7",15.0654175528371,-2.12969452162364,0.531344362762396,-4.00812480733137,6.12027755579259e-05,0.0115277977879002,"CvsT1",25,9,16,11,19,13,17,8,8,21,11,15,9
"Acerv_evm.TU.Segkk1708_pilon.21",13.2240912313041,-2.42144523740665,0.621181348324385,-3.89812933684891,9.69386403120898e-05,0.0156503972689572,"CvsT1",14,7,4,10,14,10,20,11,10,18,9,22,7
"Acerv_evm.TU.Segkk20_pilon.1",212.109273438504,0.96622144876892,0.219007379745837,4.41182141848482,1.02504644359172e-05,0.00319567065396991,"CvsT1",199,849,693,131,240,115,144,644,123,148,88,234,55
"Acerv_evm.TU.Segkk551_pilon.2",46.7922294363289,-1.38889876144715,0.349128307392028,-3.97819005803958,6.94418556638071e-05,0.0119026113318992,"CvsT1",51,97,46,37,60,58,38,53,17,62,25,64,23
"Acerv_evm.TU.Segkk3387_pilon.12",30.4296643857818,-1.85625161561983,0.433421850553339,-4.28278272830498,1.84570380765923e-05,0.00490794356619033,"CvsT1",33,17,32,27,61,22,35,20,25,37,19,46,11
"Acerv_evm.TU.Segkk2242_pilon.3",15.450054477822,-2.12699458742714,0.51466374776368,-4.1327849429251,3.58394035284925e-05,0.00753524648198724,"CvsT1",21,18,12,17,20,17,7,12,9,26,5,18,10
"Acerv_evm.TU.Segkk4265_pilon.3",18.0894108713994,-1.82639199531915,0.483509367168303,-3.77736631249879,0.000158495532008209,0.0234911164735446,"CvsT1",25,15,19,16,23,20,10,9,13,16,13,27,14
"Acerv_evm.TU.Segkk3419_pilon.10",17.5759453097951,-2.87586561522411,0.723924944271256,-3.97260190850188,7.10918053227026e-05,0.0119026113318992,"CvsT1",24,14,10,16,33,13,12,0,8,27,12,27,13
"Acerv_evm.TU.Segkk36_pilon.2",121.863465802373,-1.86766318818933,0.448539844939159,-4.16387353155362,3.12893470734499e-05,0.00713265243076194,"CvsT1",157,127,178,90,144,99,82,64,58,212,56,215,78
"Acerv_evm.TU.Segkk3397_pilon.3",36.5123550709456,-1.37876826413153,0.376324347874821,-3.66377639904969,0.000248523760270607,0.0335358703971128,"CvsT1",54,46,54,27,44,32,31,25,25,44,28,47,16
"Acerv_evm.TU.Segkk1299_pilon.1",30.6250342327356,-1.80161585310996,0.473059732512418,-3.8084320632018,0.000139850757065819,0.0210731782438679,"CvsT1",28,27,24,19,33,24,25,35,32,47,21,45,15
"Acerv_evm.TU.Segkk3940_pilon.21",115.311942577882,-0.928925328381399,0.257745294493396,-3.60404379139965,0.000313304233470876,0.0412159794651308,"CvsT1",190,140,150,101,172,104,102,130,63,86,90,152,56
"Acerv_evm.TU.Segkk3047_pilon.5",36.1003524326306,-2.72769415484527,0.459738148048264,-5.93314730662488,2.97181990537559e-09,2.06678644342313e-06,"CvsT1",33,11,16,51,67,33,38,8,27,22,34,47,24
"Acerv_evm.TU.Segkk3914_pilon.1",45.1241482110601,-1.34899420732794,0.334040415257076,-4.03841614880572,5.38133227315143e-05,0.010735537785985,"CvsT1",52,70,62,30,62,37,37,43,27,67,24,70,22
"Acerv_evm.TU.Segkk2328_pilon.2",159.768819687523,-1.99043566983269,0.439216271217373,-4.53178946288991,5.84861250988868e-06,0.00203374252699629,"CvsT1",116,153,60,118,271,161,119,90,99,122,107,529,100
"Acerv_evm.TU.Segkk1883_pilon.14",27.341014350474,-1.81555813556953,0.459483493311457,-3.95130219474254,7.77271016695164e-05,0.0127769222944381,"CvsT1",27,21,24,22,41,24,27,28,16,37,13,28,24
"Acerv_evm.TU.Segkk2424_pilon.11",107.517026949897,-3.11833853748419,0.542068079863893,-5.75266955078256,8.78450917842282e-09,5.29471649880805e-06,"CvsT1",134,38,19,85,125,123,233,26,77,49,52,227,71
"Acerv_evm.TU.Segkk2611_pilon.2",63.534767715667,-2.67833922570297,0.63839157128574,-4.19544891595093,2.72331662627255e-05,0.00647934358371845,"CvsT1",66,70,47,54,54,53,22,20,24,146,54,105,36
"Acerv_evm.TU.Segkk2725_pilon.8",32.4055895391004,-2.09188725974504,0.524058750036471,-3.99170371566062,6.56003009843338e-05,0.0116292611999875,"CvsT1",37,14,35,26,52,23,42,11,26,37,28,62,9
"Acerv_evm.TU.Segkk3412_pilon.6",1239.62839374075,-1.6369141231813,0.439561968273971,-3.72396667893943,0.00019611682192015,0.0277045654215637,"CvsT1",1652,2377,939,716,909,1391,460,2015,619,2495,379,1147,931
"Acerv_evm.TU.Segkk1947_pilon.7",1781.45631116872,0.7523217670236,0.201213638730498,3.7389203424289,0.000184812271727002,0.0265220277568861,"CvsT1",1871,5915,5070,1052,1953,1006,1377,4667,900,1181,808,2889,689
"Acerv_evm.TU.Segkk2551_pilon.2",48.2898941543525,-1.28813258926835,0.309503669856316,-4.16192993726489,3.15569181761396e-05,0.00713265243076194,"CvsT1",53,42,51,53,97,39,55,50,31,44,32,73,16
"Acerv_evm.TU.Segkk3844_pilon.1",116.178810600041,-1.36332879582882,0.236497056036485,-5.7646755468216,8.18150804586639e-09,5.28350101733415e-06,"CvsT1",152,118,124,107,187,89,106,112,91,126,57,167,65
"Acerv_evm.TU.Segkk642_pilon.43",73.0278295866455,-2.77460954349598,0.559524571897176,-4.95886987427225,7.09044381840677e-07,0.000320523512811078,"CvsT1",56,86,39,62,40,82,35,51,28,196,31,87,52
"Acerv_evm.TU.Segkk642_pilon.42",88.5300003841802,-1.95868279284276,0.458304157908728,-4.27376177816138,1.92202385999271e-05,0.00496486220519831,"CvsT1",82,135,66,51,48,104,49,151,46,219,29,85,50
"Acerv_evm.TU.Segkk966_pilon.1",51.9535074280134,-1.84795808228994,0.368456567298342,-5.01540275381667,5.29224871416945e-07,0.000251827476972663,"CvsT1",75,31,52,39,84,45,42,32,37,53,49,78,25
"Acerv_evm.TU.Segkk2166_pilon.1",106.669732563524,-1.1361957067642,0.264768491660044,-4.29127990132243,1.77646225401251e-05,0.00490794356619033,"CvsT1",105,148,188,85,180,103,85,111,61,128,54,145,55
"Acerv_evm.TU.Segkk3087_pilon.2",34.3138867237994,-3.16803246780738,0.429007392222717,-7.38456382160127,1.52953974676175e-13,2.7657137700946e-10,"CvsT1",50,10,15,33,65,39,38,6,31,27,24,62,12
"Acerv_evm.TU.Segkk4122_pilon.1",43.9319593397779,-1.49799454060583,0.304173537343041,-4.92480231413562,8.44456809606654e-07,0.000363558762650179,"CvsT1",61,44,54,33,68,44,40,31,38,42,23,64,23
"Acerv_evm.TU.Segkk4263_pilon.5",22.3781215413043,-2.13394675324849,0.491317023476483,-4.3433193870406,1.4034586576371e-05,0.00409311926570872,"CvsT1",30,10,17,20,45,23,15,15,10,21,22,33,13
"Acerv_evm.TU.Segkk1480_pilon.1",65.430372002291,-1.61930107486296,0.341137766095909,-4.7467657814459,2.06695065907169e-06,0.000812491343855092,"CvsT1",57,51,65,60,129,56,83,53,56,67,40,102,21
"Acerv_evm.TU.Segkk1480_pilon.2",13.0996152623634,-2.19091739956641,0.572880897889911,-3.82438550078421,0.00013109865327045,0.0200892021053921,"CvsT1",12,7,6,12,22,12,18,10,10,13,6,24,8
"Acerv_evm.TU.Segkk3538_pilon.3",328.200178212969,-0.887975056867128,0.21428970692963,-4.14380638991087,3.4158816539905e-05,0.0073530919127924,"CvsT1",363,439,545,261,436,263,333,445,217,362,194,407,162
"Acerv_evm.TU.Segkk3158_pilon.3",18.5150051134661,-1.84357048310773,0.480869160819452,-3.83382972608618,0.000126163490688082,0.0200113003387886,"CvsT1",14,13,15,21,33,17,18,12,16,17,11,29,11
