"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","19_T33_Ac_WK","24_T12_Ac_FM","25_ctl1_Ac_GF_1","27_ctl2_Ac_YG_1","31_T22_Ac_UV","35_T43_Ac_MT","37_T13_Ac_ML","38_T23_Ac_IN","41_ctl3_Ac_RN_1","45_T41_Ac_SC_1","47_T31_Ac_JB","52_T11_Ac_II","53_T21_Ac_NH","54_T42_Ac_JQ","57_T32_Ac_NM"
"Acerv_evm.TU.Segkk1852_pilon.2",477.707991553315,-3.8353440891246,0.791845699118284,-4.84354981456012,1.27539726466762e-06,0.00127794805919696,"CvsT1",163,239,229,322,109,265,158,239,298,300,143,260,87,218,161
"Acerv_evm.TU.Segkk1945_pilon.2",12.7834365471073,-2.86138497401259,0.663155112257577,-4.31480496964215,1.59743868424361e-05,0.00960380136967258,"CvsT1",34,0,8,12,16,18,17,18,0,11,12,19,7,24,12
"Acerv_evm.TU.Segkk1793_pilon.1",21.3572085837625,-3.50179003369681,0.640479142707636,-5.46745366116521,4.56546507710794e-08,0.000102928410163398,"CvsT1",36,0,6,9,24,38,25,41,6,13,33,37,14,37,13
"Acerv_evm.TU.Segkk2517_pilon.9",96.6446394518834,-1.45674446931654,0.373373763022655,-3.90157159818472,9.55701848178326e-05,0.0359104969453006,"CvsT1",139,11,175,125,65,160,83,122,115,154,45,153,75,126,35
"Acerv_evm.TU.Segkk1677_pilon.1",70.0638705244626,-2.34733509817966,0.437862261466624,-5.36089840288414,8.28090826602676e-08,0.000149354461486059,"CvsT1",85,7,48,38,70,158,69,99,55,74,70,86,45,112,37
"Acerv_evm.TU.Segkk3405_pilon.7",62.1972734777367,-2.09630624704962,0.534875461386389,-3.91924176445864,8.88279777298288e-05,0.0348282914420694,"CvsT1",112,0,40,42,81,158,65,91,56,57,62,103,35,128,39
"Acerv_evm.TU.Segkk3394_pilon.16",187.475455948091,-5.26741270509269,1.03532081868361,-5.08771060142508,3.62411834913036e-07,0.000466889989606536,"CvsT1",311,12,28,12,288,513,246,188,6,6,152,155,186,521,123
"Acerv_evm.TU.Segkk2181_pilon.1",68.1047035425149,-2.17467809681796,0.491607074602172,-4.42361025536054,9.70650598207841e-06,0.00625237649617022,"CvsT1",94,0,70,71,66,104,81,70,52,76,55,165,64,149,37
"Acerv_evm.TU.Segkk3395_pilon.4",73.72818654295,-1.81262674167476,0.407362000809908,-4.44967065674003,8.60020692102322e-06,0.00596589738567596,"CvsT1",74,4,63,50,79,161,76,112,91,156,73,99,43,163,29
"Acerv_evm.TU.Segkk3525_pilon.1",22.8482435347672,-2.57136720931608,0.66710842028292,-3.85449670718526,0.000115967944271628,0.0388838437375633,"CvsT1",48,0,19,11,27,58,21,24,9,10,28,39,27,45,10
"Acerv_evm.TU.Segkk1708_pilon.21",10.2282449967353,-2.35317964681223,0.610652829260177,-3.85354743981645,0.00011641869382504,0.0388838437375633,"CvsT1",14,0,7,4,10,14,10,20,11,15,10,18,9,22,7
"Acerv_evm.TU.Segkk3209_pilon.9",34.4360920903167,-4.42298929678203,1.11376126029286,-3.97121847784418,7.15059649573257e-05,0.0293109450902347,"CvsT1",8,21,14,22,9,14,9,7,8,13,3,6,7,9,3
"Acerv_evm.TU.Segkk3387_pilon.12",32.8651164679682,-2.35414826185869,0.522444152171188,-4.50602854309931,6.60522063080954e-06,0.00496382330405337,"CvsT1",33,7,17,32,27,61,22,35,20,40,25,37,19,46,11
"Acerv_evm.TU.Segkk2242_pilon.3",11.9182907911493,-2.04501806092143,0.532133662405154,-3.84305336309358,0.000121513034627608,0.0391358766525633,"CvsT1",21,0,18,12,17,20,17,7,12,15,9,26,5,18,10
"Acerv_evm.TU.Segkk991_pilon.1",2576.05423642597,-3.34274832623229,0.792068624152198,-4.22027615323136,2.4400323516088e-05,0.0137526323417551,"CvsT1",1562,1203,1731,2197,708,1479,990,1112,2185,2603,955,1255,514,1348,786
