"","1_2","2_2","4_2","11_2","28_2","35_2","36_2","38_2","39_2","41_2","42_2","47_2","Treatment_Compare"
"LOC113680594",1190,1038,190,610,1087,1351,24,1361,270,112,1265,934,"CvsMid"
"LOC113681448",37,23,31,9,22,47,14,42,8,24,22,24,"CvsMid"
"LOC113668931",139,57,399,403,114,169,120,153,538,456,163,118,"CvsMid"
"LOC113675766",96,263,17,24,293,79,162,255,17,15,541,62,"CvsMid"
"LOC113665914",309,88,258,158,237,284,235,320,334,345,293,164,"CvsMid"
"LOC113681899",134,98,48,138,95,129,153,94,85,90,181,73,"CvsMid"
"LOC113667220",131,32,92,46,218,225,92,63,71,63,85,93,"CvsMid"
"LOC113668755",750,96,505,366,708,1224,767,717,657,437,1006,492,"CvsMid"
"LOC113683058",1045,360,933,1405,889,1528,1104,1062,961,965,1229,643,"CvsMid"
"LOC113681269",99,86,71,89,98,89,134,106,48,14,128,78,"CvsMid"
"LOC113674435",38,7,23,17,34,50,23,23,28,33,52,13,"CvsMid"
"LOC113670080",128,58,1012,368,82,151,64,96,1081,150,63,44,"CvsMid"
"LOC113675208",66,51,54,99,49,120,88,69,65,67,104,61,"CvsMid"
"LOC113677629",207,44,109,116,246,142,129,190,185,28,226,108,"CvsMid"
"LOC113680325",670,58,8,7,526,1266,794,587,7,8,930,573,"CvsMid"
"LOC113669940",39,13,38,38,47,62,42,36,43,35,44,29,"CvsMid"
"LOC113676347",231,130,838,979,236,410,291,258,958,1064,277,185,"CvsMid"
"LOC113681731",328,65,48,52,338,428,192,516,396,225,605,213,"CvsMid"
"LOC113684275",43,30,28,42,58,43,38,49,45,63,57,39,"CvsMid"
"LOC113666660",467,180,136,382,589,520,356,450,285,200,522,227,"CvsMid"
"LOC113664632",53,75,336,494,90,165,35,318,564,401,20,38,"CvsMid"
"LOC113680204",611,355,171,304,140,821,563,737,415,348,729,507,"CvsMid"
"LOC113677313",115,106,77,93,93,193,179,191,79,112,209,137,"CvsMid"
"LOC113673681",101,66,790,975,167,153,202,88,1058,997,98,151,"CvsMid"
"LOC113665266",236,41,7,13,123,307,186,305,7,15,237,202,"CvsMid"
"LOC113682923",288,274,147,87,169,154,257,316,102,71,209,388,"CvsMid"
"LOC113666077",30,17,13,5,60,135,62,75,29,34,29,45,"CvsMid"
"LOC113664150",458,152,4,63,226,290,121,16,130,113,241,95,"CvsMid"
"LOC113672776",28,10,10,1,11,14,22,26,11,13,20,12,"CvsMid"
"LOC113686444",67,35,27,33,56,30,50,88,15,15,55,51,"CvsMid"
"LOC113665263",34,18,21,24,32,47,35,29,18,13,48,26,"CvsMid"
"LOC113673651",14,18,9,13,12,10,114,11,13,11,56,134,"CvsMid"
"LOC113676944",26,25,157,181,11,46,58,63,173,171,34,23,"CvsMid"
"LOC113684534",18,6,25,15,26,38,21,28,20,24,40,24,"CvsMid"
"LOC113677661",84,68,8,81,124,128,202,147,55,38,93,154,"CvsMid"
"LOC113672378",173,102,776,631,87,391,209,452,826,684,178,176,"CvsMid"
"LOC113686389",15,8,5,10,12,14,13,17,8,10,16,8,"CvsMid"
"LOC113676278",193,152,190,162,255,122,103,92,181,190,178,214,"CvsMid"
"LOC113682566",71,75,9,13,227,33,179,44,45,35,121,162,"CvsMid"
"LOC113664401",47297,110592,4742,15618,77733,62370,61573,62264,4714,2417,82870,56243,"CvsMid"
"LOC113667540",64,47,114,108,252,96,217,140,63,76,298,221,"CvsMid"
"LOC113685705",62,17,14,35,30,56,43,64,48,65,69,37,"CvsMid"
"LOC113671323",10,18,141,463,25,58,61,20,414,424,21,35,"CvsMid"
"LOC113672174",86,83,12,28,98,124,117,94,10,26,101,31,"CvsMid"
"LOC113686551",61,12,22,4,13,104,58,40,6,9,57,49,"CvsMid"
"LOC113673231",85,35,487,550,23,72,24,55,565,798,19,6,"CvsMid"
"LOC113667399",10,12,7,8,8,13,18,21,9,10,9,16,"CvsMid"
"LOC113674953",1821,3155,11928,16941,1464,2042,5013,1696,12722,12421,1838,3051,"CvsMid"
"LOC113664778",10,9,460,495,6,21,20,22,588,670,19,10,"CvsMid"
"LOC113679585",169,105,6,29,161,185,8,37,30,26,27,55,"CvsMid"
"LOC113677344",58,38,70,54,89,67,96,93,71,76,66,292,"CvsMid"
"LOC113670771",37,14,3,17,31,15,13,48,13,17,15,76,"CvsMid"
"LOC113678968",60,37,24,2,30,61,42,65,26,26,63,31,"CvsMid"
"LOC113667788",224,297,25,100,149,226,212,151,10,129,237,149,"CvsMid"
"LOC113672662",1775,650,1077,1485,1433,1854,1499,1343,2219,2107,1665,785,"CvsMid"
"LOC113671602",75,198,17,49,29,103,187,71,20,12,412,142,"CvsMid"
"LOC113680398",58,9,1416,997,58,488,93,515,857,1014,84,116,"CvsMid"
"LOC113677525",4554,771,2116,576,2853,6755,3072,5459,1846,3163,4050,2878,"CvsMid"
"LOC113673427",244,33,49,41,104,138,229,327,84,166,125,66,"CvsMid"
"LOC113675837",128,77,805,527,98,109,72,111,428,364,139,100,"CvsMid"
"LOC113680337",183,242,86,71,218,176,197,170,114,164,164,168,"CvsMid"
"LOC113684639",746,377,234,89,657,649,390,1002,14,64,790,459,"CvsMid"
"LOC113675178",18,25,9,6,19,16,17,25,10,7,27,10,"CvsMid"
"LOC113683186",30,11,31,16,37,12,23,16,14,31,33,16,"CvsMid"
"LOC113684236",99,43,101,152,115,195,130,119,116,155,172,154,"CvsMid"
"LOC113674773",16,114,294,168,12,13,23,199,221,206,30,14,"CvsMid"
"LOC113675081",48,27,147,210,39,57,61,49,181,196,69,36,"CvsMid"
"LOC113669063",9,13,627,778,33,8,156,15,892,533,64,23,"CvsMid"
"LOC113677516",259,21,17,13,42,277,253,370,6,117,152,171,"CvsMid"
"LOC113678323",1156,592,4453,5017,929,1861,1949,1010,4437,4418,1470,1041,"CvsMid"
"LOC113669820",572,363,109,87,445,967,380,526,80,147,970,327,"CvsMid"
"LOC113676583",6066,2496,2155,2942,4562,4158,3904,4385,3773,4625,3911,2785,"CvsMid"
"LOC113664124",27,20,20,5,21,15,16,31,21,6,34,15,"CvsMid"
"LOC113664893",91,60,69,45,64,76,57,39,43,56,85,44,"CvsMid"
"LOC113676510",25,140,133,343,15,31,68,42,277,176,25,23,"CvsMid"
"LOC113677794",912,164,5,38,293,1334,632,1097,68,60,1433,659,"CvsMid"
"LOC113666117",14,8,6,4,7,11,24,10,11,7,14,8,"CvsMid"
"LOC113684224",530,274,218,466,407,406,530,546,686,670,529,332,"CvsMid"
"LOC113671029",40,36,25,17,9,25,44,34,24,8,28,45,"CvsMid"
"LOC113667883",28,4,10,13,16,13,30,26,16,12,28,13,"CvsMid"
"LOC113681878",505,234,621,342,393,578,551,569,550,572,557,338,"CvsMid"
"LOC113685002",155,106,124,223,215,206,149,184,240,172,203,119,"CvsMid"
"LOC113684962",26,13,22,20,18,23,46,45,22,19,27,37,"CvsMid"
"LOC113669658",28,16,16,23,13,25,20,22,19,31,30,20,"CvsMid"
"LOC113684891",240,91,5,64,150,383,285,250,13,7,263,255,"CvsMid"
"LOC113676193",41,0,2019,1323,23,44,44,33,1392,245,27,25,"CvsMid"
"LOC113677848",64,30,55,66,92,141,108,70,76,76,115,45,"CvsMid"
"LOC113666614",39,84,21,45,171,100,84,34,43,45,293,133,"CvsMid"
"LOC113675703",151,61,596,699,78,150,157,209,597,547,162,111,"CvsMid"
"LOC113682635",187,0,14,25,51,45,31,47,19,49,61,126,"CvsMid"
"LOC113664782",281,212,280,149,298,345,191,281,397,285,355,178,"CvsMid"
"LOC113669947",238,21,83,136,175,91,306,322,76,160,257,178,"CvsMid"
"LOC113677321",135,120,39,43,123,145,141,146,46,40,147,82,"CvsMid"
"LOC113667025",64,222,275,442,46,205,251,291,534,231,85,63,"CvsMid"
"LOC113670774",23,8,9,11,40,31,18,22,10,11,24,0,"CvsMid"
"LOC113672417",22,19,241,86,25,24,8,62,520,110,15,30,"CvsMid"
"LOC113678791",95,19,11,20,35,180,36,112,23,67,63,61,"CvsMid"
"LOC113681354",30,54,17,18,17,36,56,37,34,12,39,24,"CvsMid"
"LOC113669170",737,510,387,576,248,998,972,1074,736,521,889,602,"CvsMid"
"LOC113677707",43,27,12,35,37,63,5,43,27,9,60,39,"CvsMid"
"LOC113679109",221,112,195,101,157,223,230,307,94,170,257,196,"CvsMid"
"LOC113669105",296,156,254,192,159,298,256,288,284,104,236,147,"CvsMid"
"LOC113682682",215,54,76,23,238,377,208,216,29,37,339,135,"CvsMid"
"LOC113677517",358,27,15,28,50,377,192,753,30,113,159,203,"CvsMid"
"LOC113664260",596,445,12947,14246,993,1358,1637,502,12175,12881,1384,1216,"CvsMid"
"LOC113673205",621,271,392,897,634,1194,798,571,537,585,864,586,"CvsMid"
"LOC113664742",198,97,1131,719,123,226,138,144,948,1152,263,131,"CvsMid"
"LOC113676283",21,13,7,23,13,29,21,24,23,24,24,54,"CvsMid"
"LOC113674879",636,200,718,682,654,1092,789,615,892,733,994,533,"CvsMid"
"LOC113665852",141,114,50,51,78,109,98,101,46,65,159,214,"CvsMid"
"LOC113684184",123,75,81,115,89,144,144,140,124,162,122,99,"CvsMid"
"LOC113669493",85,34,37,26,95,114,16,64,23,29,103,117,"CvsMid"
"LOC113678825",316,517,318,190,221,411,234,420,268,272,404,263,"CvsMid"
"LOC113670798",540,151,6,6,846,1132,878,1003,4,11,1459,973,"CvsMid"
