"","1_2","2_2","4_2","11_2","28_2","35_2","36_2","38_2","39_2","41_2","42_2","47_2","Treatment_Compare"
"LOC113678704",31,18,11,14,34,38,48,44,25,20,43,28,"CvsHigh"
"LOC113666586",75,25,191,267,51,87,58,85,228,434,123,110,"CvsHigh"
"LOC113669005",108,74,328,311,92,119,85,95,279,331,129,74,"CvsHigh"
"LOC113672513",144,45,27,7,63,119,0,101,22,17,139,39,"CvsHigh"
"LOC113678573",52,20,35,34,49,69,68,63,61,83,70,40,"CvsHigh"
"LOC113671459",30,11,15,25,36,45,17,35,16,19,36,25,"CvsHigh"
"LOC113664439",462,332,111,327,521,488,376,445,15,111,582,379,"CvsHigh"
"LOC113686085",235,83,3,51,110,46,359,440,38,21,305,219,"CvsHigh"
"LOC113677292",106,187,58,11,313,89,260,150,29,22,61,169,"CvsHigh"
"LOC113680594",1190,1038,190,610,1087,1351,24,1361,270,112,1265,934,"CvsHigh"
"LOC113681448",37,23,31,9,22,47,14,42,8,24,22,24,"CvsHigh"
"LOC113665823",34,10,78,84,12,32,21,33,93,124,34,17,"CvsHigh"
"LOC113679684",133,42,348,310,138,171,74,123,380,428,188,84,"CvsHigh"
"LOC113668931",139,57,399,403,114,169,120,153,538,456,163,118,"CvsHigh"
"LOC113675766",96,263,17,24,293,79,162,255,17,15,541,62,"CvsHigh"
"LOC113666855",1613,564,2653,3157,1716,855,1014,1517,3605,3518,1959,1321,"CvsHigh"
"LOC113681899",134,98,48,138,95,129,153,94,85,90,181,73,"CvsHigh"
"LOC113666334",250,77,652,592,217,244,213,192,557,661,277,161,"CvsHigh"
"LOC113668755",750,96,505,366,708,1224,767,717,657,437,1006,492,"CvsHigh"
"LOC113667329",127,98,60,22,105,45,83,228,4,14,6,67,"CvsHigh"
"LOC113681269",99,86,71,89,98,89,134,106,48,14,128,78,"CvsHigh"
"LOC113681664",1308,285,2724,2934,1517,925,653,853,2809,2984,1024,1090,"CvsHigh"
"LOC113670080",128,58,1012,368,82,151,64,96,1081,150,63,44,"CvsHigh"
"LOC113675208",66,51,54,99,49,120,88,69,65,67,104,61,"CvsHigh"
"LOC113676704",102,25,298,434,54,80,86,88,224,319,126,92,"CvsHigh"
"LOC113681737",57,22,9,29,15,34,64,62,41,17,74,5,"CvsHigh"
"LOC113675293",21,7,19,11,10,18,21,23,17,16,16,17,"CvsHigh"
"LOC113671011",127,40,438,491,135,120,27,81,409,470,185,111,"CvsHigh"
"LOC113680325",670,58,8,7,526,1266,794,587,7,8,930,573,"CvsHigh"
"LOC113677300",152,0,587,665,87,44,65,101,491,554,161,143,"CvsHigh"
"LOC113669940",39,13,38,38,47,62,42,36,43,35,44,29,"CvsHigh"
"LOC113682585",84,29,222,260,71,128,63,72,303,314,156,71,"CvsHigh"
"LOC113676347",231,130,838,979,236,410,291,258,958,1064,277,185,"CvsHigh"
"LOC113677253",602,494,661,946,426,631,617,778,835,790,690,584,"CvsHigh"
"LOC113684275",43,30,28,42,58,43,38,49,45,63,57,39,"CvsHigh"
"LOC113667213",214,100,518,535,180,203,132,200,536,588,235,168,"CvsHigh"
"LOC113673972",1852,524,5138,4753,1940,2143,1494,1318,4592,5811,2382,1367,"CvsHigh"
"LOC113666660",467,180,136,382,589,520,356,450,285,200,522,227,"CvsHigh"
"LOC113678765",197,83,796,631,220,197,157,162,541,522,305,181,"CvsHigh"
"LOC113681278",366,220,425,488,320,474,442,327,367,444,393,169,"CvsHigh"
"LOC113680204",611,355,171,304,140,821,563,737,415,348,729,507,"CvsHigh"
"LOC113673097",165,75,84,193,103,214,335,238,230,144,165,142,"CvsHigh"
"LOC113679941",61,24,194,154,79,81,51,47,184,275,96,61,"CvsHigh"
"LOC113687084",0,1611,104,225,833,1842,3039,1113,191,979,1268,583,"CvsHigh"
"LOC113677313",115,106,77,93,93,193,179,191,79,112,209,137,"CvsHigh"
"LOC113683429",23,24,6,17,18,21,60,20,2,34,31,46,"CvsHigh"
"LOC113673681",101,66,790,975,167,153,202,88,1058,997,98,151,"CvsHigh"
"LOC113665266",236,41,7,13,123,307,186,305,7,15,237,202,"CvsHigh"
"LOC113682923",288,274,147,87,169,154,257,316,102,71,209,388,"CvsHigh"
"LOC113686438",272,70,725,549,363,321,210,234,826,797,376,242,"CvsHigh"
