gene_id,12_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,17_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,18_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,24_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,30_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,32_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,32_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,33_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,37_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,37_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,3_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,3_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,43_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,43_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,44_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,46_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf
Pcom.g61027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g61024,1,3,1,1,1,1,1,1,4,1,3,4,1,3,1,1
Pcom.g61025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g61022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g61023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g61020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g61021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g61028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g61029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g60375,0,0,0,1,1,0,0,1,0,0,2,3,1,3,0,0
Pcom.g42726,0,1,0,0,1,0,0,0,0,1,1,0,1,4,1,0
Pcom.g60377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g60376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g60371,1,2,0,1,1,3,4,1,0,0,1,2,4,4,2,1
Pcom.g60370,36,51,34,31,19,138,134,14,61,63,49,50,67,56,27,23
Pcom.g60373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g60372,8,9,3,7,5,30,31,3,20,20,8,7,15,14,5,4
Pcom.g27260,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,4
Pcom.g60379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g60378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g32033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g34250,2,11,0,5,7,0,0,0,4,3,18,20,14,15,0,3
Pcom.g42725,0,0,0,1,0,0,0,1,0,3,1,0,1,1,0,0
Pcom.g45960,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Pcom.g42722,1,0,0,0,1,0,1,0,0,1,1,2,0,0,1,0
Pcom.g22371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g42723,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1
Pcom.g66795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g66794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g66797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g66796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g37527.Hypo,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Pcom.g66790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g66793,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1
Pcom.g66792,1,1,1,0,1,0,1,1,2,2,0,0,1,1,1,0
Pcom.g42721,0,0,0,0,0,0,0,2,0,1,1,1,4,1,0,1
Pcom.g66799,0,0,0,2,0,6,0,0,8,7,0,0,6,6,0,4
Pcom.g66798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g55519,0,0,2,0,1,0,2,0,0,0,0,0,1,0,0,0
Pcom.g55518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g48305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g46130.Hypo,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1
Pcom.g55511,3,5,4,12,5,5,6,11,15,15,21,21,14,9,2,2
Pcom.g55510,1,8,7,0,4,0,0,0,11,12,16,15,13,13,0,3
Pcom.g55513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g55512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g55515,0,1,1,1,1,3,1,0,4,3,5,3,4,2,0,0
Pcom.g55514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g55517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g55516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g41617,1,0,1,1,0,2,2,1,2,2,0,1,0,0,0,0
Pcom.g48300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g41616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g34256,0,1,3,1,0,0,0,0,1,0,2,2,2,2,0,0
Pcom.g48121,158,173,111,164,105,536,530,70,293,301,263,256,418,410,159,91
Pcom.g34745.Hypo,8,8,6,6,11,15,21,3,29,26,9,11,13,17,6,9
Pcom.g70709,0,0,0,6,0,0,0,3,0,0,20,17,1,0,0,0
Pcom.g70708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g25059,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g25058,2,1,0,0,0,5,0,0,0,9,0,7,0,5,0,0
Pcom.g25459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g25053,0,2,5,0,0,0,5,0,0,5,0,4,0,1,0,0
Pcom.g25052,0,1,0,1,1,2,2,0,2,2,0,0,2,3,0,1
Pcom.g25051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g25050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g25057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g25056,2,2,0,1,1,5,6,1,7,10,0,0,1,3,1,2
Pcom.g25055,1,2,1,0,0,2,4,1,7,7,0,0,8,7,1,2
Pcom.g25054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g61682,13,24,16,14,7,20,21,5,22,21,15,17,47,50,8,4
Pcom.g61683,1,1,2,1,1,1,1,0,1,1,0,0,1,1,1,1
Pcom.g61680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g61681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g61686,11,28,11,6,5,22,18,2,18,15,6,9,48,43,8,4
Pcom.g61687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g61684,22,40,23,18,17,48,45,10,49,47,28,28,77,76,18,16
Pcom.g61685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g61688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g41610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g24908,0,0,0,0,0,0,7,0,78,67,29,0,19,0,0,0
Pcom.g24909,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Pcom.g24906,0,1,1,1,1,0,0,1,0,0,1,0,2,2,1,0
Pcom.g24907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g24904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g24905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g24902,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0
Pcom.g24903,2,5,0,0,17,8,6,0,0,27,0,0,0,0,2,0
Pcom.g24900,0,1,0,1,0,0,0,1,0,1,2,1,0,0,0,0
Pcom.g24901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g40561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g72214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g67684,1,2,1,2,1,0,0,2,0,0,0,1,1,0,1,1
Pcom.g67685,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
Pcom.g67686,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0
Pcom.g67687,0,1,1,1,2,0,0,1,3,3,1,1,0,0,1,1
Pcom.g67680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g67681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g67682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g67683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g41618,1,0,0,3,1,5,6,1,1,1,6,5,0,1,1,2
Pcom.g67688,0,1,2,1,1,0,0,1,1,0,0,0,0,0,1,1
Pcom.g67689,1,1,2,2,2,0,0,1,5,5,3,3,3,1,1,1
Pcom.g61974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g61975,2,3,1,3,1,8,5,5,19,19,22,22,21,18,1,3
Pcom.g61976,1,4,1,3,2,2,3,2,6,9,6,4,6,7,1,2
Pcom.g61977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g61970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g61971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g61972,3,0,6,0,15,4,4,0,42,40,0,0,4,2,4,21
Pcom.g61973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g72210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g19970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g61978,0,0,0,0,1,0,0,0,3,4,2,4,2,0,0,3
Pcom.g61979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g65264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g65265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g65266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g65267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g65260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g65261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g60089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g60088,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0
Pcom.g60087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g60086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g60085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g60084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g60083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g60082,0,0,0,0,1,0,0,2,0,0,5,4,0,3,0,0
Pcom.g60081,0,1,0,0,0,2,0,0,7,7,2,5,7,6,0,0
Pcom.g60080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g07365,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,1
Pcom.g15681.Hypo,0,1,1,1,1,0,0,0,4,5,10,9,5,3,0,2
Pcom.g67538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g67539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g67536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g67537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g67534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g67535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g67532,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1
Pcom.g67533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g67530,0,1,2,2,0,1,1,1,2,2,1,1,0,0,1,0
Pcom.g67531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g47007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g47000,0,1,1,1,1,1,0,1,2,1,1,1,2,2,0,1
Pcom.g07364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g47001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g34994,0,7,0,0,0,0,0,5,0,0,16,0,0,12,0,0
Pcom.g34995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g34997,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g34990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g34991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g34992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g34993,0,0,1,1,0,1,1,0,1,1,1,1,2,2,1,1
Pcom.g71070,37,92,119,35,23,144,143,22,55,52,75,76,149,139,42,18
Pcom.g71071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g71072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g71073,24,64,12,31,8,132,119,16,11,5,64,60,129,135,49,5
Pcom.g34998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g34999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g71076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g71077,0,1,0,1,0,0,0,1,0,0,3,3,2,2,0,0
Pcom.g00989,0,0,0,3,0,0,0,1,0,0,2,2,0,2,0,0
Pcom.g35029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g35028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g35027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g35026,1,1,2,1,1,1,1,0,6,6,2,2,4,3,1,1
Pcom.g35025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g35024,3,3,1,6,3,3,4,5,12,11,6,2,2,1,2,4
Pcom.g35023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g35022,1,4,2,1,1,3,1,1,4,2,5,6,16,12,1,1
Pcom.g35021,1,2,1,1,1,1,1,1,2,2,4,4,8,9,0,0
Pcom.g35020,0,0,0,38,0,0,0,0,0,0,0,0,0,0,67,0
Pcom.g52680,5,4,2,2,4,6,6,4,4,1,1,2,11,13,4,4
Pcom.g60851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g17731,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1
Pcom.g62005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g52682,6,10,4,7,11,12,7,5,60,59,25,26,35,33,7,12
Pcom.g05351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g63138,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Pcom.g14096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g52684,0,282,0,167,0,1125,1110,0,514,500,317,320,524,512,0,0
Pcom.g07366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g63139,0,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0
Pcom.g52685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g52686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g62004,0,0,0,1,1,2,2,0,0,0,0,0,0,0,1,1
Pcom.g52687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g43666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g46766,3,13,4,9,3,0,22,5,0,9,13,10,30,30,6,5
Pcom.g46767,18,19,10,14,20,19,11,10,38,36,16,15,26,26,11,15
Pcom.g46764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g46765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g46762,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g46763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g46760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g46761,1,0,0,0,2,0,0,0,3,3,0,4,3,3,1,0
Pcom.g64133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g64132,12,17,37,8,5,11,12,3,9,8,9,5,17,18,7,2
Pcom.g64131,0,0,0,0,0,0,4,0,0,0,2,4,0,0,0,0
Pcom.g64130,8,16,25,6,8,24,21,2,42,29,10,7,18,19,17,16
Pcom.g64137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g64136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g46768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g46769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g33076,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g33077,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g33074,0,2,0,2,0,0,0,2,1,2,7,7,7,9,0,0
Pcom.g33075,1,2,5,5,2,1,1,2,7,9,13,16,6,4,1,2
Pcom.g33072,0,1,2,1,2,0,0,0,0,0,4,5,0,0,0,1
Pcom.g33073,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Pcom.g33070,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g33071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g72677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g72676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g72675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g72674,0,1,0,0,0,0,0,0,0,0,2,0,5,6,0,0
Pcom.g72673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g41238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g33078,1,3,0,3,2,0,0,2,7,8,5,6,10,14,1,2
Pcom.g33079,0,0,0,1,0,0,0,0,7,5,2,4,0,1,0,0
Pcom.g70408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g25570.Hypo,1,2,2,1,1,0,0,1,0,1,0,0,1,0,2,1
Pcom.g03470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g38690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g07368,0,1,1,2,0,0,0,0,1,2,0,0,2,1,0,0
Pcom.g01637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g21121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g65918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g71189.Hypo,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g54742,2,2,2,1,1,10,8,2,4,2,3,3,2,2,1,2
Pcom.g01636,0,0,1,2,2,0,0,1,0,0,0,1,0,0,1,1
Pcom.g63470,0,0,0,0,0,3,3,0,0,0,0,0,2,2,0,0
Pcom.g41520,0,2,1,4,3,5,9,0,5,4,3,4,14,12,0,2
Pcom.g17536,0,1,3,2,0,0,0,0,0,0,0,0,0,3,0,0
Pcom.g01631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g42840.Hypo,0,1,1,2,2,2,1,1,4,3,2,2,3,3,1,1
Pcom.g14044.Hypo,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g10695,0,0,1,0,0,9,9,0,0,0,17,21,0,0,0,0
Pcom.g63603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g01921,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0
Pcom.g01920,0,1,2,1,1,0,0,0,0,0,8,8,0,0,0,0
Pcom.g01923,0,0,4,4,0,0,0,3,0,0,7,0,17,5,0,2
Pcom.g01922,0,0,2,2,0,0,0,1,0,0,2,4,0,0,0,0
Pcom.g01925,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Pcom.g01924,0,1,1,1,0,0,0,1,1,1,2,3,0,0,0,0
Pcom.g01927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g01926,42,47,38,28,21,255,234,15,126,129,81,84,93,84,57,21
Pcom.g01929,43,32,27,20,32,163,165,10,132,136,43,42,73,74,45,37
Pcom.g01928,2,1,0,1,0,0,0,0,3,2,4,3,0,0,0,0
Pcom.g14090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g59782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g37317,63,6,23,12,58,303,308,8,166,169,31,32,29,36,77,51
Pcom.g37316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g37315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g37314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g37313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g37312,1,2,2,6,6,3,3,3,25,15,3,3,4,4,1,6
Pcom.g37311,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,1
Pcom.g37310,1,3,0,4,3,0,0,4,4,3,1,1,1,1,2,1
Pcom.g16739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g44537,0,19,1,18,1,0,0,7,0,0,12,11,2,3,1,0
Pcom.g12257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g37319,30,16,8,21,46,100,89,3,115,107,41,37,33,30,33,32
Pcom.g37318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g29998,4,2,0,0,4,3,3,1,3,4,2,4,1,1,0,2
Pcom.g29999,77,30,23,28,43,249,237,13,153,146,32,24,54,48,62,36
Pcom.g29996,2,2,5,2,10,11,10,0,37,36,5,6,3,4,6,7
Pcom.g29997,10,8,1,2,28,34,29,1,107,103,3,4,24,21,15,25
Pcom.g29994,0,0,0,0,0,10,9,0,28,22,0,0,6,4,0,0
Pcom.g29995,3,1,1,3,5,2,0,1,5,6,1,0,1,0,1,4
Pcom.g29992,4,4,0,2,12,12,16,1,40,39,4,2,4,4,6,9
Pcom.g29993,30,8,0,4,51,88,85,2,199,192,5,4,7,8,35,51
Pcom.g29990,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
