gene_id,10_2.fastq.trim.fq.bam.merge.gtf,11_1.fastq.trim.fq.bam.merge.gtf,11_2.fastq.trim.fq.bam.merge.gtf,12_1.fastq.trim.fq.bam.merge.gtf,13_1.fastq.trim.fq.bam.merge.gtf,13_2.fastq.trim.fq.bam.merge.gtf,14_1.fastq.trim.fq.bam.merge.gtf,14_2.fastq.trim.fq.bam.merge.gtf,15_2.fastq.trim.fq.bam.merge.gtf,16_2.fastq.trim.fq.bam.merge.gtf,17_1.fastq.trim.fq.bam.merge.gtf,18_1.fastq.trim.fq.bam.merge.gtf,19_2.fastq.trim.fq.bam.merge.gtf,1_2.fastq.trim.fq.bam.merge.gtf,20_2.fastq.trim.fq.bam.merge.gtf,21_1.fastq.trim.fq.bam.merge.gtf,22_1.fastq.trim.fq.bam.merge.gtf,23_1.fastq.trim.fq.bam.merge.gtf,24_1.fastq.trim.fq.bam.merge.gtf,25_1.fastq.trim.fq.bam.merge.gtf,25_2.fastq.trim.fq.bam.merge.gtf,26_1.fastq.trim.fq.bam.merge.gtf,26_2.fastq.trim.fq.bam.merge.gtf,27_1.fastq.trim.fq.bam.merge.gtf,28_2.fastq.trim.fq.bam.merge.gtf,29_1.fastq.trim.fq.bam.merge.gtf,2_2.fastq.trim.fq.bam.merge.gtf,30_1.fastq.trim.fq.bam.merge.gtf,31_2.fastq.trim.fq.bam.merge.gtf,32_1.fastq.trim.fq.bam.merge.gtf,32_2.fastq.trim.fq.bam.merge.gtf,33_1.fastq.trim.fq.bam.merge.gtf,34_1.fastq.trim.fq.bam.merge.gtf,35_2.fastq.trim.fq.bam.merge.gtf,36_2.fastq.trim.fq.bam.merge.gtf,37_1.fastq.trim.fq.bam.merge.gtf,37_2.fastq.trim.fq.bam.merge.gtf,38_2.fastq.trim.fq.bam.merge.gtf,39_1.fastq.trim.fq.bam.merge.gtf,39_2.fastq.trim.fq.bam.merge.gtf,3_1.fastq.trim.fq.bam.merge.gtf,3_2.fastq.trim.fq.bam.merge.gtf,40_2.fastq.trim.fq.bam.merge.gtf,41_1.fastq.trim.fq.bam.merge.gtf,41_2.fastq.trim.fq.bam.merge.gtf,42_2.fastq.trim.fq.bam.merge.gtf,43_1.fastq.trim.fq.bam.merge.gtf,43_2.fastq.trim.fq.bam.merge.gtf,44_1.fastq.trim.fq.bam.merge.gtf,45_1.fastq.trim.fq.bam.merge.gtf,45_2.fastq.trim.fq.bam.merge.gtf,46_1.fastq.trim.fq.bam.merge.gtf,47_2.fastq.trim.fq.bam.merge.gtf,48_2.fastq.trim.fq.bam.merge.gtf,4_1.fastq.trim.fq.bam.merge.gtf,4_2.fastq.trim.fq.bam.merge.gtf,5_1.fastq.trim.fq.bam.merge.gtf,5_2.fastq.trim.fq.bam.merge.gtf,6_1.fastq.trim.fq.bam.merge.gtf,6_2.fastq.trim.fq.bam.merge.gtf,7_1.fastq.trim.fq.bam.merge.gtf,8_1.fastq.trim.fq.bam.merge.gtf,9_1.fastq.trim.fq.bam.merge.gtf,9_2.fastq.trim.fq.bam.merge.gtf
pdam_00006626,0,195,168,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,91,0,124,0,0,0,0,0,0,110,121,0,0,153,226,202,0,0,0,284,251,155,0,0,0,0,0,0,91,0,228,187,0,0,0,0,0,0,0,0
pdam_00006627,0,691,668,0,0,0,7,0,0,0,0,0,0,306,0,0,0,0,0,0,0,0,0,0,239,0,315,0,0,0,0,0,0,367,302,0,0,342,726,701,5,4,0,744,705,384,0,0,0,0,0,0,232,0,565,569,0,0,0,0,0,0,0,0
pdam_00006624,0,35,39,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,13,0,7,0,0,0,0,0,0,16,20,0,0,21,27,22,0,0,0,33,28,16,0,0,0,0,0,0,14,0,28,27,0,0,0,0,0,0,0,0
pdam_00006625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pdam_00006622,0,103,97,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,77,53,0,0,47,89,86,0,0,0,124,115,61,0,0,0,0,0,0,24,0,49,56,0,0,0,0,0,0,0,0
pdam_00006623,0,415,397,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,109,0,57,0,0,0,0,0,0,143,163,0,0,138,358,310,0,0,0,414,379,140,0,0,0,0,0,0,72,2,342,301,0,0,0,0,0,0,0,0
pdam_00006628,0,244,235,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,127,0,80,0,0,0,0,0,0,202,196,0,0,319,455,427,0,0,0,575,527,188,0,0,0,0,0,0,160,0,350,326,0,0,0,0,0,0,0,0
pdam_00006629,0,126,118,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,53,0,36,0,0,0,0,0,0,90,91,0,0,119,244,203,0,0,0,251,217,139,0,0,0,0,0,0,64,0,182,159,0,0,0,0,0,0,0,0
pdam_00008107,0,70,57,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,19,0,29,0,0,0,0,0,0,43,32,0,0,55,66,61,0,0,0,87,92,44,0,0,0,0,0,0,31,0,68,64,0,0,0,0,0,0,0,0
pdam_00022282,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,10,4,0,0,19,24,19,0,0,0,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pdam_00008100,0,69,61,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,36,0,44,0,0,0,0,0,0,56,55,0,0,42,93,84,0,0,0,113,98,54,0,0,0,0,0,0,36,0,100,88,0,0,0,0,0,0,0,0
pdam_00022280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pdam_00022281,0,10,6,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,14,7,0,0,18,26,33,0,0,0,31,30,19,0,0,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0
pdam_00025803,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,3,2,0,0,8,4,5,0,0,0,5,2,3,0,0,0,0,0,0,2,0,9,6,0,0,0,0,0,0,0,0
pdam_00023089,2,52,49,0,0,0,0,0,0,3,0,0,1,28,6,0,0,0,0,0,0,0,0,0,21,0,24,0,0,0,0,0,0,33,30,0,0,39,52,51,0,0,0,69,58,30,4,4,0,0,0,0,17,1,42,38,0,0,0,0,0,0,0,0
pdam_00023088,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pdam_00023087,0,976,892,0,0,0,0,0,0,2,0,0,0,431,0,0,0,0,0,0,0,0,0,0,373,0,174,0,0,0,0,0,0,738,436,0,0,463,1066,954,0,0,0,1095,952,644,0,0,0,0,0,0,317,3,857,749,0,0,0,0,0,0,0,0
pdam_00023086,0,73,69,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,18,0,26,0,0,0,0,0,0,38,35,0,0,58,72,79,0,0,0,103,101,45,0,0,0,0,0,0,18,0,66,63,0,0,0,0,0,0,0,0
pdam_00023085,0,272,262,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,54,0,39,0,0,0,0,0,0,141,142,0,0,126,222,221,0,0,0,344,326,125,0,0,0,0,0,0,64,0,191,184,0,0,0,0,0,0,0,0
pdam_00023084,0,179,171,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,103,0,126,0,0,0,0,0,0,163,81,0,0,179,449,439,0,0,0,448,387,195,0,0,0,0,0,0,105,0,259,241,0,0,0,0,0,0,0,0
pdam_00021773,0,40,33,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,17,0,36,0,0,0,0,0,0,27,10,0,0,18,88,84,0,0,0,116,101,39,0,0,0,0,0,0,16,0,49,46,0,0,0,0,0,0,0,0
pdam_00021772,0,213,188,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,43,0,35,0,0,0,0,0,0,85,92,0,0,84,193,201,0,0,0,217,193,83,0,0,0,0,0,0,37,0,148,152,0,0,0,0,0,0,0,0
pdam_00021771,0,179,170,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,53,0,27,0,0,0,0,0,0,137,82,0,0,58,178,167,0,0,0,193,173,98,0,0,0,0,0,0,34,0,134,116,0,0,0,0,0,0,0,0
pdam_00021770,2,261,252,0,0,0,0,0,0,0,2,0,0,161,0,0,0,0,0,0,0,0,0,0,140,0,103,0,0,0,0,0,0,154,143,0,0,190,388,356,0,0,0,467,429,162,0,3,0,0,0,0,129,2,421,395,0,0,0,0,0,0,0,0
pdam_00021776,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pdam_00021775,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
