"","X1_2","X2_2","X4_1","X4_2","X11_1","X11_2","X28_2","X31_2","X35_2","X36_2","X38_2","X39_1","X39_2","X41_1","X41_2","X42_2","X47_2"
"pdam_00015276",39,19,74,79,165,183,27,0,58,43,30,109,123,140,146,42,32
"pdam_00015273",95,25,112,100,124,104,53,0,63,81,113,138,131,172,173,112,47
"pdam_00015272",155,100,261,244,229,214,149,0,165,141,181,378,362,393,356,192,106
"pdam_00023368",15,47,65,54,67,61,17,0,18,35,18,45,37,28,22,12,12
"pdam_00023367",340,82,551,551,350,342,193,0,270,220,504,717,704,737,705,359,275
"pdam_00020032",210,268,534,504,487,485,211,0,186,145,227,613,608,731,678,275,201
"pdam_00020031",991,380,1888,1744,1432,1324,784,0,1171,913,1371,2227,2136,2293,2106,1196,778
"pdam_00020030",108,43,295,288,303,302,111,0,181,134,105,318,294,372,344,134,91
"pdam_00020034",21,31,38,35,52,38,37,0,35,14,16,87,60,47,54,24,24
"pdam_00025706",91,58,96,104,96,98,76,0,73,123,142,133,133,161,137,85,33
"pdam_00019226",354,184,769,722,355,337,329,0,242,244,422,626,591,824,773,443,253
"pdam_00019227",81,45,152,129,32,27,58,0,54,36,99,106,104,165,145,71,55
"pdam_00019224",42,19,98,90,76,71,44,0,45,35,38,78,78,95,79,45,43
"pdam_00019225",2860,933,3897,3470,4079,3540,2196,0,4940,2456,2783,4223,3656,5140,4409,1982,2224
"pdam_00019222",25,25,67,63,41,34,13,0,27,26,33,25,37,43,27,29,25
"pdam_00019223",61,30,115,95,61,58,27,0,68,48,75,126,118,173,164,63,57
"pdam_00008141",239,136,609,566,708,637,255,0,335,320,243,716,673,640,567,305,195
"pdam_00008140",55,28,114,109,128,120,19,0,60,81,94,144,139,149,138,74,59
"pdam_00008142",23,18,10,14,20,22,25,0,24,25,43,49,40,48,45,36,15
"pdam_00008145",70,36,161,149,87,79,60,0,52,67,73,131,115,103,94,66,39
"pdam_00008147",2348,1350,4476,4037,4660,4289,1764,0,2774,3106,3043,5181,4762,5118,4585,2619,1638
"pdam_00008146",245,150,487,472,570,525,286,0,405,372,268,657,613,704,590,302,170
"pdam_00015947",76,79,166,159,149,139,51,0,106,74,91,240,228,202,197,90,54
"pdam_00008148",1039,611,2746,2483,2431,2168,540,0,1073,995,1321,2339,2126,1861,1664,906,706
"pdam_00021852",176,60,393,333,408,385,195,0,305,220,191,493,428,553,469,238,147
"pdam_00021853",68,12,78,65,93,80,55,0,111,43,40,169,110,174,130,73,33
"pdam_00021850",47,63,81,85,70,68,37,0,70,41,63,143,123,128,119,71,30
"pdam_00021851",46,21,147,119,180,154,64,0,125,70,48,205,158,213,164,95,41
"pdam_00019239",39,10,50,44,115,125,27,0,91,69,55,137,132,164,158,60,31
"pdam_00019238",876,283,1805,1677,2132,1969,752,0,1085,1174,861,2144,2023,2265,2039,899,695
"pdam_00012256",73,25,156,160,134,135,70,0,144,61,82,181,193,223,195,119,52
"pdam_00012257",34,22,63,59,71,64,12,0,43,25,31,117,122,92,89,35,19
"pdam_00012254",274,51,739,742,553,555,320,0,470,328,272,824,898,803,770,387,191
"pdam_00012255",41,8,48,41,67,59,33,0,53,51,54,95,96,112,95,52,40
"pdam_00012253",85,158,196,179,110,105,76,0,67,86,85,202,180,174,153,105,76
"pdam_00012251",767,448,1625,1592,3105,3054,606,0,1308,1161,684,1933,1963,2285,2129,1083,723
"pdam_00012258",71,117,158,146,279,273,44,0,60,74,83,200,201,232,215,57,48
"pdam_00012259",214,66,268,236,194,189,115,0,368,78,189,458,361,556,446,386,107
"pdam_00016005",41,37,92,83,71,63,47,0,51,45,44,140,118,108,93,58,48
"pdam_00016004",135,58,319,301,159,151,137,0,125,139,184,351,350,386,327,141,143
"pdam_00016003",73,33,130,119,168,133,60,0,121,68,60,163,141,205,173,102,59
"pdam_00016002",126,80,223,199,173,176,96,0,111,113,162,308,289,326,297,135,129
"pdam_00016000",119,125,237,227,119,111,129,0,89,92,157,295,282,310,283,155,107
"pdam_00011675",335,130,732,651,979,888,317,0,722,416,335,820,739,980,864,495,277
"pdam_00011674",69,34,188,167,253,229,51,0,130,94,83,168,148,188,158,87,50
"pdam_00011676",262,57,336,310,373,341,151,0,258,209,258,427,387,479,446,274,141
"pdam_00011670",62,73,301,297,341,323,61,0,120,111,102,275,270,248,230,107,52
"pdam_00011673",129,9,215,203,140,136,79,0,172,101,152,307,326,431,427,139,83
"pdam_00011679",24,13,44,39,30,27,8,0,23,16,21,26,19,31,22,16,10
"pdam_00011678",33,38,93,88,38,37,25,0,22,27,42,72,72,83,85,35,32
"pdam_00006669",40,33,100,96,39,36,33,0,40,46,62,124,116,121,110,61,28
"pdam_00006662",386,213,994,917,940,850,366,0,486,473,352,980,930,929,819,505,327
"pdam_00006663",2457,1868,6838,6215,4799,4340,2529,0,2962,3394,2398,5694,5287,6351,5802,3153,3071
"pdam_00006661",21,0,32,28,55,50,17,0,44,34,21,48,47,74,65,27,37
"pdam_00006666",562,273,2748,2895,2957,3061,461,0,1005,833,428,1459,1662,2315,2376,1379,1424
"pdam_00006667",1454,671,4212,3707,3945,3385,1269,0,2200,2132,1432,4640,4086,4302,3637,2079,1577
"pdam_00006665",684,338,1149,1046,1106,997,757,0,984,642,804,1759,1582,1680,1532,1035,429
"pdam_00011781",331,113,880,861,1495,1380,252,0,318,232,157,881,834,972,918,502,248
"pdam_00011780",101,30,274,243,327,293,99,0,136,95,98,280,262,371,328,143,84
"pdam_00011783",174,124,394,357,330,302,128,0,208,218,189,465,417,423,401,203,140
"pdam_00011782",123,63,325,298,275,246,105,0,150,81,146,403,415,485,438,184,86
"pdam_00011785",230,59,324,299,384,338,172,0,231,206,246,432,405,512,444,237,95
"pdam_00011789",204,236,538,505,486,447,162,0,214,228,304,566,541,547,476,267,187
"pdam_00011788",746,503,2069,1876,2020,1875,690,0,957,985,829,2227,2076,2076,1895,1017,711
"pdam_00020024",69,37,143,139,123,115,28,0,113,44,72,141,142,197,184,120,38
"pdam_00020025",221,40,395,371,512,501,152,0,361,269,286,472,475,567,567,329,152
"pdam_00020026",395,106,937,869,1051,968,396,0,602,513,364,1065,992,1053,956,584,387
"pdam_00020021",2401,1384,4991,4378,5297,4812,1775,0,2504,2391,2366,5065,4588,5076,4414,2724,1977
"pdam_00020022",167,70,302,283,431,403,131,0,293,188,151,393,371,399,341,255,139
"pdam_00020028",157,53,377,370,461,446,168,0,271,250,124,428,373,376,359,198,142
"pdam_00020029",383,176,734,660,663,602,270,0,482,373,453,1033,937,1058,929,396,253
"pdam_00008153",39,32,54,55,13,12,40,0,43,26,45,88,93,120,107,52,20
"pdam_00008150",170,106,460,411,571,521,179,0,250,250,145,480,398,455,374,199,147
"pdam_00008156",33,21,63,70,41,35,14,0,29,28,45,60,62,72,72,45,26
"pdam_00008157",192,194,298,283,356,311,156,0,217,196,193,504,442,418,384,210,151
"pdam_00008154",156,33,285,256,248,224,124,0,199,171,138,308,282,416,393,156,105
"pdam_00008155",99,94,186,168,342,264,56,0,98,126,87,203,163,203,170,127,81
"pdam_00015952",105,13,192,198,211,219,63,0,133,84,96,261,276,326,315,130,93
"pdam_00008159",89,36,83,81,100,81,37,0,57,28,68,184,148,131,127,57,27
"pdam_00015955",66,10,59,59,41,34,12,0,27,63,70,26,29,90,80,22,34
"pdam_00015956",222,254,353,357,359,326,162,0,231,166,375,836,689,567,460,305,183
"pdam_00015957",10,14,32,33,23,22,12,0,14,22,10,28,27,16,14,15,11
"pdam_00023190",62,24,181,162,103,75,68,0,87,63,61,164,158,173,150,81,52
"pdam_00019858",102,36,86,78,138,119,43,0,82,65,84,211,196,176,151,97,60
"pdam_00023192",71,38,98,102,96,97,47,0,55,58,85,181,188,199,189,90,59
"pdam_00019851",24733,38291,65044,59681,47814,43732,26045,6,39440,28325,36427,82733,76204,78591,71934,40848,24170
"pdam_00019853",145,137,314,284,175,167,108,0,190,158,196,425,413,404,378,213,137
"pdam_00019854",27,18,100,89,99,100,17,0,29,49,31,71,67,88,87,28,25
"pdam_00016082",493,68,838,848,1046,926,258,0,723,591,555,969,942,1171,1104,703,311
"pdam_00022749",187,87,377,372,471,532,79,0,288,209,275,477,575,658,696,269,239
"pdam_00022748",656,214,999,902,992,977,423,0,447,741,837,951,917,1276,1189,533,598
"pdam_00022746",148,41,242,228,256,250,102,0,248,155,133,332,319,402,386,177,118
"pdam_00022745",89,32,227,215,205,194,76,0,78,81,100,187,178,257,232,132,95
"pdam_00022744",38,2,32,32,21,27,6,0,29,18,39,55,57,88,88,34,33
"pdam_00018304",85,36,189,177,270,249,84,0,164,160,79,226,216,299,278,134,64
"pdam_00018302",33,14,72,67,30,31,32,0,30,37,62,120,110,132,125,44,33
"pdam_00018303",196,15,333,327,231,222,96,0,146,166,215,303,293,435,419,150,138
"pdam_00018300",11,23,53,42,17,21,17,0,10,16,13,43,42,39,31,21,14
"pdam_00012263",103,117,237,211,126,102,106,0,113,82,126,324,313,267,232,158,66
"pdam_00012262",93,73,215,230,197,183,62,0,79,110,115,222,238,207,205,91,51
"pdam_00012261",570,377,179,154,756,618,272,0,628,708,832,937,829,1147,998,734,542
"pdam_00012260",855,235,376,323,695,646,373,0,1062,518,1096,1554,1393,1707,1574,749,289
"pdam_00012267",312,120,541,485,766,637,316,0,661,466,370,718,686,775,711,453,283
"pdam_00012264",222,69,339,328,505,493,144,0,271,199,205,482,466,532,501,292,165
"pdam_00012269",273,75,367,334,395,376,326,0,292,526,528,644,594,582,533,448,314
"pdam_00012268",144,66,247,222,317,275,127,0,213,154,140,373,333,379,319,167,121
"pdam_00020306",10,21,73,67,303,287,12,0,4,7,7,45,35,22,20,9,8
"pdam_00023298",160,39,265,255,244,250,140,0,222,115,175,306,299,390,357,193,151
"pdam_00023299",944,496,1710,1560,1797,1718,899,0,1144,804,1184,2202,2082,2296,1990,969,584
"pdam_00011668",46,41,11,7,7,10,30,0,51,37,51,23,26,16,19,49,6
"pdam_00011669",67,35,126,152,229,256,85,0,147,105,81,192,265,244,248,98,36
"pdam_00006657",27,4,41,40,34,33,12,0,14,12,31,45,41,66,57,17,15
"pdam_00006656",89,40,227,209,244,217,94,0,155,141,85,257,240,274,238,146,81
"pdam_00006654",713,267,1591,1693,2261,2243,356,0,1273,916,843,1941,2067,2760,2681,1078,656
"pdam_00006653",44,13,77,78,101,93,28,0,51,54,69,85,84,100,100,50,24
"pdam_00006651",136,15,283,265,235,208,98,0,153,164,146,249,227,374,331,197,113
"pdam_00006650",12,5,18,21,13,14,11,0,12,19,11,24,27,29,30,18,14
"pdam_00006659",320,161,543,503,481,405,108,0,143,237,484,547,486,395,344,192,203
"pdam_00006658",34,28,48,55,64,56,20,0,22,28,63,86,90,58,59,31,24
"pdam_00021724",41,12,60,52,66,58,25,0,32,75,53,60,59,56,64,29,30
"pdam_00021725",66,71,136,130,112,108,51,0,51,96,77,83,90,129,107,55,28
"pdam_00021726",26,18,44,44,19,21,19,0,23,33,40,27,19,42,39,28,16
"pdam_00021727",67,22,62,51,88,87,35,0,54,64,98,117,104,145,147,66,24
"pdam_00011792",110,25,152,160,224,206,64,0,183,136,124,262,261,298,276,154,99
"pdam_00011793",32,10,121,121,140,141,17,0,48,60,49,107,102,139,123,31,34
"pdam_00011791",12,3,20,23,21,20,12,0,16,10,17,42,40,19,18,14,10
"pdam_00011797",123,311,346,335,157,138,156,0,103,119,170,366,330,345,316,174,89
"pdam_00011795",27,81,258,194,325,229,0,0,70,325,23,15,16,35,28,29,75
"pdam_00011798",111,135,408,379,249,232,137,0,114,159,174,336,307,299,268,147,125
"pdam_00011799",425,330,1146,1050,777,709,362,0,510,354,476,1146,1064,1126,1002,541,318
"pdam_00014698",37,12,54,56,65,59,32,0,35,53,66,79,68,105,95,39,38
"pdam_00015980",43,16,68,63,67,61,21,0,46,34,51,89,88,114,93,39,17
"pdam_00014691",92,47,183,173,216,221,52,0,103,79,98,191,178,268,235,114,47
"pdam_00014692",173,63,611,540,691,631,195,0,367,113,154,553,495,642,543,326,157
"pdam_00015091",2268,978,5778,5282,7790,6838,2817,0,4602,3315,2078,7549,6749,7804,6962,3487,2366
"pdam_00015090",74,37,158,161,128,131,48,0,81,61,99,224,225,212,219,85,72
"pdam_00008340",244,84,399,359,396,360,118,0,189,231,345,425,393,485,424,181,152
"pdam_00015096",46,20,81,92,56,68,12,0,49,22,63,101,113,167,157,39,27
"pdam_00014695",43,10,125,128,158,158,42,0,68,64,48,116,114,162,156,56,35
"pdam_00014696",603,160,1477,1350,1523,1346,528,0,901,761,647,1509,1369,1639,1472,776,463
"pdam_00018646",126,84,298,308,384,412,73,0,136,122,145,307,345,457,439,136,120
"pdam_00018645",251,39,414,423,467,469,146,0,279,232,233,499,499,603,568,270,174
"pdam_00018643",1919,760,4429,4001,4119,3790,1491,0,2070,1513,1816,4620,4206,4961,4467,2047,1274
"pdam_00018642",3301,7555,9509,8834,8327,7673,4670,3,4366,3669,4152,10653,9774,9846,8987,5236,3875
"pdam_00018641",233,148,358,343,540,499,146,0,215,250,254,569,534,614,568,262,203
"pdam_00018640",176,78,303,283,307,280,121,0,157,182,190,326,311,349,331,162,105
"pdam_00021474",107,107,252,231,261,247,71,0,119,96,126,294,268,304,283,119,65
"pdam_00021476",130,174,294,270,150,140,106,0,113,95,191,313,302,312,281,152,103
"pdam_00021477",77,34,99,98,70,58,44,0,27,55,71,96,97,119,122,54,53
"pdam_00021470",45,5,109,103,22,20,10,0,30,17,65,91,81,81,73,36,61
"pdam_00021471",37,39,182,173,59,45,38,0,60,29,60,123,111,117,118,67,33
"pdam_00021472",18,34,95,88,90,76,15,0,25,37,15,49,50,53,50,21,38
"pdam_00021473",72,47,162,146,170,154,64,0,65,92,116,219,200,249,217,117,87
"pdam_00021478",357,176,726,667,712,649,297,0,325,365,346,836,736,856,778,380,241
"pdam_00008091",91,109,181,164,146,130,98,0,120,94,128,300,275,252,232,124,74
"pdam_00008097",123,254,291,268,262,226,129,0,228,174,178,472,423,454,390,241,117
"pdam_00008096",232,269,540,493,304,280,184,0,372,249,345,793,776,633,590,310,149
"pdam_00008095",41,45,230,219,212,234,39,0,39,30,38,179,182,164,171,74,70
"pdam_00008094",281,134,455,423,461,425,211,0,291,279,304,670,610,722,633,358,205
"pdam_00019843",55,15,107,95,64,62,37,0,54,40,90,139,128,179,170,70,43
"pdam_00019846",44,7,41,35,38,33,28,0,47,27,55,58,57,79,64,41,23
"pdam_00019847",55,23,47,54,128,120,39,0,107,104,76,97,106,152,146,74,47
"pdam_00019844",35,9,65,58,68,69,33,0,61,43,48,106,102,124,116,34,32
"pdam_00022516",12,7,24,24,16,14,5,0,6,8,18,20,19,21,18,8,10
"pdam_00018638",1483,626,2945,2564,4444,4040,1132,0,2614,1836,1530,3618,3145,4287,3731,2335,1306
"pdam_00018639",37,14,45,40,83,77,20,0,58,49,43,75,79,131,116,45,32
"pdam_00018429",12,15,31,27,29,32,17,0,28,14,17,56,57,57,53,15,8
"pdam_00018428",12,9,77,74,45,42,10,0,15,29,15,18,11,21,19,10,46
"pdam_00018427",146,55,310,296,400,374,78,0,126,128,131,360,370,496,460,137,139
"pdam_00018426",269,77,496,479,559,554,199,0,359,279,257,582,576,774,733,299,181
"pdam_00018425",478,281,918,856,913,833,432,0,616,618,546,1137,1072,1153,1084,612,366
"pdam_00008169",23,18,86,73,58,54,15,0,0,27,43,59,56,68,66,31,20
"pdam_00008168",37,55,67,56,57,51,31,0,37,26,45,118,104,95,83,69,17
"pdam_00008167",364,387,880,848,799,800,328,0,390,310,487,976,916,1119,1043,465,292
"pdam_00008166",144,148,289,260,220,205,76,0,87,168,185,267,241,178,164,123,140
"pdam_00008165",1276,1876,3210,2922,1853,1682,1211,0,1000,1582,1561,2466,2274,2051,1877,1426,1331
"pdam_00008164",558,1634,2118,2046,789,782,533,0,460,641,958,1281,1234,1173,1106,688,722
"pdam_00008163",91,169,237,250,91,98,68,0,76,57,170,281,282,245,248,92,91
"pdam_00008161",408,517,598,583,877,901,150,0,460,301,588,1768,1772,1132,1126,424,200
"pdam_00008160",771,429,2067,1865,1739,1591,427,0,1147,995,859,2647,2489,2659,2329,924,704
"pdam_00012274",347,223,962,902,662,619,273,0,334,344,403,952,923,986,912,476,255
"pdam_00012275",43,39,92,92,75,60,16,0,44,26,92,89,90,102,99,50,16
"pdam_00012276",569,55,827,735,518,493,303,0,422,465,627,902,799,1185,1078,435,429
"pdam_00012271",47,10,86,86,89,76,30,0,55,42,37,96,102,102,93,50,22
"pdam_00012272",76,23,161,158,155,156,80,0,97,82,75,185,187,193,193,104,67
"pdam_00012273",21,0,59,61,56,50,11,0,25,23,37,64,68,73,65,24,22
"pdam_00006640",99,84,211,186,266,255,73,0,176,79,121,298,278,352,303,174,63
"pdam_00006641",178,52,274,260,353,322,116,0,210,185,176,311,287,475,431,216,133
"pdam_00006642",292,71,613,571,514,482,175,0,365,267,311,589,563,650,588,299,193
"pdam_00006643",200,47,583,533,488,450,179,0,279,209,193,501,454,594,545,278,136
"pdam_00006644",161,46,329,310,158,150,136,0,273,105,166,465,429,479,423,241,69
"pdam_00006645",836,288,1765,1634,1872,1746,756,0,1425,1109,941,2076,1916,2359,2133,1159,627
"pdam_00006646",38,5,44,44,42,41,11,0,24,38,46,60,52,83,80,29,21
"pdam_00006647",226,96,478,414,375,329,245,0,260,250,205,456,407,460,415,206,133
"pdam_00006649",408,90,1305,1184,1175,1072,305,0,431,426,289,967,902,1098,985,562,293
"pdam_00015092",1017,1081,1939,2130,2316,2313,650,0,1402,1329,1328,3113,3600,3135,3262,1599,867
"pdam_00025975",90,29,87,53,50,29,99,0,127,45,94,171,106,141,59,100,43
"pdam_00023245",21,14,6,0,25,14,15,0,21,34,20,41,49,28,22,10,22
"pdam_00015084",405,350,1610,1573,2265,2120,332,0,859,1022,443,1595,1590,1377,1263,643,563
"pdam_00015085",76,46,228,214,145,131,55,0,105,97,81,237,213,252,226,95,86
"pdam_00015088",126,71,276,243,182,175,131,0,152,95,181,367,349,327,313,217,95
"pdam_00015089",55,37,116,105,119,115,23,0,56,47,77,108,109,106,104,61,43
"pdam_00021261",42,12,59,67,238,217,23,0,70,193,0,84,87,120,102,52,35
"pdam_00021260",161,31,292,274,234,216,81,0,127,122,224,296,280,399,379,129,62
"pdam_00025747",63,21,63,60,103,98,38,0,66,53,62,118,129,137,146,64,28
"pdam_00024693",20,16,29,29,20,18,13,0,15,13,17,43,39,34,35,10,7
"pdam_00014688",260,64,456,423,631,593,161,0,287,397,251,600,600,669,605,331,260
"pdam_00014687",23,8,46,37,86,70,9,0,31,28,22,52,52,51,40,44,15
"pdam_00008088",643,514,1431,1288,1066,955,564,0,654,594,739,1960,1854,1506,1374,725,439
"pdam_00008089",116,45,195,183,185,170,131,0,183,115,119,314,302,336,324,140,60
"pdam_00008085",56,29,125,128,88,90,32,0,52,50,94,153,164,198,180,61,52
"pdam_00008086",36,12,58,58,107,104,26,0,71,72,55,98,105,104,93,59,35
"pdam_00008087",25,24,23,20,37,23,26,0,22,16,31,77,51,68,59,32,21
"pdam_00015886",916,170,1161,1001,900,785,455,0,837,404,659,1382,1282,1439,1259,860,479
"pdam_00014841",63,36,125,112,136,135,48,0,98,74,74,140,125,193,170,95,38
"pdam_00014840",40,22,104,99,133,127,38,0,55,64,36,79,77,88,75,67,32
"pdam_00014843",292,183,556,497,529,486,241,0,304,270,334,653,606,604,558,305,193
"pdam_00014842",50,17,65,61,46,44,37,0,55,31,57,129,121,95,84,70,41
"pdam_00014849",286,68,581,570,914,863,216,0,528,361,289,764,736,1016,959,368,190
"pdam_00014848",197,38,420,404,739,723,152,0,446,282,208,614,610,663,642,307,143
"pdam_00018430",10,11,33,34,17,20,11,0,11,23,20,30,42,32,27,15,14
"pdam_00018432",101,57,275,288,369,379,75,0,218,206,110,337,371,375,391,152,215
"pdam_00018435",36,36,77,66,104,99,36,0,26,60,36,49,45,31,28,17,16
"pdam_00018436",14,11,53,42,35,30,17,0,14,38,28,31,31,28,26,19,12
"pdam_00018437",11,9,25,17,30,28,9,0,10,13,9,33,35,26,24,12,13
"pdam_00008178",150,53,248,218,328,290,112,0,237,184,135,506,425,467,399,219,68
"pdam_00008170",611,606,1410,1262,994,912,591,0,796,611,929,1834,1690,1675,1457,807,474
"pdam_00008171",42,15,45,41,46,46,29,0,51,31,86,83,82,109,119,43,29
"pdam_00008173",283,141,449,403,447,419,176,0,265,267,355,552,561,616,560,280,201
"pdam_00008174",82,94,136,141,172,137,109,0,87,111,103,283,273,208,183,101,82
"pdam_00008175",253,15,342,322,302,285,86,0,149,230,288,345,329,654,633,192,233
"pdam_00008176",18,0,32,36,40,39,11,0,22,25,25,48,48,46,47,21,13
"pdam_00008177",120,64,214,208,260,217,83,0,148,102,110,280,271,320,286,153,91
"pdam_00017145",206,132,526,495,313,288,197,0,222,228,265,486,461,474,443,245,177
"pdam_00017144",27,75,138,134,110,104,55,0,40,74,30,118,116,92,90,42,45
"pdam_00017142",67,98,91,84,220,204,39,0,52,240,69,55,48,63,52,54,95
"pdam_00009289",14,7,41,40,40,38,12,0,17,10,10,61,58,64,60,26,21
"pdam_00009288",80,12,121,115,104,91,35,0,55,65,79,127,140,128,129,65,48
"pdam_00009280",80,63,248,229,110,96,85,0,70,83,143,217,222,240,227,107,47
"pdam_00009285",92,41,192,160,170,140,67,0,110,119,121,178,182,233,218,97,54
"pdam_00009286",57,34,103,93,133,112,38,0,53,45,60,109,101,128,121,70,36
"pdam_00004786",281,416,1300,1219,405,386,294,0,207,263,310,779,711,791,739,293,285
"pdam_00025199",167,34,190,182,98,96,135,0,204,82,177,214,207,256,257,216,67
"pdam_00020671",116,35,263,243,209,195,127,0,209,132,140,369,415,306,277,159,86
"pdam_00020673",90,27,264,238,283,235,125,0,259,130,116,368,319,467,414,222,82
"pdam_00020672",322,38,581,579,456,426,145,0,463,236,436,843,821,950,874,346,165
