Orthogroup	Acerv_assembly_v1.0.protein	GCF_002042975.1_ofav_dov_v1_protein	Mcavernosa.maker.proteins	Pocillopora_acuta_HIv1.genes.pep	plut2v1.1.proteins	Total
OG0000058	6	10	1	5	33	55
OG0000059	6	15	5	18	10	54
OG0000060	3	29	6	7	9	54
OG0000061	1	6	9	32	6	54
OG0000062	32	7	0	9	5	53
OG0000063	26	7	1	16	3	53
OG0000064	2	3	3	8	37	53
OG0000065	1	26	4	10	12	53
OG0000066	25	2	6	18	1	52
OG0000067	4	14	1	16	17	52
OG0000068	40	4	0	3	3	50
OG0000069	14	16	6	1	12	49
OG0000070	9	19	1	4	16	49
OG0000071	19	5	7	1	17	49
OG0000072	0	23	4	18	4	49
OG0000073	17	2	0	11	18	48
OG0000074	22	3	17	3	3	48
OG0000075	18	10	1	2	17	48
OG0000076	5	10	1	12	20	48
OG0000077	9	9	5	6	19	48
OG0000078	33	0	0	0	14	47
OG0000079	35	4	0	5	3	47
OG0000080	35	1	1	3	7	47
OG0000081	15	12	1	9	10	47
OG0000082	18	4	2	22	1	47
OG0000083	7	19	1	0	20	47
OG0000084	20	1	7	5	14	47
OG0000085	1	15	3	2	26	47
OG0000086	9	5	1	1	30	46
OG0000087	20	1	10	9	6	46
OG0000088	1	6	5	11	23	46
OG0000089	1	12	3	12	18	46
OG0000090	28	7	0	0	10	45
OG0000091	17	4	0	19	5	45
OG0000092	12	9	0	5	19	45
OG0000093	1	3	16	15	10	45
OG0000094	1	11	6	7	20	45
OG0000095	6	5	6	8	20	45
OG0000096	20	3	6	9	6	44
OG0000097	22	0	4	12	6	44
OG0000098	6	16	8	5	9	44
OG0000099	7	10	4	17	6	44
OG0000100	8	18	2	15	1	44
OG0000101	14	8	0	0	22	44
OG0000102	0	20	7	17	0	44
OG0000103	7	9	7	8	12	43
OG0000104	2	19	3	7	12	43
OG0000105	33	5	0	2	3	43
OG0000106	12	13	0	5	13	43
OG0000107	5	1	0	11	26	43
OG0000108	28	9	0	0	6	43
OG0000109	10	3	10	6	14	43
OG0000110	14	3	0	24	1	42
OG0000111	25	0	3	0	14	42
OG0000112	29	1	2	4	6	42
OG0000113	22	3	7	10	0	42
OG0000114	30	1	5	4	2	42
OG0000115	18	0	7	7	10	42
OG0000116	1	20	11	6	4	42
OG0000117	0	21	6	5	10	42
OG0000118	21	6	8	1	5	41
OG0000119	17	0	16	1	7	41
OG0000120	16	0	0	4	21	41
OG0000121	17	4	9	2	9	41
OG0000122	13	1	11	13	3	41
OG0000123	7	13	1	9	11	41
OG0000124	11	2	12	1	15	41
OG0000125	12	4	5	15	4	40
OG0000126	11	17	4	5	3	40
OG0000127	3	0	10	21	6	40
OG0000128	4	1	3	22	9	39
OG0000129	8	9	10	8	4	39
OG0000130	9	9	7	3	11	39
OG0000131	11	1	4	16	7	39
OG0000132	17	15	0	4	3	39
OG0000133	7	7	8	11	6	39
OG0000134	2	8	0	9	20	39
OG0000135	22	1	6	3	6	38
OG0000136	9	0	7	14	8	38
OG0000137	6	16	6	5	5	38
OG0000138	4	13	0	18	3	38
OG0000139	15	10	0	1	12	38
OG0000140	7	13	12	4	2	38
OG0000141	8	1	3	0	26	38
OG0000142	11	2	0	18	7	38
OG0000143	1	15	0	5	17	38
OG0000144	4	14	0	3	17	38
OG0000145	3	17	2	4	12	38
OG0000146	27	2	4	0	4	37
OG0000147	26	0	3	5	3	37
OG0000148	27	5	0	2	3	37
OG0000149	22	4	3	0	8	37
OG0000150	9	0	15	6	7	37
OG0000151	32	1	1	1	2	37
OG0000152	22	5	5	3	2	37
OG0000153	20	3	0	2	12	37
OG0000154	21	6	5	5	0	37
OG0000155	5	10	6	1	15	37
OG0000156	7	8	8	4	10	37
OG0000157	2	6	6	8	15	37
OG0000158	24	1	0	2	9	36
OG0000159	7	11	2	15	1	36
OG0000160	22	1	3	2	8	36
OG0000161	5	3	3	16	9	36
OG0000162	7	5	8	5	11	36
OG0000163	14	1	14	4	3	36
OG0000164	12	1	0	2	21	36
OG0000165	16	4	0	16	0	36
OG0000166	16	1	8	2	9	36
OG0000167	13	1	1	7	14	36
OG0000168	10	2	14	9	1	36
OG0000169	2	5	2	3	24	36
OG0000170	2	9	4	15	6	36
OG0000171	1	13	6	7	9	36
OG0000172	2	6	0	26	1	35
OG0000173	3	12	6	1	13	35
OG0000174	18	0	0	10	7	35
OG0000175	3	11	6	5	10	35
OG0000176	32	0	0	1	2	35
OG0000177	9	13	0	9	4	35
OG0000178	17	3	5	8	2	35
OG0000179	7	11	10	1	6	35
OG0000180	4	2	3	5	21	35
OG0000181	5	5	8	10	7	35
OG0000182	1	10	2	1	21	35
OG0000183	1	13	8	6	7	35
OG0000184	3	4	2	0	26	35
OG0000185	2	5	1	13	14	35
OG0000186	2	5	6	20	2	35
OG0000187	0	14	8	1	12	35
OG0000188	23	1	3	4	3	34
OG0000189	6	9	4	11	4	34
OG0000190	27	2	0	0	5	34
OG0000191	17	0	1	15	1	34
OG0000192	29	1	0	2	2	34
OG0000193	19	2	0	2	11	34
OG0000194	17	4	1	8	4	34
OG0000195	25	1	0	2	6	34
OG0000196	3	7	3	13	8	34
OG0000197	22	1	6	5	0	34
OG0000198	8	14	6	4	2	34
OG0000199	1	17	1	0	15	34
OG0000200	2	8	12	2	10	34
OG0000201	3	1	0	28	2	34
OG0000202	1	12	1	17	2	33
OG0000203	6	7	1	9	10	33
OG0000204	13	9	0	9	2	33
OG0000205	3	6	13	10	1	33
OG0000206	1	3	5	9	15	33
OG0000207	4	6	3	18	2	33
OG0000208	7	6	8	2	10	33
OG0000209	23	2	3	0	4	32
OG0000210	14	2	1	15	0	32
OG0000211	11	2	1	14	4	32
OG0000212	20	0	1	7	4	32
OG0000213	17	1	3	10	1	32
OG0000214	15	5	2	3	7	32
OG0000215	25	1	6	0	0	32
OG0000216	4	11	1	11	5	32
OG0000217	7	3	14	2	6	32
OG0000218	5	7	5	8	7	32
OG0000219	6	8	1	9	8	32
OG0000220	1	4	8	8	11	32
OG0000221	1	1	3	25	2	32
OG0000222	1	6	10	14	1	32
OG0000223	1	0	1	27	3	32
OG0000224	6	8	7	4	7	32
OG0000225	16	2	3	8	2	31
OG0000226	3	16	7	2	3	31
OG0000227	26	0	0	1	4	31
OG0000228	12	2	4	9	4	31
OG0000229	23	0	0	5	3	31
OG0000230	2	14	2	11	2	31
OG0000231	12	3	3	9	4	31
OG0000232	3	12	3	3	10	31
OG0000233	1	10	7	5	8	31
OG0000234	4	8	18	1	0	31
OG0000235	3	15	4	0	9	31
OG0000236	9	3	1	13	5	31
OG0000237	9	1	4	12	5	31
OG0000238	5	10	5	7	4	31
OG0000239	1	1	0	23	6	31
OG0000240	4	4	0	19	3	30
OG0000241	13	2	1	10	4	30
OG0000242	24	1	2	0	3	30
OG0000243	3	12	3	12	0	30
OG0000244	11	1	9	5	4	30
OG0000245	11	2	6	2	9	30
OG0000246	12	6	1	2	9	30
OG0000247	14	2	1	1	12	30
OG0000248	6	1	1	21	1	30
OG0000249	5	5	6	3	11	30
OG0000250	9	2	2	15	2	30
OG0000251	5	2	0	23	0	30
OG0000252	0	13	0	4	13	30
OG0000253	9	12	0	1	7	29
OG0000254	13	2	1	10	3	29
OG0000255	5	4	7	6	7	29
OG0000256	17	4	2	1	5	29
OG0000257	14	1	4	9	1	29
OG0000258	13	0	10	0	6	29
OG0000259	17	2	0	9	1	29
OG0000260	4	4	1	20	0	29
OG0000261	5	10	1	7	6	29
OG0000262	2	5	3	0	19	29
OG0000263	9	6	4	8	2	29
OG0000264	6	8	1	7	7	29
OG0000265	3	11	0	6	9	29
OG0000266	8	1	10	3	7	29
OG0000267	6	10	2	7	4	29
OG0000268	5	9	2	7	6	29
OG0000269	8	3	5	1	12	29
OG0000270	7	8	5	4	5	29
OG0000271	6	5	4	6	8	29
OG0000272	0	4	9	10	6	29
OG0000273	15	1	3	2	7	28
OG0000274	23	1	0	3	1	28
OG0000275	15	0	4	6	3	28
OG0000276	18	0	1	2	7	28
OG0000277	23	2	0	2	1	28
OG0000278	11	3	0	10	4	28
OG0000279	4	11	5	5	3	28
OG0000280	8	2	2	8	8	28
OG0000281	12	3	5	1	7	28
OG0000282	12	6	1	5	4	28
OG0000283	12	1	2	12	1	28
OG0000284	8	7	2	11	0	28
OG0000285	13	2	3	0	10	28
OG0000286	9	1	2	0	16	28
OG0000287	5	1	0	11	11	28
OG0000288	6	9	5	1	7	28
OG0000289	14	3	2	6	3	28
OG0000290	15	1	3	5	4	28
OG0000291	7	4	2	14	1	28
OG0000292	7	3	12	2	4	28
OG0000293	7	1	4	11	5	28
OG0000294	1	10	1	5	11	28
OG0000295	4	3	2	16	3	28
OG0000296	4	6	8	6	4	28
OG0000297	3	7	5	2	11	28
OG0000298	2	3	4	1	18	28
OG0000299	2	0	1	19	6	28
OG0000300	0	10	2	10	6	28
OG0000301	11	10	5	0	1	27
OG0000302	3	2	0	0	22	27
OG0000303	2	1	1	19	4	27
OG0000304	18	0	1	6	2	27
OG0000305	13	5	0	4	5	27
OG0000306	11	4	7	3	2	27
OG0000307	3	4	5	6	9	27
OG0000308	2	5	1	9	10	27
OG0000309	6	5	1	0	15	27
OG0000310	4	12	6	4	1	27
OG0000311	15	1	0	0	11	27
OG0000312	7	1	1	18	0	27
OG0000313	4	10	0	1	12	27
OG0000314	11	2	4	5	5	27
OG0000315	1	4	10	7	5	27
OG0000316	5	3	6	7	6	27
OG0000317	1	3	0	5	18	27
OG0000318	1	4	6	4	12	27
OG0000319	2	9	2	10	4	27
OG0000320	1	11	5	4	6	27
OG0000321	0	8	0	6	13	27
OG0000322	0	8	1	5	13	27
OG0000323	0	5	2	2	18	27
OG0000324	14	0	4	2	6	26
OG0000325	14	2	3	2	5	26
OG0000326	7	2	1	8	8	26
OG0000327	19	4	0	2	1	26
OG0000328	13	6	6	0	1	26
OG0000329	12	0	12	1	1	26
OG0000330	10	1	4	8	3	26
OG0000331	4	3	2	5	12	26
OG0000332	3	18	0	0	5	26
OG0000333	3	3	2	14	4	26
OG0000334	4	5	6	7	4	26
OG0000335	6	2	1	10	7	26
OG0000336	3	5	7	5	6	26
OG0000337	9	6	3	0	8	26
OG0000338	3	4	3	14	2	26
OG0000339	3	2	9	5	7	26
OG0000340	9	2	10	4	1	26
OG0000341	7	4	1	8	6	26
OG0000342	3	0	6	17	0	26
OG0000343	5	8	0	11	2	26
OG0000344	2	0	0	19	5	26
OG0000345	8	0	5	7	6	26
OG0000346	4	9	2	5	6	26
OG0000347	2	0	3	21	0	26
OG0000348	1	4	2	9	10	26
OG0000349	1	1	2	19	3	26
OG0000350	4	4	4	4	10	26
OG0000351	3	4	6	11	2	26
OG0000352	2	3	9	10	2	26
OG0000353	3	8	2	12	1	26
OG0000354	3	2	4	7	10	26
OG0000355	0	8	2	4	12	26
OG0000356	0	1	0	0	25	26
OG0000357	2	7	8	7	1	25
OG0000358	6	3	1	9	6	25
OG0000359	10	11	0	0	4	25
OG0000360	23	1	0	1	0	25
OG0000361	10	7	7	0	1	25
OG0000362	2	2	0	12	9	25
OG0000363	7	2	7	7	2	25
OG0000364	14	0	3	5	3	25
OG0000365	18	2	3	1	1	25
OG0000366	4	7	4	7	3	25
OG0000367	12	0	5	5	3	25
OG0000368	8	6	1	8	2	25
OG0000369	11	1	2	1	10	25
OG0000370	7	1	2	12	3	25
OG0000371	3	7	6	6	3	25
OG0000372	6	5	5	3	6	25
OG0000373	3	2	15	3	2	25
OG0000374	3	8	4	3	7	25
OG0000375	11	5	0	7	2	25
OG0000376	15	1	0	8	1	25
OG0000377	5	3	4	4	9	25
OG0000378	3	1	2	17	2	25
OG0000379	13	6	0	3	3	25
OG0000380	2	5	0	7	11	25
OG0000381	7	6	4	3	5	25
OG0000382	3	5	4	5	8	25
OG0000383	6	2	2	12	3	25
OG0000384	3	9	4	9	0	25
OG0000385	4	3	3	4	11	25
OG0000386	2	3	9	6	5	25
OG0000387	2	6	5	5	7	25
OG0000388	5	1	1	6	12	25
OG0000389	3	4	3	7	8	25
OG0000390	3	4	5	7	6	25
OG0000391	0	7	6	3	9	25
OG0000392	0	16	0	7	2	25
OG0000393	8	2	2	2	10	24
OG0000394	5	2	5	8	4	24
OG0000395	20	0	1	3	0	24
OG0000396	3	7	3	4	7	24
OG0000397	6	3	4	7	4	24
OG0000398	20	1	1	0	2	24
OG0000399	2	9	0	1	12	24
OG0000400	15	2	0	1	6	24
OG0000401	3	5	1	5	10	24
OG0000402	17	0	0	2	5	24
OG0000403	6	1	2	4	11	24
OG0000404	2	1	1	19	1	24
OG0000405	12	0	0	12	0	24
OG0000406	10	3	5	5	1	24
OG0000407	2	6	8	5	3	24
OG0000408	2	11	3	5	3	24
OG0000409	3	1	1	13	6	24
OG0000410	5	1	4	12	2	24
OG0000411	1	3	2	14	4	24
OG0000412	0	3	2	17	2	24
OG0000413	13	1	0	8	1	23
OG0000414	9	0	4	10	0	23
OG0000415	5	2	3	7	6	23
OG0000416	14	1	5	3	0	23
OG0000417	8	2	2	8	3	23
OG0000418	8	6	7	0	2	23
OG0000419	16	0	1	4	2	23
OG0000420	3	5	4	6	5	23
OG0000421	5	3	5	6	4	23
OG0000422	11	4	0	6	2	23
OG0000423	5	6	3	6	3	23
OG0000424	3	5	2	4	9	23
OG0000425	9	3	2	2	7	23
OG0000426	18	0	0	1	4	23
OG0000427	10	2	1	7	3	23
OG0000428	13	9	0	0	1	23
OG0000429	2	7	1	2	11	23
OG0000430	4	3	1	4	11	23
OG0000431	8	11	1	0	3	23
OG0000432	17	1	0	2	3	23
OG0000433	8	5	3	3	4	23
OG0000434	5	5	2	2	9	23
OG0000435	10	2	2	3	6	23
OG0000436	6	6	3	6	2	23
OG0000437	6	10	0	3	4	23
OG0000438	7	0	0	13	3	23
OG0000439	5	1	1	16	0	23
OG0000440	2	0	10	8	3	23
OG0000441	2	7	8	5	1	23
OG0000442	3	1	4	14	1	23
OG0000443	1	3	4	1	14	23
OG0000444	2	5	3	2	11	23
OG0000445	1	4	2	4	12	23
OG0000446	3	14	0	3	3	23
OG0000447	2	3	0	18	0	23
OG0000448	3	6	3	5	6	23
OG0000449	0	5	0	17	1	23
OG0000450	0	3	2	16	2	23
OG0000451	0	6	7	7	3	23
OG0000452	0	1	4	7	11	23
OG0000453	0	0	0	20	3	23
OG0000454	13	2	2	5	0	22
OG0000455	13	7	0	0	2	22
OG0000456	9	3	5	0	5	22
OG0000457	20	0	0	2	0	22
OG0000458	10	2	0	5	5	22
OG0000459	5	7	5	2	3	22
OG0000460	3	6	9	0	4	22
OG0000461	9	4	3	1	5	22
OG0000462	12	1	2	5	2	22
OG0000463	15	0	0	4	3	22
OG0000464	3	5	3	8	3	22
OG0000465	8	6	1	3	4	22
OG0000466	9	1	0	0	12	22
OG0000467	8	5	4	2	3	22
OG0000468	7	1	4	9	1	22
OG0000469	2	3	5	6	6	22
OG0000470	11	1	3	5	2	22
OG0000471	7	5	4	4	2	22
OG0000472	1	1	1	16	3	22
OG0000473	18	2	0	0	2	22
OG0000474	3	6	5	4	4	22
OG0000475	10	0	8	4	0	22
OG0000476	4	7	4	5	2	22
OG0000477	4	2	1	15	0	22
OG0000478	4	4	2	5	7	22
OG0000479	4	0	10	7	1	22
OG0000480	5	8	0	6	3	22
OG0000481	2	8	2	0	10	22
OG0000482	2	14	0	4	2	22
OG0000483	3	9	4	3	3	22
OG0000484	9	1	0	2	10	22
OG0000485	2	8	2	5	5	22
OG0000486	1	0	2	19	0	22
OG0000487	2	4	4	8	4	22
OG0000488	2	0	5	12	3	22
OG0000489	4	2	14	1	1	22
OG0000490	1	6	4	5	6	22
OG0000491	3	4	7	4	4	22
OG0000492	0	5	2	13	2	22
OG0000493	0	0	0	0	22	22
OG0000494	16	2	2	0	1	21
OG0000495	17	0	1	1	2	21
OG0000496	3	0	4	4	10	21
OG0000497	5	0	4	2	10	21
OG0000498	16	1	3	0	1	21
OG0000499	17	0	0	0	4	21
OG0000500	3	0	4	14	0	21
OG0000501	17	2	0	0	2	21
OG0000502	20	0	0	1	0	21
OG0000503	13	1	6	0	1	21
OG0000504	17	0	0	1	3	21
OG0000505	4	0	1	1	15	21
OG0000506	18	1	0	1	1	21
OG0000507	9	1	0	5	6	21
OG0000508	9	4	0	0	8	21
OG0000509	11	2	8	0	0	21
OG0000510	2	6	0	2	11	21
OG0000511	1	5	7	6	2	21
OG0000512	7	3	2	6	3	21
OG0000513	4	12	0	2	3	21
OG0000514	14	4	0	0	3	21
OG0000515	4	3	4	8	2	21
OG0000516	1	7	5	5	3	21
OG0000517	7	1	0	6	7	21
OG0000518	7	1	2	5	6	21
OG0000519	6	0	2	1	12	21
OG0000520	16	0	1	0	4	21
OG0000521	10	6	2	0	3	21
OG0000522	10	3	0	6	2	21
OG0000523	5	1	4	7	4	21
OG0000524	12	0	0	3	6	21
OG0000525	2	2	4	3	10	21
OG0000526	3	0	1	7	10	21
OG0000527	5	1	4	11	0	21
OG0000528	6	3	5	5	2	21
OG0000529	2	5	0	0	14	21
OG0000530	4	2	5	4	6	21
OG0000531	8	0	2	2	9	21
OG0000532	2	5	4	6	4	21
OG0000533	2	1	4	12	2	21
OG0000534	1	6	9	3	2	21
OG0000535	5	6	3	3	4	21
OG0000536	1	2	0	14	4	21
OG0000537	1	5	0	0	15	21
OG0000538	1	2	3	9	6	21
OG0000539	7	8	1	4	1	21
OG0000540	1	7	1	3	9	21
OG0000541	7	6	0	1	7	21
OG0000542	1	9	3	7	1	21
OG0000543	0	6	6	4	5	21
OG0000544	0	3	4	14	0	21
OG0000545	12	0	0	6	2	20
OG0000546	2	5	2	4	7	20
OG0000547	9	0	7	0	4	20
OG0000548	3	4	0	13	0	20
OG0000549	6	0	2	4	8	20
OG0000550	5	6	3	3	3	20
OG0000551	4	2	2	11	1	20
OG0000552	3	2	1	10	4	20
OG0000553	17	1	0	1	1	20
OG0000554	8	2	9	1	0	20
OG0000555	13	1	5	0	1	20
OG0000556	4	2	5	1	8	20
OG0000557	13	0	1	1	5	20
OG0000558	7	4	1	1	7	20
OG0000559	7	2	1	6	4	20
OG0000560	14	0	0	6	0	20
OG0000561	10	0	2	4	4	20
OG0000562	4	4	2	2	8	20
OG0000563	8	0	5	3	4	20
OG0000564	13	2	1	1	3	20
OG0000565	17	0	2	0	1	20
OG0000566	7	1	3	5	4	20
OG0000567	11	2	0	5	2	20
OG0000568	9	1	1	4	5	20
OG0000569	2	1	4	5	8	20
OG0000570	2	7	3	5	3	20
OG0000571	6	2	1	6	5	20
OG0000572	5	6	5	1	3	20
OG0000573	2	10	0	0	8	20
OG0000574	4	2	2	9	3	20
OG0000575	12	0	1	2	5	20
OG0000576	3	3	3	8	3	20
OG0000577	1	4	0	3	12	20
OG0000578	18	0	2	0	0	20
OG0000579	2	6	7	2	3	20
OG0000580	7	7	0	0	6	20
OG0000581	2	3	5	7	3	20
OG0000582	4	1	0	14	1	20
OG0000583	2	0	1	0	17	20
OG0000584	2	4	5	6	3	20
OG0000585	1	2	3	12	2	20
OG0000586	1	8	5	1	5	20
OG0000587	3	1	1	11	4	20
OG0000588	2	6	1	10	1	20
OG0000589	2	3	6	4	5	20
OG0000590	2	6	1	9	2	20
OG0000591	2	5	3	9	1	20
OG0000592	1	8	1	9	1	20
OG0000593	3	1	2	1	13	20
OG0000594	1	5	4	1	9	20
OG0000595	2	4	0	14	0	20
OG0000596	1	15	1	2	1	20
OG0000597	0	6	4	6	4	20
OG0000598	0	4	5	5	6	20
OG0000599	0	3	4	13	0	20
OG0000600	0	1	5	12	2	20
OG0000601	0	1	0	16	3	20
OG0000602	0	1	0	10	9	20
OG0000603	0	9	3	8	0	20
OG0000604	0	4	1	15	0	20
OG0000605	0	3	4	11	2	20
OG0000606	0	0	4	13	3	20
OG0000607	0	0	0	1	19	20
OG0000608	13	3	2	1	0	19
OG0000609	4	3	5	5	2	19
OG0000610	7	10	0	0	2	19
OG0000611	10	4	5	0	0	19
OG0000612	2	5	8	3	1	19
OG0000613	13	3	2	1	0	19
OG0000614	8	2	2	5	2	19
OG0000615	4	1	0	11	3	19
OG0000616	12	2	1	4	0	19
OG0000617	4	1	1	10	3	19
OG0000618	9	1	0	3	6	19
OG0000619	5	2	2	0	10	19
OG0000620	6	1	2	6	4	19
OG0000621	1	7	2	7	2	19
OG0000622	12	2	0	0	5	19
OG0000623	4	1	3	9	2	19
OG0000624	3	4	1	7	4	19
OG0000625	11	0	0	8	0	19
OG0000626	11	0	2	2	4	19
OG0000627	4	3	1	7	4	19
OG0000628	13	1	4	0	1	19
OG0000629	14	3	0	2	0	19
OG0000630	6	1	2	5	5	19
OG0000631	9	3	5	1	1	19
OG0000632	2	2	8	5	2	19
OG0000633	7	6	3	2	1	19
OG0000634	4	4	2	8	1	19
OG0000635	5	6	2	5	1	19
OG0000636	2	5	6	6	0	19
OG0000637	6	0	0	6	7	19
OG0000638	1	5	4	6	3	19
OG0000639	1	5	5	0	8	19
OG0000640	3	5	5	3	3	19
OG0000641	5	5	1	2	6	19
OG0000642	1	4	4	7	3	19
OG0000643	1	4	5	7	2	19
OG0000644	2	6	5	4	2	19
OG0000645	3	1	0	13	2	19
OG0000646	5	3	2	2	7	19
OG0000647	9	1	0	7	2	19
OG0000648	5	3	3	4	4	19
OG0000649	2	3	6	2	6	19
OG0000650	1	8	2	4	4	19
OG0000651	1	0	5	12	1	19
OG0000652	0	17	1	1	0	19
OG0000653	0	4	4	8	3	19
OG0000654	0	7	6	2	4	19
OG0000655	0	2	5	12	0	19
OG0000656	0	1	0	1	17	19
OG0000657	0	4	4	0	11	19
OG0000658	0	2	16	0	1	19
OG0000659	0	1	15	3	0	19
OG0000660	2	2	0	6	8	18
OG0000661	6	1	0	0	11	18
OG0000662	14	0	3	0	1	18
OG0000663	8	4	1	3	2	18
OG0000664	4	5	2	4	3	18
OG0000665	6	2	2	7	1	18
OG0000666	3	2	8	3	2	18
OG0000667	3	7	1	3	4	18
OG0000668	3	7	2	4	2	18
OG0000669	5	2	4	2	5	18
OG0000670	1	3	5	2	7	18
OG0000671	3	0	0	14	1	18
OG0000672	4	4	2	6	2	18
OG0000673	18	0	0	0	0	18
OG0000674	8	5	1	1	3	18
OG0000675	6	10	0	1	1	18
OG0000676	4	5	1	2	6	18
OG0000677	3	3	2	3	7	18
OG0000678	4	2	1	7	4	18
OG0000679	3	2	5	7	1	18
OG0000680	3	5	5	3	2	18
OG0000681	3	4	5	2	4	18
OG0000682	1	3	0	3	11	18
OG0000683	9	2	3	3	1	18
OG0000684	1	11	0	0	6	18
OG0000685	2	5	1	5	5	18
OG0000686	3	5	0	3	7	18
OG0000687	3	5	3	3	4	18
OG0000688	1	8	4	5	0	18
OG0000689	1	2	1	14	0	18
OG0000690	3	7	2	4	2	18
OG0000691	1	9	0	7	1	18
OG0000692	2	2	0	0	14	18
OG0000693	6	4	4	2	2	18
OG0000694	1	3	4	6	4	18
OG0000695	11	2	3	1	1	18
OG0000696	4	1	1	6	6	18
OG0000697	4	2	3	4	5	18
OG0000698	4	4	3	2	5	18
OG0000699	4	3	6	1	4	18
OG0000700	2	2	2	0	12	18
OG0000701	1	2	2	4	9	18
OG0000702	1	2	2	8	5	18
OG0000703	3	2	3	5	5	18
OG0000704	1	7	4	2	4	18
OG0000705	2	2	2	4	8	18
OG0000706	1	8	4	2	3	18
OG0000707	2	1	4	10	1	18
OG0000708	5	0	10	0	3	18
OG0000709	2	2	3	9	2	18
OG0000710	2	4	4	4	4	18
OG0000711	3	3	1	8	3	18
OG0000712	3	2	2	2	9	18
OG0000713	1	1	7	2	7	18
OG0000714	1	5	2	9	1	18
OG0000715	2	2	2	9	3	18
OG0000716	1	5	5	4	3	18
OG0000717	0	5	7	4	2	18
OG0000718	0	1	3	12	2	18
OG0000719	0	6	4	1	7	18
OG0000720	0	1	2	12	3	18
OG0000721	0	1	9	7	1	18
OG0000722	0	1	4	5	8	18
OG0000723	0	3	0	0	15	18
OG0000724	0	2	2	13	1	18
OG0000725	0	1	3	3	11	18
OG0000726	0	1	3	12	2	18
OG0000727	0	0	0	18	0	18
OG0000728	10	0	1	3	3	17
OG0000729	8	1	3	3	2	17
OG0000730	4	2	2	2	7	17
OG0000731	7	2	3	4	1	17
OG0000732	2	1	4	9	1	17
OG0000733	5	1	1	8	2	17
OG0000734	9	2	0	2	4	17
OG0000735	8	1	2	5	1	17
OG0000736	5	5	0	0	7	17
OG0000737	1	2	1	6	7	17
OG0000738	1	7	5	3	1	17
OG0000739	8	1	7	1	0	17
OG0000740	11	1	3	1	1	17
OG0000741	7	1	1	2	6	17
OG0000742	2	0	7	4	4	17
OG0000743	8	0	6	2	1	17
OG0000744	2	3	3	3	6	17
OG0000745	3	4	2	6	2	17
OG0000746	2	4	3	5	3	17
OG0000747	2	4	2	3	6	17
OG0000748	3	4	1	1	8	17
OG0000749	4	6	2	4	1	17
OG0000750	1	3	3	7	3	17
OG0000751	3	5	2	4	3	17
OG0000752	3	5	2	4	3	17
OG0000753	1	7	3	2	4	17
OG0000754	2	1	1	11	2	17
OG0000755	10	1	3	2	1	17
OG0000756	2	8	3	2	2	17
OG0000757	5	2	8	1	1	17
OG0000758	1	8	2	0	6	17
OG0000759	3	2	1	8	3	17
OG0000760	5	1	4	5	2	17
OG0000761	10	1	1	2	3	17
OG0000762	2	4	4	5	2	17
OG0000763	1	1	1	13	1	17
OG0000764	6	2	4	3	2	17
OG0000765	9	2	3	1	2	17
