"","gene_id","Orthogroup","Species"
"66","Acerv_evm.TU.Segkk2334_pilon.1","OG0016614","A.cervicornis"
"67","Acerv_evm.TU.Segkk2335_pilon.20","OG0000003","A.cervicornis"
"68","Acerv_evm.TU.Segkk2370_pilon.2","OG0008561","A.cervicornis"
"69","Acerv_evm.TU.Segkk2424_pilon.11","OG0001151","A.cervicornis"
"70","Acerv_evm.TU.Segkk2518_pilon.2","OG0012158","A.cervicornis"
"71","Acerv_evm.TU.Segkk2521_pilon.10","OG0001506","A.cervicornis"
"72","Acerv_evm.TU.Segkk2537_pilon.1","OG0000127","A.cervicornis"
"73","Acerv_evm.TU.Segkk2537_pilon.25","OG0012176","A.cervicornis"
"74","Acerv_evm.TU.Segkk2551_pilon.2","OG0000090","A.cervicornis"
"75","Acerv_evm.TU.Segkk2585_pilon.5","OG0003132","A.cervicornis"
"76","Acerv_evm.TU.Segkk2595_pilon.2","OG0003771","A.cervicornis"
"77","Acerv_evm.TU.Segkk2611_pilon.2","OG0000015","A.cervicornis"
"78","Acerv_evm.TU.Segkk2634_pilon.14","OG0000135","A.cervicornis"
"79","Acerv_evm.TU.Segkk2634_pilon.20","OG0000135","A.cervicornis"
"80","Acerv_evm.TU.Segkk2701_pilon.2","OG0006352","A.cervicornis"
"81","Acerv_evm.TU.Segkk2725_pilon.8","OG0000000","A.cervicornis"
"82","Acerv_evm.TU.Segkk2763_pilon.1","OG0001859","A.cervicornis"
"83","Acerv_evm.TU.Segkk2772_pilon.8","OG0012391","A.cervicornis"
"84","Acerv_evm.TU.Segkk2779_pilon.12","OG0012393","A.cervicornis"
"85","Acerv_evm.TU.Segkk2782_pilon.21","OG0006386","A.cervicornis"
"86","Acerv_evm.TU.Segkk2788_pilon.3","OG0001570","A.cervicornis"
"87","Acerv_evm.TU.Segkk2792_pilon.2","OG0011464","A.cervicornis"
"88","Acerv_evm.TU.Segkk2795_pilon.15","OG0012424","A.cervicornis"
"89","Acerv_evm.TU.Segkk2811_pilon.9","OG0003794","A.cervicornis"
"90","Acerv_evm.TU.Segkk2834_pilon.11","OG0004834","A.cervicornis"
"91","Acerv_evm.TU.Segkk2838_pilon.7","OG0008302","A.cervicornis"
"92","Acerv_evm.TU.Segkk2909_pilon.1","OG0006445","A.cervicornis"
"93","Acerv_evm.TU.Segkk2970_pilon.1","OG0000557","A.cervicornis"
"94","Acerv_evm.TU.Segkk30_pilon.11","OG0002101","A.cervicornis"
"95","Acerv_evm.TU.Segkk3047_pilon.14","OG0008921","A.cervicornis"
"96","Acerv_evm.TU.Segkk3052_pilon.15","OG0002904","A.cervicornis"
"97","Acerv_evm.TU.Segkk3059_pilon.1","OG0002830","A.cervicornis"
"98","Acerv_evm.TU.Segkk3087_pilon.2","OG0000000","A.cervicornis"
"99","Acerv_evm.TU.Segkk3091_pilon.8","OG0000221","A.cervicornis"
"100","Acerv_evm.TU.Segkk3092_pilon.14","OG0008945","A.cervicornis"
"101","Acerv_evm.TU.Segkk3095_pilon.35","OG0001298","A.cervicornis"
"102","Acerv_evm.TU.Segkk3096_pilon.7","OG0000000","A.cervicornis"
"103","Acerv_evm.TU.Segkk3105_pilon.1","OG0002180","A.cervicornis"
