Orthogroup	Mcavernosa.maker.proteins	Pocillopora_acuta_HIv1.genes.pep
OG0000049	Mcavernosa19954-RA, Mcavernosa33237-RA, Mcavernosa28132-RA, Mcavernosa23280-RA	Pocillopora_acuta_HIv1_PredGene_g10826.t1, Pocillopora_acuta_HIv1_PredGene_g21157.t1, Pocillopora_acuta_HIv1_PredGene_g25688.t1, Pocillopora_acuta_HIv1_PredGene_g24920.t1, Pocillopora_acuta_HIv1_PredGene_g29118.t1, Pocillopora_acuta_HIv1_PredGene_g13620.t1, Pocillopora_acuta_HIv1_PredGene_g32217.t1, Pocillopora_acuta_HIv1_PredGene_g21156.t1, Pocillopora_acuta_HIv1_PredGene_g24921.t1, Pocillopora_acuta_HIv1_PredGene_g19881.t1, Pocillopora_acuta_HIv1_PredGene_g30469.t1, Pocillopora_acuta_HIv1_PredGene_g12668.t1, Pocillopora_acuta_HIv1_PredGene_g750.t1, Pocillopora_acuta_HIv1_PredGene_g21266.t1, Pocillopora_acuta_HIv1_PredGene_g6059.t1, Pocillopora_acuta_HIv1_PredGene_g9631.t1
OG0000051	Mcavernosa09517-RA	Pocillopora_acuta_HIv1_PredGene_g12431.t1, Pocillopora_acuta_HIv1_PredGene_g28650.t1, Pocillopora_acuta_HIv1_PredGene_g26229.t1
OG0000054	Mcavernosa30506-RA, Mcavernosa02136-RA, Mcavernosa14358-RA	Pocillopora_acuta_HIv1_PredGene_g10147.t1, Pocillopora_acuta_HIv1_PredGene_g5000.t1
OG0000054	Mcavernosa04969-RA	Pocillopora_acuta_HIv1_PredGene_g1701.t1, Pocillopora_acuta_HIv1_PredGene_g15391.t1, Pocillopora_acuta_HIv1_PredGene_g9453.t1, Pocillopora_acuta_HIv1_PredGene_g26723.t1
OG0000055	Mcavernosa34575-RA	Pocillopora_acuta_HIv1_PredGene_18915_t, Pocillopora_acuta_HIv1_PredGene_g9539.t1, Pocillopora_acuta_HIv1_PredGene_6429_t, Pocillopora_acuta_HIv1_PredGene_g9456.t1
OG0000055	Mcavernosa12136-RA	Pocillopora_acuta_HIv1_PredGene_g13707.t1, Pocillopora_acuta_HIv1_PredGene_g12367.t1
OG0000056	Mcavernosa07912-RA	Pocillopora_acuta_HIv1_PredGene_g7185.t1, Pocillopora_acuta_HIv1_PredGene_g7178.t1
OG0000056	Mcavernosa07913-RA, Mcavernosa07916-RA	Pocillopora_acuta_HIv1_PredGene_g8093.t1
OG0000057	Mcavernosa20864-RA	Pocillopora_acuta_HIv1_PredGene_g23681.t1, Pocillopora_acuta_HIv1_PredGene_g26668.t1, Pocillopora_acuta_HIv1_PredGene_g26678.t1, Pocillopora_acuta_HIv1_PredGene_g26663.t1, Pocillopora_acuta_HIv1_PredGene_g26657.t1, Pocillopora_acuta_HIv1_PredGene_g26676.t1, Pocillopora_acuta_HIv1_PredGene_g26683.t1, Pocillopora_acuta_HIv1_PredGene_g23680.t1, Pocillopora_acuta_HIv1_PredGene_g23688.t1, Pocillopora_acuta_HIv1_PredGene_9956_t, Pocillopora_acuta_HIv1_PredGene_g23682.t1, Pocillopora_acuta_HIv1_PredGene_g20529.t1
OG0000058	Mcavernosa11660-RA	Pocillopora_acuta_HIv1_PredGene_g27588.t1, Pocillopora_acuta_HIv1_PredGene_g6705.t1, Pocillopora_acuta_HIv1_PredGene_g27576.t1, Pocillopora_acuta_HIv1_PredGene_g6702.t1
OG0000059	Mcavernosa27878-RA, Mcavernosa27866-RA, Mcavernosa15770-RA, Mcavernosa27867-RA, Mcavernosa27868-RA	Pocillopora_acuta_HIv1_PredGene_g27516.t1
OG0000060	Mcavernosa29410-RA	Pocillopora_acuta_HIv1_PredGene_g18941.t2, Pocillopora_acuta_HIv1_PredGene_g18941.t1, Pocillopora_acuta_HIv1_PredGene_28305_t, Pocillopora_acuta_HIv1_PredGene_g1898.t1
OG0000061	Mcavernosa27448-RA	Pocillopora_acuta_HIv1_PredGene_g1534.t1, Pocillopora_acuta_HIv1_PredGene_g32569.t1, Pocillopora_acuta_HIv1_PredGene_g32577.t1, Pocillopora_acuta_HIv1_PredGene_g1530.t1, Pocillopora_acuta_HIv1_PredGene_g32573.t1, Pocillopora_acuta_HIv1_PredGene_g32571.t1, Pocillopora_acuta_HIv1_PredGene_g32578.t1, Pocillopora_acuta_HIv1_PredGene_g25203.t1, Pocillopora_acuta_HIv1_PredGene_g25210.t1, Pocillopora_acuta_HIv1_PredGene_g14385.t1, Pocillopora_acuta_HIv1_PredGene_g25213.t1, Pocillopora_acuta_HIv1_PredGene_g25207.t1, Pocillopora_acuta_HIv1_PredGene_g32574.t1, Pocillopora_acuta_HIv1_PredGene_g32583.t1, Pocillopora_acuta_HIv1_PredGene_g32575.t1, Pocillopora_acuta_HIv1_PredGene_g32572.t1, Pocillopora_acuta_HIv1_PredGene_g32579.t1, Pocillopora_acuta_HIv1_PredGene_g1531.t1, Pocillopora_acuta_HIv1_PredGene_g1527.t1, Pocillopora_acuta_HIv1_PredGene_g8560.t1, Pocillopora_acuta_HIv1_PredGene_g32570.t1, Pocillopora_acuta_HIv1_PredGene_g1529.t1, Pocillopora_acuta_HIv1_PredGene_g8557.t1, Pocillopora_acuta_HIv1_PredGene_g32584.t1, Pocillopora_acuta_HIv1_PredGene_g32582.t1
OG0000061	Mcavernosa18962-RA	Pocillopora_acuta_HIv1_PredGene_g1357.t1, Pocillopora_acuta_HIv1_PredGene_g32921.t1
OG0000063	Mcavernosa14374-RA	Pocillopora_acuta_HIv1_PredGene_g11520.t1, Pocillopora_acuta_HIv1_PredGene_g27339.t1, Pocillopora_acuta_HIv1_PredGene_g3536.t1, Pocillopora_acuta_HIv1_PredGene_g12774.t1, Pocillopora_acuta_HIv1_PredGene_g21238.t1
OG0000064	Mcavernosa20927-RA, Mcavernosa20926-RA, Mcavernosa21729-RA	Pocillopora_acuta_HIv1_PredGene_g1206.t1
OG0000065	Mcavernosa31972-RA	Pocillopora_acuta_HIv1_PredGene_g26864.t1, Pocillopora_acuta_HIv1_PredGene_g26861.t1, Pocillopora_acuta_HIv1_PredGene_g26862.t1, Pocillopora_acuta_HIv1_PredGene_g26863.t1
OG0000065	Mcavernosa07140-RA	Pocillopora_acuta_HIv1_PredGene_g5305.t1
OG0000065	Mcavernosa25561-RA, Mcavernosa25562-RA	Pocillopora_acuta_HIv1_PredGene_g15564.t1
OG0000066	Mcavernosa32307-RA	Pocillopora_acuta_HIv1_PredGene_g29117.t1, Pocillopora_acuta_HIv1_PredGene_g32307.t1, Pocillopora_acuta_HIv1_PredGene_g24077.t1, Pocillopora_acuta_HIv1_PredGene_g11929.t1, Pocillopora_acuta_HIv1_PredGene_g23304.t1, Pocillopora_acuta_HIv1_PredGene_g23306.t1, Pocillopora_acuta_HIv1_PredGene_g5430.t1
OG0000066	Mcavernosa25799-RA	Pocillopora_acuta_HIv1_PredGene_g9675.t1, Pocillopora_acuta_HIv1_PredGene_g10145.t1
OG0000066	Mcavernosa25800-RA, Mcavernosa31906-RA, Mcavernosa11912-RA, Mcavernosa19533-RA	Pocillopora_acuta_HIv1_PredGene_g10819.t1, Pocillopora_acuta_HIv1_PredGene_g29620.t1
OG0000067	Mcavernosa07904-RA	Pocillopora_acuta_HIv1_PredGene_g22315.t1, Pocillopora_acuta_HIv1_PredGene_27094_t
