Orthogroup	Mcavernosa.maker.proteins	Pocillopora_acuta_HIv1.genes.pep
OG0005736	Mcavernosa12102-RA	Pocillopora_acuta_HIv1_PredGene_g8563.t1
OG0005737	Mcavernosa29545-RA	Pocillopora_acuta_HIv1_PredGene_g21562.t1
OG0005738	Mcavernosa29544-RA, Mcavernosa11502-RA	Pocillopora_acuta_HIv1_PredGene_g21561.t1
OG0005739	Mcavernosa11501-RA	Pocillopora_acuta_HIv1_PredGene_7162_t, Pocillopora_acuta_HIv1_PredGene_g21567.t1
OG0005740	Mcavernosa11499-RA	Pocillopora_acuta_HIv1_PredGene_g21571.t1
OG0005741	Mcavernosa04040-RA	Pocillopora_acuta_HIv1_PredGene_g28240.t1, Pocillopora_acuta_HIv1_PredGene_g28240.t2, Pocillopora_acuta_HIv1_PredGene_g33238.t1
OG0005742	Mcavernosa04039-RA	Pocillopora_acuta_HIv1_PredGene_g28241.t1, Pocillopora_acuta_HIv1_PredGene_g33239.t1
OG0005743	Mcavernosa04027-RA	Pocillopora_acuta_HIv1_PredGene_g33246.t1
OG0005744	Mcavernosa04030-RA	Pocillopora_acuta_HIv1_PredGene_26773_t, Pocillopora_acuta_HIv1_PredGene_g33244.t1
OG0005745	Mcavernosa01987-RA	Pocillopora_acuta_HIv1_PredGene_g30194.t2, Pocillopora_acuta_HIv1_PredGene_g30194.t3, Pocillopora_acuta_HIv1_PredGene_g30194.t1
OG0005746	Mcavernosa03776-RA	Pocillopora_acuta_HIv1_PredGene_g13725.t1, Pocillopora_acuta_HIv1_PredGene_g13725.t2
OG0005747	Mcavernosa17195-RA	Pocillopora_acuta_HIv1_PredGene_12181_t, Pocillopora_acuta_HIv1_PredGene_g30110.t1
OG0005748	Mcavernosa17191-RA, Mcavernosa17189-RA	Pocillopora_acuta_HIv1_PredGene_g30118.t1
OG0005749	Mcavernosa09951-RA, Mcavernosa09956-RA	Pocillopora_acuta_HIv1_PredGene_g12571.t1
OG0005750	Mcavernosa09950-RA	Pocillopora_acuta_HIv1_PredGene_g12570.t1
OG0005751	Mcavernosa09952-RA	Pocillopora_acuta_HIv1_PredGene_32328_t, Pocillopora_acuta_HIv1_PredGene_g10126.t1, Pocillopora_acuta_HIv1_PredGene_g12572.t1
OG0005752	Mcavernosa18311-RA	Pocillopora_acuta_HIv1_PredGene_g11680.t2, Pocillopora_acuta_HIv1_PredGene_g11680.t1
OG0005753	Mcavernosa15585-RA	Pocillopora_acuta_HIv1_PredGene_g10705.t1, Pocillopora_acuta_HIv1_PredGene_g22797.t1, Pocillopora_acuta_HIv1_PredGene_g10705.t2
OG0005754	Mcavernosa28037-RA	Pocillopora_acuta_HIv1_PredGene_g8004.t1
OG0005755	Mcavernosa05729-RA	Pocillopora_acuta_HIv1_PredGene_18825_t, Pocillopora_acuta_HIv1_PredGene_g26590.t1
OG0005756	Mcavernosa05737-RA	Pocillopora_acuta_HIv1_PredGene_g26594.t1
OG0005757	Mcavernosa30033-RA	Pocillopora_acuta_HIv1_PredGene_g348.t1
OG0005758	Mcavernosa31531-RA	Pocillopora_acuta_HIv1_PredGene_g16790.t1
OG0005759	Mcavernosa34843-RA	Pocillopora_acuta_HIv1_PredGene_g28993.t1
OG0005760	Mcavernosa34923-RA	Pocillopora_acuta_HIv1_PredGene_g12333.t1
OG0005762	Mcavernosa04848-RA	Pocillopora_acuta_HIv1_PredGene_g28973.t1
OG0005763	Mcavernosa10699-RA	Pocillopora_acuta_HIv1_PredGene_g27360.t1, Pocillopora_acuta_HIv1_PredGene_g19147.t1
OG0005765	Mcavernosa04607-RA	Pocillopora_acuta_HIv1_PredGene_g14670.t1, Pocillopora_acuta_HIv1_PredGene_g3331.t1
OG0005766	Mcavernosa08038-RA	Pocillopora_acuta_HIv1_PredGene_g7233.t1
OG0005767	Mcavernosa02393-RA	Pocillopora_acuta_HIv1_PredGene_g409.t2, Pocillopora_acuta_HIv1_PredGene_g409.t3, Pocillopora_acuta_HIv1_PredGene_g409.t1
OG0005768	Mcavernosa02394-RA	Pocillopora_acuta_HIv1_PredGene_g408.t1
OG0005769	Mcavernosa01107-RA	Pocillopora_acuta_HIv1_PredGene_g15123.t1
OG0005770	Mcavernosa07493-RA	Pocillopora_acuta_HIv1_PredGene_11963_t, Pocillopora_acuta_HIv1_PredGene_g18754.t1
OG0005771	Mcavernosa32121-RA	Pocillopora_acuta_HIv1_PredGene_g14686.t1
OG0005772	Mcavernosa32122-RA	Pocillopora_acuta_HIv1_PredGene_18871_t, Pocillopora_acuta_HIv1_PredGene_g14688.t1
OG0005773	Mcavernosa01258-RA	Pocillopora_acuta_HIv1_PredGene_g9598.t1, Pocillopora_acuta_HIv1_PredGene_g20783.t1
OG0005774	Mcavernosa01257-RA	Pocillopora_acuta_HIv1_PredGene_g9596.t1, Pocillopora_acuta_HIv1_PredGene_g20785.t1
OG0005775	Mcavernosa22606-RA	Pocillopora_acuta_HIv1_PredGene_11087_t, Pocillopora_acuta_HIv1_PredGene_g31180.t1
OG0005776	Mcavernosa22604-RA	Pocillopora_acuta_HIv1_PredGene_g31177.t1, Pocillopora_acuta_HIv1_PredGene_11085_t
OG0005777	Mcavernosa19320-RA	Pocillopora_acuta_HIv1_PredGene_g16064.t1, Pocillopora_acuta_HIv1_PredGene_17076_t
OG0005778	Mcavernosa02710-RA	Pocillopora_acuta_HIv1_PredGene_g32834.t1
OG0005779	Mcavernosa13321-RA	Pocillopora_acuta_HIv1_PredGene_g21912.t1
OG0005779	Mcavernosa13320-RA	Pocillopora_acuta_HIv1_PredGene_g13985.t1
OG0005780	Mcavernosa05911-RA	Pocillopora_acuta_HIv1_PredGene_g17621.t1
OG0005781	Mcavernosa06442-RA	Pocillopora_acuta_HIv1_PredGene_g14428.t1
OG0005782	Mcavernosa06447-RA	Pocillopora_acuta_HIv1_PredGene_g14433.t1
OG0005783	Mcavernosa03167-RA, Mcavernosa03165-RA	Pocillopora_acuta_HIv1_PredGene_g14716.t1
OG0005784	Mcavernosa11558-RA	Pocillopora_acuta_HIv1_PredGene_g11880.t1, Pocillopora_acuta_HIv1_PredGene_25002_t, Pocillopora_acuta_HIv1_PredGene_g27311.t1
OG0005786	Mcavernosa04394-RA	Pocillopora_acuta_HIv1_PredGene_g3550.t1
OG0005787	Mcavernosa30739-RA	Pocillopora_acuta_HIv1_PredGene_g28320.t1
OG0005788	Mcavernosa11641-RA	Pocillopora_acuta_HIv1_PredGene_g11799.t1, Pocillopora_acuta_HIv1_PredGene_8782_t
OG0005789	Mcavernosa25459-RA, Mcavernosa25461-RA	Pocillopora_acuta_HIv1_PredGene_g13363.t1, Pocillopora_acuta_HIv1_PredGene_g29907.t1, Pocillopora_acuta_HIv1_PredGene_g13356.t1
OG0005790	Mcavernosa15934-RA	Pocillopora_acuta_HIv1_PredGene_1932_t, Pocillopora_acuta_HIv1_PredGene_g17716.t1
OG0005791	Mcavernosa08324-RA, Mcavernosa08326-RA	Pocillopora_acuta_HIv1_PredGene_g32000.t2, Pocillopora_acuta_HIv1_PredGene_g32000.t1
OG0005792	Mcavernosa08323-RA	Pocillopora_acuta_HIv1_PredGene_7602_t, Pocillopora_acuta_HIv1_PredGene_g31999.t1, Pocillopora_acuta_HIv1_PredGene_g822.t1
OG0005793	Mcavernosa18211-RA	Pocillopora_acuta_HIv1_PredGene_g17778.t1, Pocillopora_acuta_HIv1_PredGene_1985_t
OG0005794	Mcavernosa18212-RA	Pocillopora_acuta_HIv1_PredGene_g17777.t1
OG0005795	Mcavernosa21222-RA	Pocillopora_acuta_HIv1_PredGene_g32886.t1
OG0005796	Mcavernosa21217-RA	Pocillopora_acuta_HIv1_PredGene_g32880.t1, Pocillopora_acuta_HIv1_PredGene_30196_t
OG0005797	Mcavernosa05443-RA	Pocillopora_acuta_HIv1_PredGene_g19911.t1, Pocillopora_acuta_HIv1_PredGene_g23756.t1, Pocillopora_acuta_HIv1_PredGene_g13598.t1
OG0005798	Mcavernosa05444-RA	Pocillopora_acuta_HIv1_PredGene_g23755.t1, Pocillopora_acuta_HIv1_PredGene_g13599.t1, Pocillopora_acuta_HIv1_PredGene_g19910.t1
OG0005799	Mcavernosa23913-RA	Pocillopora_acuta_HIv1_PredGene_g19894.t1, Pocillopora_acuta_HIv1_PredGene_g13607.t1
OG0005800	Mcavernosa21689-RA	Pocillopora_acuta_HIv1_PredGene_g23779.t1, Pocillopora_acuta_HIv1_PredGene_g14009.t1
OG0005801	Mcavernosa08151-RA	Pocillopora_acuta_HIv1_PredGene_g14012.t1, Pocillopora_acuta_HIv1_PredGene_g14012.t2, Pocillopora_acuta_HIv1_PredGene_g23781.t1
OG0005802	Mcavernosa25725-RA, Mcavernosa25726-RA	Pocillopora_acuta_HIv1_PredGene_g8714.t1, Pocillopora_acuta_HIv1_PredGene_g23209.t1
OG0005803	Mcavernosa20867-RA	Pocillopora_acuta_HIv1_PredGene_g5438.t1
OG0005804	Mcavernosa11442-RA	Pocillopora_acuta_HIv1_PredGene_15032_t, Pocillopora_acuta_HIv1_PredGene_g16204.t1, Pocillopora_acuta_HIv1_PredGene_g9787.t1
OG0005805	Mcavernosa11444-RA	Pocillopora_acuta_HIv1_PredGene_g16202.t1, Pocillopora_acuta_HIv1_PredGene_g9789.t1
OG0005806	Mcavernosa14262-RA	Pocillopora_acuta_HIv1_PredGene_g2352.t1, Pocillopora_acuta_HIv1_PredGene_31328_t
OG0005807	Mcavernosa28781-RA	Pocillopora_acuta_HIv1_PredGene_27329_t, Pocillopora_acuta_HIv1_PredGene_g14243.t2, Pocillopora_acuta_HIv1_PredGene_g14243.t1
OG0005808	Mcavernosa09139-RA	Pocillopora_acuta_HIv1_PredGene_g72.t1
OG0005809	Mcavernosa00120-RA	Pocillopora_acuta_HIv1_PredGene_g2340.t1, Pocillopora_acuta_HIv1_PredGene_g2340.t2
OG0005810	Mcavernosa02163-RA, Mcavernosa02160-RA	Pocillopora_acuta_HIv1_PredGene_g31917.t1
OG0005811	Mcavernosa32854-RA, Mcavernosa08960-RA	Pocillopora_acuta_HIv1_PredGene_g12013.t1, Pocillopora_acuta_HIv1_PredGene_9761_t
OG0005812	Mcavernosa09645-RA	Pocillopora_acuta_HIv1_PredGene_g7401.t1, Pocillopora_acuta_HIv1_PredGene_g7400.t1
OG0005813	Mcavernosa05478-RA	Pocillopora_acuta_HIv1_PredGene_435_t, Pocillopora_acuta_HIv1_PredGene_g7443.t1
OG0005814	Mcavernosa04919-RA	Pocillopora_acuta_HIv1_PredGene_g18322.t1
OG0005815	Mcavernosa32036-RA	Pocillopora_acuta_HIv1_PredGene_g8207.t1, Pocillopora_acuta_HIv1_PredGene_926_t
OG0005816	Mcavernosa24364-RA	Pocillopora_acuta_HIv1_PredGene_g12132.t1
OG0005817	Mcavernosa08780-RA	Pocillopora_acuta_HIv1_PredGene_5130_t, Pocillopora_acuta_HIv1_PredGene_g30734.t1
OG0005819	Mcavernosa03660-RA	Pocillopora_acuta_HIv1_PredGene_g4062.t1, Pocillopora_acuta_HIv1_PredGene_g4062.t2
OG0005820	Mcavernosa06659-RA	Pocillopora_acuta_HIv1_PredGene_g18429.t2, Pocillopora_acuta_HIv1_PredGene_g18429.t1, Pocillopora_acuta_HIv1_PredGene_2319_t
OG0005821	Mcavernosa03659-RA	Pocillopora_acuta_HIv1_PredGene_g4063.t2, Pocillopora_acuta_HIv1_PredGene_g4063.t1, Pocillopora_acuta_HIv1_PredGene_g4063.t4
OG0005822	Mcavernosa24975-RA	Pocillopora_acuta_HIv1_PredGene_g33433.t1, Pocillopora_acuta_HIv1_PredGene_g33429.t1
OG0005823	Mcavernosa06901-RA, Mcavernosa06907-RA	Pocillopora_acuta_HIv1_PredGene_g18276.t1
OG0005824	Mcavernosa08363-RA	Pocillopora_acuta_HIv1_PredGene_g7243.t1, Pocillopora_acuta_HIv1_PredGene_239_t
OG0005825	Mcavernosa25079-RA	Pocillopora_acuta_HIv1_PredGene_g6566.t2, Pocillopora_acuta_HIv1_PredGene_g6566.t1
OG0005826	Mcavernosa25071-RA	Pocillopora_acuta_HIv1_PredGene_g6565.t1
OG0005827	Mcavernosa05321-RA	Pocillopora_acuta_HIv1_PredGene_g6559.t1
OG0005827	Mcavernosa22969-RA	Pocillopora_acuta_HIv1_PredGene_g5434.t1
OG0005828	Mcavernosa15590-RA	Pocillopora_acuta_HIv1_PredGene_g22786.t1, Pocillopora_acuta_HIv1_PredGene_g10720.t1
OG0005829	Mcavernosa09258-RA	Pocillopora_acuta_HIv1_PredGene_g15611.t1, Pocillopora_acuta_HIv1_PredGene_g16095.t1
OG0005830	Mcavernosa03055-RA	Pocillopora_acuta_HIv1_PredGene_g32048.t1
OG0005831	Mcavernosa03046-RA, Mcavernosa03049-RA	Pocillopora_acuta_HIv1_PredGene_g32037.t1
OG0005832	Mcavernosa12945-RA	Pocillopora_acuta_HIv1_PredGene_27696_t, Pocillopora_acuta_HIv1_PredGene_g654.t1
OG0005833	Mcavernosa28249-RA	Pocillopora_acuta_HIv1_PredGene_g7942.t1
OG0005834	Mcavernosa28831-RA, Mcavernosa28829-RA	Pocillopora_acuta_HIv1_PredGene_g20033.t2, Pocillopora_acuta_HIv1_PredGene_29317_t
OG0005835	Mcavernosa28827-RA	Pocillopora_acuta_HIv1_PredGene_g20035.t1
OG0005837	Mcavernosa11314-RA	Pocillopora_acuta_HIv1_PredGene_g16560.t1, Pocillopora_acuta_HIv1_PredGene_24142_t
OG0005838	Mcavernosa07706-RA	Pocillopora_acuta_HIv1_PredGene_g25625.t1
OG0005839	Mcavernosa07673-RA	Pocillopora_acuta_HIv1_PredGene_g25647.t1
OG0005839	Mcavernosa07672-RA	Pocillopora_acuta_HIv1_PredGene_g25649.t1
OG0005840	Mcavernosa07676-RA	Pocillopora_acuta_HIv1_PredGene_7486_t
OG0005841	Mcavernosa31349-RA	Pocillopora_acuta_HIv1_PredGene_g6210.t1
OG0005842	Mcavernosa04951-RA	Pocillopora_acuta_HIv1_PredGene_g6215.t1
OG0005843	Mcavernosa09403-RA	Pocillopora_acuta_HIv1_PredGene_g32206.t2, Pocillopora_acuta_HIv1_PredGene_g32206.t1
OG0005844	Mcavernosa02133-RA	Pocillopora_acuta_HIv1_PredGene_g27793.t1, Pocillopora_acuta_HIv1_PredGene_g10739.t1, Pocillopora_acuta_HIv1_PredGene_g22262.t1
OG0005846	Mcavernosa14394-RA	Pocillopora_acuta_HIv1_PredGene_g16304.t1
OG0005847	Mcavernosa28853-RA	Pocillopora_acuta_HIv1_PredGene_6965_t, Pocillopora_acuta_HIv1_PredGene_g6463.t1, Pocillopora_acuta_HIv1_PredGene_g20490.t1
OG0005848	Mcavernosa10740-RA	Pocillopora_acuta_HIv1_PredGene_g14474.t1
OG0005849	Mcavernosa33976-RA	Pocillopora_acuta_HIv1_PredGene_g27252.t1, Pocillopora_acuta_HIv1_PredGene_g22207.t1
OG0005850	Mcavernosa11853-RA, Mcavernosa33734-RA	Pocillopora_acuta_HIv1_PredGene_g26621.t1, Pocillopora_acuta_HIv1_PredGene_g22218.t1, Pocillopora_acuta_HIv1_PredGene_18855_t
OG0005851	Mcavernosa20962-RA, Mcavernosa20963-RA	Pocillopora_acuta_HIv1_PredGene_g22522.t1
OG0005852	Mcavernosa20948-RA	Pocillopora_acuta_HIv1_PredGene_g22506.t1, Pocillopora_acuta_HIv1_PredGene_g22508.t1
OG0005853	Mcavernosa12766-RA	Pocillopora_acuta_HIv1_PredGene_g18289.t1
OG0005854	Mcavernosa16170-RA	Pocillopora_acuta_HIv1_PredGene_g30881.t1
OG0005856	Mcavernosa06802-RA, Mcavernosa06801-RA	Pocillopora_acuta_HIv1_PredGene_g12211.t1, Pocillopora_acuta_HIv1_PredGene_g17743.t1
OG0005858	Mcavernosa19730-RA	Pocillopora_acuta_HIv1_PredGene_g10671.t2, Pocillopora_acuta_HIv1_PredGene_g10671.t1
OG0005859	Mcavernosa13355-RA	Pocillopora_acuta_HIv1_PredGene_g15354.t1, Pocillopora_acuta_HIv1_PredGene_g5103.t1
OG0005860	Mcavernosa32361-RA, Mcavernosa24356-RA	Pocillopora_acuta_HIv1_PredGene_g13191.t1
OG0005863	Mcavernosa01023-RA	Pocillopora_acuta_HIv1_PredGene_g15056.t1
OG0005864	Mcavernosa25849-RA	Pocillopora_acuta_HIv1_PredGene_21779_t, Pocillopora_acuta_HIv1_PredGene_g12602.t1
OG0005865	Mcavernosa02306-RA, Mcavernosa02305-RA	Pocillopora_acuta_HIv1_PredGene_g12576.t1
OG0005866	Mcavernosa04014-RA	Pocillopora_acuta_HIv1_PredGene_g33262.t1
OG0005867	Mcavernosa18183-RA	Pocillopora_acuta_HIv1_PredGene_26325_t, Pocillopora_acuta_HIv1_PredGene_g31412.t1, Pocillopora_acuta_HIv1_PredGene_g31411.t1
OG0005868	Mcavernosa18988-RA	Pocillopora_acuta_HIv1_PredGene_g27496.t1
OG0005869	Mcavernosa15954-RA	Pocillopora_acuta_HIv1_PredGene_g17708.t1
OG0005871	Mcavernosa03482-RA	Pocillopora_acuta_HIv1_PredGene_19451_t
OG0005872	Mcavernosa07748-RA, Mcavernosa07747-RA	Pocillopora_acuta_HIv1_PredGene_g25605.t1
OG0005873	Mcavernosa07756-RA	Pocillopora_acuta_HIv1_PredGene_7437_t, Pocillopora_acuta_HIv1_PredGene_g25595.t1
OG0005874	Mcavernosa07758-RA	Pocillopora_acuta_HIv1_PredGene_g25594.t1, Pocillopora_acuta_HIv1_PredGene_g25594.t2
OG0005875	Mcavernosa35139-RA	Pocillopora_acuta_HIv1_PredGene_g25597.t1, Pocillopora_acuta_HIv1_PredGene_g25596.t1
OG0005876	Mcavernosa32968-RA	Pocillopora_acuta_HIv1_PredGene_32211_t, Pocillopora_acuta_HIv1_PredGene_g10249.t1
OG0005877	Mcavernosa08790-RA	Pocillopora_acuta_HIv1_PredGene_g20313.t1
OG0005878	Mcavernosa26660-RA	Pocillopora_acuta_HIv1_PredGene_g26534.t1
OG0005879	Mcavernosa20746-RA	Pocillopora_acuta_HIv1_PredGene_g14173.t1, Pocillopora_acuta_HIv1_PredGene_g10768.t1, Pocillopora_acuta_HIv1_PredGene_g20604.t1
OG0005880	Mcavernosa28669-RA	Pocillopora_acuta_HIv1_PredGene_g27324.t1
OG0005881	Mcavernosa28671-RA	Pocillopora_acuta_HIv1_PredGene_g27325.t1, Pocillopora_acuta_HIv1_PredGene_g8677.t1, Pocillopora_acuta_HIv1_PredGene_g16174.t1
OG0005882	Mcavernosa28754-RA	Pocillopora_acuta_HIv1_PredGene_g24157.t1
OG0005883	Mcavernosa02783-RA, Mcavernosa02784-RA	Pocillopora_acuta_HIv1_PredGene_g2700.t1
OG0005884	Mcavernosa01913-RA, Mcavernosa01912-RA, Mcavernosa01911-RA	Pocillopora_acuta_HIv1_PredGene_g28472.t1
OG0005885	Mcavernosa13875-RA	Pocillopora_acuta_HIv1_PredGene_g19194.t1
OG0005890	Mcavernosa32408-RA	Pocillopora_acuta_HIv1_PredGene_g33491.t1
OG0005891	Mcavernosa32410-RA	Pocillopora_acuta_HIv1_PredGene_g33490.t1
OG0005892	Mcavernosa03435-RA	Pocillopora_acuta_HIv1_PredGene_g11504.t1, Pocillopora_acuta_HIv1_PredGene_10950_t, Pocillopora_acuta_HIv1_PredGene_g14535.t1
OG0005895	Mcavernosa05562-RA	Pocillopora_acuta_HIv1_PredGene_g13689.t1, Pocillopora_acuta_HIv1_PredGene_g5917.t1, Pocillopora_acuta_HIv1_PredGene_g11183.t1
OG0005896	Mcavernosa13565-RA	Pocillopora_acuta_HIv1_PredGene_g6220.t1, Pocillopora_acuta_HIv1_PredGene_27994_t
OG0005897	Mcavernosa01118-RA	Pocillopora_acuta_HIv1_PredGene_g15132.t1, Pocillopora_acuta_HIv1_PredGene_g15132.t2
OG0005898	Mcavernosa17156-RA	Pocillopora_acuta_HIv1_PredGene_g30139.t1
OG0005899	Mcavernosa05914-RA	Pocillopora_acuta_HIv1_PredGene_g17624.t1, Pocillopora_acuta_HIv1_PredGene_g17624.t2, Pocillopora_acuta_HIv1_PredGene_1844_t
OG0005900	Mcavernosa34949-RA, Mcavernosa28529-RA	Pocillopora_acuta_HIv1_PredGene_g12065.t1
OG0005901	Mcavernosa18841-RA	Pocillopora_acuta_HIv1_PredGene_g12869.t1, Pocillopora_acuta_HIv1_PredGene_g12868.t1
OG0005902	Mcavernosa34374-RA, Mcavernosa34375-RA	Pocillopora_acuta_HIv1_PredGene_g12884.t1
OG0005903	Mcavernosa07266-RA	Pocillopora_acuta_HIv1_PredGene_27484_t, Pocillopora_acuta_HIv1_PredGene_31225_t
OG0005904	Mcavernosa26123-RA	Pocillopora_acuta_HIv1_PredGene_g18790.t1
OG0005905	Mcavernosa15726-RA, Mcavernosa15725-RA	Pocillopora_acuta_HIv1_PredGene_g18792.t1
OG0005906	Mcavernosa35008-RA	Pocillopora_acuta_HIv1_PredGene_281_t, Pocillopora_acuta_HIv1_PredGene_g7286.t1
OG0005907	Mcavernosa00708-RA	Pocillopora_acuta_HIv1_PredGene_5018_t
OG0005907	Mcavernosa00717-RA	Pocillopora_acuta_HIv1_PredGene_g23446.t1
OG0005908	Mcavernosa32543-RA, Mcavernosa14519-RA	Pocillopora_acuta_HIv1_PredGene_g16611.t1
OG0005909	Mcavernosa14522-RA, Mcavernosa14523-RA	Pocillopora_acuta_HIv1_PredGene_g16608.t1
OG0005910	Mcavernosa30839-RA	Pocillopora_acuta_HIv1_PredGene_g8222.t1
OG0005911	Mcavernosa30843-RA	Pocillopora_acuta_HIv1_PredGene_937_t, Pocillopora_acuta_HIv1_PredGene_g8218.t1
OG0005912	Mcavernosa21800-RA	Pocillopora_acuta_HIv1_PredGene_g8231.t1
OG0005913	Mcavernosa21804-RA	Pocillopora_acuta_HIv1_PredGene_g8233.t1
OG0005914	Mcavernosa06612-RA	Pocillopora_acuta_HIv1_PredGene_g16939.t1, Pocillopora_acuta_HIv1_PredGene_g14734.t1
OG0005916	Mcavernosa06597-RA	Pocillopora_acuta_HIv1_PredGene_g16947.t1
OG0005917	Mcavernosa14412-RA	Pocillopora_acuta_HIv1_PredGene_g16292.t1
OG0005918	Mcavernosa16975-RA	Pocillopora_acuta_HIv1_PredGene_g19067.t1
OG0005919	Mcavernosa31080-RA	Pocillopora_acuta_HIv1_PredGene_g3505.t1
OG0005920	Mcavernosa31077-RA	Pocillopora_acuta_HIv1_PredGene_g3508.t1
OG0005921	Mcavernosa31070-RA	Pocillopora_acuta_HIv1_PredGene_g12773.t1, Pocillopora_acuta_HIv1_PredGene_g6228.t1, Pocillopora_acuta_HIv1_PredGene_g3513.t1
OG0005922	Mcavernosa32832-RA	Pocillopora_acuta_HIv1_PredGene_10140_t
OG0005923	Mcavernosa10742-RA	Pocillopora_acuta_HIv1_PredGene_g14500.t1
OG0005925	Mcavernosa16178-RA	Pocillopora_acuta_HIv1_PredGene_g4960.t1
OG0005926	Mcavernosa23991-RA	Pocillopora_acuta_HIv1_PredGene_17306_t, Pocillopora_acuta_HIv1_PredGene_g11059.t1, Pocillopora_acuta_HIv1_PredGene_g4971.t1
OG0005927	Mcavernosa13623-RA	Pocillopora_acuta_HIv1_PredGene_g12987.t1
OG0005928	Mcavernosa20252-RA	Pocillopora_acuta_HIv1_PredGene_g1951.t1
OG0005929	Mcavernosa04282-RA, Mcavernosa04279-RA	Pocillopora_acuta_HIv1_PredGene_g32670.t1
OG0005930	Mcavernosa16412-RA	Pocillopora_acuta_HIv1_PredGene_g7809.t1
OG0005931	Mcavernosa00098-RA, Mcavernosa00097-RA	Pocillopora_acuta_HIv1_PredGene_1031_t, Pocillopora_acuta_HIv1_PredGene_g8311.t1
OG0005932	Mcavernosa05207-RA, Mcavernosa05205-RA, Mcavernosa05204-RA	Pocillopora_acuta_HIv1_PredGene_g12445.t1, Pocillopora_acuta_HIv1_PredGene_24551_t
OG0005933	Mcavernosa05201-RA	Pocillopora_acuta_HIv1_PredGene_g12443.t1
OG0005934	Mcavernosa30278-RA	Pocillopora_acuta_HIv1_PredGene_12768_t, Pocillopora_acuta_HIv1_PredGene_g25031.t1
OG0005935	Mcavernosa33551-RA	Pocillopora_acuta_HIv1_PredGene_g6291.t1
OG0005936	Mcavernosa30277-RA	Pocillopora_acuta_HIv1_PredGene_g25032.t1, Pocillopora_acuta_HIv1_PredGene_12769_t
OG0005937	Mcavernosa15683-RA, Mcavernosa26289-RA	Pocillopora_acuta_HIv1_PredGene_g12752.t1, Pocillopora_acuta_HIv1_PredGene_g18050.t1
OG0005938	Mcavernosa18913-RA	Pocillopora_acuta_HIv1_PredGene_g12747.t1, Pocillopora_acuta_HIv1_PredGene_8094_t, Pocillopora_acuta_HIv1_PredGene_g18054.t1
OG0005939	Mcavernosa27048-RA, Mcavernosa27046-RA	Pocillopora_acuta_HIv1_PredGene_g18193.t1
OG0005941	Mcavernosa00581-RA	Pocillopora_acuta_HIv1_PredGene_g13899.t1, Pocillopora_acuta_HIv1_PredGene_g14324.t1
OG0005942	Mcavernosa00593-RA	Pocillopora_acuta_HIv1_PredGene_g13882.t1, Pocillopora_acuta_HIv1_PredGene_g14348.t1
OG0005943	Mcavernosa00590-RA	Pocillopora_acuta_HIv1_PredGene_g14344.t1, Pocillopora_acuta_HIv1_PredGene_g13885.t1, Pocillopora_acuta_HIv1_PredGene_g14345.t1
OG0005944	Mcavernosa30075-RA	Pocillopora_acuta_HIv1_PredGene_g24779.t1
OG0005946	Mcavernosa18622-RA	Pocillopora_acuta_HIv1_PredGene_g22374.t1, Pocillopora_acuta_HIv1_PredGene_g22373.t1
OG0005947	Mcavernosa33571-RA	Pocillopora_acuta_HIv1_PredGene_g11607.t1, Pocillopora_acuta_HIv1_PredGene_g11607.t2, Pocillopora_acuta_HIv1_PredGene_g11607.t3
OG0005948	Mcavernosa25739-RA	Pocillopora_acuta_HIv1_PredGene_g11341.t1
OG0005949	Mcavernosa17732-RA	Pocillopora_acuta_HIv1_PredGene_g7652.t1
OG0005950	Mcavernosa10467-RA, Mcavernosa10469-RA	Pocillopora_acuta_HIv1_PredGene_g10213.t1, Pocillopora_acuta_HIv1_PredGene_14826_t
OG0005951	Mcavernosa10472-RA	Pocillopora_acuta_HIv1_PredGene_14825_t, Pocillopora_acuta_HIv1_PredGene_g10212.t1
OG0005952	Mcavernosa00676-RA	Pocillopora_acuta_HIv1_PredGene_g17938.t1
OG0005953	Mcavernosa14481-RA, Mcavernosa14482-RA	Pocillopora_acuta_HIv1_PredGene_g27919.t1
OG0005954	Mcavernosa17683-RA	Pocillopora_acuta_HIv1_PredGene_g27906.t1
OG0005955	Mcavernosa32312-RA	Pocillopora_acuta_HIv1_PredGene_g22099.t1
OG0005956	Mcavernosa31588-RA, Mcavernosa31587-RA	Pocillopora_acuta_HIv1_PredGene_g7292.t1
OG0005957	Mcavernosa20133-RA	Pocillopora_acuta_HIv1_PredGene_19548_t, Pocillopora_acuta_HIv1_PredGene_g4322.t1, Pocillopora_acuta_HIv1_PredGene_g4322.t2
OG0005958	Mcavernosa13675-RA	Pocillopora_acuta_HIv1_PredGene_g3312.t1
OG0005960	Mcavernosa01249-RA	Pocillopora_acuta_HIv1_PredGene_g9590.t1, Pocillopora_acuta_HIv1_PredGene_g20790.t1
OG0005961	Mcavernosa19051-RA	Pocillopora_acuta_HIv1_PredGene_g29289.t1
OG0005962	Mcavernosa16784-RA	Pocillopora_acuta_HIv1_PredGene_g20645.t1
OG0005963	Mcavernosa00799-RA	Pocillopora_acuta_HIv1_PredGene_g13124.t1
