"","5_2","10_2","13_2","14_2","15_2","16_2","19_2","20_2","40_2","45_2","48_2"
"Montipora_capitata_PredGene_adi2mcaRNA4923_R2",8,647,76,103,325,693,544,299,546,18,867
"Montipora_capitata_PredGene_g44936",9,15,8,9,13,16,15,25,26,9,26
"Montipora_capitata_PredGene_g41469",357,242,319,280,153,189,240,189,202,160,263
"Montipora_capitata_PredGene_g43717",155,197,168,200,124,208,158,185,201,63,264
"Montipora_capitata_PredGene_g56247",582,195,835,836,126,197,204,153,206,911,260
"Montipora_capitata_PredGene_g64596",7775,2041,6465,9255,1481,2244,2320,1699,2706,7127,3158
"Montipora_capitata_PredGene_g26775",24,29,13,25,11,32,21,38,29,9,27
"Montipora_capitata_PredGene_adi2mcaRNA34317_R1",66,70,58,77,37,48,68,50,48,37,72
"Montipora_capitata_PredGene_adi2mcaRNA13127_R1",7,32,10,12,18,25,15,23,28,0,30
"Montipora_capitata_PredGene_adi2mcaRNA39968_R0",294,183,281,276,134,196,154,166,227,137,240
"Montipora_capitata_PredGene_g15708",1937,507,1754,2159,446,618,592,407,622,1435,616
"Montipora_capitata_PredGene_g31904",1069,232,740,1203,185,229,325,198,206,389,212
"Montipora_capitata_PredGene_g43721",172,13,346,281,6,11,9,7,9,188,14
"Montipora_capitata_PredGene_g61994",480,105,413,563,83,146,123,99,142,391,151
"Montipora_capitata_PredGene_g45560",117,88,142,147,76,95,66,87,113,70,119
"Montipora_capitata_PredGene_g22617",610,149,520,625,92,132,137,82,141,352,144
"Montipora_capitata_PredGene_g32259",19,40,32,9,25,17,21,24,29,0,37
"Montipora_capitata_PredGene_g52059",19,29,25,32,18,27,29,58,58,26,42
"Montipora_capitata_PredGene_g59067",543,745,744,669,364,413,252,549,524,336,620
"Montipora_capitata_PredGene_g43418",410,84,324,349,78,143,90,76,121,240,144
