gene_id,10_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,13_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,14_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,15_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,16_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,19_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,20_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,40_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,45_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,48_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,5_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf
Montipora_capitata_PredGene_g64094,168,303,435,119,168,94,91,179,252,202,341
Montipora_capitata_PredGene_g64097,230,259,268,61,102,162,125,79,279,263,200
Montipora_capitata_PredGene_g64096,199,397,361,100,143,125,105,145,222,257,191
Montipora_capitata_PredGene_g64091,4,20,103,23,53,45,33,60,72,9,71
Montipora_capitata_PredGene_g64090,71,160,155,37,54,40,58,57,138,89,141
Montipora_capitata_PredGene_g64093,78,173,159,46,70,65,73,95,276,125,221
Montipora_capitata_PredGene_g67219,327,361,363,3,97,179,3,5,264,355,0
Montipora_capitata_PredGene_g13328,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_adi2mcaRNA30541_R3,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_adi2mcaRNA30541_R2,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g14118,0,2,1,0,0,0,1,0,0,1,2
Montipora_capitata_PredGene_g14117,0,0,1,1,1,1,1,1,1,1,2
Montipora_capitata_PredGene_g14116,7,19,64,7,15,10,5,9,14,8,20
Montipora_capitata_PredGene_g14115,7,18,35,3,10,9,5,9,26,12,24
Montipora_capitata_PredGene_g13322,0,0,1,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g14113,24,33,88,11,17,23,12,21,44,32,29
Montipora_capitata_PredGene_g14112,8,9,13,4,7,4,3,2,11,10,6
Montipora_capitata_PredGene_g14110,2,1,0,3,1,1,2,0,8,5,0
Montipora_capitata_PredGene_g46263,0,0,0,0,0,0,0,0,1,0,0
Montipora_capitata_PredGene_g64547,1,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g64546,0,0,0,0,0,0,0,0,0,1,0
Montipora_capitata_PredGene_g64545,1,0,0,0,0,0,0,0,0,2,0
Montipora_capitata_PredGene_g64544,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g64543,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g64542,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g32437,1,3,0,1,0,1,0,1,0,1,0
Montipora_capitata_PredGene_g64540,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g64549,0,0,0,0,1,0,0,0,0,0,0
Montipora_capitata_PredGene_g64548,1,0,0,0,0,1,0,0,0,1,0
Montipora_capitata_PredGene_g23616,0,4,3,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_adi2mcaRNA29409_R0,286,756,1025,204,385,378,319,403,439,280,620
Montipora_capitata_PredGene_g16203,6,7,19,3,5,6,2,2,4,4,5
Montipora_capitata_PredGene_g8850,0,0,0,0,0,0,0,0,3,0,0
Montipora_capitata_PredGene_g1705,0,0,0,0,1,0,0,0,0,0,0
Montipora_capitata_PredGene_adi2mcaRNA14205_R5,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g53949,454,1201,1409,324,524,469,385,461,1035,547,1130
Montipora_capitata_PredGene_g53948,199,403,362,143,188,168,300,230,216,213,690
Montipora_capitata_PredGene_g39237,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g53945,183,471,637,169,227,226,137,248,490,295,419
Montipora_capitata_PredGene_g53947,38,64,70,29,25,29,29,44,42,40,52
Montipora_capitata_PredGene_g8855,66,122,182,46,74,64,44,85,88,74,105
Montipora_capitata_PredGene_g20981,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g3561,2,6,0,0,0,0,0,0,0,3,0
Montipora_capitata_PredGene_g34,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g20980,4,9,15,17,11,7,27,30,53,4,69
Montipora_capitata_PredGene_g8859,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g39239,1,0,1,1,0,0,0,0,0,0,5
Montipora_capitata_PredGene_adi2mcaRNA25756_R1,8,11,13,4,10,6,3,7,9,9,11
Montipora_capitata_PredGene_adi2mcaRNA13405_R4,4,5,3,0,0,2,0,0,0,1,0
Montipora_capitata_PredGene_g61689,6,11,11,6,4,0,4,14,8,0,4
Montipora_capitata_PredGene_g61688,108,128,257,90,110,71,99,137,115,103,151
Montipora_capitata_PredGene_g61686,230,290,480,131,201,166,128,157,211,214,259
Montipora_capitata_PredGene_g61685,18,44,188,49,82,85,48,88,160,27,126
Montipora_capitata_PredGene_g61683,0,0,1,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g61682,0,0,0,1,1,1,1,0,0,0,0
Montipora_capitata_PredGene_g61681,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g61680,1,1,2,1,1,1,1,1,2,1,1
Montipora_capitata_PredGene_adi2mcaRNA22237_R0,84,219,119,65,70,55,82,109,97,119,238
Montipora_capitata_PredGene_g54279,237,330,437,169,230,145,157,204,146,241,404
Montipora_capitata_PredGene_g24047,46,83,119,25,48,65,31,58,131,46,111
Montipora_capitata_PredGene_adi2mcaRNA13405_R1,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g22169,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g22168,8,21,10,2,6,6,12,8,2,4,25
Montipora_capitata_PredGene_g22167,5,9,3,2,6,4,4,4,0,5,14
Montipora_capitata_PredGene_g15245,3,4,12,11,2,9,13,15,5,4,62
Montipora_capitata_PredGene_g22165,27,68,40,4,21,15,7,11,33,29,17
Montipora_capitata_PredGene_g15852,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g15240,5,3,10,2,0,3,6,6,6,5,8
Montipora_capitata_PredGene_g15242,0,0,0,0,4,0,3,0,8,4,4
Montipora_capitata_PredGene_g58853,1,1,0,1,0,0,1,1,0,1,0
Montipora_capitata_PredGene_g11895,1,1,12,4,2,2,4,6,13,1,25
Montipora_capitata_PredGene_g11897,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g11896,20,71,120,23,46,49,36,47,102,16,47
Montipora_capitata_PredGene_g11891,44,129,36,5,18,20,12,7,5,51,18
Montipora_capitata_PredGene_g11892,28,62,11,3,12,16,9,6,3,30,6
Montipora_capitata_PredGene_g36852,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_adi2mcaRNA18407_R9,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g11899,8,32,34,2,13,11,7,7,6,14,19
Montipora_capitata_PredGene_g11898,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g63014,1,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g63015,0,0,0,0,0,0,0,0,0,0,1
Montipora_capitata_PredGene_g63016,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g63010,0,0,0,0,0,0,0,0,0,0,5
Montipora_capitata_PredGene_g63011,0,0,0,0,0,0,6,0,0,0,9
Montipora_capitata_PredGene_g63012,0,0,3,0,0,0,0,5,0,0,16
Montipora_capitata_PredGene_g63013,0,0,0,0,0,1,0,0,0,0,1
Montipora_capitata_PredGene_g69070,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g69073,53,198,410,83,139,126,74,120,271,97,250
Montipora_capitata_PredGene_g69074,161,432,706,215,187,176,202,276,382,190,904
Montipora_capitata_PredGene_g69075,3,10,14,1,5,1,0,1,0,4,8
Montipora_capitata_PredGene_g10140,78,105,146,38,61,49,77,63,78,83,140
Montipora_capitata_PredGene_g10141,76,200,208,52,98,60,201,113,116,105,271
Montipora_capitata_PredGene_g10142,0,0,11,2,4,6,0,2,0,0,15
Montipora_capitata_PredGene_g10144,18,28,31,13,17,11,14,24,19,20,36
Montipora_capitata_PredGene_g10146,0,3,3,1,0,0,0,1,0,2,3
Montipora_capitata_PredGene_g10147,2,4,3,1,2,1,1,2,0,2,3
Montipora_capitata_PredGene_g10148,0,0,0,1,0,0,2,3,0,0,6
Montipora_capitata_PredGene_g24215,1,0,0,1,1,0,0,1,0,2,2
Montipora_capitata_PredGene_g62797,0,0,0,4,5,0,0,8,0,0,4
Montipora_capitata_PredGene_g58858,73,207,206,84,106,95,92,122,116,115,238
Montipora_capitata_PredGene_g62114,1,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g69327,25,67,105,0,27,0,0,0,88,26,61
Montipora_capitata_PredGene_g62790,212,277,346,119,155,121,123,147,149,214,189
Montipora_capitata_PredGene_g58859,1522,3874,7381,1505,2229,2032,1372,2327,5179,2281,4354
Montipora_capitata_PredGene_adi2mcaRNA32118_R5,0,0,0,0,1,1,0,0,0,1,0
Montipora_capitata_PredGene_g62791,91,183,220,65,88,58,79,91,135,121,165
Montipora_capitata_PredGene_g52397,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g52396,0,0,0,0,0,0,1,0,0,0,0
Montipora_capitata_PredGene_g52395,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g52394,0,0,0,0,0,1,0,0,0,0,0
Montipora_capitata_PredGene_g52393,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g24211,73,109,27,39,44,30,52,53,25,67,100
Montipora_capitata_PredGene_g52391,4,6,5,2,3,0,2,0,4,5,3
Montipora_capitata_PredGene_g24210,2,1,0,1,1,1,1,1,3,1,0
Montipora_capitata_PredGene_g52399,0,0,0,0,0,0,1,0,0,0,0
Montipora_capitata_PredGene_g52398,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g36263,1,0,0,1,0,0,0,2,0,2,0
Montipora_capitata_PredGene_g68309,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g68308,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g68301,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g62798,27,60,72,15,30,25,56,40,44,29,105
Montipora_capitata_PredGene_g68303,1,0,0,0,1,0,1,0,0,0,1
Montipora_capitata_PredGene_g68302,1,2,1,0,1,1,2,1,5,1,3
Montipora_capitata_PredGene_adi2mcaRNA36639_R7,0,0,2,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g68304,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g68307,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g68306,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g57912,0,0,0,0,0,0,1,0,0,0,0
Montipora_capitata_PredGene_adi2mcaRNA7643_R0,838,2029,1434,361,448,521,380,565,1109,792,1239
Montipora_capitata_PredGene_g57910,0,0,2,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_adi2mcaRNA7643_R2,295,755,687,194,239,234,281,290,416,366,619
Montipora_capitata_PredGene_g57916,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g57914,0,0,0,0,1,1,1,1,0,1,0
Montipora_capitata_PredGene_g57915,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g57918,0,0,0,0,0,0,1,0,0,0,0
Montipora_capitata_PredGene_adi2mcaRNA29995_R9,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g13121,61,155,144,53,75,60,58,76,72,91,185
Montipora_capitata_PredGene_g23414,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_adi2mcaRNA22300_R3,6,22,19,6,7,7,7,9,21,8,37
Montipora_capitata_PredGene_g4437,64,107,49,12,33,19,30,22,67,73,53
Montipora_capitata_PredGene_adi2mcaRNA22300_R8,2,1,1,1,1,2,2,2,1,2,4
Montipora_capitata_PredGene_g23416,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g11231,14,51,30,10,5,13,12,17,35,19,37
Montipora_capitata_PredGene_g11233,62,103,129,54,78,52,64,80,93,57,117
Montipora_capitata_PredGene_g4435,2,4,1,3,1,1,5,3,2,2,14
Montipora_capitata_PredGene_g11235,4,20,9,2,3,3,4,5,7,8,9
Montipora_capitata_PredGene_g62650,489,1272,671,330,400,307,456,438,268,616,1162
Montipora_capitata_PredGene_g11237,47,50,78,18,28,12,22,16,27,36,45
Montipora_capitata_PredGene_g62652,1,7,0,1,0,0,4,1,6,6,1
Montipora_capitata_PredGene_g11239,266,583,544,139,268,173,217,273,299,351,501
Montipora_capitata_PredGene_g11238,156,436,436,121,177,157,173,215,284,181,514
Montipora_capitata_PredGene_g62659,392,569,1885,186,454,1030,192,217,474,495,286
Montipora_capitata_PredGene_g71447,25,56,92,23,22,42,18,24,148,31,50
Montipora_capitata_PredGene_g70559,3,14,5,4,4,2,3,4,4,4,8
Montipora_capitata_PredGene_g70558,74,123,253,99,118,70,84,121,72,76,221
Montipora_capitata_PredGene_g63558,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g70551,56,131,208,45,65,52,71,84,96,64,245
Montipora_capitata_PredGene_g70550,168,218,345,99,134,103,154,194,156,170,250
Montipora_capitata_PredGene_adi2mcaRNA11453_R0,192,311,352,174,124,108,183,203,214,176,464
Montipora_capitata_PredGene_g70552,6,13,26,7,7,8,10,6,0,9,9
Montipora_capitata_PredGene_g70555,0,2,0,0,1,1,1,1,0,0,9
Montipora_capitata_PredGene_g70554,1,2,3,1,1,0,1,0,1,1,3
Montipora_capitata_PredGene_g70557,37,116,92,21,29,34,22,41,76,73,102
Montipora_capitata_PredGene_adi2mcaRNA295_R1,44,143,166,53,67,48,39,75,70,70,98
Montipora_capitata_PredGene_g28910,314,484,648,217,234,174,254,286,370,283,713
Montipora_capitata_PredGene_g28911,17,54,36,24,20,17,19,27,63,21,43
Montipora_capitata_PredGene_g28914,8,23,36,8,11,9,12,16,13,16,28
