"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","20_T12_Mc_PWC","21_T33_Mc_EOU","22_ctl2_Mc_TWF_1","28_ctl1_Mc_GBM_1","29_T23_Mc_PND","33_T43_Mc_RFV","34_T22_Mc_SVS","39_T13_Mc_FJE","42_ctl3_Mc_MGR_1","46_T41_Mc_QYH_1","49_T31_Mc_SWQ","55_T32_Mc_TWP","56_T42_Mc_JAW","58_T21_Mc_EAH","61_T11_Mc_RAP"
"Mcavernosa13780",158.344821589914,-3.34992443513918,0.788495455977581,-4.24850189020548,2.15204831373968e-05,0.0117015287876646,"CvsT2",84,87,32,102,801,81,113,91,125,47,102,56,121,103,40
"Mcavernosa03628",40.7448605394761,-3.23193833416467,0.794220580297352,-4.06932080877915,4.71503870441799e-05,0.0190213787217585,"CvsT2",34,28,8,24,13,18,15,115,9,29,16,19,17,176,64
"Mcavernosa26093",62.8032387982434,-2.07888267123407,0.43310809841235,-4.79991641545069,1.58731864360719e-06,0.00141963360563987,"CvsT2",78,53,24,53,65,88,52,81,31,13,63,87,60,82,64
"Mcavernosa24709",328.905102243987,-2.0685228159768,0.489967052949055,-4.22175900099118,2.42403208538774e-05,0.0126312271916079,"CvsT2",422,347,137,206,310,521,219,320,124,60,560,390,281,353,368
"Mcavernosa07006",41.0754131452848,-2.89996433474489,0.60420004507801,-4.79967580004148,1.58922680944812e-06,0.00141963360563987,"CvsT2",37,40,6,31,25,64,49,33,7,11,31,110,27,57,56
"Mcavernosa02968",92.2075788241777,-2.38583104868871,0.624115958228142,-3.82273681234183,0.000131978625964294,0.0402566999099869,"CvsT2",38,69,45,111,197,81,69,76,59,18,109,32,82,228,90
"Mcavernosa15503",41.6698066266137,-1.84784172095552,0.478265040559637,-3.86363535748564,0.000111711944696114,0.0367649889570948,"CvsT2",54,46,13,28,18,57,39,23,36,15,49,64,42,78,45
"Mcavernosa18273",285.445739358436,1.02497753920841,0.257850352975805,3.97508681830112,7.03535868166623e-05,0.0261073003350014,"CvsT2",331,216,573,874,112,400,135,137,596,280,278,330,176,222,221
"Mcavernosa11839",3062.58193234697,-0.665926975948865,0.159159774723495,-4.18401557243824,2.86404478696488e-05,0.0134433890569687,"CvsT2",3382,2263,2683,6319,2526,3300,2411,2986,4458,2242,2207,3191,2109,4740,3084
"Mcavernosa01732",117.065837293015,-1.79467512055639,0.434206366913683,-4.13323077990045,3.57699234252456e-05,0.0154254711157283,"CvsT2",152,136,55,107,131,89,99,119,104,61,86,60,146,195,122
"Mcavernosa00103",110.750866859731,1.07328728050644,0.275390055312675,3.89733492477731,9.72570722403794e-05,0.0337860262621718,"CvsT2",113,92,165,357,32,129,52,59,282,97,144,111,95,93,77
"Mcavernosa20093",234.587699043712,-0.762978101665355,0.19204156918151,-3.972984104,7.09777875731686e-05,0.0261073003350014,"CvsT2",275,194,183,412,199,276,172,182,338,171,168,249,221,353,224
"Mcavernosa25968",232.260005974569,-3.39498917816878,0.698041113985338,-4.86359486590368,1.15272737863512e-06,0.00120133404976757,"CvsT2",309,88,48,188,951,96,148,153,119,68,52,95,294,337,123
"Mcavernosa33068",45.8613326535666,-1.04686477194717,0.262721651694969,-3.98469165062429,6.75678061478118e-05,0.0261073003350014,"CvsT2",55,37,34,90,39,48,38,46,39,23,41,63,37,71,41
"Mcavernosa30571",48.8311865525838,3.29257335410616,0.586079945157256,5.61795942910605,1.93225854344396e-08,3.45211790633002e-05,"CvsT2",8,10,112,405,16,31,8,3,509,22,6,15,8,24,12
"Mcavernosa30570",54.0972095167914,3.41965168876641,0.554761631324963,6.16418204806108,7.08483979263803e-10,4.43015032233656e-06,"CvsT2",12,12,127,404,14,26,8,11,558,32,10,16,10,26,17
"Mcavernosa33020",38.5420593930585,-1.43102941673385,0.345989549654756,-4.13604809209354,3.53338170459159e-05,0.0154254711157283,"CvsT2",61,38,26,39,46,46,24,36,35,15,33,49,29,54,36
"Mcavernosa03157",267.071903947794,-2.30668169799512,0.549281470708991,-4.1994529599146,2.67560606103e-05,0.0133844517596965,"CvsT2",274,139,152,300,731,246,155,401,120,120,145,206,160,231,294
"Mcavernosa02761",525.885378928909,-1.998289011645,0.464129908422391,-4.30545193357031,1.66645172954719e-05,0.00992411682367483,"CvsT2",726,414,216,594,879,733,318,373,346,132,415,632,490,746,620
"Mcavernosa10311",461.0292515652,-0.590039990950675,0.141124343011612,-4.18099371348092,2.90237889443592e-05,0.0134433890569687,"CvsT2",493,327,506,1072,415,456,394,402,563,319,344,473,407,604,444
"Mcavernosa08717",67.921375309079,-1.43965390950083,0.314293683985942,-4.58060082927161,4.63642020612397e-06,0.00362394194361165,"CvsT2",109,63,46,77,54,84,55,65,50,22,64,78,63,109,67
"Mcavernosa21617",125.754932676442,1.01804484438601,0.266038832809092,3.82667760806393,0.000129884444462228,0.0402566999099869,"CvsT2",120,85,227,409,44,164,60,88,249,150,115,158,77,96,99
"Mcavernosa18547",136.669690118324,-2.18273818988454,0.424178072908575,-5.14580627640079,2.66374206931727e-07,0.000320484810024745,"CvsT2",212,94,49,73,46,186,124,101,44,91,238,183,176,189,125
"Mcavernosa12043",656.156600845764,-1.84577800758567,0.359438643961956,-5.13516851510555,2.81891324985782e-07,0.000320484810024745,"CvsT2",1191,530,305,624,513,762,622,804,327,264,432,909,810,845,540
"Mcavernosa16456",59.1886745752613,-1.4993229588615,0.378217225494184,-3.96418475362265,7.36471995763008e-05,0.0263151965114634,"CvsT2",67,32,38,119,125,40,72,36,82,33,33,57,41,76,35
"Mcavernosa01252",60.0532481930039,-2.69199768260755,0.515444491839361,-5.22267232500859,1.76359305833258e-07,0.000245061053194524,"CvsT2",90,28,23,63,81,21,80,103,32,14,19,20,57,182,46
"Mcavernosa02620",23.0144418151112,-2.78278202251954,0.610643264838072,-4.55713209783369,5.18568125824459e-06,0.00381483116562393,"CvsT2",29,24,5,25,44,25,18,22,3,25,10,24,20,22,18
"Mcavernosa02621",43.7846153695325,-4.29135985059578,0.949815484700978,-4.51809843039861,6.23974779549939e-06,0.00433523810725085,"CvsT2",69,42,0,31,108,62,27,26,0,15,35,47,45,52,32
"Mcavernosa14558",149.195413567758,-1.02900269275951,0.219041739249026,-4.69774708823715,2.63046868382246e-06,0.00219310942399224,"CvsT2",206,111,104,231,112,205,113,103,144,92,169,183,145,217,129
"Mcavernosa13241",262.173515554721,-1.78398250346377,0.312431209608584,-5.71000094932498,1.12975543333136e-08,2.40631921188122e-05,"CvsT2",444,216,156,317,221,299,290,141,189,152,249,228,263,539,177
"Mcavernosa02339",129.019574017764,1.07151713337485,0.262199641296615,4.08664606891161,4.37653985972969e-05,0.0182443358285932,"CvsT2",159,84,190,578,44,148,65,81,358,85,89,148,94,132,105
"Mcavernosa13828",328.171089224896,0.734092126392458,0.189253198995466,3.87888886575728,0.000104934678027516,0.0354679211733003,"CvsT2",399,226,507,1079,154,398,184,185,689,280,314,373,237,271,303
"Mcavernosa25973",229.292654240467,-2.71939910825278,0.518128056310425,-5.24850772918482,1.53336208480672e-07,0.00023970282790741,"CvsT2",360,72,97,262,665,122,227,206,122,79,60,81,281,374,167
