"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","20_T12_Mc_PWC","21_T33_Mc_EOU","22_ctl2_Mc_TWF_1","28_ctl1_Mc_GBM_1","29_T23_Mc_PND","33_T43_Mc_RFV","34_T22_Mc_SVS","39_T13_Mc_FJE","42_ctl3_Mc_MGR_1","46_T41_Mc_QYH_1","49_T31_Mc_SWQ","55_T32_Mc_TWP","56_T42_Mc_JAW","58_T21_Mc_EAH","61_T11_Mc_RAP"
"Mcavernosa24709",328.905102243987,-2.55560671649893,0.489115330101454,-5.22495730397335,1.74195299830923e-07,0.000246892804960362,"CvsT3",422,347,137,206,310,521,219,320,124,60,560,390,281,353,368
"Mcavernosa07006",41.0754131452848,-3.20946839969548,0.600703925494864,-5.34284572395877,9.14986342017192e-08,0.000145894572234641,"CvsT3",37,40,6,31,25,64,49,33,7,11,31,110,27,57,56
"Mcavernosa13956",41.1807778506932,3.29854858766793,0.833340602612582,3.95822377708075,7.55091980855588e-05,0.0401331387824745,"CvsT3",7,8,135,167,11,21,0,14,363,34,8,20,34,43,5
"Mcavernosa15503",41.6698066266137,-2.09934597043751,0.474278350051742,-4.42640059409939,9.58185075676447e-06,0.00814840588355251,"CvsT3",54,46,13,28,18,57,39,23,36,15,49,64,42,78,45
"Mcavernosa29012",244.617249293395,-1.17065910941312,0.282911843152839,-4.13789361508167,3.50508811742102e-05,0.019439523489488,"CvsT3",334,215,201,411,99,286,197,196,211,157,346,291,261,280,220
"Mcavernosa30571",48.8311865525838,3.97506730396992,0.605057226848627,6.56973774972264,5.04039553707136e-11,1.60738213677206e-07,"CvsT3",8,10,112,405,16,31,8,3,509,22,6,15,8,24,12
"Mcavernosa30570",54.0972095167914,3.77075515097059,0.562532124761953,6.70318188950768,2.0392936011428e-11,8.6710763920592e-08,"CvsT3",12,12,127,404,14,26,8,11,558,32,10,16,10,26,17
"Mcavernosa08717",67.921375309079,-1.32386166753244,0.314379182332167,-4.21103476926049,2.54203614104399e-05,0.0162131065075786,"CvsT3",109,63,46,77,54,84,55,65,50,22,64,78,63,109,67
"Mcavernosa18547",136.669690118324,-2.68666737986224,0.421568033905823,-6.37303392045716,1.85324874966424e-10,4.72800821014342e-07,"CvsT3",212,94,49,73,46,186,124,101,44,91,238,183,176,189,125
"Mcavernosa12043",656.156600845764,-1.65071820238897,0.359523489835604,-4.59140570521213,4.40270549971698e-06,0.0040114936681707,"CvsT3",1191,530,305,624,513,762,622,804,327,264,432,909,810,845,540
"Mcavernosa00001",21.2376153269723,3.05316945190261,0.712480265583676,4.28526879885072,1.82518373462487e-05,0.0140070393688954,"CvsT3",14,10,76,83,9,19,8,9,136,3,0,8,11,31,13
"Mcavernosa13005",53.9311192005941,1.24001173319722,0.291394177728997,4.25544443908026,2.08634170593456e-05,0.0140070393688954,"CvsT3",70,23,117,209,52,40,45,42,130,16,30,39,36,51,50
"Mcavernosa09510",62.576188560493,-1.08736157483386,0.278917169846064,-3.89851071353541,9.67861193461543e-05,0.047484759168444,"CvsT3",81,47,41,97,41,65,44,62,81,35,84,89,61,66,55
"Mcavernosa14558",149.195413567758,-1.05065034770539,0.218054926622863,-4.81828300776041,1.44798887581662e-06,0.00153921217499306,"CvsT3",206,111,104,231,112,205,113,103,144,92,169,183,145,217,129
"Mcavernosa15302",426.232262646165,-5.34480804303799,1.28164739565527,-4.17026403764143,3.0424693106722e-05,0.0176407902395157,"CvsT3",74,2302,16,139,4,89,436,411,30,91,123,108,434,546,453
"Mcavernosa18489",18.3986087081639,-2.21705037558269,0.520136386142232,-4.2624404572543,2.02206387283183e-05,0.0140070393688954,"CvsT3",23,15,6,21,5,24,13,22,9,6,33,27,20,26,19
