"","gene_id","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","length","X20_T12_Mc_PWC","X21_T33_Mc_EOU","X22_ctl2_Mc_TWF_1","X28_ctl1_Mc_GBM_1","X29_T23_Mc_PND","X33_T43_Mc_RFV","X34_T22_Mc_SVS","X39_T13_Mc_FJE","X42_ctl3_Mc_MGR_1","X46_T41_Mc_QYH_1","X49_T31_Mc_SWQ","X55_T32_Mc_TWP","X56_T42_Mc_JAW","X58_T21_Mc_EAH","X61_T11_Mc_RAP","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare"
"278","Mcavernosa18547","GO:0030027",0.0385527288691505,0.996324313393577,2,65,"lamellipodium","CC",2125,212,94,49,73,46,186,124,101,44,91,238,183,176,189,125,136.669690118324,-2.68666737986224,0.421568033905823,-6.37303392045716,1.85324874966424e-10,4.72800821014342e-07,"CvsT3"
"288","Mcavernosa21617","GO:0043226",0.0255123079804608,0.998062737522963,2,52,"organelle","CC",420,120,85,227,409,44,164,60,88,249,150,115,158,77,96,99,125.754932676442,1.01804484438601,0.266038832809092,3.82667760806393,0.000129884444462228,0.0402566999099869,"CvsT2"
"290","Mcavernosa21617","GO:0005912",0.0103029735867807,0.999522733805333,2,33,"adherens junction","CC",420,120,85,227,409,44,164,60,88,249,150,115,158,77,96,99,125.754932676442,1.01804484438601,0.266038832809092,3.82667760806393,0.000129884444462228,0.0402566999099869,"CvsT2"
"344","Mcavernosa25973","GO:0009897",0.0294539516678126,0.997581050894306,2,55,"external side of plasma membrane","CC",1008,360,72,97,262,665,122,227,206,122,79,60,81,281,374,167,229.292654240467,-2.71939910825278,0.518128056310425,-5.24850772918482,1.53336208480672e-07,0.00023970282790741,"CvsT2"
"345","Mcavernosa25973","GO:0009897",0.0294539516678126,0.997581050894306,2,55,"external side of plasma membrane","CC",1008,360,72,97,262,665,122,227,206,122,79,60,81,281,374,167,229.292654240467,2.72649475458079,0.522890108623233,5.21427869760176,1.84533855717522e-07,0.00235391386353272,"T2vsT3"
"352","Mcavernosa25973","GO:0005912",0.0103029735867807,0.999522733805333,2,33,"adherens junction","CC",1008,360,72,97,262,665,122,227,206,122,79,60,81,281,374,167,229.292654240467,-2.71939910825278,0.518128056310425,-5.24850772918482,1.53336208480672e-07,0.00023970282790741,"CvsT2"
"353","Mcavernosa25973","GO:0005912",0.0103029735867807,0.999522733805333,2,33,"adherens junction","CC",1008,360,72,97,262,665,122,227,206,122,79,60,81,281,374,167,229.292654240467,2.72649475458079,0.522890108623233,5.21427869760176,1.84533855717522e-07,0.00235391386353272,"T2vsT3"
"356","Mcavernosa25973","GO:0030027",0.0385527288691505,0.996324313393577,2,65,"lamellipodium","CC",1008,360,72,97,262,665,122,227,206,122,79,60,81,281,374,167,229.292654240467,-2.71939910825278,0.518128056310425,-5.24850772918482,1.53336208480672e-07,0.00023970282790741,"CvsT2"
"357","Mcavernosa25973","GO:0030027",0.0385527288691505,0.996324313393577,2,65,"lamellipodium","CC",1008,360,72,97,262,665,122,227,206,122,79,60,81,281,374,167,229.292654240467,2.72649475458079,0.522890108623233,5.21427869760176,1.84533855717522e-07,0.00235391386353272,"T2vsT3"
"1","Mcavernosa01252","GO:0048046",0.00921761403395423,0.999979010308408,1,2,"apoplast","CC",2403,90,28,23,63,81,21,80,103,32,14,19,20,57,182,46,60.0532481930039,-2.07815205376545,0.517408288717683,-4.01646455822313,5.90777438640372e-05,0.0396629316173504,"CvsT1"
"2","Mcavernosa01252","GO:0048046",0.00921761403395423,0.999979010308408,1,2,"apoplast","CC",2403,90,28,23,63,81,21,80,103,32,14,19,20,57,182,46,60.0532481930039,-2.69199768260755,0.515444491839361,-5.22267232500859,1.76359305833258e-07,0.000245061053194524,"CvsT2"
"3","Mcavernosa01252","GO:0009505",0.0143853951340217,0.99993171160467,1,3,"plant-type cell wall","CC",2403,90,28,23,63,81,21,80,103,32,14,19,20,57,182,46,60.0532481930039,-2.07815205376545,0.517408288717683,-4.01646455822313,5.90777438640372e-05,0.0396629316173504,"CvsT1"
"4","Mcavernosa01252","GO:0009505",0.0143853951340217,0.99993171160467,1,3,"plant-type cell wall","CC",2403,90,28,23,63,81,21,80,103,32,14,19,20,57,182,46,60.0532481930039,-2.69199768260755,0.515444491839361,-5.22267232500859,1.76359305833258e-07,0.000245061053194524,"CvsT2"
"28","Mcavernosa02339","GO:0071203",0.029235944430786,0.999645610144699,1,6,"WASH complex","CC",1231,159,84,190,578,44,148,65,81,358,85,89,148,94,132,105,129.019574017764,1.07151713337485,0.262199641296615,4.08664606891161,4.37653985972969e-05,0.0182443358285932,"CvsT2"
"32","Mcavernosa02339","GO:0001772",0.0350084597695118,0.999465462660195,1,8,"immunological synapse","CC",1231,159,84,190,578,44,148,65,81,358,85,89,148,94,132,105,129.019574017764,1.07151713337485,0.262199641296615,4.08664606891161,4.37653985972969e-05,0.0182443358285932,"CvsT2"
"57","Mcavernosa03157","GO:0099523",0.0490870652312004,0.998902728035646,1,11,"presynaptic cytosol","CC",1357,274,139,152,300,731,246,155,401,120,120,145,206,160,231,294,267.071903947794,-2.30668169799512,0.549281470708991,-4.1994529599146,2.67560606103e-05,0.0133844517596965,"CvsT2"
"162","Mcavernosa15302","GO:0009277",0.0091979546267608,0.999979099957193,1,2,"fungal-type cell wall","CC",666,74,2302,16,139,4,89,436,411,30,91,123,108,434,546,453,426.232262646165,-5.34480804303799,1.28164739565527,-4.17026403764143,3.0424693106722e-05,0.0176407902395157,"CvsT3"
"244","Mcavernosa15503","GO:1990712",0.00528937695178148,1,1,1,"HFE-transferrin receptor complex","CC",1002,54,46,13,28,18,57,39,23,36,15,49,64,42,78,45,41.6698066266137,-2.09934597043751,0.474278350051742,-4.42640059409939,9.58185075676447e-06,0.00814840588355251,"CvsT3"
"245","Mcavernosa15503","GO:1990712",0.00528937695178148,1,1,1,"HFE-transferrin receptor complex","CC",1002,54,46,13,28,18,57,39,23,36,15,49,64,42,78,45,41.6698066266137,-1.84784172095552,0.478265040559637,-3.86363535748564,0.000111711944696114,0.0367649889570948,"CvsT2"
"292","Mcavernosa22344","GO:1990111",0.0216314932581692,0.99981427543681,1,5,"spermatoproteasome complex","CC",2456,526,73,27,18,54,345,31,97,77,102,65,17,605,496,108,180.791274146135,-4.00828950847396,0.938384448146441,-4.27147904719798,1.94180774624072e-05,0.0173458911960617,"CvsT4"
"315","Mcavernosa25968","GO:0097361",0.0175064031244791,0.999898721645827,1,3,"CIA complex","CC",330,309,88,48,188,951,96,148,153,119,68,52,95,294,337,123,232.260005974569,-3.39498917816878,0.698041113985338,-4.86359486590368,1.15272737863512e-06,0.00120133404976757,"CvsT2"
"317","Mcavernosa25968","GO:0071817",0.0118065760167112,0.999965517962153,1,2,"MMXD complex","CC",330,309,88,48,188,951,96,148,153,119,68,52,95,294,337,123,232.260005974569,-3.39498917816878,0.698041113985338,-4.86359486590368,1.15272737863512e-06,0.00120133404976757,"CvsT2"
"318","Mcavernosa25973","GO:0098691",0.0323182534612337,0.999554135241705,1,7,"dopaminergic synapse","CC",1008,360,72,97,262,665,122,227,206,122,79,60,81,281,374,167,229.292654240467,-2.71939910825278,0.518128056310425,-5.24850772918482,1.53336208480672e-07,0.00023970282790741,"CvsT2"
"319","Mcavernosa25973","GO:0098691",0.0323182534612337,0.999554135241705,1,7,"dopaminergic synapse","CC",1008,360,72,97,262,665,122,227,206,122,79,60,81,281,374,167,229.292654240467,2.72649475458079,0.522890108623233,5.21427869760176,1.84533855717522e-07,0.00235391386353272,"T2vsT3"
"320","Mcavernosa25973","GO:0001931",0.0170558006577591,0.999891926500933,1,4,"uropod","CC",1008,360,72,97,262,665,122,227,206,122,79,60,81,281,374,167,229.292654240467,-2.71939910825278,0.518128056310425,-5.24850772918482,1.53336208480672e-07,0.00023970282790741,"CvsT2"
"321","Mcavernosa25973","GO:0001931",0.0170558006577591,0.999891926500933,1,4,"uropod","CC",1008,360,72,97,262,665,122,227,206,122,79,60,81,281,374,167,229.292654240467,2.72649475458079,0.522890108623233,5.21427869760176,1.84533855717522e-07,0.00235391386353272,"T2vsT3"
"334","Mcavernosa25973","GO:0044291",0.0225253076623475,0.9997985356906,1,5,"cell-cell contact zone","CC",1008,360,72,97,262,665,122,227,206,122,79,60,81,281,374,167,229.292654240467,-2.71939910825278,0.518128056310425,-5.24850772918482,1.53336208480672e-07,0.00023970282790741,"CvsT2"
"335","Mcavernosa25973","GO:0044291",0.0225253076623475,0.9997985356906,1,5,"cell-cell contact zone","CC",1008,360,72,97,262,665,122,227,206,122,79,60,81,281,374,167,229.292654240467,2.72649475458079,0.522890108623233,5.21427869760176,1.84533855717522e-07,0.00235391386353272,"T2vsT3"
"342","Mcavernosa25973","GO:0016600",0.0277394173333058,0.999681155025668,1,6,"flotillin complex","CC",1008,360,72,97,262,665,122,227,206,122,79,60,81,281,374,167,229.292654240467,-2.71939910825278,0.518128056310425,-5.24850772918482,1.53336208480672e-07,0.00023970282790741,"CvsT2"
"343","Mcavernosa25973","GO:0016600",0.0277394173333058,0.999681155025668,1,6,"flotillin complex","CC",1008,360,72,97,262,665,122,227,206,122,79,60,81,281,374,167,229.292654240467,2.72649475458079,0.522890108623233,5.21427869760176,1.84533855717522e-07,0.00235391386353272,"T2vsT3"
"380","Mcavernosa29012","GO:0000786",0.0426349359737887,0.999192372226168,1,9,"nucleosome","CC",716,334,215,201,411,99,286,197,196,211,157,346,291,261,280,220,244.617249293395,-1.17065910941312,0.282911843152839,-4.13789361508167,3.50508811742102e-05,0.019439523489488,"CvsT3"
"392","Mcavernosa30571","GO:0000502",0.030201637024793,0.999621664334005,1,6,"proteasome complex","CC",684,8,10,112,405,16,31,8,3,509,22,6,15,8,24,12,48.8311865525838,4.51229020930242,0.623908042428111,7.23230011868671,4.74881291238108e-13,2.01919525034443e-09,"CvsT1"
"393","Mcavernosa30571","GO:0000502",0.030201637024793,0.999621664334005,1,6,"proteasome complex","CC",684,8,10,112,405,16,31,8,3,509,22,6,15,8,24,12,48.8311865525838,3.29257335410616,0.586079945157256,5.61795942910605,1.93225854344396e-08,3.45211790633002e-05,"CvsT2"
"394","Mcavernosa30571","GO:0000502",0.030201637024793,0.999621664334005,1,6,"proteasome complex","CC",684,8,10,112,405,16,31,8,3,509,22,6,15,8,24,12,48.8311865525838,3.0243615096101,0.576772448058852,5.2435956672145,1.57477097338784e-07,0.000328234763219806,"CvsT4"
"395","Mcavernosa30571","GO:0000502",0.030201637024793,0.999621664334005,1,6,"proteasome complex","CC",684,8,10,112,405,16,31,8,3,509,22,6,15,8,24,12,48.8311865525838,3.97506730396992,0.605057226848627,6.56973774972264,5.04039553707136e-11,1.60738213677206e-07,"CvsT3"
