gene_id,18_T33_Of_VLL.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,19_T33_Ac_WK.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,20_T12_Mc_PWC.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,21_T33_Mc_EOU.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,24_T12_Ac_FM.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,26_T12_Of_WCL.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,29_T23_Mc_PND.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,30_T23_Of_RPG.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,31_T22_Ac_UV.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,32_T22_Of_EVR.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,33_T43_Mc_RFV.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,34_T22_Mc_SVS.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,35_T43_Ac_MT.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,36_T43_Of_JJN.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,37_T13_Ac_ML.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,38_T23_Ac_IN.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,39_T13_Mc_FJE.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,40_T13_Of_GWS.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,47_T31_Ac_JB.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,48_T31_Of_JNO.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,49_T31_Mc_SWQ.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,50_T21_Of_YZB.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,51_T42_Of_UOF.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,52_T11_Ac_II.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,53_T21_Ac_NH.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,54_T42_Ac_JQ.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,55_T32_Mc_TWP.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,56_T42_Mc_JAW.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,57_T32_Ac_NM.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,58_T21_Mc_EAH.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,59_T11_Of_TQP.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,60_T32_Of_WXY.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,61_T11_Mc_RAP.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf
Acerv_evm.TU.Segkk3628_pilon.3,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
Acerv_evm.TU.Segkk3193_pilon.1,0,4,0,0,0,0,0,0,5,0,0,0,4,0,6,6,0,0,5,0,0,0,0,5,4,9,0,0,2,0,0,0,1
Acerv_evm.TU.Segkk2994_pilon.9,0,213,0,0,0,0,0,0,126,0,0,0,216,0,125,121,0,0,93,0,0,0,0,90,101,207,0,0,52,0,0,0,0
Acerv_evm.model.Segkk1728_pilon.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk2994_pilon.5,0,17,6,3,2,4,8,4,19,3,8,3,24,4,20,23,5,2,32,1,4,7,4,14,8,20,11,2,13,5,4,5,2
Acerv_evm.TU.Segkk2994_pilon.4,0,533,0,0,0,0,0,0,371,0,0,0,698,0,357,526,0,0,391,0,0,0,0,396,213,733,0,0,270,0,0,0,0
Acerv_evm.TU.Segkk2994_pilon.2,0,923,2,3,0,0,5,0,931,0,0,0,1976,0,518,876,0,0,395,0,0,0,0,245,495,1121,0,0,238,3,5,4,0
Acerv_evm.TU.Segkk2994_pilon.1,0,1124,0,2,0,0,0,0,1595,0,0,0,2824,0,698,707,0,0,510,0,0,0,0,91,1282,1753,0,0,251,0,0,0,0
Acerv_evm.model.Segkk355_pilon.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk3336_pilon.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk3336_pilon.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk3336_pilon.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Acerv_evm.TU.Segkk3336_pilon.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk3965_pilon.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk3965_pilon.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk2728_pilon.4,0,2,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,2,0,1,0,0,0,0,0
Acerv_evm.TU.Segkk2728_pilon.1,0,52,0,0,0,0,0,0,27,0,0,0,0,0,0,29,0,0,16,0,0,0,0,28,21,43,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk2728_pilon.2,0,0,0,1,0,0,0,0,0,0,3,1,41,0,24,22,0,0,0,0,0,0,0,10,22,30,3,0,0,1,0,0,2
Acerv_evm.TU.Segkk2728_pilon.3,0,1,0,0,0,1,0,0,1,0,0,0,2,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0
Lys_172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lys_170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lys_174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk1900_pilon.1,0,214,0,0,0,0,0,0,139,0,0,0,270,0,139,155,0,0,101,0,0,0,0,140,117,278,0,0,86,0,0,0,4
Acerv_evm.model.Segkk974_pilon.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk3154_pilon.8,0,66,0,0,0,0,0,0,27,0,0,0,60,0,17,64,0,0,65,0,0,0,0,63,32,31,0,0,13,0,0,0,0
Acerv_evm.model.Segkk1027_pilon.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk3154_pilon.4,0,78,0,0,0,0,0,0,53,0,0,0,105,0,29,33,0,0,21,0,0,0,0,18,42,83,0,0,14,0,0,0,0
Acerv_evm.TU.Segkk4209_pilon.1,0,0,0,3,0,0,2,0,0,0,3,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,3,0,3
Acerv_evm.TU.Segkk3154_pilon.6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Acerv_evm.TU.Segkk3154_pilon.7,0,66,0,0,0,0,0,0,31,0,0,0,56,0,20,55,0,0,47,0,0,0,0,0,27,35,0,0,12,0,0,0,0
Acerv_evm.TU.Segkk3154_pilon.1,0,93,0,0,0,0,0,0,66,0,0,0,75,0,79,92,0,0,55,0,0,0,0,109,36,107,0,0,50,0,0,0,0
Acerv_evm.TU.Segkk3154_pilon.3,0,95,0,0,0,0,0,0,93,0,2,2,131,0,45,71,0,0,45,0,0,0,0,32,36,111,0,2,26,0,0,0,3
Acerv_evm.TU.Segkk3907_pilon.1,0,2,0,0,0,0,0,0,2,0,0,0,5,0,0,4,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Acerv_evm.TU.Segkk2420_pilon.2,0,13,0,0,0,0,0,0,9,0,0,0,16,0,11,11,0,0,10,0,0,0,0,13,5,13,0,0,6,0,0,0,0
Acerv_evm.model.Segkk3856_pilon.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2004_pilon.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk3856_pilon.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk3856_pilon.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2004_pilon.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2004_pilon.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2004_pilon.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk60_pilon.22,0,9,0,0,0,0,0,0,13,0,0,0,18,0,7,40,0,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2004_pilon.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk60_pilon.21,0,40,0,0,0,0,0,0,33,0,0,0,77,0,25,26,0,0,32,0,0,0,0,17,24,46,0,0,9,0,0,0,0
Acerv_evm.model.Segkk3643_pilon.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk46_pilon.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk3643_pilon.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk302_pilon.5,0,433,0,0,0,0,0,0,322,0,0,0,509,0,381,431,0,0,316,0,0,0,0,533,223,704,0,0,310,0,0,0,0
Acerv_evm.TU.Segkk616_pilon.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
Acerv_evm.TU.Segkk302_pilon.7,0,50,0,0,0,0,0,0,50,0,0,0,36,0,57,63,0,0,35,0,0,0,0,39,22,56,0,0,65,0,0,0,0
Acerv_evm.TU.Segkk302_pilon.1,0,189,0,0,0,0,0,0,114,0,0,0,212,0,124,153,0,0,94,0,0,0,0,95,77,187,0,0,64,0,0,0,0
Acerv_evm.model.Segkk3643_pilon.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk616_pilon.8,0,3,0,0,0,0,0,0,1,0,0,0,2,0,1,2,0,0,3,0,0,0,0,2,1,3,0,0,2,0,0,0,0
Acerv_evm.TU.Segkk302_pilon.9,0,84,0,0,0,0,0,0,57,0,0,0,129,0,50,64,0,0,51,0,0,0,0,81,38,101,0,0,34,0,0,0,0
Acerv_evm.model.Segkk2410_pilon.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk4262_pilon.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk4262_pilon.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk4262_pilon.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk114_pilon.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk114_pilon.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk114_pilon.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk114_pilon.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk1324_pilon.1,0,4,0,0,0,0,0,0,5,0,0,0,3,0,4,8,0,0,3,0,0,0,0,7,0,3,0,0,4,0,0,0,0
Ser_467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ser_465,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
Acerv_evm.TU.Segkk4043_pilon.27,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk4043_pilon.26,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk4043_pilon.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2596_pilon.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2596_pilon.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk896_pilon.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2596_pilon.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2596_pilon.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2596_pilon.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk896_pilon.4,0,40,0,0,0,0,0,0,20,0,0,0,38,0,30,4,0,0,5,0,0,0,0,30,20,32,0,0,17,0,0,0,0
Acerv_evm.TU.Segkk896_pilon.7,0,102,0,0,0,0,0,0,58,0,0,0,112,0,49,33,0,0,42,0,0,0,0,47,35,136,0,0,34,0,0,0,0
Acerv_evm.TU.Segkk1446_pilon.1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Acerv_evm.TU.Segkk896_pilon.3,0,8,0,0,0,0,0,0,5,0,0,0,9,0,5,4,0,0,5,0,0,0,0,5,4,9,0,0,3,0,0,0,0
Acerv_evm.model.Segkk4364_pilon.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk4364_pilon.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk4364_pilon.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk4364_pilon.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk3416_pilon.23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2765_pilon.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2765_pilon.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2765_pilon.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2765_pilon.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2765_pilon.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk3644_pilon.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk3644_pilon.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk423_pilon.6,0,198,0,0,0,0,0,0,121,0,0,0,268,7,125,150,0,0,129,0,0,0,0,114,92,281,0,0,71,0,0,0,0
Acerv_evm.model.Segkk2838_pilon.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2838_pilon.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk191_pilon.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2838_pilon.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk3326_pilon.17,0,2590,0,11,0,0,14,0,1657,0,14,5,3308,0,1425,1771,0,0,948,0,0,0,0,1190,1247,2749,13,0,733,7,12,0,0
Acerv_evm.TU.Segkk3326_pilon.16,0,74,0,0,0,0,0,0,93,0,0,0,129,0,82,85,0,0,68,0,0,0,0,126,42,176,0,0,88,0,0,0,0
Acerv_evm.TU.Segkk3326_pilon.12,0,27,0,0,0,0,0,0,27,0,0,0,39,0,18,20,0,0,16,0,0,0,0,13,14,34,0,0,7,0,0,0,0
Acerv_evm.TU.Segkk2335_pilon.34,0,19,1,0,0,0,0,0,15,0,0,0,17,1,20,25,0,0,16,0,0,0,0,13,11,19,1,0,11,0,0,0,0
Acerv_evm.TU.Segkk2335_pilon.35,0,21,1,0,0,0,1,0,15,0,0,0,20,0,16,34,1,1,27,1,0,0,0,11,16,25,1,0,17,0,0,0,0
Acerv_evm.TU.Segkk2335_pilon.33,0,1,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk2335_pilon.30,0,15,0,0,0,0,0,0,6,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk2335_pilon.31,0,9,0,0,0,0,0,0,0,0,0,0,24,0,0,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk6_pilon.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk6_pilon.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
