"","X1_2","X2_2","X4_2","X11_2","X28_2","X35_2","X36_2","X38_2","X39_2","X41_2","X42_2","X47_2"
"rna-XM_027182137.1",71,18,155,213,65,92,30,50,227,244,74,33
"gene-LOC113670859|LOC113670859",1920,615,1950,865,2319,2427,1459,1673,2804,2123,2075,1285
"gene-LOC113669484|LOC113669484",279,172,1382,674,232,176,179,155,1408,1121,721,270
"gene-LOC113664307|LOC113664307",236,302,317,184,205,235,340,260,170,290,237,98
"gene-LOC113665180|LOC113665180",177,64,805,1276,155,199,276,133,620,546,256,188
"rna-XM_027183108.1",270,205,55,69,135,273,292,295,111,109,244,91
"STRG.1406|LOC113666995",220,72,773,1091,207,264,176,150,714,742,306,180
"STRG.5292|LOC113682887",91,31,431,431,85,101,51,55,323,315,172,163
"STRG.1846|LOC113668931",139,57,399,403,114,169,120,153,538,456,163,118
"gene-LOC113684585|LOC113684585",18,16,17,18,11,21,25,28,20,26,16,11
"rna-XM_027180096.1",966,340,273,244,763,1182,824,121,206,204,1009,550
"gene-LOC113686808",54,29,47,24,78,64,37,39,35,41,58,36
"rna-XM_027196328.1",548,464,670,573,368,487,580,674,774,708,419,303
"STRG.3087|LOC113674023",94,11,11,18,37,64,74,121,26,23,69,51
"rna-XM_027202639.1",94,29,51,37,44,109,8,17,12,36,92,166
"STRG.4536|LOC113679750",187,66,72,64,71,118,46,62,155,93,97,242
"rna-XM_027202685.1",24,25,175,208,37,20,36,44,201,119,49,30
"gene-LOC113687139|LOC113687139",805,379,2180,1757,661,771,642,725,2024,1835,904,676
"gene-LOC113684444|LOC113684444",1173,1190,1712,1796,928,2097,1290,1467,1672,1431,1997,1329
"rna-XM_027198298.1",13,8,37,70,7,14,20,18,69,92,17,10
"rna-XM_027191812.1",30,15,11,18,40,29,32,36,32,40,40,39
"gene-LOC113674164|LOC113674164",38,52,45,52,37,44,73,44,33,17,37,29
"rna-XM_027197257.1",120,49,81,61,72,100,69,150,89,150,136,62
"gene-LOC113675032|LOC113675032",161,91,379,620,117,152,174,115,521,514,216,110
"gene-LOC113687134|LOC113687134",399,334,11,7,365,313,12,12,22,34,9,219
"rna-XM_027199711.1",305,107,1044,999,348,327,219,219,824,952,394,275
"gene-LOC113665071|LOC113665071",176,210,151,156,113,135,247,181,313,183,175,92
"gene-LOC113677242|LOC113677242",150,101,140,84,125,111,136,193,119,124,113,103
"STRG.1511|LOC113667417",104,105,31,61,26,111,188,65,91,61,44,36
"gene-LOC113669988|LOC113669988",16,11,6,16,8,13,11,21,8,8,11,6
"rna-XM_027181806.1",253,112,853,1360,298,454,415,217,1854,1668,536,222
"STRG.5272|LOC113682771",1737,1016,5687,4725,1322,1382,880,567,5151,5195,2381,1154
"gene-LOC113682209|LOC113682209",55,15,34,28,54,78,100,53,21,21,80,47
"gene-LOC113664782|LOC113664782",281,212,280,149,298,345,191,281,397,285,355,178
"rna-XR_003446101.1",927,1125,7010,6144,432,1598,1281,930,9107,9274,1092,827
"gene-LOC113686025|LOC113686025",859,1043,4511,4342,774,1122,1203,1322,4200,3607,1439,613
"rna-XM_027187995.1",107,57,302,410,96,139,92,111,381,399,122,85
"gene-LOC113673455|LOC113673455",159,281,71,46,325,356,309,391,235,141,453,291
"rna-XR_003447516.1",85,20,407,212,60,87,68,52,241,240,132,91
"rna-XM_027182166.1",55,70,116,7,155,256,162,40,71,25,201,36
"rna-XM_027182272.1",27,9,248,101,26,39,16,35,186,103,70,27
"gene-LOC113677294",36,13,39,27,21,33,59,48,27,39,41,53
"rna-XM_027188981.1",0,45,353,420,14,198,141,51,624,842,50,57
"STRG.5430|LOC113683391",514,277,396,268,441,402,350,421,490,326,544,375
"gene-LOC113673983|LOC113673983",198,49,774,632,205,249,120,134,763,799,386,194
"gene-LOC113684184|LOC113684184",146,73,152,126,132,184,158,174,232,222,153,101
"rna-XM_027197822.1",270,155,214,205,194,318,179,325,299,157,269,125
"rna-XM_027202564.1",73,28,290,193,80,67,66,84,260,243,129,76
"rna-XM_027188912.1",1036,478,1266,1162,634,1050,849,1251,1332,1137,1071,641
"gene-LOC113681275|LOC113681275",811,333,2210,2902,588,812,766,513,2266,2299,1354,587
"rna-XR_003446580.1",66,51,54,99,49,120,88,69,65,67,104,61
"gene-LOC113674440|LOC113674440",15,6,6,7,4,11,16,27,16,9,7,7
"gene-LOC113677612|LOC113677612",168,111,166,261,101,222,317,367,252,244,129,198
"gene-LOC113673572|LOC113673572",30,24,662,677,32,50,75,20,456,170,41,147
"gene-LOC113684409|LOC113684409",107,28,48,87,55,60,66,96,43,95,79,91
"rna-XM_027190906.1",71,22,189,284,53,68,34,47,168,244,93,52
"rna-XM_027204730.1",25,20,13,14,9,14,25,31,18,6,14,14
"rna-XM_027187820.1",124,83,31,57,51,96,267,88,48,25,50,128
"gene-LOC113684534|LOC113684534",18,6,25,15,26,38,21,28,20,24,40,24
"rna-XM_027179832.1",73,30,215,208,74,79,75,67,238,250,108,56
"STRG.4497|LOC113679628",66,4,8,6,88,70,55,134,11,25,94,60
"gene-LOC113670541|LOC113670541",156,233,288,180,124,210,209,170,179,191,191,111
"STRG.4842|LOC113680970",112,39,157,108,86,134,168,144,110,131,123,68
"gene-LOC113665304|LOC113665304",59,95,56,59,36,52,47,76,76,41,59,32
"gene-LOC113677425|LOC113677425",732,282,1829,1909,601,772,609,530,1646,1783,1006,616
"gene-LOC113682220|LOC113682220",42,22,309,449,78,32,34,31,116,93,59,100
"gene-LOC113680911|LOC113680911",24,7,50,143,7,13,24,19,94,97,15,23
"STRG.1444|LOC113667133",154,70,168,70,104,106,120,217,125,129,129,86
"gene-LOC113669213|LOC113669213",666,320,4375,7208,643,1212,1086,600,4150,4383,999,836
"STRG.1075|LOC113665605",264,67,1015,1194,236,323,155,188,814,1043,399,209
"rna-XM_027187663.1",30,11,15,25,36,45,17,35,16,19,36,25
"rna-XM_027190685.1",662,704,928,619,1007,1144,748,682,1199,951,1009,480
"STRG.4886|LOC113681122",52,111,131,74,177,104,96,106,138,40,255,152
"rna-XM_027197183.1",57,58,52,114,109,186,192,161,83,139,230,158
"rna-XM_027196132.1",148,42,9,39,13,26,22,13,21,17,75,41
"STRG.2777|LOC113672685",979,427,2270,2670,648,1112,946,963,2898,3733,1137,665
"gene-LOC113668306|LOC113668306",50,70,32,38,46,114,166,52,24,28,61,67
"gene-LOC113671669|LOC113671669",183,42,541,743,123,205,47,98,435,660,282,136
"rna-XR_003447657.1",35,19,35,38,32,47,35,31,27,30,57,31
"gene-LOC113681281|LOC113681281",502,185,1415,1628,531,700,471,423,1419,1696,752,415
"rna-XM_027195505.1",225,148,864,1062,190,252,177,120,591,774,345,212
"gene-LOC113686480|LOC113686480",29,18,146,106,25,18,5,8,115,92,33,24
"gene-LOC113676510|LOC113676510",626,2170,534,1776,344,679,1888,755,918,646,544,330
"gene-LOC113669071|LOC113669071",37,24,8,39,31,4,57,47,16,6,89,58
"gene-LOC113686410|LOC113686410",89,81,75,138,55,111,125,156,138,142,91,56
"rna-XM_027187535.1",12,34,146,518,46,94,106,29,431,446,35,52
"gene-LOC113675541|LOC113675541",86,103,78,25,131,69,117,183,92,102,192,75
"gene-LOC113685155|LOC113685155",1686,849,1177,1407,955,1868,1455,1963,1765,2516,1472,978
"rna-XM_027202785.1",23,6,27,20,32,35,17,24,43,45,42,75
"rna-XM_027200232.1",28,120,79,37,917,125,70,124,66,88,167,145
"gene-LOC113683626",11,6,36,62,7,10,13,13,58,65,9,2
"STRG.969|LOC113665132",832,342,3208,2492,623,422,806,346,2641,2193,1249,741
"STRG.1254|LOC113666305",454,732,278,340,428,605,498,689,573,609,598,321
"STRG.4016|LOC113677796",85,50,69,91,84,139,74,80,76,98,112,49
"gene-LOC113666770|LOC113666770",1864,1284,1443,3854,1238,3545,2725,2314,1709,2543,2271,1199
"gene-LOC113666714",17,3,10,6,14,12,7,25,8,10,17,13
"rna-XM_027199046.1",659,245,208,306,572,1685,980,795,308,727,1447,533
"rna-XM_027183897.1",565,145,2329,3066,485,658,587,448,1845,1992,1003,711
"STRG.5558|LOC113684180",285,308,291,437,211,362,335,330,486,447,294,148
"STRG.525|LOC113683453",88,92,571,574,70,90,79,78,670,573,161,109
"rna-XM_027199446.1",105,50,23,45,126,172,113,117,13,21,168,79
"rna-XM_027184885.1",291,167,312,373,252,433,296,491,405,342,314,141
"STRG.4316|LOC113678913",2551,3557,1707,2149,1029,3237,1852,7081,3277,2784,6256,2430
"rna-XM_027188287.1",192,93,1166,1460,271,246,272,126,866,950,438,287
"rna-XM_027194487.1",35,8,482,198,17,18,128,45,252,346,41,23
"gene-LOC113683278|LOC113683278",445,138,1113,935,480,380,248,333,1048,1148,464,351
"gene-LOC113667213|LOC113667213",214,100,518,535,180,203,132,200,536,588,235,168
"rna-XM_027200095.1",14,85,54,39,55,58,98,127,25,28,14,10
"gene-LOC113682244|LOC113682244",170,25,7,38,154,94,35,97,33,31,115,102
"rna-XM_027194196.1",439,518,475,518,295,843,1109,1047,673,604,307,353
"STRG.4184|LOC113678469",136,156,34,46,112,121,171,172,130,70,146,112
"gene-LOC113684226|LOC113684226",13,15,12,7,32,25,20,5,9,8,18,6
"rna-XM_027185667.1",108,30,346,329,70,114,53,73,288,345,115,73
"gene-LOC113672580|LOC113672580",33,24,28,12,17,25,40,44,17,30,18,11
"rna-XM_027195776.1",85,40,186,342,86,73,42,66,375,432,68,118
"gene-LOC113686179|LOC113686179",17,10,7,7,11,25,19,24,18,3,12,9
"rna-XM_027200258.1",242,89,9,11,268,440,2,290,101,14,314,236
"rna-XM_027203848.1",179,79,636,626,221,218,156,133,484,575,283,115
"rna-XM_027185127.1",2042,1529,1454,3716,1307,2154,4960,2543,1190,1486,1864,990
"gene-LOC113681996|LOC113681996",81,52,57,67,56,79,65,111,106,96,57,35
"rna-XR_003446776.1",848,671,358,1048,806,1131,1592,751,1088,1023,1042,1529
"rna-XM_027203763.1",102,144,0,12,66,109,146,123,19,32,110,126
"gene-LOC113675088|LOC113675088",84,29,38,39,71,99,61,55,35,48,99,49
"rna-XM_027202820.1",557,196,133,384,403,673,290,639,358,679,699,345
"STRG.5157|LOC113682257",1634,717,710,2377,1602,2549,3425,1792,746,1040,2114,1354
"rna-XM_027201079.1",622,212,599,597,506,1023,840,700,529,577,1012,500
"rna-XM_027199913.1",14,10,18,7,75,12,27,38,10,12,15,19
"gene-LOC113665867|LOC113665867",88,13,20,15,26,45,81,121,22,18,47,37
"gene-LOC113669940",39,13,38,38,47,62,42,36,43,35,44,29
"rna-XM_027200914.1",165,35,444,362,104,144,99,144,437,479,187,128
"gene-LOC113686813|LOC113686813",66,27,71,85,76,73,71,62,56,50,75,44
"rna-XM_027187222.1",127,40,438,491,135,120,77,81,409,470,185,111
"rna-XM_027184176.1",146,252,114,24,126,168,131,192,9,111,11,96
"gene-LOC113675626|LOC113675626",743,1009,447,826,568,1287,813,882,392,715,1371,763
"rna-XR_003447411.1",21,56,249,402,13,37,103,21,379,297,22,18
"STRG.4122|LOC113678188",1020,289,863,645,1107,1747,1021,935,917,859,1216,643
"gene-LOC113670198|LOC113670198",174,60,439,704,140,211,144,149,515,511,275,158
"rna-XM_027185069.1",9,33,165,338,24,13,17,9,306,121,23,16
"rna-XR_003445691.1",28,10,12,19,14,51,25,36,9,18,17,0
"rna-XM_027193126.1",321,131,721,935,254,168,154,209,835,768,317,300
"rna-XM_027188505.1",228,88,604,656,252,232,185,161,637,976,330,258
"gene-LOC113676627|LOC113676627",239,275,369,296,254,317,307,305,472,440,267,149
"gene-LOC113680469|LOC113680469",418,217,314,400,294,356,448,572,294,432,393,254
"gene-LOC113666613|LOC113666613",72,76,62,38,78,114,78,44,30,43,44,67
"gene-LOC113676977|LOC113676977",61,37,208,272,33,53,38,27,174,184,73,46
"STRG.3599|LOC113676077",70,38,70,50,52,82,61,85,84,90,69,61
"gene-LOC113677085|LOC113677085",24,47,346,184,39,58,32,30,427,485,19,96
"rna-XM_027202804.1",36,24,20,27,19,37,50,33,40,49,22,23
"rna-XM_027191338.1",68,33,157,210,36,42,27,43,149,203,59,61
"gene-LOC113676595|LOC113676595",83,87,81,72,56,93,108,141,152,132,77,66
"gene-LOC113685956|LOC113685956",445,122,107,453,239,710,734,706,194,256,262,309
"gene-LOC113666334|LOC113666334",250,77,652,592,217,244,213,192,557,661,277,161
"gene-LOC113674379|LOC113674379",697,402,2240,3144,441,648,653,544,1983,2270,1048,763
"gene-LOC113682844|LOC113682844",11727,2215,30666,24276,4500,10754,1280,4269,48004,54397,15284,5240
"rna-XM_027199819.1",262,50,559,533,193,227,144,192,523,627,298,180
"STRG.974|LOC113665173",473,203,1560,1440,433,320,444,413,1160,1126,574,416
"gene-LOC113677539|LOC113677539",595,202,144,453,93,603,1133,888,177,535,413,436
"rna-XM_027183859.1",41,26,22,18,24,31,40,53,30,40,41,15
"gene-LOC113666670|LOC113666670",216,156,158,94,218,269,254,220,160,166,256,77
"STRG.3541|LOC113675958",435,594,658,640,394,527,436,497,465,486,519,334
"rna-XM_027183537.1",263,187,56,242,292,356,187,91,128,85,368,221
"gene-LOC113682780|LOC113682780",268,136,136,133,268,134,252,385,292,145,334,217
"rna-XM_027204276.1",24,20,22,31,27,41,45,52,58,41,50,34
"rna-XM_027203170.1",25,20,124,167,30,24,24,40,143,84,40,27
"gene-LOC113674956|LOC113674956",364,137,638,811,245,211,210,156,856,910,375,269
"STRG.3740|LOC113676659",128,80,98,89,174,312,75,193,131,144,176,45
"rna-XM_027182547.1",99,23,295,280,44,74,47,70,290,304,127,66
"STRG.5014|LOC113681692",172,52,205,68,236,175,164,251,196,187,299,83
"gene-LOC113668167|LOC113668167",338,244,1307,1822,358,346,297,253,1242,1208,593,481
"rna-XM_027201518.1",42,14,50,41,24,74,59,110,50,33,81,12
"gene-LOC113666862|LOC113666862",32,13,40,40,84,28,26,18,53,41,70,74
"gene-LOC113675337|LOC113675337",82,55,522,259,18,115,60,80,1384,1490,28,9
"rna-XR_003446887.1",308,57,88,74,212,528,229,258,232,302,395,235
"STRG.430|LOC113679485",204,278,384,322,194,270,555,280,280,210,218,212
"gene-LOC113679023|LOC113679023",456,177,141,165,268,992,279,192,305,258,347,209
"gene-LOC113686425|LOC113686425",146,343,61,373,135,204,431,160,97,104,151,115
"gene-LOC113664651|LOC113664651",18,5,66,68,17,16,15,22,75,73,19,8
"gene-LOC113676043|LOC113676043",23,8,156,101,27,24,38,28,222,95,34,17
"gene-LOC113685809|LOC113685809",53,26,12,15,23,54,43,42,33,64,74,37
"STRG.1619|LOC113667969",20,21,9,12,45,51,43,24,25,9,33,19
"rna-XM_027188932.1",88,46,51,51,46,76,99,78,78,112,59,31
"rna-XM_027194952.1",437,401,88,115,468,229,189,247,297,175,262,163
"rna-XM_027196878.1",171,45,82,26,98,218,81,112,157,116,131,80
"gene-LOC113679941|LOC113679941",61,37,194,194,79,81,51,47,184,282,96,61
"STRG.3080|LOC113673986",259,95,228,271,159,242,261,290,305,320,226,155
"rna-XM_027187260.1",139,39,109,112,90,143,121,98,121,86,183,73
"gene-LOC113673056|LOC113673056",162,47,421,444,158,171,115,143,448,517,239,123
"gene-LOC113673942|LOC113673942",33,73,333,549,8,12,235,46,738,730,20,12
"STRG.4432|LOC113679343",50,17,29,45,46,80,52,32,38,39,71,40
"gene-LOC113677102|LOC113677102",28,35,120,137,23,31,60,36,106,111,26,16
"gene-LOC113673681|LOC113673681",101,66,790,975,167,153,202,88,1058,997,98,151
"gene-LOC113669934|LOC113669934",245,118,615,602,237,251,136,211,606,686,309,179
"STRG.3949|LOC113677525",4783,1260,2904,2098,2907,7036,6797,5733,2741,5318,4210,3032
"rna-XM_027202948.1",52,27,50,45,64,66,54,46,46,36,57,34
"rna-XR_003446648.1",42,26,41,46,33,47,53,69,74,63,50,47
"gene-LOC113671271",34,4,14,11,19,41,31,48,16,27,42,22
"gene-LOC113678957|LOC113678957",133,34,357,603,83,172,145,183,544,638,163,66
"STRG.6003|LOC113686341",471,787,503,582,363,619,593,485,729,753,602,409
"gene-LOC113686912",170,44,167,125,111,221,161,209,157,182,171,182
"rna-XM_027183422.1",221,123,174,152,157,222,116,273,268,166,235,116
"rna-XR_003446946.1",223,3,112,37,331,411,350,420,141,157,577,154
"rna-XM_027201066.1",321,182,290,305,427,633,470,297,377,375,416,241
"rna-XM_027181196.1",45,10,99,110,36,33,11,56,183,179,82,44
"gene-LOC113674909|LOC113674909",639,1565,341,264,128,804,1873,688,294,133,369,465
"STRG.1799|LOC113668755",659,86,463,500,606,1078,652,626,512,561,893,424
"rna-XM_027187184.1",38,18,17,21,11,39,55,92,42,66,28,17
"STRG.2051|LOC113669730",517,186,1617,2373,422,484,333,266,1593,1734,803,444
"rna-XM_027191226.1",597,435,2323,2827,1155,925,695,835,3545,3221,1672,1312
"rna-XM_027189700.1",19,18,15,14,19,18,15,21,15,18,21,6
"gene-LOC113674289|LOC113674289",226,132,935,741,286,223,156,174,763,626,299,275
"rna-XM_027196611.1",218,181,350,376,190,431,321,354,445,429,288,183
"gene-LOC113684587|LOC113684587",93,64,103,65,97,94,74,94,106,106,108,41
"STRG.5006|LOC113681648",6481,2598,26223,23267,4439,9031,5693,5116,19851,21405,9710,7780
"gene-LOC113665866",227,79,105,91,151,184,259,273,91,113,215,126
"rna-XM_027183747.1",28,4,10,13,16,13,30,26,16,12,28,13
"gene-LOC113664668|LOC113664668",106,39,120,51,69,108,80,110,62,54,88,35
"gene-LOC113665082|LOC113665082",142,98,501,611,96,95,114,138,513,385,173,98
"rna-XM_027202051.1",47,20,124,198,58,62,32,39,184,236,89,50
"rna-XM_027197111.1",92,58,38,54,36,56,92,111,44,83,44,57
"gene-LOC113668175|LOC113668175",830,177,2900,1943,701,789,526,301,2950,2635,1377,555
"gene-LOC113680197|LOC113680197",190,83,571,462,183,200,69,178,608,492,261,139
"rna-XR_003447483.1",37,23,19,32,41,61,54,39,35,23,51,108
"rna-XR_003447094.1",215,93,188,218,216,255,264,234,197,302,166,153
"STRG.17|LOC113666599",884,467,446,456,324,381,746,627,520,729,503,643
"rna-XM_027204007.1",15,8,5,10,12,14,13,17,8,10,16,8
"STRG.3487|LOC113675714",1662,723,6306,4592,1594,1289,1538,955,5839,4803,2635,1396
"gene-LOC113676713|LOC113676713",377,239,1275,1662,300,470,217,246,1042,1262,518,352
"rna-XR_003445699.1",34,18,21,24,32,47,35,29,18,13,48,26
"gene-LOC113664750|LOC113664750",91,30,207,231,42,57,48,48,187,227,107,86
"STRG.144|LOC113666179",266,44,1030,1112,171,234,159,109,679,804,346,211
"STRG.3304|LOC113674909",858,1818,235,336,220,937,2250,1205,808,37,655,377
"STRG.3306|LOC113674936",987,811,1257,1292,1730,1328,1751,851,1450,1207,1229,1143
"rna-XM_027202710.1",28,10,101,295,14,34,37,38,95,88,31,15
"STRG.1282|LOC113666401",39,7,15,7,13,57,18,38,19,31,49,13
"rna-XR_003447690.1",20,0,43,54,11,12,13,17,68,69,20,13
"gene-LOC113676499|LOC113676499",21,13,7,10,9,18,28,28,13,13,17,6
"gene-LOC113679629|LOC113679629",208,357,272,205,237,270,238,279,335,390,375,231
"gene-LOC113678426|LOC113678426",16,75,41,36,20,41,50,38,36,33,40,14
"rna-XM_027200703.1",583,468,318,209,536,648,538,715,470,131,1003,733
"gene-LOC113674273|LOC113674273",935,386,4285,2790,726,440,213,246,3818,2464,1869,414
"gene-LOC113674263|LOC113674263",2104,692,8031,5305,1348,2389,1619,1651,4918,5255,2539,1846
"rna-XM_027181428.1",56,49,38,29,28,58,46,87,31,38,41,25
"gene-LOC113671849|LOC113671849",148,79,342,400,132,132,76,116,392,463,217,129
"gene-LOC113686485|LOC113686485",119,29,378,406,100,151,77,73,344,320,197,92
"gene-LOC113686478|LOC113686478",2114,1013,10697,13219,2111,1259,2158,296,14894,10807,8701,2602
"STRG.4202|LOC113678514",58,18,277,460,48,69,60,41,196,246,89,88
"gene-LOC113683630|LOC113683630",27,21,30,23,26,37,42,24,23,23,41,27
"STRG.1367|LOC113666782",321,329,231,122,281,483,298,427,311,509,433,223
"rna-XM_027203620.1",695,689,586,1104,325,909,784,1296,708,591,1141,383
"gene-LOC113675417|LOC113675417",23,5,8,7,14,26,22,29,6,7,36,26
"rna-XM_027188962.1",50,64,0,31,31,63,29,69,26,14,93,22
"STRG.2799|LOC113672825",59,25,228,168,43,54,58,57,164,204,89,60
"gene-LOC113665493|LOC113665493",535,122,1158,849,389,416,266,272,1145,1165,463,324
"rna-XM_027192930.1",21,13,7,23,13,29,21,24,23,24,24,54
"gene-LOC113678765|LOC113678765",197,83,796,631,220,197,157,162,541,522,305,181
"gene-LOC113667216|LOC113667216",189,105,142,115,189,238,130,217,271,211,238,94
"rna-XR_003446158.1",29,3,68,108,23,24,11,23,158,136,24,17
"gene-LOC113672174|LOC113672174",72,72,7,22,84,108,107,80,6,24,86,23
"STRG.4101|LOC113678090",92,56,83,60,49,68,107,130,81,71,83,61
"gene-LOC113681701|LOC113681701",240,83,627,698,242,269,202,186,612,699,344,211
"gene-LOC113681874|LOC113681874",788,429,3566,1471,713,480,498,338,3316,2397,1404,495
"rna-XM_027199256.1",496,192,1550,2295,259,584,433,356,1321,1845,614,572
"gene-LOC113670247|LOC113670247",18,10,128,98,9,25,21,20,82,78,21,19
"STRG.4196|LOC113678526",589,0,96,33,297,1300,581,2368,42,55,1491,387
"gene-LOC113667767|LOC113667767",112,41,416,447,110,138,84,67,348,324,167,88
"gene-LOC113678202|LOC113678202",106,22,147,126,16,15,31,24,163,366,17,26
"STRG.3591|LOC113676057",96,37,312,365,104,104,83,84,251,392,122,130
"gene-LOC113681388|LOC113681388",45,35,54,85,43,54,88,64,47,58,52,33
"rna-XM_027184035.1",17,14,7,13,13,20,13,12,10,17,19,16
"rna-XM_027202937.1",71,17,293,330,78,110,76,79,280,274,145,81
"rna-XM_027203673.1",82,26,415,645,59,132,113,67,344,427,137,111
"gene-LOC113670165|LOC113670165",71,111,68,85,108,87,141,102,132,91,111,94
"gene-LOC113677209|LOC113677209",92,29,38,73,33,105,71,78,55,79,74,66
"gene-LOC113675528|LOC113675528",307,162,240,230,229,285,281,346,236,309,268,180
"gene-LOC113666513|LOC113666513",37,36,26,27,27,36,58,39,51,26,40,16
"rna-XM_027192614.1",184,42,626,469,156,197,111,181,493,487,257,154
"STRG.2507|LOC113671631",518,283,330,307,792,424,400,511,756,850,712,268
"STRG.4839|LOC113680935",46,45,31,18,39,268,45,217,39,10,338,144
"STRG.4230|LOC113678608",482,132,1193,1152,373,453,226,342,1317,1365,627,323
"rna-XM_027195920.1",426,210,286,338,416,934,530,469,338,480,730,502
"gene-LOC113675228|LOC113675228",156,66,213,150,126,143,168,178,171,183,183,129
"rna-XR_003446616.1",33,42,61,37,30,48,55,35,38,38,46,39
"gene-LOC113682541|LOC113682541",44,16,137,167,39,64,40,28,143,173,86,36
"rna-XM_027194648.1",267,28,1151,212,131,117,77,129,461,554,287,338
"STRG.5736|LOC113685015",723,282,767,244,653,716,745,840,619,581,800,568
"STRG.5610|LOC113684376",15,51,17,39,213,407,65,92,77,77,296,92
"gene-LOC113671774|LOC113671774",2426,695,6486,4396,3559,2323,1663,1632,5848,6797,2996,2271
"gene-LOC113664313|LOC113664313",309,155,246,162,210,220,285,408,196,202,240,156
"rna-XM_027195567.1",75,19,27,19,47,34,29,110,45,31,48,22
"rna-XM_027182155.1",89,24,190,217,64,90,30,48,216,220,115,60
"STRG.4387|LOC113679109",344,177,195,184,241,355,325,418,122,184,359,207
"rna-XM_027185848.1",90,138,126,204,85,126,187,110,101,112,126,96
"gene-LOC113671053|LOC113671053",23,36,313,274,69,105,95,63,260,332,42,37
"rna-XM_027194124.1",105,82,38,64,97,107,94,117,65,49,102,66
"STRG.3099|LOC113673942",225,83,42,102,194,292,35,262,56,58,226,100
"gene-LOC113685562|LOC113685562",52,14,1271,382,40,36,10,11,422,660,86,108
"gene-LOC113666806|LOC113666806",72,9,227,255,28,49,35,39,160,219,70,49
"STRG.1234|LOC113666214",207,214,1222,1487,145,270,320,194,751,577,218,135
"gene-LOC113669974|LOC113669974",84,20,261,158,56,60,48,72,207,242,95,68
"rna-XM_027186451.1",25,6,82,58,15,47,26,25,562,297,38,24
"gene-LOC113681398|LOC113681398",7,15,6,10,8,18,21,16,11,21,15,6
"gene-LOC113680942",250,223,184,329,124,244,357,318,234,301,200,147
"gene-LOC113667399|LOC113667399",10,12,7,8,8,13,18,21,9,10,9,16
