"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","6_1","7_1","8_1","9_1","21_1","22_1","23_1","25_1","26_1","27_1","29_1","34_1"
"plut2.m8.33396",28.5456619321488,-2.11377612095931,0.460769267264579,-4.58749372220078,4.48598913466195e-06,0.00149841789248002,"CvsMid",31,54,26,12,37,12,41,9,12,21,27,24
"plut2.m8.6795",15.4437726974785,-1.41919536066537,0.384432715066013,-3.69166125838606,0.000222794068090927,0.0342323085621709,"CvsMid",16,20,17,6,23,13,16,19,14,15,16,6
"plut2.m8.18568",41.1090803028079,-1.50746326053598,0.352806860751429,-4.2727719560932,1.93057872285424e-05,0.00478441001236376,"CvsMid",50,53,49,25,54,22,49,34,25,36,40,23
"jamg1.TU.Sc0000020.96",65.8209919369338,-1.20422363324697,0.295885148621325,-4.06990225382396,4.7032866683698e-05,0.00977138882087813,"CvsMid",143,62,24,25,146,63,79,70,63,43,74,46
"plut2.m8.32952",182.362121361266,1.67439252635134,0.384205510412585,4.35806484022903,1.31217512809566e-05,0.00341721539715082,"CvsMid",527,232,56,71,94,218,145,876,370,246,34,34
"plut2.m8.16587",29.1260183750416,-1.33848037141049,0.304025394439257,-4.40252819630142,1.06996679049346e-05,0.00288421749753193,"CvsMid",39,22,26,15,70,21,20,39,40,15,43,13
"jamg1.TU.xfSc0000469.4",22.026364532316,-1.86347439708043,0.505635644530774,-3.68540947861719,0.000228335229160867,0.034736344515413,"CvsMid",23,11,10,11,60,14,13,29,17,8,68,6
"jamg1.TU.Sc0000051.45",175.267023324086,0.635514209339861,0.172971922993675,3.67408882517366,0.000238699690501282,0.0359570661230608,"CvsMid",604,130,81,141,152,157,182,484,422,98,126,71
"plut2.m8.25842",19.0598518398781,1.39845897117292,0.361925412614889,3.86394246557361,0.000111571511575108,0.020168191474724,"CvsMid",116,14,9,19,14,7,16,70,46,9,8,6
"plut2.m8.17513",17.0304063565533,-2.37741193763595,0.464531159371591,-5.11787398901738,3.08998927251742e-07,0.000163716155766311,"CvsMid",17,22,11,0,40,11,14,21,6,16,26,13
"plut2.m8.4130",16.5405830411709,-1.79526213314681,0.355562845883362,-5.04907122308196,4.43963207117756e-07,0.000213575248312857,"CvsMid",26,17,18,5,29,14,12,14,11,15,21,10
"jamg1.TU.Sc0000654.3",15.1932364773465,-1.93122068853382,0.422249693061214,-4.57364616308638,4.793090332433e-06,0.00154445289881203,"CvsMid",17,28,9,4,30,12,17,10,12,8,20,10
"plut2.m8.25928",102.382754484371,1.24586415864237,0.326739964396726,3.81301430617054,0.000137282162801876,0.0237004542859644,"CvsMid",429,87,71,159,66,30,70,341,244,43,53,22
"plut2.m8.16218",39.9645233316273,1.0486238837883,0.251568940469459,4.16833605067238,3.06831339317454e-05,0.0068325558385691,"CvsMid",178,29,14,40,41,30,32,111,101,32,22,10
"plut2.m8.25740",142.434165639693,-1.94377470969272,0.436839430867965,-4.44963199826214,8.6017550259587e-06,0.00244751788840473,"CvsMid",85,106,146,35,171,316,113,170,43,157,179,49
"plut2.m8.21703",36.0511995741304,-1.97124402632247,0.527141312151018,-3.73949827282316,0.000184387915007904,0.0298223190957521,"CvsMid",44,7,22,12,159,15,10,66,22,17,87,9
"plut2.m8.30977",22.6255255656565,-1.95696825997082,0.360656827840539,-5.42612286501914,5.75913228305934e-08,3.53956270116827e-05,"CvsMid",21,23,21,12,52,16,20,22,12,15,36,10
"plut2.m8.20146",86.0079163570963,-2.32284779757449,0.358784719280917,-6.47421050213616,9.53089541958316e-11,9.76281387479302e-08,"CvsMid",93,99,66,10,84,132,124,21,57,71,96,73
"plut2.m8.9304",67.0216420727377,-3.02294056750677,0.741267808341628,-4.07806805244885,4.54114759167632e-05,0.00969093510362592,"CvsMid",66,24,17,7,287,62,40,37,34,19,220,13
"plut2.m8.3794",218.662426026332,-2.53113478392278,0.192526428988104,-13.1469471346148,1.77184962144293e-39,1.36122347167353e-35,"CvsMid",198,269,185,30,405,180,265,127,84,245,270,144
"plut2.m8.29610",70.5692606956751,-2.12702009539128,0.362200496667152,-5.87249359115574,4.29288308554533e-09,3.66445270052244e-06,"CvsMid",99,51,39,20,243,49,67,57,35,60,114,29
"plut2.m8.1654",36.4791067704145,1.23771389576292,0.310038530716567,3.9921292779394,6.54826553880596e-05,0.0130667662342537,"CvsMid",204,42,12,28,25,29,29,84,79,36,16,11
"plut2.m8.20774",21.031404190259,-1.45629209085948,0.326101044644655,-4.46576947475395,7.97814804535986e-06,0.00235738932147989,"CvsMid",27,21,15,9,38,23,25,25,13,20,22,11
"plut2.m8.26060",18.3461972252254,-2.32211400403344,0.498019968067773,-4.66269256841814,3.12098815362026e-06,0.00114176149953275,"CvsMid",13,15,7,0,43,30,17,17,10,24,18,14
"plut2.m8.19775",40.5911666563377,1.43569505205321,0.307853666073264,4.66356327785792,3.10780563117281e-06,0.00114176149953275,"CvsMid",202,12,20,43,23,34,33,148,117,21,19,12
"plut2.m8.12181",12.8314933703619,-1.97814777594707,0.412815981664605,-4.79183913367538,1.65259387104823e-06,0.000725488709390174,"CvsMid",12,16,14,3,19,11,13,10,10,12,15,8
"plut2.m8.15977",22.1671064438411,-1.48685236205747,0.363997212748262,-4.08479051482673,4.41165992871131e-05,0.00954720490206327,"CvsMid",41,29,15,6,38,18,35,13,22,13,25,14
"plut2.m8.28609",63.4648889326104,0.912398144020656,0.237491149283108,3.84181956580203,0.000122125601263184,0.0215433002605,"CvsMid",272,68,26,55,71,35,54,177,154,49,32,17
"jamg1.TU.Sc0000551.3",22.9399405852044,-2.35662191386313,0.415569531575865,-5.67082457880555,1.42111853924769e-08,1.03978506454956e-05,"CvsMid",35,18,20,3,52,20,25,10,8,31,27,13
"plut2.m8.26344",36.0054465395622,-1.33086375203493,0.309814204272216,-4.29568345699727,1.74155941907247e-05,0.00438673122525385,"CvsMid",71,48,20,10,72,22,39,43,37,22,54,20
"plut2.m8.21416",22.8506354947052,-1.9862305559772,0.374181387366415,-5.30820244683149,1.10711637000859e-07,6.3003122315489e-05,"CvsMid",31,27,19,0,34,18,28,24,13,23,30,17
"plut2.m8.1010",109.108047870933,-3.02615896609457,0.26786822316532,-11.2971928149421,1.35479726646201e-29,6.93881999972958e-26,"CvsMid",56,141,78,4,168,143,138,37,33,183,115,57
"plut2.m8.22162",4010.72107602305,-2.98605902513445,0.267803709176373,-11.150177995361,7.14632718037859e-29,2.74508292816293e-25,"CvsMid",1978,4308,5062,699,5596,3863,4926,1468,918,5720,4369,2125
"plut2.m8.9356",49.4245742863856,1.5339339163122,0.328269061130526,4.67279466127416,2.97128789998157e-06,0.00114134596458042,"CvsMid",236,52,22,43,13,41,68,124,116,37,14,16
"plut2.m8.2498",15.1685646435759,-1.63327050153487,0.429840491804769,-3.79971299278313,0.000144863761015083,0.0244596888790852,"CvsMid",16,18,10,5,22,8,14,25,9,12,27,11
"plut2.m8.7161",17.2135161697162,-1.27413131781503,0.350967098072982,-3.63034405450188,0.000283043674817206,0.0418169813804459,"CvsMid",40,16,14,5,35,16,20,20,15,11,21,8
"plut2.m8.26038",31.414813683251,-1.24220812864111,0.298003294892177,-4.16843756405634,3.0669474499406e-05,0.0068325558385691,"CvsMid",48,40,29,18,39,23,34,36,21,27,33,19
"plut2.m8.7555",203.555668283883,-2.51384159215156,0.348453803918732,-7.21427507428747,5.4222050579449e-13,8.48236528795748e-10,"CvsMid",182,286,200,47,166,131,277,99,76,155,221,236
"plut2.m8.5234",11.870116336603,-2.23776820367415,0.506064975511437,-4.42189898918144,9.78371959678466e-06,0.00268440806436779,"CvsMid",14,13,14,0,10,9,16,8,9,8,17,11
"plut2.m8.30462",19.8793347624186,-1.91799413300881,0.429309071155084,-4.46763011051298,7.90909074116338e-06,0.00235738932147989,"CvsMid",30,27,24,0,35,10,17,27,14,14,30,11
"jamg1.TU.xpSc0007059.15",17.1765211720029,-1.33855034408421,0.356634830143026,-3.75327991252956,0.00017453577473975,0.0285291721157049,"CvsMid",25,26,14,7,25,13,19,18,13,16,15,11
"plut2.m8.5923",37.2239435573283,2.27877184101927,0.315977017812146,7.21182779936875,5.5205761717914e-13,8.48236528795748e-10,"CvsMid",179,12,7,66,20,16,10,191,133,10,16,8
"plut2.m8.31969",49.3260032137811,-2.36086623651034,0.41529448857511,-5.68480030787443,1.30965598310969e-08,1.00614320902402e-05,"CvsMid",38,76,30,0,106,101,48,34,23,50,35,24
"plut2.m8.32471",14.3651277636735,-2.01504423418898,0.424516825401981,-4.74667695981403,2.06785813546208e-06,0.000836122111878284,"CvsMid",18,19,11,0,21,12,20,10,10,16,17,10
"plut2.m8.27535",19.432229375657,-2.31183727014384,0.368907319742879,-6.26671563945966,3.68742628558352e-10,3.54108155487442e-07,"CvsMid",19,22,19,3,27,16,23,9,14,16,23,18
"plut2.m8.5800",29.1594626419956,-1.83425680584024,0.47140563512761,-3.89103707965585,9.98166762319939e-05,0.0182581336941022,"CvsMid",12,45,30,16,36,20,40,32,9,22,30,19
"plut2.m8.5801",27.6906394287779,-1.31222554606114,0.346926219690576,-3.78243404961295,0.000155302248037498,0.0259371634901756,"CvsMid",30,43,25,13,31,20,30,38,24,16,34,18
"plut2.m8.6590",52.1734253734,-1.00164909995006,0.256984752950549,-3.89769855390138,9.71111928632606e-05,0.0179836164282864,"CvsMid",103,80,32,19,86,34,54,73,56,39,54,32
"plut2.m8.27604",20.8550926513326,-1.87746429328725,0.489011984124167,-3.83930119146227,0.00012338499335659,0.0215433002605,"CvsMid",26,23,9,0,59,30,18,20,19,22,27,7
"plut2.m8.10671",16.8661945677621,-1.92342696574697,0.382122228302922,-5.03353854678719,4.81507940235439e-07,0.000224193015203561,"CvsMid",16,16,13,5,26,21,21,13,8,22,18,9
"plut2.m8.16389",362.46010793206,-1.7303405489175,0.340496830541369,-5.08181102939011,3.73853239837047e-07,0.000191475167669874,"CvsMid",692,475,190,41,523,492,383,241,306,251,546,238
"jamg1.TU.Sc0000055.95",24.6234791683458,-2.29750495807373,0.564529990498902,-4.06976599426245,4.70603822157489e-05,0.00977138882087813,"CvsMid",35,8,10,8,116,6,6,24,17,10,73,5
"plut2.m8.10362",81.1376965326609,1.67335752960394,0.350345216861908,4.77631047625664,1.78540664454974e-06,0.000741426299824509,"CvsMid",466,54,44,144,52,18,37,345,185,12,39,16
"plut2.m8.13229",131.706233086872,-1.43407717601486,0.326347457455119,-4.39432617982654,1.11116870434526e-05,0.00294363916245948,"CvsMid",166,120,89,62,320,92,90,152,160,81,260,42
"plut2.m8.24994",16.796216099303,-2.15510195534054,0.463008768524777,-4.6545597013358,3.24673755451905e-06,0.00116014238430663,"CvsMid",26,9,10,3,48,11,17,12,14,10,41,6
"plut2.m8.21905",36.5947694584531,1.36251190883715,0.289448815522775,4.70726372252143,2.5106401808545e-06,0.000989127855867419,"CvsMid",161,33,14,35,29,42,39,107,87,20,9,10
"plut2.m8.4590",36.5680267069889,-3.27457139018854,0.35346645038228,-9.26416463754066,1.96610280600287e-20,6.04183392284681e-17,"CvsMid",16,71,31,5,69,37,39,8,10,40,35,23
"plut2.m8.7220",25.7778299114225,-3.29101729956359,0.41513142053559,-7.92765167068689,2.23328677189027e-15,5.719075208349e-12,"CvsMid",12,40,20,0,34,43,31,7,6,32,20,20
"plut2.m8.11192",183.571028386905,-1.62796269030831,0.209047294955311,-7.78753291524928,6.83302434153467e-15,1.49984884296686e-11,"CvsMid",277,249,105,36,286,193,241,141,152,158,233,111
"plut2.m8.30846",16.9241854729214,-1.85364316789866,0.442280925094013,-4.19109905656601,2.77606417722723e-05,0.00636630240046214,"CvsMid",15,27,7,0,25,33,23,16,9,15,14,11
"plut2.m8.7539",14.8145626607563,-2.14293231439414,0.542754713644965,-3.9482518723843,7.87239541889111e-05,0.0152549640590113,"CvsMid",12,9,17,8,18,22,13,12,1,15,19,9
"plut2.m8.20873",27.3196248908611,-1.44873509448193,0.380718990935103,-3.80526091152852,0.000141654789347942,0.0241836204259014,"CvsMid",35,52,23,7,26,20,37,24,28,15,28,21
"jamg1.TU.xfSc0000800.1",17.4847418477261,-1.82191247465994,0.381195160214464,-4.77947430821241,1.75754128314918e-06,0.000741426299824509,"CvsMid",29,17,15,8,48,11,13,17,10,10,29,7
"plut2.m8.15173",82.5442553157434,-0.989006370420544,0.272134784038856,-3.63425195317674,0.000278788324466545,0.0415881806352278,"CvsMid",148,110,61,37,100,46,96,143,77,50,95,60
"plut2.m8.18281",32.8019205035302,-1.19425295877078,0.269761781005989,-4.42706507318121,9.55239215710397e-06,0.00266859100898005,"CvsMid",59,33,26,7,55,27,41,46,35,29,37,17
"plut2.m8.18280",29.1668551619335,-2.14399969832101,0.298115624719547,-7.19183940908157,6.39241926891844e-13,8.92904746063017e-10,"CvsMid",31,32,25,5,55,26,39,25,13,28,36,17
"plut2.m8.9273",17.9391673187969,-1.62817365563237,0.374927738643645,-4.34263322719873,1.40785058509795e-05,0.00360527070667166,"CvsMid",22,23,23,8,30,16,13,23,10,12,19,9
"plut2.m8.14149",516.405313266255,-5.09862717747318,1.11512111496841,-4.57226314615847,4.82484472131322e-06,0.00154445289881203,"CvsMid",184,75,21,17,2779,52,94,33,114,19,2691,30
"plut2.m8.32388",33.6459095547313,1.58303492382942,0.290423261191668,5.45078557872359,5.01478040230815e-08,3.35009134267238e-05,"CvsMid",149,24,8,49,22,22,26,111,98,13,18,10
"plut2.m8.4878",31.2458108897941,-1.76373965521963,0.417008212829382,-4.22950819901779,2.34202743286118e-05,0.00562269554779876,"CvsMid",32,44,15,0,65,37,36,43,26,24,35,21
"plut2.m8.9965",42.9706994872084,-1.21600141503963,0.299661761945876,-4.0579131856645,4.95131656827424e-05,0.0100101288252018,"CvsMid",64,53,20,12,76,67,36,50,46,35,52,21
"plut2.m8.16250",34.9566607150289,-1.01404120787735,0.281871235633685,-3.59753348225707,0.000321249152404806,0.0461307778196247,"CvsMid",84,22,34,16,49,30,18,45,46,29,50,20
"plut2.m8.24633",1485.67812011291,-5.05325759810502,0.280013336524623,-18.0464890023574,8.40678662831793e-73,1.29170276544105e-68,"CvsMid",210,2250,1107,58,2882,1299,2172,109,166,985,2992,936
"plut2.m8.21745",204.031640027952,1.4652266808788,0.360637123453123,4.06288367334223,4.84701876387873e-05,0.00992992577426623,"CvsMid",497,244,66,83,99,316,164,678,566,271,39,47
"plut2.m8.22430",46.510839179695,-1.89787418854861,0.452451532443975,-4.19464639294511,2.73297598623449e-05,0.00636245091340801,"CvsMid",55,28,26,21,191,28,22,66,26,22,93,13
"plut2.m8.23510",379.97008273436,-1.73901400716237,0.320290152873214,-5.42949569807959,5.65135152505655e-08,3.53956270116827e-05,"CvsMid",365,273,431,110,541,405,479,528,149,433,410,185
"plut2.m8.8087",40.5335982667983,-1.78186199555746,0.316435705917795,-5.63103961479099,1.7912657362143e-08,1.25103627440603e-05,"CvsMid",36,51,19,10,67,78,43,27,29,37,37,26
"plut2.m8.12888",20.0083631487592,-1.50433695918372,0.379979944060621,-3.95899042225166,7.52672548159064e-05,0.0148266842339282,"CvsMid",25,35,22,6,23,12,23,20,16,18,18,12
"plut2.m8.15873",44.4601417990208,-1.43626464561514,0.382408919638426,-3.75583458401846,0.000172764780578259,0.0285291721157049,"CvsMid",71,38,20,20,91,58,27,54,36,26,92,18
"plut2.m8.22577",35.1742184181123,-1.53693646658724,0.333757733163937,-4.60494638436533,4.1257214171778e-06,0.00144072067215766,"CvsMid",33,52,34,11,47,24,39,54,23,28,40,22
"plut2.m8.21171",204.295190377867,-3.68592259364419,0.494616900430928,-7.4520757184659,9.18829625309887e-14,1.7647271491108e-10,"CvsMid",84,85,204,31,83,196,258,54,37,150,505,229
"plut2.m8.7118",26.0002447327476,-1.69127726040927,0.327364147394087,-5.16634846507268,2.38711564997496e-07,0.000130992971292376,"CvsMid",25,41,20,3,40,32,35,23,17,35,20,10
"plut2.m8.33379",12.2600436934541,-2.18585572465388,0.491131808838701,-4.45064987711224,8.56108205621631e-06,0.00244751788840473,"CvsMid",14,16,19,0,18,7,15,12,7,11,12,7
"plut2.m8.22320",117.52239149028,-2.21090638059188,0.52690292798542,-4.19604117412127,2.71620889237242e-05,0.00636245091340801,"CvsMid",195,71,25,25,472,55,67,95,99,36,348,36
"plut2.m8.216901",22.1008135708292,-1.78252528939256,0.409579912476827,-4.35208181625217,1.34850917324237e-05,0.00440847732912108,"CvsHigh",15,26,16,3,27,35,36,21,27,13,27,11
"plut2.m8.12211",20.0640908482059,-2.22162626834008,0.40202587208747,-5.52607785365791,3.27468861383767e-08,2.64038813629722e-05,"CvsHigh",18,43,15,3,32,18,19,10,12,14,25,14
"plut2.m8.315561",23.3130682486971,-2.59480053929833,0.389271576606835,-6.66578475088378,2.63254855740874e-11,2.88922204175609e-08,"CvsHigh",16,36,18,0,40,41,29,17,11,15,24,14
"plut2.m8.31557",39.9825912563035,-1.26696945385815,0.303784998173597,-4.17061231290342,3.03782290113337e-05,0.00791121167388376,"CvsHigh",76,36,24,17,48,70,51,30,42,29,39,23
"plut2.m8.921",731.37953358112,-0.578753009124577,0.141485417178483,-4.09054884005808,4.30353570412266e-05,0.0103318478271632,"CvsHigh",1483,721,594,395,848,711,695,1186,886,662,632,419
"plut2.m8.22609",221.892315378518,1.04076017555212,0.240670589805245,4.32441777117148,1.52935234395534e-05,0.00479561199283138,"CvsHigh",814,183,138,296,191,82,168,637,499,120,134,80
"plut2.m8.296851",11.6068587444491,-2.01623735076217,0.466171903734665,-4.32509410071563,1.52466764026785e-05,0.00479561199283138,"CvsHigh",11,12,12,3,11,21,12,9,6,10,11,8
"plut2.m8.21315",200.598716386052,0.863264960067657,0.236874220392599,3.6444023272641,0.000268013891227625,0.0452531147111259,"CvsHigh",692,175,141,245,156,96,157,593,386,102,143,75
"plut2.m8.295281",18.1010511638835,-2.02154471681927,0.486057241599567,-4.15906717111459,3.19549926101092e-05,0.00818314102423879,"CvsHigh",10,18,27,2,32,9,25,20,7,21,19,8
"plut2.m8.33612",23.1504843251723,-1.49168199421937,0.349684730030869,-4.26579105724087,1.99195138437683e-05,0.00560514252024652,"CvsHigh",28,39,15,7,43,23,29,17,30,20,16,12
"plut2.m8.303381",12.493679396992,-2.08820431379204,0.441064996555264,-4.73445938830105,2.19639742977904e-06,0.000964218471673,"CvsHigh",12,17,8,0,20,14,19,15,7,15,10,8
"plut2.m8.331561",20.0145310721413,-1.93112360654516,0.350550304571527,-5.50883448498367,3.61217341377492e-08,2.64290688107865e-05,"CvsHigh",25,31,12,3,38,25,26,16,11,14,22,12
"plut2.m8.264041",105.829213272988,-3.16389278415486,0.77209973732273,-4.09777730934829,4.17136291378799e-05,0.0101734906619607,"CvsHigh",41,47,134,22,19,170,226,11,35,106,104,92
"plut2.m8.288281",33.4123038761349,-1.12781096941385,0.277727671141357,-4.06085200217527,4.88939595624139e-05,0.0113826619496438,"CvsHigh",51,40,33,16,44,32,44,44,23,24,33,16
"plut2.m8.73751",190.343117460166,-0.88427241991349,0.215775474084663,-4.09811366961257,4.16530731604469e-05,0.0101734906619607,"CvsHigh",247,198,144,92,426,152,180,215,150,121,261,99
"plut2.m8.22300",33.4385811254953,-2.09145136483422,0.453911054626533,-4.60762377015694,4.0729676595161e-06,0.00156452870221162,"CvsHigh",42,55,13,0,74,61,40,37,27,34,22,12
"plut2.m8.20419",178.48243599035,-0.909973403728633,0.248331896461571,-3.66434363323703,0.000247973677675853,0.0432967676987442,"CvsHigh",339,149,117,71,176,134,224,241,203,220,197,116
"plut2.m8.258941",92.226028729373,-1.62626515742182,0.226562858456337,-7.17798657954004,7.07455027963356e-13,1.20778294496188e-09,"CvsHigh",118,145,53,28,125,117,113,87,64,60,103,63
"plut2.m8.8790",166.754542362687,-1.02980859337283,0.272379062285784,-3.7807920503535,0.000156330213274843,0.0304052370502274,"CvsHigh",477,208,78,61,207,279,172,302,157,203,70,58
"plut2.m8.30559",37.6871360315516,-1.06066321338124,0.265263655400512,-3.99852445590324,6.37385961348308e-05,0.0137935708396011,"CvsHigh",77,63,27,12,47,39,33,46,48,39,29,18
"plut2.m8.333671",22.1476384211051,-1.81406914296758,0.399673710521842,-4.53887532557245,5.65550601776659e-06,0.00202085697588334,"CvsHigh",25,22,22,5,55,18,23,10,9,16,42,7
"plut2.m8.333961",28.5456619321488,-1.97477789261392,0.45823352436391,-4.30954477928077,1.63590933143219e-05,0.00502714937549113,"CvsHigh",31,54,26,12,37,12,41,9,12,21,27,24
"plut2.m8.1011",880.811452310355,-1.08037442770852,0.264595819525681,-4.08311223376551,4.44365483239782e-05,0.0105041163845835,"CvsHigh",2102,805,611,214,842,803,1147,986,1057,1069,931,521
"jamg1.TU.Sc0000556.6",32.8724883279404,2.01195111675845,0.426482483778996,4.71754689414407,2.387053907633e-06,0.00101880786918836,"CvsHigh",93,7,29,49,37,13,18,154,64,8,27,7
"plut2.m8.11052",49.3679585936732,2.48978946721138,0.524040836687211,4.75113634836341,2.02276673647279e-06,0.000930568330473273,"CvsHigh",156,20,76,58,30,9,7,77,161,6,28,42
"plut2.m8.11877",19.6582050877299,-1.33614768003365,0.362555150758929,-3.6853639432145,0.000228376059133192,0.0403333120526608,"CvsHigh",35,36,11,8,36,16,19,18,19,23,17,7
"plut2.m8.258421",19.0598518398781,1.29621806259807,0.343955694025141,3.76856114061983,0.000164191270733323,0.0311456651212038,"CvsHigh",116,14,9,19,14,7,16,70,46,9,8,6
"plut2.m8.33535",61.011497335092,-1.20524184044333,0.242954484835563,-4.9607721432229,7.02135153888648e-07,0.000414934870749965,"CvsHigh",137,74,33,18,79,101,66,85,62,66,36,29
"plut2.m8.175131",17.0304063565533,-1.724664419329,0.471938453413853,-3.65442656103424,0.000257757427172647,0.0441805256844563,"CvsHigh",17,22,11,0,40,11,14,21,6,16,26,13
"jamg1.TU.Sc0000654.31",15.1932364773465,-1.66239342393444,0.421648006250013,-3.9426094735255,8.05998399543476e-05,0.0167353586607912,"CvsHigh",17,28,9,4,30,12,17,10,12,8,20,10
"plut2.m8.259281",102.382754484371,1.38475341873519,0.324741015355724,4.26417777014806,2.00639660666162e-05,0.00560514252024652,"CvsHigh",429,87,71,159,66,30,70,341,244,43,53,22
"plut2.m8.9453",54.7589764390147,-1.46005649144654,0.388237336619301,-3.7607317837085,0.000169417010933874,0.0317450289390119,"CvsHigh",41,79,61,24,71,42,54,83,28,69,34,30
"plut2.m8.257401",142.434165639693,-2.11960454368421,0.435335748078301,-4.86889614060128,1.1222336691783e-06,0.000594590356100846,"CvsHigh",85,106,146,35,171,316,113,170,43,157,179,49
"plut2.m8.9923",53.1752314781288,-0.955282539037445,0.261477350525765,-3.65340453816215,0.000258786027439054,0.0441805256844563,"CvsHigh",138,71,27,20,63,43,82,60,58,44,51,31
