Orthogroup	plut2v1.1.proteins	Mcavernosa.maker.proteins
OG0000016	jamg1.model.Sc0000023.3, jamg1.model.Sc0000175.80, jamg1.model.Sc0000004.44	Mcavernosa11913-RA
OG0000017	plut2.m8.11129.m1	Mcavernosa29307-RA
OG0000017	plut2.m8.2922.m1	Mcavernosa30106-RA
OG0000017	plut2.m8.25859.m1	Mcavernosa25308-RA
OG0000018	plut2.m8.29877.m1	Mcavernosa30129-RA
OG0000018	jamg1.model.Sc0000513.15	Mcavernosa32281-RA, Mcavernosa09742-RA, Mcavernosa05088-RA
OG0000018	plut2.m8.23850.m1	Mcavernosa24647-RA
OG0000018	plut2.m8.5732.m1, plut2.m8.5735.m1	Mcavernosa08814-RA
OG0000020	plut2.m8.28550.m1	Mcavernosa26396-RA
OG0000020	plut2.m8.23003.m1	Mcavernosa24651-RA, Mcavernosa04604-RA, Mcavernosa18302-RA, Mcavernosa02516-RA
OG0000021	plut2.m8.16968.m1	Mcavernosa05559-RA
OG0000022	plut2.m8.31378.m1	Mcavernosa28673-RA
OG0000022	plut2.m8.32557.m1, plut2.m8.23565.m1	Mcavernosa29144-RA, Mcavernosa16488-RA
OG0000025	plut2.m8.5900.m1, plut2.m8.20442.m1	Mcavernosa20067-RA
OG0000025	plut2.m8.14241.m1, plut2.m8.14242.m1	Mcavernosa21314-RA, Mcavernosa21315-RA
OG0000025	plut2.m8.20440.m1	Mcavernosa20066-RA
OG0000025	plut2.m8.6938.m1	Mcavernosa28460-RA, Mcavernosa28463-RA, Mcavernosa28462-RA
OG0000026	plut2.m8.23501.m1	Mcavernosa02665-RA
OG0000026	plut2.m8.23502.m1	Mcavernosa02666-RA
OG0000027	plut2.m8.24225.m1	Mcavernosa27416-RA, Mcavernosa22372-RA, Mcavernosa27417-RA, Mcavernosa22373-RA
OG0000027	plut2.m8.24214.m1	Mcavernosa27418-RA
OG0000028	plut2.m8.24164.m1	Mcavernosa17511-RA
OG0000029	plut2.m8.21902.m1, plut2.m8.31425.m1	Mcavernosa31797-RA, Mcavernosa31795-RA
OG0000029	plut2.m8.27791.m1, plut2.m8.25870.m1, plut2.m8.27789.m1, plut2.m8.31594.m1, plut2.m8.23050.m1, plut2.m8.25869.m1, plut2.m8.9223.m1, plut2.m8.9228.m1	Mcavernosa32391-RA
OG0000029	plut2.m8.22531.m1, plut2.m8.22530.m1, plut2.m8.21945.m1, plut2.m8.12389.m1, plut2.m8.21939.m1, plut2.m8.12325.m1	Mcavernosa22650-RA
OG0000030	plut2.m8.32801.m1	Mcavernosa04065-RA, Mcavernosa19067-RA
OG0000030	plut2.m8.26344.m1, plut2.m8.25055.m1, plut2.m8.21788.m1	Mcavernosa34429-RA, Mcavernosa27468-RA, Mcavernosa02512-RA, Mcavernosa14348-RA, Mcavernosa34603-RA, Mcavernosa10177-RA, Mcavernosa26151-RA
OG0000030	plut2.m8.26291.m1, jamg1.model.Sc0000804.2	Mcavernosa27512-RA
OG0000030	jamg1.model.Sc0000022.66	Mcavernosa29578-RA, Mcavernosa04064-RA, Mcavernosa04619-RA
OG0000031	plut2.m8.25305.m1	Mcavernosa24329-RA, Mcavernosa28166-RA, Mcavernosa28160-RA, Mcavernosa28161-RA, Mcavernosa24330-RA
OG0000035	plut2.m8.19567.m1, plut2.m8.25382.m1	Mcavernosa33996-RA, Mcavernosa12914-RA, Mcavernosa09888-RA, Mcavernosa09882-RA, Mcavernosa17840-RA
OG0000035	plut2.m8.23337.m1, plut2.m8.23329.m1	Mcavernosa20960-RA
OG0000035	plut2.m8.24993.m1, plut2.m8.22452.m1, plut2.m8.26219.m1	Mcavernosa33693-RA, Mcavernosa20206-RA, Mcavernosa20196-RA
