Orthogroup	plut2v1.1.proteins	Mcavernosa.maker.proteins
OG0007074	plut2.m8.24922.m1	Mcavernosa28519-RA
OG0007075	plut2.m8.22.m1	Mcavernosa17058-RA
OG0007078	plut2.m8.6314.m1	Mcavernosa11130-RA
OG0007079	plut2.m8.7644.m1	Mcavernosa31224-RA
OG0007080	plut2.m8.14161.m1	Mcavernosa28278-RA
OG0007082	plut2.m8.11787.m1	Mcavernosa02210-RA
OG0007083	plut2.m8.6176.m1	Mcavernosa18073-RA
OG0007084	plut2.m8.7464.m1	Mcavernosa00860-RA
OG0007085	plut2.m8.10836.m1	Mcavernosa16401-RA
OG0007086	plut2.m8.13306.m1, jamg1.model.xfSc0003178.1	Mcavernosa18645-RA
OG0007087	plut2.m8.15102.m1	Mcavernosa11633-RA
OG0007090	plut2.m8.5439.m1	Mcavernosa22662-RA
OG0007091	jamg1.model.Sc0000126.7	Mcavernosa22672-RA
OG0007093	plut2.m8.25462.m1, plut2.m8.25464.m1	Mcavernosa04492-RA
OG0007094	plut2.m8.7704.m1	Mcavernosa34306-RA, Mcavernosa34307-RA
OG0007096	plut2.m8.8921.m1	Mcavernosa14598-RA
OG0007097	plut2.m8.8919.m1	Mcavernosa14593-RA
OG0007098	jamg1.model.Sc0000098.94	Mcavernosa14600-RA
OG0007099	plut2.m8.8928.m1	Mcavernosa14603-RA
OG0007100	plut2.m8.1733.m1, plut2.m8.1734.m1	Mcavernosa10773-RA
OG0007101	plut2.m8.19991.m1	Mcavernosa26416-RA
OG0007102	plut2.m8.5076.m1	Mcavernosa29854-RA
OG0007103	plut2.m8.5067.m1	Mcavernosa30085-RA
OG0007104	plut2.m8.10369.m1	Mcavernosa31132-RA
OG0007105	plut2.m8.10366.m1	Mcavernosa31135-RA
OG0007106	plut2.m8.32260.m1	Mcavernosa32430-RA
OG0007107	plut2.m8.10371.m1	Mcavernosa23270-RA
OG0007109	plut2.m8.1749.m1	Mcavernosa13141-RA
OG0007110	plut2.m8.7625.m1	Mcavernosa25260-RA
OG0007111	plut2.m8.18758.m1, plut2.m8.27715.m1	Mcavernosa13833-RA
OG0007112	plut2.m8.1160.m1	Mcavernosa06101-RA
OG0007114	plut2.m8.4951.m1	Mcavernosa00425-RA
OG0007115	plut2.m8.4955.m1	Mcavernosa00424-RA
OG0007116	plut2.m8.5513.m1, plut2.m8.5516.m1	Mcavernosa19754-RA
OG0007117	plut2.m8.8701.m1	Mcavernosa21595-RA
OG0007118	plut2.m8.10452.m1	Mcavernosa07185-RA
OG0007119	plut2.m8.14341.m1	Mcavernosa26821-RA
OG0007120	plut2.m8.14342.m1	Mcavernosa26823-RA
OG0007122	plut2.m8.3393.m1	Mcavernosa17594-RA
OG0007123	plut2.m8.27793.m1	Mcavernosa28523-RA
OG0007124	plut2.m8.17152.m1	Mcavernosa10414-RA
OG0007125	plut2.m8.17155.m1	Mcavernosa23118-RA
OG0007126	plut2.m8.17153.m1	Mcavernosa10413-RA
OG0007127	plut2.m8.10699.m1	Mcavernosa07720-RA, Mcavernosa34947-RA
OG0007128	plut2.m8.10086.m1	Mcavernosa13640-RA, Mcavernosa13641-RA
OG0007129	plut2.m8.10077.m1	Mcavernosa13643-RA
OG0007130	plut2.m8.10071.m1	Mcavernosa13649-RA
OG0007131	plut2.m8.10078.m1	Mcavernosa13645-RA
OG0007132	plut2.m8.21273.m1	Mcavernosa30059-RA
OG0007133	plut2.m8.12976.m1	Mcavernosa04794-RA, Mcavernosa04793-RA
OG0007134	plut2.m8.19049.m1	Mcavernosa02266-RA
OG0007136	plut2.m8.11433.m1	Mcavernosa24379-RA
OG0007137	plut2.m8.11439.m1	Mcavernosa24378-RA
OG0007138	plut2.m8.15385.m1	Mcavernosa15738-RA
OG0007139	plut2.m8.15998.m1	Mcavernosa01614-RA
OG0007141	plut2.m8.20587.m1	Mcavernosa14138-RA
OG0007142	plut2.m8.20589.m1	Mcavernosa14143-RA, Mcavernosa14141-RA
OG0007144	plut2.m8.7434.m1	Mcavernosa00832-RA
OG0007145	plut2.m8.8968.m1	Mcavernosa12345-RA
OG0007146	plut2.m8.8967.m1	Mcavernosa12343-RA, Mcavernosa12344-RA
OG0007147	plut2.m8.21369.m1	Mcavernosa01076-RA
OG0007149	plut2.m8.10883.m1	Mcavernosa01088-RA
OG0007150	plut2.m8.21620.m1	Mcavernosa17033-RA
OG0007151	plut2.m8.21618.m1	Mcavernosa17034-RA
OG0007152	plut2.m8.1803.m1	Mcavernosa23219-RA
OG0007153	plut2.m8.1806.m1	Mcavernosa23214-RA
OG0007154	plut2.m8.22184.m1	Mcavernosa25443-RA
OG0007156	plut2.m8.22174.m1	Mcavernosa25440-RA, Mcavernosa33554-RA
OG0007157	plut2.m8.22170.m1	Mcavernosa25438-RA
OG0007158	plut2.m8.356.m1	Mcavernosa24449-RA
OG0007159	plut2.m8.351.m1	Mcavernosa24450-RA
OG0007160	plut2.m8.13960.m1	Mcavernosa00044-RA
OG0007161	plut2.m8.13951.m1	Mcavernosa00045-RA
OG0007162	plut2.m8.22213.m1	Mcavernosa17971-RA
OG0007163	plut2.m8.29965.m1	Mcavernosa17690-RA
OG0007165	plut2.m8.25255.m1	Mcavernosa03250-RA
OG0007167	plut2.m8.24199.m1	Mcavernosa03254-RA
OG0007168	plut2.m8.4961.m1	Mcavernosa23930-RA
OG0007169	plut2.m8.15185.m1	Mcavernosa32304-RA, Mcavernosa09511-RA
OG0007170	plut2.m8.22791.m1	Mcavernosa00547-RA
OG0007171	plut2.m8.22792.m1	Mcavernosa00542-RA
OG0007172	plut2.m8.9083.m1	Mcavernosa24900-RA
OG0007173	plut2.m8.9079.m1	Mcavernosa24901-RA
OG0007174	plut2.m8.17273.m1	Mcavernosa24916-RA
OG0007175	plut2.m8.17252.m1	Mcavernosa24876-RA
OG0007176	plut2.m8.9069.m1	Mcavernosa24896-RA
OG0007177	plut2.m8.15417.m1	Mcavernosa31396-RA
OG0007178	plut2.m8.19337.m1	Mcavernosa13200-RA
OG0007179	plut2.m8.9607.m1	Mcavernosa05940-RA
OG0007180	plut2.m8.21998.m1	Mcavernosa32909-RA
OG0007181	plut2.m8.9594.m1	Mcavernosa26192-RA
OG0007182	plut2.m8.9604.m1	Mcavernosa26193-RA
OG0007183	plut2.m8.9595.m1	Mcavernosa05958-RA
OG0007184	plut2.m8.26726.m1	Mcavernosa15804-RA
OG0007185	plut2.m8.3641.m1	Mcavernosa21395-RA
OG0007186	plut2.m8.3644.m1	Mcavernosa21393-RA
OG0007187	plut2.m8.26725.m1	Mcavernosa15800-RA, Mcavernosa15799-RA
OG0007189	plut2.m8.20919.m1	Mcavernosa30787-RA
OG0007190	plut2.m8.20926.m1	Mcavernosa30784-RA
OG0007192	plut2.m8.30032.m1	Mcavernosa28837-RA
OG0007193	plut2.m8.1638.m1	Mcavernosa16310-RA
OG0007194	plut2.m8.1637.m1	Mcavernosa32149-RA
OG0007195	plut2.m8.1641.m1	Mcavernosa32165-RA
OG0007196	plut2.m8.20199.m1, plut2.m8.20200.m1	Mcavernosa32104-RA
OG0007197	plut2.m8.21299.m1	Mcavernosa05854-RA, Mcavernosa34358-RA
OG0007198	plut2.m8.21297.m1	Mcavernosa05853-RA
OG0007199	plut2.m8.14336.m1	Mcavernosa13601-RA, Mcavernosa13603-RA
OG0007200	plut2.m8.14329.m1	Mcavernosa15668-RA
OG0007201	plut2.m8.14346.m1	Mcavernosa26817-RA
OG0007202	plut2.m8.7482.m1	Mcavernosa00865-RA
OG0007203	plut2.m8.7484.m1	Mcavernosa00866-RA
OG0007204	jamg1.model.Sc0000075.104	Mcavernosa00881-RA
OG0007205	plut2.m8.7483.m1	Mcavernosa00869-RA
OG0007206	plut2.m8.12841.m1	Mcavernosa18451-RA, Mcavernosa18450-RA
OG0007207	plut2.m8.12824.m1	Mcavernosa18455-RA
OG0007208	plut2.m8.12837.m1	Mcavernosa00882-RA
OG0007209	plut2.m8.12023.m1	Mcavernosa21682-RA
OG0007210	plut2.m8.8085.m1	Mcavernosa11699-RA
OG0007211	plut2.m8.8084.m1	Mcavernosa11694-RA
OG0007212	plut2.m8.22732.m1	Mcavernosa32640-RA, Mcavernosa14012-RA
OG0007213	plut2.m8.22736.m1	Mcavernosa08161-RA
OG0007214	plut2.m8.22725.m1	Mcavernosa14027-RA
OG0007215	plut2.m8.12941.m1	Mcavernosa05583-RA
OG0007216	plut2.m8.12943.m1	Mcavernosa27722-RA, Mcavernosa27720-RA
OG0007217	plut2.m8.12936.m1	Mcavernosa05581-RA
OG0007218	plut2.m8.26051.m1	Mcavernosa30796-RA
OG0007219	plut2.m8.29169.m1	Mcavernosa16078-RA
OG0007220	plut2.m8.29171.m1	Mcavernosa16084-RA
OG0007221	jamg1.model.xfSc0000087.20, plut2.m8.29170.m1	Mcavernosa28950-RA
OG0007222	plut2.m8.29183.m1, plut2.m8.29182.m1	Mcavernosa16096-RA
OG0007223	plut2.m8.5301.m1	Mcavernosa10692-RA
OG0007224	plut2.m8.5297.m1	Mcavernosa10688-RA
OG0007225	plut2.m8.31875.m1, plut2.m8.31081.m1	Mcavernosa24381-RA
OG0007226	jamg1.model.Sc0000142.97	Mcavernosa24380-RA
OG0007228	plut2.m8.3483.m1	Mcavernosa22975-RA
OG0007229	plut2.m8.4266.m1	Mcavernosa26891-RA
OG0007230	plut2.m8.6418.m1	Mcavernosa20614-RA
OG0007231	plut2.m8.4319.m1	Mcavernosa23886-RA
OG0007232	plut2.m8.14704.m1	Mcavernosa08224-RA, Mcavernosa08223-RA
OG0007233	plut2.m8.24448.m1	Mcavernosa28267-RA
OG0007234	plut2.m8.4318.m1	Mcavernosa23888-RA
OG0007235	plut2.m8.4290.m1	Mcavernosa08237-RA
OG0007236	plut2.m8.5982.m1	Mcavernosa31166-RA
OG0007237	plut2.m8.7656.m1	Mcavernosa31223-RA, Mcavernosa31219-RA
OG0007238	plut2.m8.14189.m1	Mcavernosa28045-RA
OG0007239	plut2.m8.10200.m1	Mcavernosa02767-RA
OG0007240	plut2.m8.27339.m1	Mcavernosa11917-RA
OG0007241	plut2.m8.27344.m1	Mcavernosa11919-RA
OG0007242	plut2.m8.11016.m1	Mcavernosa32085-RA
OG0007243	plut2.m8.11006.m1	Mcavernosa26180-RA
OG0007244	plut2.m8.11005.m1	Mcavernosa34706-RA
OG0007245	plut2.m8.11010.m1	Mcavernosa00695-RA
OG0007246	plut2.m8.5686.m1	Mcavernosa13731-RA
OG0007247	plut2.m8.15489.m1	Mcavernosa08616-RA
OG0007248	plut2.m8.8279.m1	Mcavernosa13739-RA
OG0007249	plut2.m8.8283.m1	Mcavernosa13740-RA, Mcavernosa13741-RA
OG0007250	plut2.m8.22572.m1	Mcavernosa27268-RA
OG0007251	plut2.m8.22560.m1	Mcavernosa13720-RA
OG0007252	plut2.m8.22559.m1	Mcavernosa13719-RA, Mcavernosa30640-RA
OG0007253	plut2.m8.22566.m1	Mcavernosa13711-RA
OG0007254	plut2.m8.25936.m1	Mcavernosa04544-RA
OG0007255	plut2.m8.29621.m1	Mcavernosa15705-RA
OG0007256	plut2.m8.32286.m1	Mcavernosa22480-RA
OG0007257	plut2.m8.27625.m1	Mcavernosa04807-RA
OG0007258	plut2.m8.5947.m1	Mcavernosa22577-RA
OG0007259	plut2.m8.27760.m1	Mcavernosa16014-RA
OG0007260	plut2.m8.6351.m1	Mcavernosa19589-RA
OG0007261	plut2.m8.26496.m1	Mcavernosa00231-RA
OG0007263	plut2.m8.15686.m1	Mcavernosa23961-RA
OG0007264	plut2.m8.26873.m1	Mcavernosa08376-RA
OG0007265	plut2.m8.26872.m1	Mcavernosa08378-RA
OG0007267	plut2.m8.11973.m1	Mcavernosa22342-RA
OG0007269	jamg1.model.Sc0000017.36	Mcavernosa08174-RA
OG0007271	plut2.m8.2186.m1, plut2.m8.2196.m1	Mcavernosa08177-RA
OG0007272	plut2.m8.2216.m1	Mcavernosa08192-RA
OG0007273	plut2.m8.2224.m1	Mcavernosa08191-RA, Mcavernosa29265-RA
OG0007274	plut2.m8.904.m1	Mcavernosa04188-RA
OG0007275	plut2.m8.912.m1	Mcavernosa17152-RA
OG0007276	plut2.m8.919.m1	Mcavernosa17151-RA
OG0007277	plut2.m8.918.m1	Mcavernosa17149-RA
OG0007278	jamg1.model.xfSc0000073.6	Mcavernosa29619-RA
OG0007279	plut2.m8.920.m1	Mcavernosa17148-RA
OG0007280	plut2.m8.909.m1	Mcavernosa04185-RA
OG0007281	jamg1.model.Sc0000497.25, plut2.m8.18659.m1	Mcavernosa00973-RA
OG0007282	plut2.m8.22944.m1	Mcavernosa00972-RA
OG0007283	plut2.m8.18665.m1	Mcavernosa00982-RA
OG0007284	plut2.m8.6833.m1	Mcavernosa00930-RA
OG0007285	plut2.m8.6834.m1	Mcavernosa00931-RA
OG0007286	plut2.m8.30611.m1	Mcavernosa00932-RA
OG0007287	plut2.m8.30612.m1, plut2.m8.30610.m1	Mcavernosa00934-RA
OG0007288	plut2.m8.18674.m1	Mcavernosa00938-RA
OG0007289	plut2.m8.22949.m1	Mcavernosa33770-RA, Mcavernosa00971-RA
OG0007290	plut2.m8.5531.m1	Mcavernosa28433-RA
OG0007291	plut2.m8.8497.m1	Mcavernosa25654-RA
OG0007293	plut2.m8.2930.m1	Mcavernosa14069-RA
OG0007294	plut2.m8.22647.m1	Mcavernosa15772-RA
OG0007295	plut2.m8.2689.m1	Mcavernosa10671-RA
OG0007296	plut2.m8.20357.m1, plut2.m8.20359.m1	Mcavernosa03213-RA
OG0007298	plut2.m8.2691.m1	Mcavernosa10679-RA, Mcavernosa19703-RA
OG0007299	plut2.m8.2681.m1	Mcavernosa19705-RA
OG0007300	plut2.m8.17416.m1	Mcavernosa03807-RA
OG0007301	plut2.m8.17411.m1	Mcavernosa03810-RA
OG0007302	plut2.m8.24.m1	Mcavernosa09126-RA
OG0007303	plut2.m8.843.m1	Mcavernosa15896-RA
OG0007304	plut2.m8.845.m1	Mcavernosa15890-RA
OG0007306	plut2.m8.3721.m1	Mcavernosa26259-RA
OG0007307	plut2.m8.3725.m1	Mcavernosa26526-RA
OG0007308	plut2.m8.11574.m1	Mcavernosa23764-RA, Mcavernosa32745-RA
OG0007309	plut2.m8.11566.m1	Mcavernosa23761-RA
OG0007310	plut2.m8.22910.m1	Mcavernosa13300-RA, Mcavernosa13297-RA
OG0007312	plut2.m8.11477.m1	Mcavernosa06517-RA
OG0007313	plut2.m8.26641.m1	Mcavernosa01406-RA
OG0007314	plut2.m8.26640.m1	Mcavernosa05453-RA
OG0007315	plut2.m8.31238.m1	Mcavernosa34359-RA
OG0007316	plut2.m8.6727.m1, plut2.m8.6723.m1	Mcavernosa08854-RA
OG0007318	plut2.m8.16449.m1	Mcavernosa20757-RA
OG0007319	plut2.m8.11766.m1	Mcavernosa13474-RA
OG0007320	plut2.m8.9244.m1	Mcavernosa17238-RA
OG0007321	plut2.m8.26795.m1	Mcavernosa00249-RA, Mcavernosa00253-RA
OG0007322	plut2.m8.26789.m1	Mcavernosa00248-RA, Mcavernosa00251-RA
OG0007324	plut2.m8.10795.m1	Mcavernosa00947-RA
OG0007325	plut2.m8.10790.m1	Mcavernosa00945-RA
OG0007326	plut2.m8.32506.m1	Mcavernosa30805-RA
OG0007327	plut2.m8.10264.m1	Mcavernosa11732-RA, Mcavernosa27666-RA
OG0007328	plut2.m8.23638.m1, plut2.m8.16683.m1	Mcavernosa26242-RA
OG0007329	plut2.m8.6599.m1	Mcavernosa08531-RA
OG0007330	jamg1.model.xfSc0000129.15	Mcavernosa05866-RA
OG0007331	plut2.m8.16058.m1	Mcavernosa27890-RA
OG0007332	plut2.m8.16072.m1	Mcavernosa27886-RA
OG0007333	plut2.m8.16073.m1	Mcavernosa27885-RA
OG0007334	plut2.m8.16078.m1	Mcavernosa27882-RA
OG0007335	plut2.m8.16053.m1	Mcavernosa27892-RA
OG0007336	plut2.m8.16051.m1	Mcavernosa27900-RA
OG0007337	plut2.m8.7928.m1	Mcavernosa24931-RA
OG0007338	plut2.m8.7621.m1	Mcavernosa32890-RA
OG0007339	plut2.m8.17907.m1	Mcavernosa01327-RA
OG0007340	plut2.m8.17915.m1	Mcavernosa01330-RA
OG0007341	plut2.m8.17904.m1	Mcavernosa26060-RA
OG0007342	plut2.m8.30850.m1	Mcavernosa21611-RA
OG0007343	plut2.m8.14723.m1	Mcavernosa05420-RA
OG0007344	plut2.m8.26450.m1	Mcavernosa24772-RA
OG0007345	plut2.m8.1884.m1, plut2.m8.4056.m1	Mcavernosa24019-RA
OG0007346	plut2.m8.8577.m1, plut2.m8.8591.m1	Mcavernosa27600-RA
OG0007347	plut2.m8.15226.m1	Mcavernosa25496-RA
OG0007349	plut2.m8.14291.m1	Mcavernosa29298-RA
OG0007350	plut2.m8.16859.m1	Mcavernosa30099-RA
OG0007351	plut2.m8.19283.m1	Mcavernosa06148-RA
OG0007352	plut2.m8.22336.m1	Mcavernosa02285-RA
OG0007353	plut2.m8.22337.m1	Mcavernosa21098-RA
OG0007354	plut2.m8.18843.m1	Mcavernosa00469-RA
OG0007355	plut2.m8.22331.m1	Mcavernosa06128-RA
OG0007357	plut2.m8.25095.m1	Mcavernosa08545-RA
OG0007358	plut2.m8.25099.m1	Mcavernosa08544-RA
OG0007359	plut2.m8.25096.m1	Mcavernosa08548-RA
OG0007360	plut2.m8.25094.m1, plut2.m8.24905.m1	Mcavernosa08540-RA
OG0007361	plut2.m8.26865.m1	Mcavernosa08383-RA
OG0007362	plut2.m8.1156.m1	Mcavernosa06108-RA
OG0007363	plut2.m8.1155.m1	Mcavernosa06111-RA
OG0007365	plut2.m8.16963.m1	Mcavernosa02731-RA
OG0007366	plut2.m8.16966.m1	Mcavernosa02728-RA
OG0007367	plut2.m8.12928.m1, plut2.m8.12934.m1	Mcavernosa11191-RA
OG0007368	plut2.m8.11800.m1	Mcavernosa09461-RA, Mcavernosa09462-RA
OG0007369	plut2.m8.27737.m1	Mcavernosa14084-RA
OG0007370	plut2.m8.27741.m1	Mcavernosa12261-RA, Mcavernosa12260-RA
OG0007371	plut2.m8.4236.m1, plut2.m8.33493.m1	Mcavernosa28077-RA
OG0007372	plut2.m8.4261.m1	Mcavernosa28059-RA
OG0007373	plut2.m8.6218.m1	Mcavernosa05699-RA
OG0007374	jamg1.model.Sc0000288.25	Mcavernosa15479-RA, Mcavernosa01956-RA
OG0007376	plut2.m8.3555.m1	Mcavernosa15928-RA
OG0007377	plut2.m8.3556.m1	Mcavernosa17584-RA
OG0007378	plut2.m8.10299.m1	Mcavernosa04152-RA
OG0007380	plut2.m8.16571.m1	Mcavernosa12419-RA
OG0007381	plut2.m8.6347.m1	Mcavernosa19586-RA
OG0007382	plut2.m8.18450.m1	Mcavernosa01637-RA
OG0007383	plut2.m8.18460.m1	Mcavernosa01633-RA
OG0007384	plut2.m8.5649.m1	Mcavernosa20096-RA
OG0007385	plut2.m8.5656.m1	Mcavernosa03691-RA
OG0007386	plut2.m8.5655.m1, plut2.m8.5654.m1	Mcavernosa03689-RA
OG0007387	plut2.m8.4072.m1, plut2.m8.31412.m1	Mcavernosa04022-RA
OG0007388	plut2.m8.1164.m1	Mcavernosa06095-RA
OG0007389	plut2.m8.1170.m1	Mcavernosa06087-RA
OG0007390	plut2.m8.15963.m1	Mcavernosa21758-RA, Mcavernosa21762-RA, Mcavernosa21763-RA
OG0007391	plut2.m8.15958.m1	Mcavernosa21757-RA, Mcavernosa21759-RA
OG0007392	plut2.m8.25007.m1	Mcavernosa26965-RA
OG0007393	plut2.m8.32543.m1	Mcavernosa26973-RA
OG0007394	plut2.m8.32544.m1	Mcavernosa26970-RA
OG0007395	plut2.m8.735.m1	Mcavernosa23808-RA
OG0007396	plut2.m8.15951.m1	Mcavernosa15142-RA, Mcavernosa15143-RA
OG0007397	plut2.m8.22292.m1	Mcavernosa01482-RA
OG0007398	plut2.m8.20858.m1	Mcavernosa31317-RA
OG0007399	plut2.m8.20855.m1	Mcavernosa31324-RA, Mcavernosa31323-RA
OG0007402	plut2.m8.7009.m1	Mcavernosa05499-RA
OG0007403	plut2.m8.7181.m1	Mcavernosa24662-RA, Mcavernosa24663-RA
OG0007404	plut2.m8.7156.m1	Mcavernosa14273-RA
OG0007405	plut2.m8.7175.m1	Mcavernosa24671-RA
OG0007406	plut2.m8.1354.m1	Mcavernosa06780-RA
OG0007409	plut2.m8.15006.m1	Mcavernosa14647-RA
OG0007410	plut2.m8.15004.m1	Mcavernosa14646-RA
OG0007411	plut2.m8.15007.m1	Mcavernosa14637-RA
OG0007413	plut2.m8.18468.m1	Mcavernosa27939-RA
OG0007414	plut2.m8.18469.m1	Mcavernosa22926-RA
OG0007415	plut2.m8.23909.m1	Mcavernosa13879-RA, Mcavernosa22340-RA
OG0007416	plut2.m8.23907.m1	Mcavernosa17602-RA
OG0007417	plut2.m8.14652.m1	Mcavernosa00561-RA
OG0007418	plut2.m8.20595.m1	Mcavernosa25715-RA
OG0007420	plut2.m8.10742.m1	Mcavernosa32769-RA
OG0007421	plut2.m8.10743.m1	Mcavernosa22283-RA
OG0007422	plut2.m8.10744.m1	Mcavernosa32770-RA
OG0007423	plut2.m8.21683.m1	Mcavernosa13749-RA
OG0007424	plut2.m8.10627.m1	Mcavernosa14572-RA
OG0007425	plut2.m8.10626.m1	Mcavernosa14573-RA
OG0007426	plut2.m8.22279.m1	Mcavernosa21807-RA
OG0007427	plut2.m8.8253.m1	Mcavernosa21815-RA
OG0007428	plut2.m8.8249.m1	Mcavernosa21817-RA, Mcavernosa21816-RA
OG0007429	plut2.m8.17270.m1	Mcavernosa21903-RA, Mcavernosa21902-RA
OG0007430	plut2.m8.12266.m1	Mcavernosa31584-RA
OG0007431	plut2.m8.12262.m1	Mcavernosa08372-RA
OG0007433	plut2.m8.16263.m1	Mcavernosa11057-RA
OG0007434	plut2.m8.12586.m1	Mcavernosa11331-RA
OG0007435	plut2.m8.18366.m1	Mcavernosa13765-RA
OG0007436	plut2.m8.18356.m1	Mcavernosa13768-RA
OG0007437	plut2.m8.18362.m1	Mcavernosa13767-RA
OG0007438	plut2.m8.6952.m1	Mcavernosa13794-RA, Mcavernosa13796-RA
OG0007439	plut2.m8.19134.m1	Mcavernosa13792-RA
OG0007440	plut2.m8.18347.m1	Mcavernosa13781-RA
OG0007441	plut2.m8.18367.m1	Mcavernosa13766-RA
OG0007442	plut2.m8.3237.m1	Mcavernosa13814-RA
OG0007443	plut2.m8.3244.m1	Mcavernosa13813-RA
OG0007444	plut2.m8.28888.m1	Mcavernosa08331-RA
OG0007445	plut2.m8.28893.m1	Mcavernosa08332-RA
OG0007447	plut2.m8.28892.m1	Mcavernosa08337-RA
OG0007448	plut2.m8.30009.m1	Mcavernosa10215-RA, Mcavernosa10214-RA
OG0007449	plut2.m8.30017.m1	Mcavernosa11426-RA, Mcavernosa10223-RA
OG0007450	plut2.m8.6819.m1	Mcavernosa00920-RA
OG0007452	plut2.m8.6801.m1	Mcavernosa31896-RA
OG0007453	plut2.m8.6820.m1	Mcavernosa00921-RA
OG0007454	plut2.m8.15133.m1	Mcavernosa06923-RA
OG0007455	plut2.m8.15135.m1	Mcavernosa06922-RA
OG0007456	plut2.m8.11286.m1	Mcavernosa12542-RA
OG0007458	plut2.m8.10216.m1	Mcavernosa32056-RA
OG0007459	plut2.m8.10217.m1	Mcavernosa32058-RA
OG0007461	plut2.m8.5283.m1	Mcavernosa02543-RA
OG0007462	plut2.m8.5293.m1	Mcavernosa10680-RA
OG0007463	plut2.m8.5442.m1, plut2.m8.31931.m1	Mcavernosa22659-RA
OG0007464	plut2.m8.27390.m1	Mcavernosa13204-RA
OG0007465	plut2.m8.27386.m1	Mcavernosa13205-RA, Mcavernosa13206-RA
OG0007466	plut2.m8.19331.m1	Mcavernosa18982-RA
OG0007468	plut2.m8.11019.m1	Mcavernosa32170-RA
OG0007470	plut2.m8.27354.m1	Mcavernosa12193-RA
OG0007471	plut2.m8.25394.m1	Mcavernosa00696-RA
OG0007472	plut2.m8.11028.m1	Mcavernosa02520-RA
OG0007473	plut2.m8.16180.m1	Mcavernosa09662-RA
OG0007474	jamg1.model.Sc0000186.14, jamg1.model.Sc0000186.15	Mcavernosa12082-RA
OG0007475	plut2.m8.14026.m1	Mcavernosa12075-RA, Mcavernosa12074-RA
OG0007476	plut2.m8.6329.m1	Mcavernosa12553-RA
OG0007477	plut2.m8.6332.m1	Mcavernosa12555-RA
OG0007478	plut2.m8.23392.m1	Mcavernosa11388-RA
OG0007479	plut2.m8.9377.m1	Mcavernosa19628-RA
OG0007480	plut2.m8.9374.m1	Mcavernosa19630-RA
OG0007481	plut2.m8.19440.m1	Mcavernosa20636-RA
OG0007482	plut2.m8.11886.m1	Mcavernosa27244-RA, Mcavernosa26542-RA
OG0007483	plut2.m8.13400.m1	Mcavernosa26325-RA
OG0007484	plut2.m8.31264.m1	Mcavernosa14666-RA
OG0007484	plut2.m8.22885.m1	Mcavernosa14664-RA
OG0007485	plut2.m8.18375.m1	Mcavernosa03526-RA
OG0007485	plut2.m8.24802.m1	Mcavernosa14668-RA
OG0007486	plut2.m8.12250.m1	Mcavernosa31591-RA
OG0007487	plut2.m8.16770.m1, plut2.m8.16771.m1	Mcavernosa08055-RA
OG0007488	plut2.m8.16767.m1	Mcavernosa00451-RA
OG0007489	plut2.m8.16774.m1	Mcavernosa00455-RA
OG0007490	plut2.m8.29919.m1	Mcavernosa00330-RA
OG0007491	plut2.m8.18475.m1	Mcavernosa27940-RA
OG0007493	plut2.m8.23267.m1	Mcavernosa18756-RA
OG0007494	plut2.m8.23255.m1	Mcavernosa18757-RA
OG0007495	plut2.m8.25253.m1	Mcavernosa03240-RA, Mcavernosa03239-RA
OG0007496	plut2.m8.18069.m1, plut2.m8.26905.m1	Mcavernosa03506-RA
OG0007497	plut2.m8.26927.m1	Mcavernosa03524-RA
OG0007498	plut2.m8.26924.m1	Mcavernosa03521-RA
OG0007499	plut2.m8.18068.m1	Mcavernosa03512-RA
OG0007500	plut2.m8.10288.m1	Mcavernosa04156-RA
OG0007501	plut2.m8.10295.m1	Mcavernosa04161-RA
OG0007502	plut2.m8.10300.m1	Mcavernosa04162-RA
OG0007503	plut2.m8.10304.m1	Mcavernosa04163-RA
OG0007504	plut2.m8.11332.m1	Mcavernosa10357-RA
OG0007505	plut2.m8.19980.m1	Mcavernosa05300-RA
OG0007506	plut2.m8.25898.m1, plut2.m8.19973.m1	Mcavernosa05309-RA
OG0007508	plut2.m8.9566.m1	Mcavernosa20471-RA, Mcavernosa25602-RA
OG0007509	plut2.m8.9568.m1	Mcavernosa22026-RA
OG0007510	plut2.m8.9562.m1, plut2.m8.9563.m1	Mcavernosa22028-RA
OG0007511	plut2.m8.16232.m1	Mcavernosa17009-RA
OG0007512	plut2.m8.12856.m1	Mcavernosa17025-RA
OG0007514	plut2.m8.1616.m1	Mcavernosa01842-RA
OG0007515	plut2.m8.12861.m1	Mcavernosa18965-RA
OG0007516	plut2.m8.9564.m1	Mcavernosa20468-RA
OG0007517	plut2.m8.11084.m1	Mcavernosa16225-RA, Mcavernosa33163-RA
OG0007518	plut2.m8.184.m1	Mcavernosa04986-RA
OG0007519	plut2.m8.186.m1	Mcavernosa11334-RA
OG0007520	plut2.m8.187.m1	Mcavernosa01144-RA
OG0007521	plut2.m8.14476.m1	Mcavernosa01131-RA
OG0007522	plut2.m8.172.m1	Mcavernosa11336-RA
OG0007523	plut2.m8.176.m1	Mcavernosa25672-RA
OG0007524	plut2.m8.178.m1	Mcavernosa25675-RA
OG0007525	plut2.m8.10542.m1	Mcavernosa28659-RA
OG0007528	plut2.m8.21131.m1	Mcavernosa01426-RA
OG0007529	plut2.m8.18209.m1	Mcavernosa21089-RA
