Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
48_T31_Of_JNO	pass	0.0	fail	50.0	Sanger / Illumina 1.9	pass	pass	50.0	Conventional base calls	pass	pass	12280565.0	pass	fail	warn	41.0	45.0003087123	48_T31_Of_JNO.fastq.gz	warn	pass
49_T31_Mc_SWQ	pass	0.0	warn	50.0	Sanger / Illumina 1.9	pass	pass	50.0	Conventional base calls	pass	fail	14934691.0	pass	fail	fail	41.0	55.5255918356	49_T31_Mc_SWQ.fastq.gz	warn	pass
50_T21_Of_YZB	pass	0.0	warn	50.0	Sanger / Illumina 1.9	pass	pass	50.0	Conventional base calls	pass	pass	15084847.0	pass	fail	warn	42.0	57.7602011967	50_T21_Of_YZB.fastq.gz	fail	pass
51_T42_Of_UOF	pass	0.0	warn	50.0	Sanger / Illumina 1.9	pass	pass	50.0	Conventional base calls	pass	pass	14442222.0	pass	fail	pass	41.0	54.4657186474	51_T42_Of_UOF.fastq.gz	fail	pass
52_T11_Ac_II	pass	0.0	warn	50.0	Sanger / Illumina 1.9	pass	pass	50.0	Conventional base calls	pass	pass	17303453.0	pass	fail	warn	42.0	51.4768807641	52_T11_Ac_II.fastq.gz	fail	pass
53_T21_Ac_NH	pass	0.0	warn	50.0	Sanger / Illumina 1.9	pass	pass	50.0	Conventional base calls	pass	pass	10306635.0	pass	fail	warn	44.0	60.5759712245	53_T21_Ac_NH.fastq.gz	fail	pass
54_T42_Ac_JQ	pass	0.0	fail	50.0	Sanger / Illumina 1.9	pass	pass	50.0	Conventional base calls	pass	pass	23542186.0	pass	fail	warn	43.0	49.6662880471	54_T42_Ac_JQ.fastq.gz	fail	pass
55_T32_Mc_TWP	pass	0.0	warn	50.0	Sanger / Illumina 1.9	pass	pass	50.0	Conventional base calls	pass	warn	19313398.0	pass	fail	warn	43.0	56.5519760627	55_T32_Mc_TWP.fastq.gz	fail	pass
56_T42_Mc_JAW	pass	0.0	warn	50.0	Sanger / Illumina 1.9	pass	pass	50.0	Conventional base calls	pass	pass	11743795.0	pass	fail	warn	43.0	61.8019752086	56_T42_Mc_JAW.fastq.gz	fail	pass
57_T32_Ac_NM	pass	0.0	warn	50.0	Sanger / Illumina 1.9	pass	pass	50.0	Conventional base calls	pass	pass	11679142.0	pass	fail	warn	44.0	60.8593459484	57_T32_Ac_NM.fastq.gz	fail	pass
58_T21_Mc_EAH	pass	0.0	warn	50.0	Sanger / Illumina 1.9	pass	pass	50.0	Conventional base calls	pass	warn	20792838.0	pass	fail	warn	45.0	57.0493515698	58_T21_Mc_EAH.fastq.gz	fail	pass
59_T11_Of_TQP	pass	0.0	warn	50.0	Sanger / Illumina 1.9	pass	pass	50.0	Conventional base calls	pass	pass	19297200.0	pass	fail	pass	41.0	51.4115089699	59_T11_Of_TQP.fastq.gz	fail	pass
60_T32_Of_WXY	pass	0.0	warn	50.0	Sanger / Illumina 1.9	pass	pass	50.0	Conventional base calls	pass	pass	19349770.0	pass	fail	pass	41.0	54.4867248898	60_T32_Of_WXY.fastq.gz	fail	pass
61_T11_Mc_RAP	pass	0.0	warn	50.0	Sanger / Illumina 1.9	pass	pass	50.0	Conventional base calls	pass	warn	16873902.0	pass	fail	pass	45.0	58.8172368364	61_T11_Mc_RAP.fastq.gz	fail	pass
