Orthogroup	Acerv_assembly_v1.0.protein	Montipora_capitata_HIv2.genes.pep
OG0000006	Acerv_evm.model.Segkk643_pilon.9, Acerv_evm.model.Segkk895_pilon.8, Acerv_evm.model.Segkk3698_pilon.7	Montipora_capitata_PredGene_adi2mcaRNA31145_R0.t1, Montipora_capitata_PredGene_g53388.t1, Montipora_capitata_PredGene_g4437.t1, Montipora_capitata_PredGene_g60114.t1, Montipora_capitata_PredGene_g60131.t1
OG0000006	Acerv_evm.model.Segkk2353_pilon.15	Montipora_capitata_PredGene_adi2mcaRNA6339_R1.t1, Montipora_capitata_PredGene_g50184.t1, Montipora_capitata_PredGene_adi2mcaRNA6338_R2.t1
OG0000007	Acerv_evm.model.Segkk2329_pilon.6	Montipora_capitata_PredGene_g4647.t1
OG0000007	Acerv_evm.model.Segkk1368_pilon.5	Montipora_capitata_PredGene_g45463.t1
OG0000007	Acerv_evm.model.Segkk1092_pilon.8	Montipora_capitata_PredGene_g25482.t1
OG0000007	Acerv_evm.model.Segkk533_pilon.1	Montipora_capitata_PredGene_g16119.t1, Montipora_capitata_PredGene_g26439.t1, Montipora_capitata_PredGene_g26441.t1, Montipora_capitata_PredGene_g26440.t1, Montipora_capitata_PredGene_g26455.t1, Montipora_capitata_PredGene_g26456.t1, Montipora_capitata_PredGene_g26451.t1, Montipora_capitata_PredGene_g26461.t1, Montipora_capitata_PredGene_g26450.t1, Montipora_capitata_PredGene_g26448.t1, Montipora_capitata_PredGene_g26458.t1, Montipora_capitata_PredGene_g26449.t1, Montipora_capitata_PredGene_adi2mcaRNA3402_R7.t1, Montipora_capitata_PredGene_g26454.t1
OG0000007	Acerv_evm.model.Segkk673_pilon.11	Montipora_capitata_PredGene_adi2mcaRNA23234_R0.t1
OG0000008	Acerv_evm.model.Segkk160_pilon.3	Montipora_capitata_PredGene_adi2mcaRNA31763_R1.t1
OG0000008	Acerv_evm.model.Segkk2025_pilon.1, Acerv_evm.model.Segkk1902_pilon.1, Acerv_evm.model.Segkk4028_pilon.31, Acerv_evm.model.Segkk2267_pilon.23, Acerv_evm.model.Segkk1024_pilon.2, Acerv_evm.model.Segkk1514_pilon.8, Acerv_evm.model.Segkk3153_pilon.2, Acerv_evm.model.Segkk1679_pilon.2	Montipora_capitata_PredGene_adi2mcaRNA26716_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA19301_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA22623_R2.t1, Montipora_capitata_PredGene_adi2mcaRNA38765_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA22623_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA38765_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA38774_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA26716_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA22623_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA35701_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA33078_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA38800_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA22623_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA22623_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA38767_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA38800_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA31412_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA22623_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA22623_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA1971_R2.t1, Montipora_capitata_PredGene_adi2mcaRNA22623_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA22623_R5.t1
OG0000008	Acerv_evm.model.Segkk3819_pilon.4, Acerv_evm.model.Segkk3819_pilon.1, Acerv_evm.model.Segkk1181_pilon.10, Acerv_evm.model.Segkk4332_pilon.11, Acerv_evm.model.Segkk607_pilon.15	Montipora_capitata_PredGene_adi2mcaRNA38767_R5.t1
OG0000008	Acerv_evm.model.Segkk926_pilon.6, Acerv_evm.model.Segkk2267_pilon.14, Acerv_evm.model.Segkk2267_pilon.9, Acerv_evm.model.Segkk2025_pilon.4, Acerv_evm.model.Segkk2889_pilon.25, Acerv_evm.model.Segkk2920_pilon.7, Acerv_evm.model.Segkk2267_pilon.20, Acerv_evm.model.Segkk377_pilon.2, Acerv_evm.model.Segkk2267_pilon.21, Acerv_evm.model.Segkk2267_pilon.7, Acerv_evm.model.Segkk4138_pilon.32, Acerv_evm.model.Segkk607_pilon.14, Acerv_evm.model.Segkk1181_pilon.9, Acerv_evm.model.Segkk1514_pilon.10, Acerv_evm.model.Segkk1514_pilon.11, Acerv_evm.model.Segkk2731_pilon.1, Acerv_evm.model.Segkk981_pilon.6, Acerv_evm.model.Segkk1838_pilon.9	Montipora_capitata_PredGene_adi2mcaRNA22597_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA22790_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA22790_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA22790_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA22790_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA37403_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA22597_R1.t1
OG0000009	Acerv_evm.model.Segkk4037_pilon.32	Montipora_capitata_PredGene_g14015.t1, Montipora_capitata_PredGene_g45110.t1
OG0000009	Acerv_evm.model.Segkk4037_pilon.31	Montipora_capitata_PredGene_adi2mcaRNA28169_R8.t1
OG0000009	Acerv_evm.model.Segkk4037_pilon.30	Montipora_capitata_PredGene_g45118.t1
OG0000009	Acerv_evm.model.Segkk3961_pilon.3	Montipora_capitata_PredGene_g21454.t1, Montipora_capitata_PredGene_g35402.t1, Montipora_capitata_PredGene_g68881.t1
OG0000009	Acerv_evm.model.Segkk4150_pilon.1, Acerv_evm.model.Segkk3203_pilon.1, Acerv_evm.model.Segkk676_pilon.1, Acerv_evm.model.Segkk2269_pilon.6, Acerv_evm.model.Segkk2484_pilon.1, Acerv_evm.model.Segkk1270_pilon.2, Acerv_evm.model.Segkk752_pilon.3, Acerv_evm.model.Segkk1030_pilon.3, Acerv_evm.model.Segkk3417_pilon.2, Acerv_evm.model.Segkk628_pilon.3, Acerv_evm.model.Segkk794_pilon.2, Acerv_evm.model.Segkk3405_pilon.5, Acerv_evm.model.Segkk752_pilon.1, Acerv_evm.model.Segkk1533_pilon.2, Acerv_evm.model.Segkk349_pilon.2, Acerv_evm.model.Segkk728_pilon.5, Acerv_evm.model.Segkk3405_pilon.6, Acerv_evm.model.Segkk129_pilon.2, Acerv_evm.model.Segkk1270_pilon.1, Acerv_evm.model.Segkk752_pilon.2	Montipora_capitata_PredGene_g62927.t1, Montipora_capitata_PredGene_g4442.t1, Montipora_capitata_PredGene_g4457.t1
OG0000009	Acerv_evm.model.Segkk1270_pilon.3, Acerv_evm.model.Segkk3405_pilon.3, Acerv_evm.model.Segkk794_pilon.4	Montipora_capitata_PredGene_g51072.t1, Montipora_capitata_PredGene_adi2mcaRNA10239_R2.t1, Montipora_capitata_PredGene_adi2mcaRNA10239_R0.t1, Montipora_capitata_PredGene_g51086.t1, Montipora_capitata_PredGene_adi2mcaRNA38892_R9.t1, Montipora_capitata_PredGene_g51090.t1, Montipora_capitata_PredGene_g51511.t1, Montipora_capitata_PredGene_adi2mcaRNA10239_R5.t1, Montipora_capitata_PredGene_g51524.t1, Montipora_capitata_PredGene_g51532.t1
OG0000010	Acerv_evm.model.Segkk3124_pilon.1	Montipora_capitata_PredGene_g273.t1, Montipora_capitata_PredGene_g30970.t1, Montipora_capitata_PredGene_g19848.t1
OG0000010	Acerv_evm.model.Segkk1288_pilon.38, Acerv_evm.model.Segkk4368_pilon.16, Acerv_evm.model.Segkk1126_pilon.4, Acerv_evm.model.Segkk1158_pilon.53, Acerv_evm.model.Segkk1731_pilon.10	Montipora_capitata_PredGene_g48682.t1
OG0000010	Acerv_evm.model.Segkk2143_pilon.1	Montipora_capitata_PredGene_g8222.t1
OG0000010	Acerv_evm.model.Segkk392_pilon.2	Montipora_capitata_PredGene_g66122.t1
OG0000010	Acerv_evm.model.Segkk4109_pilon.4	Montipora_capitata_PredGene_g49520.t1
OG0000010	Acerv_evm.model.Segkk1871_pilon.18, Acerv_evm.model.Segkk373_pilon.1, Acerv_evm.model.Segkk373_pilon.2, Acerv_evm.model.Segkk4300_pilon.14	Montipora_capitata_PredGene_g4230.t1
OG0000010	Acerv_evm.model.Segkk3162_pilon.1	Montipora_capitata_PredGene_g46294.t1, Montipora_capitata_PredGene_g46300.t1, Montipora_capitata_PredGene_g54949.t1
OG0000010	Acerv_evm.model.Segkk2737_pilon.10	Montipora_capitata_PredGene_adi2mcaRNA27420_R4.t1
OG0000010	Acerv_evm.model.Segkk3971_pilon.17	Montipora_capitata_PredGene_g63780.t1
OG0000010	Acerv_evm.model.Segkk1845_pilon.7, Acerv_evm.model.Segkk650_pilon.2, Acerv_evm.model.Segkk1318_pilon.15	Montipora_capitata_PredGene_g2682.t1
OG0000010	Acerv_evm.model.Segkk3675_pilon.5	Montipora_capitata_PredGene_g52397.t1, Montipora_capitata_PredGene_adi2mcaRNA15662_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA15662_R7.t1
OG0000010	Acerv_evm.model.Segkk1844_pilon.5	Montipora_capitata_PredGene_adi2mcaRNA5859_R3.t1
OG0000010	Acerv_evm.model.Segkk1610_pilon.1, Acerv_evm.model.Segkk3971_pilon.16	Montipora_capitata_PredGene_adi2mcaRNA10967_R3.t1
OG0000010	Acerv_evm.model.Segkk230_pilon.11	Montipora_capitata_PredGene_g63476.t1
OG0000010	Acerv_evm.model.Segkk3741_pilon.10	Montipora_capitata_PredGene_adi2mcaRNA13323_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA5859_R7.t1
OG0000010	Acerv_evm.model.Segkk1684_pilon.2, Acerv_evm.model.Segkk1729_pilon.2, Acerv_evm.model.Segkk3693_pilon.21, Acerv_evm.model.Segkk3971_pilon.23, Acerv_evm.model.Segkk524_pilon.3, Acerv_evm.model.Segkk2534_pilon.3, Acerv_evm.model.Segkk2231_pilon.1	Montipora_capitata_PredGene_g10331.t1, Montipora_capitata_PredGene_g24892.t1
OG0000010	Acerv_evm.model.Segkk4292_pilon.3	Montipora_capitata_PredGene_adi2mcaRNA10967_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA3304_R0.t1
OG0000010	Acerv_evm.model.Segkk3935_pilon.16	Montipora_capitata_PredGene_g11819.t1
OG0000011	Acerv_evm.model.Segkk1878_pilon.3	Montipora_capitata_PredGene_g35924.t1
OG0000011	Acerv_evm.model.Segkk707_pilon.3	Montipora_capitata_PredGene_g44401.t1, Montipora_capitata_PredGene_g63302.t1
OG0000011	Acerv_evm.model.Segkk1676_pilon.21, Acerv_evm.model.Segkk1676_pilon.7, Acerv_evm.model.Segkk138_pilon.4, Acerv_evm.model.Segkk1676_pilon.17, Acerv_evm.model.Segkk1676_pilon.14, Acerv_evm.model.Segkk1676_pilon.8, Acerv_evm.model.Segkk1676_pilon.10	Montipora_capitata_PredGene_g24340.t1, Montipora_capitata_PredGene_g3237.t1, Montipora_capitata_PredGene_g24341.t1, Montipora_capitata_PredGene_g35232.t1, Montipora_capitata_PredGene_g35223.t1, Montipora_capitata_PredGene_g35229.t1, Montipora_capitata_PredGene_g35233.t1, Montipora_capitata_PredGene_g35224.t1, Montipora_capitata_PredGene_g35228.t1
