,gene_id,length
6879,LOC110041278,1010
6897,LOC110067805,19529
6930,LOC110041305,13995
6949,LOC110041305,8268
6977,LOC110067901,9303
7007,LOC110067996,21834
7043,LOC110064490,2735
7052,LOC110041482,13158
7084,LOC110041490,712
7088,LOC110041838,16727
7112,LOC110041471,2294
7126,LOC110041342,4804
7132,LOC110041353,9677
7144,LOC110041353,8471
7170,LOC110041676,1390
7179,LOC110041387,5563
7185,LOC110041387,5448
7191,LOC110041387,5448
7198,LOC110041460,1489
7203,LOC110041450,4654
7209,LOC110041415,10583
7218,LOC110041415,3831
7228,LOC110041439,2635
7238,LOC110041429,3868
7249,LOC110041408,2829
7257,LOC110068295,10552
7277,LOC110041591,4199
7285,LOC110041876,6234
7299,LOC110064780,11492
7331,LOC110041848,3115
7356,LOC110042039,6951
7369,LOC110042039,4692
7381,LOC110042029,1809
7387,LOC110041989,5148
7401,LOC110042479,4455
7409,LOC110042093,7108
7421,LOC110042105,2101
7431,LOC110042084,9928
7439,LOC110042061,12600
7456,LOC110042061,11549
7474,LOC110042061,11444
7497,LOC110042463,2694
7501,LOC110042398,6557
7505,LOC110042409,4088
7509,LOC110042376,4209
7513,LOC110041960,14709
7533,LOC110041971,1945
7537,LOC110041948,6743
7551,LOC110041938,5508
7565,LOC110041979,11417
7577,LOC110042294,1169
7581,LOC110042500,1744
7585,LOC110042418,2323
7589,LOC110042436,4504
7598,LOC110042115,10062
7623,LOC110042115,10061
7647,LOC110042530,4835
7656,LOC110042530,4833
7666,LOC110042489,17567
7698,LOC110042266,6357
7707,LOC110042266,5517
7720,LOC110042282,2249
7726,LOC110042454,1365
7730,LOC110042445,1117
7734,LOC110042304,54414
7860,LOC110042129,4817
7868,LOC110042147,1666
7876,LOC110042138,5211
7884,LOC110042315,3474
7891,LOC110042325,7344
7899,LOC110042156,5575
7904,LOC110042156,5575
7912,LOC110042170,33194
7962,LOC110042183,4843
7970,LOC110042183,3592
7978,LOC110042183,3591
7987,LOC110042387,14027
7993,LOC110042335,5385
8001,LOC110042511,16755
8005,LOC110042511,9356
8010,LOC110042208,7697
8016,LOC110042216,18451
8036,LOC110042216,18451
8056,LOC110042216,18309
8082,LOC110042008,1480
8090,LOC110042343,6382
8109,LOC110042428,7332
8123,LOC110042354,52292
8239,LOC110042240,21184
8278,LOC110042257,2541
8287,LOC110042252,5194
8293,LOC110042366,22929
8340,LOC110042723,4621
8349,LOC110042743,3508
8356,LOC110042734,11089
8366,LOC110042714,2174
8370,LOC110042593,666
8379,LOC110042602,1323
8397,LOC110042619,16570
8442,LOC110042631,21390
8488,LOC110042639,25992
8518,LOC110042586,2548
8526,LOC110042649,8787
8544,LOC110042773,2516
8552,LOC110042762,3943
8556,LOC110042660,1687
8562,LOC110042671,7501
8568,LOC110042783,2097
8576,LOC110042682,10511
8619,LOC110042703,1661
8626,LOC110042857,13311
8631,LOC110042692,3177
8637,LOC110042806,2607
8641,LOC110042841,2855
8652,LOC110042841,2475
8678,LOC110042816,6815
8686,LOC110042822,5732
8697,LOC110043050,8477
8717,LOC110042990,3504
8721,LOC110043001,2707
8725,LOC110042923,38383
8809,LOC110043009,4459
8824,LOC110042867,2667
8834,LOC110042867,2666
8847,LOC110042931,2853
8858,LOC110042950,434
8867,LOC110042971,1936
8875,LOC110042912,658
8907,LOC110042885,11775
8918,LOC110042885,11775
8932,LOC110042981,976
8945,LOC110043069,26361
8959,LOC110043118,13199
8969,LOC110043108,78168
8993,LOC110043086,2858
8999,LOC110043096,167307
9037,LOC110043146,1610
9043,LOC110043128,14977
9064,LOC110043128,11703
9085,LOC110043128,11703
9107,LOC110043155,879
9113,LOC110043193,1658
9121,LOC110043174,5637
9130,LOC110043165,4209
9138,LOC110043060,8142
9144,LOC110043184,8670
9180,LOC110043212,28995
9197,LOC110043212,28995
9220,LOC110043291,1851
9226,LOC110043280,19215
9268,LOC110043432,12461
9308,LOC110043421,14930
9338,LOC110043464,2221
9344,LOC110043443,765
9352,LOC110043303,21998
9420,LOC110043328,1995
9428,LOC110043321,13214
9442,LOC110043474,23186
9490,LOC110043309,4170
9506,LOC110043483,6834
9521,LOC110043490,2552
9533,LOC110043359,2822
9541,LOC110043337,33421
9574,LOC110043337,29219
9613,LOC110043337,21091
9639,LOC110043498,25413
9683,LOC110043227,1715
