"","1_2","2_2","4_2","11_2","28_2","35_2","36_2","38_2","39_2","41_2","42_2","47_2"
"Pocillopora_acuta_HIv1_PredGene_18567_t",52,31,23,30,15,41,59,49,35,63,23,18
"Pocillopora_acuta_HIv1_PredGene_g2366.t1",20,9,108,91,4,19,37,25,114,186,22,10
"Pocillopora_acuta_HIv1_PredGene_g20016.t1",69,15,277,147,52,66,46,64,239,239,112,45
"Pocillopora_acuta_HIv1_PredGene_g32496.t1",101,30,281,231,44,71,83,97,281,382,116,112
"Pocillopora_acuta_HIv1_PredGene_g14714.t1",90,84,117,105,31,93,95,129,104,138,98,85
"Pocillopora_acuta_HIv1_PredGene_g20859.t1",101,42,74,106,46,106,112,114,59,86,162,61
"Pocillopora_acuta_HIv1_PredGene_g19073.t1",55,25,118,171,28,31,22,34,117,168,44,46
"Pocillopora_acuta_HIv1_PredGene_g23759.t1",11,14,7,25,16,14,145,21,11,28,10,19
"Pocillopora_acuta_HIv1_PredGene_g17591.t1",100,19,265,279,64,92,59,76,238,354,138,84
"Pocillopora_acuta_HIv1_PredGene_g32103.t1",19,19,21,22,12,18,35,30,20,27,18,10
"Pocillopora_acuta_HIv1_PredGene_g10524.t1",230,46,557,478,129,140,124,181,485,660,212,202
"Pocillopora_acuta_HIv1_PredGene_g4343.t1",84,35,59,63,79,111,98,98,70,84,137,62
"Pocillopora_acuta_HIv1_PredGene_g3221.t1",34,10,20,13,17,38,23,37,36,45,40,28
"Pocillopora_acuta_HIv1_PredGene_g28849.t1",26,16,25,10,17,21,26,25,19,17,24,4
"Pocillopora_acuta_HIv1_PredGene_g26402.t1",49,28,24,39,20,31,55,68,30,60,22,35
"Pocillopora_acuta_HIv1_PredGene_g17717.t1",83,17,182,218,38,69,64,60,190,371,112,99
"Pocillopora_acuta_HIv1_PredGene_g6360.t1",64,58,8,32,60,67,36,69,66,51,78,37
"Pocillopora_acuta_HIv1_PredGene_g30373.t1",21,7,2,19,14,27,23,26,16,18,15,15
"Pocillopora_acuta_HIv1_PredGene_g30378.t1",14,5,6,7,12,18,20,24,12,13,12,8
"Pocillopora_acuta_HIv1_PredGene_g173.t1",29,19,136,99,27,37,28,33,133,160,33,11
"Pocillopora_acuta_HIv1_PredGene_g21407.t1",35,37,42,53,27,39,61,61,57,85,55,40
"Pocillopora_acuta_HIv1_PredGene_g19554.t1",80,25,22,35,42,124,116,105,34,38,91,40
"Pocillopora_acuta_HIv1_PredGene_g4724.t1",33,10,89,80,21,32,17,34,136,170,26,11
"Pocillopora_acuta_HIv1_PredGene_g1629.t1",70,58,38,34,65,103,56,102,62,77,129,72
"Pocillopora_acuta_HIv1_PredGene_g1630.t1",205,245,307,192,191,303,185,272,201,175,381,211
"Pocillopora_acuta_HIv1_PredGene_g15901.t1",27,0,130,90,18,39,18,25,139,141,40,21
"Pocillopora_acuta_HIv1_PredGene_g2104.t1",51,9,5,6,29,37,26,31,20,36,43,18
"Pocillopora_acuta_HIv1_PredGene_g5277.t1",20,42,29,36,15,31,36,27,20,18,31,23
"Pocillopora_acuta_HIv1_PredGene_g30033.t1",88,15,376,467,46,78,53,37,244,321,100,73
"Pocillopora_acuta_HIv1_PredGene_g27440.t1",18,3,37,62,12,16,7,12,64,64,25,12
"Pocillopora_acuta_HIv1_PredGene_g29233.t1",10,11,10,8,6,15,11,21,13,15,16,9
"Pocillopora_acuta_HIv1_PredGene_g3547.t1",281,342,328,328,156,527,726,757,452,441,206,226
"Pocillopora_acuta_HIv1_PredGene_g3577.t1",49,82,49,58,35,38,77,49,52,39,42,39
"Pocillopora_acuta_HIv1_PredGene_g3583.t2",22,80,70,127,11,71,316,82,61,55,33,5
"Pocillopora_acuta_HIv1_PredGene_g3583.t1",22,80,70,127,11,71,316,82,61,55,33,5
"Pocillopora_acuta_HIv1_PredGene_g3586.t1",120,114,226,149,70,155,259,276,260,230,91,43
"Pocillopora_acuta_HIv1_PredGene_g3585.t1",120,114,226,149,70,155,259,276,260,230,91,43
"Pocillopora_acuta_HIv1_PredGene_g28764.t3",37,18,271,134,27,26,29,37,132,135,42,43
"Pocillopora_acuta_HIv1_PredGene_22960_t",37,18,271,134,27,26,29,37,132,135,42,43
"Pocillopora_acuta_HIv1_PredGene_g28764.t1",37,18,271,134,27,26,29,37,132,135,42,43
"Pocillopora_acuta_HIv1_PredGene_g28764.t2",37,18,271,134,27,26,29,37,132,135,42,43
"Pocillopora_acuta_HIv1_PredGene_g18273.t1",698,275,2386,3218,408,827,640,505,2276,2832,962,779
"Pocillopora_acuta_HIv1_PredGene_g6167.t1",95,56,9,128,33,107,230,135,51,105,108,148
"Pocillopora_acuta_HIv1_PredGene_g808.t1",148,268,215,157,172,206,185,213,254,329,278,168
"Pocillopora_acuta_HIv1_PredGene_g17977.t1",65,20,218,142,45,52,41,54,179,203,76,61
"Pocillopora_acuta_HIv1_PredGene_g30295.t1",155,24,454,636,85,153,34,86,382,582,231,112
"Pocillopora_acuta_HIv1_PredGene_23744_t",155,24,454,636,85,153,34,86,382,582,231,112
"Pocillopora_acuta_HIv1_PredGene_g10269.t1",46,14,296,352,32,70,59,38,239,296,75,62
"Pocillopora_acuta_HIv1_PredGene_g13439.t1",18,16,11,8,16,24,20,24,14,15,22,7
"Pocillopora_acuta_HIv1_PredGene_g24638.t1",47,17,9,26,28,69,53,35,8,11,58,31
"Pocillopora_acuta_HIv1_PredGene_g24643.t1",10,8,169,104,10,12,10,11,63,90,11,4
"Pocillopora_acuta_HIv1_PredGene_g19446.t1",249,68,2347,2902,202,452,302,289,2572,2779,411,199
"Pocillopora_acuta_HIv1_PredGene_g19457.t1",94,19,273,258,38,67,45,67,277,282,122,64
"Pocillopora_acuta_HIv1_PredGene_g19464.t2",81,12,294,299,33,56,45,45,197,255,85,58
"Pocillopora_acuta_HIv1_PredGene_g19464.t1",81,12,294,299,33,56,45,45,197,255,85,58
"Pocillopora_acuta_HIv1_PredGene_g11845.t1",44,19,202,265,35,80,75,50,260,244,58,49
"Pocillopora_acuta_HIv1_PredGene_g27314.t1",26,30,46,36,19,39,47,43,57,52,39,18
"Pocillopora_acuta_HIv1_PredGene_g5469.t1",46,30,18,38,21,37,58,57,24,43,27,23
"Pocillopora_acuta_HIv1_PredGene_g30590.t1",78,29,258,246,44,63,68,64,240,204,94,82
"Pocillopora_acuta_HIv1_PredGene_g30602.t1",8,12,209,67,12,9,22,16,207,54,22,16
"Pocillopora_acuta_HIv1_PredGene_g20815.t1",71,12,50,39,50,59,38,76,62,80,68,36
"Pocillopora_acuta_HIv1_PredGene_g1790.t1",24,49,19,18,20,38,29,44,32,22,34,19
"Pocillopora_acuta_HIv1_PredGene_g6689.t1",10,8,6,8,8,16,16,15,10,11,12,7
"Pocillopora_acuta_HIv1_PredGene_g9927.t1",84,15,336,379,46,76,51,37,213,278,98,71
"Pocillopora_acuta_HIv1_PredGene_g8863.t1",33,28,37,32,18,33,43,60,52,61,30,27
"Pocillopora_acuta_HIv1_PredGene_g25362.t1",13,30,22,28,12,37,35,61,51,39,15,14
"Pocillopora_acuta_HIv1_PredGene_g17083.t1",1833,820,8443,10945,1674,1044,1848,256,12523,9100,7480,2288
"Pocillopora_acuta_HIv1_PredGene_g17860.t1",61,15,234,306,59,89,66,65,290,269,97,51
"Pocillopora_acuta_HIv1_PredGene_g17099.t1",82,19,294,299,65,101,56,49,245,236,140,69
"Pocillopora_acuta_HIv1_PredGene_g33271.t1",68,35,373,307,85,70,63,86,249,268,129,90
"Pocillopora_acuta_HIv1_PredGene_g6135.t1",95,21,244,315,40,91,63,94,256,292,120,75
"Pocillopora_acuta_HIv1_PredGene_g20633.t1",18,53,20,43,14,56,51,55,47,70,40,26
"Pocillopora_acuta_HIv1_PredGene_g20634.t1",21,35,24,45,23,30,39,46,26,39,19,13
"Pocillopora_acuta_HIv1_PredGene_g20640.t1",69,30,77,50,54,124,60,81,50,99,89,27
"Pocillopora_acuta_HIv1_PredGene_27047_t",20,42,295,347,39,22,16,13,168,334,62,60
"Pocillopora_acuta_HIv1_PredGene_g19390.t1",20,42,295,347,39,22,16,13,168,334,62,60
"Pocillopora_acuta_HIv1_PredGene_g10395.t1",8,8,292,219,8,8,14,7,116,172,9,5
"Pocillopora_acuta_HIv1_PredGene_g27509.t1",75,15,210,204,29,63,32,54,162,212,64,46
"Pocillopora_acuta_HIv1_PredGene_g2314.t1",46,37,36,41,37,59,44,58,50,58,51,15
"Pocillopora_acuta_HIv1_PredGene_g31595.t1",19,6,51,49,7,5,6,7,93,68,10,15
"Pocillopora_acuta_HIv1_PredGene_g31607.t1",46,15,220,386,38,58,50,31,159,208,75,71
"Pocillopora_acuta_HIv1_PredGene_g29112.t1",15,30,12,18,8,16,29,34,21,17,20,26
"Pocillopora_acuta_HIv1_PredGene_g28160.t1",98,22,335,144,50,49,49,48,313,344,173,71
"Pocillopora_acuta_HIv1_PredGene_g9611.t1",18,10,7,19,6,15,18,20,8,7,21,9
"Pocillopora_acuta_HIv1_PredGene_g631.t2",3711,1006,1055,620,2443,2888,1626,4373,2102,1793,3534,2868
"Pocillopora_acuta_HIv1_PredGene_27676_t",3711,1006,1055,620,2443,2888,1626,4373,2102,1793,3534,2868
"Pocillopora_acuta_HIv1_PredGene_g631.t1",3711,1006,1055,620,2443,2888,1626,4373,2102,1793,3534,2868
"Pocillopora_acuta_HIv1_PredGene_g16674.t2",66,18,17,33,62,98,52,78,77,63,93,47
"Pocillopora_acuta_HIv1_PredGene_g16674.t1",66,18,17,33,62,98,52,78,77,63,93,47
"Pocillopora_acuta_HIv1_PredGene_g18980.t1",346,158,1491,1307,118,165,88,131,1510,1209,766,181
"Pocillopora_acuta_HIv1_PredGene_g19003.t1",404,736,427,782,342,794,466,494,371,673,849,393
"Pocillopora_acuta_HIv1_PredGene_g24043.t1",24,9,137,152,38,29,13,19,88,126,51,25
"Pocillopora_acuta_HIv1_PredGene_g30195.t1",268,181,304,323,178,404,259,305,387,399,367,151
"Pocillopora_acuta_HIv1_PredGene_g29580.t1",51,17,133,124,34,59,30,57,227,255,51,23
"Pocillopora_acuta_HIv1_PredGene_g19487.t1",87,136,26,167,35,86,173,152,141,89,63,67
"Pocillopora_acuta_HIv1_PredGene_g21804.t2",677,346,400,676,226,643,631,844,670,1175,548,374
"Pocillopora_acuta_HIv1_PredGene_g21804.t3",677,346,400,676,226,643,631,844,670,1175,548,374
"Pocillopora_acuta_HIv1_PredGene_g21804.t1",677,346,400,676,226,643,631,844,670,1175,548,374
"Pocillopora_acuta_HIv1_PredGene_29511_t",677,346,400,676,226,643,631,844,670,1175,548,374
"Pocillopora_acuta_HIv1_PredGene_g19722.t1",964,274,3063,2405,614,635,760,619,2958,2899,1549,837
"Pocillopora_acuta_HIv1_PredGene_g25397.t1",27,15,25,18,20,24,33,35,30,33,19,17
"Pocillopora_acuta_HIv1_PredGene_29635_t",27,15,25,18,20,24,33,35,30,33,19,17
"Pocillopora_acuta_HIv1_PredGene_g33597.t1",274,72,1477,1931,265,316,297,207,1129,1170,508,338
"Pocillopora_acuta_HIv1_PredGene_g22451.t1",10,7,172,103,10,12,10,11,65,102,12,4
"Pocillopora_acuta_HIv1_PredGene_g22645.t1",20,22,123,492,13,29,49,29,236,298,27,22
"Pocillopora_acuta_HIv1_PredGene_g22696.t1",28,10,26,30,63,23,21,16,46,34,56,64
"Pocillopora_acuta_HIv1_PredGene_g22710.t1",120,43,281,407,41,77,53,77,250,342,123,87
"Pocillopora_acuta_HIv1_PredGene_g22710.t2",120,43,281,407,41,77,53,77,250,342,123,87
"Pocillopora_acuta_HIv1_PredGene_g22714.t1",90,51,91,86,49,57,91,118,85,114,62,52
"Pocillopora_acuta_HIv1_PredGene_g5170.t1",216,51,784,1183,84,144,194,26,614,1075,466,114
"Pocillopora_acuta_HIv1_PredGene_g4677.t1",60,96,56,51,53,54,48,77,60,56,71,30
"Pocillopora_acuta_HIv1_PredGene_g22758.t1",222,26,678,474,91,106,92,180,374,558,215,167
"Pocillopora_acuta_HIv1_PredGene_g5916.t1",34,37,24,44,22,47,44,52,53,53,73,37
"Pocillopora_acuta_HIv1_PredGene_31452_t",34,37,24,44,22,47,44,52,53,53,73,37
"Pocillopora_acuta_HIv1_PredGene_g1441.t1",25,7,81,89,21,31,22,22,83,117,38,26
"Pocillopora_acuta_HIv1_PredGene_g21902.t1",50,24,30,50,30,70,105,91,62,50,34,109
"Pocillopora_acuta_HIv1_PredGene_g21894.t1",63,38,40,62,14,56,80,86,52,89,36,39
"Pocillopora_acuta_HIv1_PredGene_g23872.t1",28,7,61,119,23,25,15,25,102,152,91,40
"Pocillopora_acuta_HIv1_PredGene_g23878.t1",29,7,49,264,22,29,19,22,110,198,94,48
"Pocillopora_acuta_HIv1_PredGene_g23882.t1",28,7,59,145,20,24,16,22,113,156,86,40
"Pocillopora_acuta_HIv1_PredGene_g5154.t1",145,123,16,6,53,120,116,87,52,54,33,51
"Pocillopora_acuta_HIv1_PredGene_g31353.t1",895,482,3082,3794,409,1343,1072,990,2515,2886,962,473
"Pocillopora_acuta_HIv1_PredGene_g9091.t1",132,23,401,611,56,139,77,99,369,511,174,98
"Pocillopora_acuta_HIv1_PredGene_g15029.t1",18,56,220,444,15,19,85,20,216,219,24,28
"Pocillopora_acuta_HIv1_PredGene_g518.t1",17,8,107,73,5,26,23,29,125,154,29,22
"Pocillopora_acuta_HIv1_PredGene_g15469.t1",41,12,20,17,22,47,51,37,22,32,43,29
"Pocillopora_acuta_HIv1_PredGene_g7379.t1",57,38,12,53,21,60,48,133,66,57,78,38
"Pocillopora_acuta_HIv1_PredGene_g18552.t1",1357,500,3377,4204,434,1187,694,1127,4133,5299,1577,731
"Pocillopora_acuta_HIv1_PredGene_g18651.t1",28,11,26,20,27,32,23,34,31,47,30,35
"Pocillopora_acuta_HIv1_PredGene_g18672.t1",294,95,35,94,109,310,152,280,61,96,454,125
"Pocillopora_acuta_HIv1_PredGene_g7401.t1",49,15,135,143,27,40,24,34,116,122,56,41
"Pocillopora_acuta_HIv1_PredGene_g27085.t1",23,6,355,98,20,24,35,23,140,106,36,29
"Pocillopora_acuta_HIv1_PredGene_g30769.t1",58,18,24,26,22,48,40,70,38,54,56,41
"Pocillopora_acuta_HIv1_PredGene_g32850.t1",10,22,316,325,25,34,36,25,139,206,11,21
"Pocillopora_acuta_HIv1_PredGene_g32851.t1",17,43,897,868,19,32,125,22,227,326,23,49
"Pocillopora_acuta_HIv1_PredGene_g73.t1",168,69,626,779,141,200,113,129,577,611,244,140
"Pocillopora_acuta_HIv1_PredGene_g20277.t1",25,9,22,27,15,28,28,26,22,25,29,26
"Pocillopora_acuta_HIv1_PredGene_5516_t",25,9,22,27,15,28,28,26,22,25,29,26
"Pocillopora_acuta_HIv1_PredGene_g10956.t1",98,13,27,9,45,60,27,99,36,43,80,18
"Pocillopora_acuta_HIv1_PredGene_g10961.t1",95,31,265,280,56,111,83,115,365,341,122,89
"Pocillopora_acuta_HIv1_PredGene_g10986.t1",106,99,42,16,36,109,73,125,0,51,64,96
"Pocillopora_acuta_HIv1_PredGene_g2511.t1",326,377,232,447,237,384,489,525,548,656,437,413
"Pocillopora_acuta_HIv1_PredGene_g2599.t1",127,55,250,361,51,76,88,74,344,418,137,121
"Pocillopora_acuta_HIv1_PredGene_g7577.t1",88,21,253,386,37,66,76,77,197,269,106,86
"Pocillopora_acuta_HIv1_PredGene_g11351.t1",20,10,9,15,12,30,17,26,27,25,25,13
"Pocillopora_acuta_HIv1_PredGene_g11358.t1",16,7,8,8,10,25,12,21,15,18,21,10
"Pocillopora_acuta_HIv1_PredGene_g19769.t1",13,2,40,84,7,16,10,20,73,80,15,7
"Pocillopora_acuta_HIv1_PredGene_g19878.t1",385,109,2538,3222,265,538,369,435,2787,3000,555,270
"Pocillopora_acuta_HIv1_PredGene_g26843.t1",40,5,149,131,28,45,16,30,172,133,65,24
"Pocillopora_acuta_HIv1_PredGene_g20469.t1",14,16,11,9,15,16,11,11,8,6,14,4
"Pocillopora_acuta_HIv1_PredGene_g25581.t1",127,16,632,123,63,66,46,64,210,294,144,198
"Pocillopora_acuta_HIv1_PredGene_g31953.t1",101,39,124,124,78,92,120,136,121,154,143,91
"Pocillopora_acuta_HIv1_PredGene_g31960.t1",49,31,37,65,26,61,58,68,48,46,65,53
"Pocillopora_acuta_HIv1_PredGene_g32018.t1",503,280,1780,1311,237,374,234,183,1812,2007,717,331
"Pocillopora_acuta_HIv1_PredGene_g9328.t1",82,28,5,24,11,87,117,102,48,114,64,29
"Pocillopora_acuta_HIv1_PredGene_g9372.t3",110,51,1596,2453,64,193,169,104,2586,2531,138,60
"Pocillopora_acuta_HIv1_PredGene_g9372.t1",110,51,1596,2453,64,193,169,104,2586,2531,138,60
"Pocillopora_acuta_HIv1_PredGene_g9372.t2",110,51,1596,2453,64,193,169,104,2586,2531,138,60
"Pocillopora_acuta_HIv1_PredGene_g8002.t1",199,112,827,1018,156,217,155,107,563,734,294,173
"Pocillopora_acuta_HIv1_PredGene_g12696.t1",84,22,304,675,49,75,99,66,363,320,116,83
"Pocillopora_acuta_HIv1_PredGene_g28908.t1",136,40,426,565,83,195,130,134,478,603,229,138
"Pocillopora_acuta_HIv1_PredGene_g29028.t1",16,7,7,18,10,16,40,22,22,16,14,10
"Pocillopora_acuta_HIv1_PredGene_g29047.t1",43,17,27,39,27,49,46,44,31,28,42,29
"Pocillopora_acuta_HIv1_PredGene_g8027.t1",291,89,769,832,145,262,149,219,901,990,368,222
"Pocillopora_acuta_HIv1_PredGene_g5677.t1",18,4,88,101,13,17,16,18,116,132,20,8
"Pocillopora_acuta_HIv1_PredGene_g4628.t1",507,190,432,670,404,906,904,859,593,701,804,659
"Pocillopora_acuta_HIv1_PredGene_g14138.t1",39,18,26,26,21,41,27,40,45,32,32,11
"Pocillopora_acuta_HIv1_PredGene_g12893.t1",23,13,9,9,24,19,18,29,32,29,37,21
"Pocillopora_acuta_HIv1_PredGene_g24448.t1",133,35,548,462,138,183,86,98,568,636,285,135
"Pocillopora_acuta_HIv1_PredGene_g11986.t1",671,318,2540,2872,578,781,765,706,2084,2551,1171,716
"Pocillopora_acuta_HIv1_PredGene_g12058.t1",73,24,172,191,29,43,37,38,123,193,82,69
"Pocillopora_acuta_HIv1_PredGene_g12087.t1",98,22,337,145,50,49,49,48,318,353,173,71
"Pocillopora_acuta_HIv1_PredGene_g12092.t1",105,42,136,209,66,279,369,256,178,198,139,118
"Pocillopora_acuta_HIv1_PredGene_g8202.t1",52,14,127,202,25,43,26,34,117,166,68,34
"Pocillopora_acuta_HIv1_PredGene_g23706.t1",225,41,835,1077,172,342,212,171,921,1165,308,275
"Pocillopora_acuta_HIv1_PredGene_9973_t",225,41,835,1077,172,342,212,171,921,1165,308,275
"Pocillopora_acuta_HIv1_PredGene_g29791.t1",108,17,287,258,56,87,64,109,304,350,125,81
"Pocillopora_acuta_HIv1_PredGene_g29845.t1",26,9,75,118,30,40,18,22,115,152,51,29
"Pocillopora_acuta_HIv1_PredGene_g16370.t1",58,117,65,83,87,67,146,86,122,83,86,92
"Pocillopora_acuta_HIv1_PredGene_g3030.t1",128,82,523,998,49,92,102,94,482,572,174,198
"Pocillopora_acuta_HIv1_PredGene_g5781.t1",73,42,398,862,51,100,106,114,346,232,118,37
"Pocillopora_acuta_HIv1_PredGene_g21047.t1",106,176,174,172,96,181,186,226,296,290,176,126
"Pocillopora_acuta_HIv1_PredGene_g21053.t1",16,12,8,10,4,10,18,19,10,13,14,19
"Pocillopora_acuta_HIv1_PredGene_g21093.t2",87,34,715,1231,51,167,116,94,1081,1083,108,72
"Pocillopora_acuta_HIv1_PredGene_g21093.t3",87,34,715,1231,51,167,116,94,1081,1083,108,72
"Pocillopora_acuta_HIv1_PredGene_g21093.t1",87,34,715,1231,51,167,116,94,1081,1083,108,72
"Pocillopora_acuta_HIv1_PredGene_g29660.t1",121,22,4,36,35,90,142,202,23,27,129,101
"Pocillopora_acuta_HIv1_PredGene_g29708.t1",134,107,71,64,51,148,136,169,121,60,189,69
"Pocillopora_acuta_HIv1_PredGene_g29724.t1",132,50,144,89,112,217,110,125,120,139,206,69
"Pocillopora_acuta_HIv1_PredGene_g31212.t1",45,94,25,28,12,44,51,66,64,63,45,50
"Pocillopora_acuta_HIv1_PredGene_g31214.t1",277,169,92,179,62,110,269,213,111,162,143,264
"Pocillopora_acuta_HIv1_PredGene_11122_t",277,169,92,179,62,110,269,213,111,162,143,264
"Pocillopora_acuta_HIv1_PredGene_g21278.t1",27,16,0,15,15,21,16,33,12,16,21,18
"Pocillopora_acuta_HIv1_PredGene_g21283.t1",244,54,222,151,151,165,181,288,234,241,261,250
"Pocillopora_acuta_HIv1_PredGene_11200_t",244,54,222,151,151,165,181,288,234,241,261,250
"Pocillopora_acuta_HIv1_PredGene_g4463.t1",19,8,96,124,16,30,22,22,90,89,22,12
"Pocillopora_acuta_HIv1_PredGene_g4485.t1",153,55,1181,1352,102,260,197,169,677,838,238,186
