,19_T33_Ac_WK,25_ctl1_Ac_GF_1,27_ctl2_Ac_YG_1,31_T22_Ac_UV,35_T43_Ac_MT,37_T13_Ac_ML,38_T23_Ac_IN,41_ctl3_Ac_RN_1,47_T31_Ac_JB,52_T11_Ac_II,53_T21_Ac_NH,54_T42_Ac_JQ,57_T32_Ac_NM
Acerv_evm.TU.Segkk2328_pilon.1,59,109,43,50,100,48,43,57,36,38,29,194,32
Acerv_evm.TU.Segkk669_pilon.5,558,1210,1064,293,512,308,326,1124,284,391,183,576,185
Acerv_evm.TU.Segkk539_pilon.1,714,1407,1851,407,770,443,469,1519,408,330,207,730,377
Acerv_evm.TU.Segkk2165_pilon.11,37,266,215,31,74,13,12,82,11,15,12,37,5
Acerv_evm.TU.Segkk3213_pilon.37,437,257,759,477,761,225,627,204,241,159,268,394,159
Acerv_evm.TU.Segkk1630_pilon.6,112,10,15,99,178,97,80,8,56,134,48,179,62
Acerv_evm.TU.Segkk2261_pilon.8,22,223,182,32,40,29,51,252,32,47,20,58,20
Acerv_evm.TU.Segkk2595_pilon.2,488,1038,779,284,446,368,333,754,259,523,179,475,219
Acerv_evm.TU.Segkk2015_pilon.1,118,86,128,68,112,58,94,72,42,37,70,57,27
Acerv_evm.TU.Segkk2763_pilon.1,32,34,29,17,31,22,18,23,11,38,13,30,19
Acerv_evm.TU.Segkk1575_pilon.7,18,22,9,24,42,15,19,8,12,14,11,20,10
Acerv_evm.TU.Segkk2335_pilon.20,57,43,64,35,62,44,45,46,40,76,24,70,33
Acerv_evm.TU.Segkk1945_pilon.2,34,8,12,16,18,17,18,0,12,19,7,24,12
Acerv_evm.TU.Segkk1375_pilon.15,133,228,168,62,93,104,51,237,44,147,24,87,69
Acerv_evm.TU.Segkk4124_pilon.10,84,36,34,59,73,134,65,33,0,199,25,113,63
Acerv_evm.TU.Segkk4124_pilon.11,225,476,180,99,94,199,30,224,41,356,39,169,147
Acerv_evm.TU.Segkk3937_pilon.25,54,97,117,56,78,44,167,54,28,30,67,113,12
Acerv_evm.TU.Segkk1291_pilon.1,521,1316,1108,316,501,438,393,1200,301,564,181,592,274
Acerv_evm.TU.Segkk1793_pilon.1,36,6,9,24,38,25,41,6,33,37,14,37,13
Acerv_evm.TU.Segkk2792_pilon.2,45,34,39,30,53,26,32,19,25,36,22,49,18
Acerv_evm.TU.Segkk1509_pilon.11,384,870,449,134,291,218,164,948,250,177,113,293,138
Acerv_evm.TU.Segkk1677_pilon.1,85,48,38,70,158,69,99,55,70,86,45,112,37
Acerv_evm.TU.Segkk3405_pilon.7,112,40,42,81,158,65,91,56,62,103,35,128,39
Acerv_evm.TU.Segkk1497_pilon.2,791,1462,1106,690,1078,426,721,1221,364,366,490,936,221
Acerv_evm.TU.Segkk3394_pilon.16,311,28,12,288,513,246,188,6,152,155,186,521,123
Acerv_evm.TU.Segkk3858_pilon.8,156,92,120,161,94,175,185,216,123,86,99,156,81
Acerv_evm.TU.Segkk1235_pilon.8,41,44,24,27,51,24,45,34,16,22,19,31,18
Acerv_evm.TU.Segkk1560_pilon.6,333,707,611,202,349,251,190,658,187,283,111,345,150
Acerv_evm.TU.Segkk454_pilon.2,297,582,334,231,189,427,94,455,195,933,102,398,267
Acerv_evm.TU.Segkk925_pilon.1,482,922,797,258,411,318,282,795,268,384,166,436,231
Acerv_evm.TU.Segkk2334_pilon.1,37,168,154,22,41,37,24,106,21,20,23,45,21
Acerv_evm.TU.Segkk2758_pilon.32,1169,4151,2453,681,1071,1099,584,2533,604,1644,308,1184,797
Acerv_evm.TU.Segkk2634_pilon.20,153,192,159,98,120,134,43,77,40,246,62,144,70
Acerv_evm.TU.Segkk893_pilon.2,265,423,381,227,444,235,281,380,180,143,208,431,132
Acerv_evm.TU.Segkk2116_pilon.21,461,1010,702,213,372,323,250,978,280,348,132,473,202
Acerv_evm.TU.Segkk398_pilon.2,26,14,7,19,38,16,17,12,9,11,15,29,9
Acerv_evm.TU.Segkk2935_pilon.2,22,12,12,22,57,21,58,13,26,15,11,27,13
Acerv_evm.TU.Segkk1774_pilon.15,133,305,245,71,202,64,62,380,73,76,26,157,74
Acerv_evm.TU.Segkk3306_pilon.14,707,1232,1362,798,1451,454,1056,929,368,209,464,1063,211
Acerv_evm.TU.Segkk3493_pilon.1,165,89,257,176,261,106,254,166,123,75,123,178,68
Acerv_evm.TU.Segkk358_pilon.2,104,110,79,61,93,65,72,63,48,74,32,82,46
Acerv_evm.TU.Segkk2909_pilon.1,199,528,590,131,237,142,138,525,123,189,97,256,95
Acerv_evm.TU.Segkk1386_pilon.25,85,215,200,47,55,48,54,275,38,50,18,57,27
Acerv_evm.TU.Segkk2772_pilon.8,626,1009,1072,498,922,397,628,812,309,270,402,837,207
Acerv_evm.TU.Segkk2181_pilon.1,94,70,71,66,104,81,70,52,55,165,64,149,37
Acerv_evm.TU.Segkk3996_pilon.1,86,62,67,89,149,65,92,41,65,88,49,117,28
Acerv_evm.TU.Segkk318_pilon.5,413,1129,761,473,636,278,627,715,255,144,299,709,175
Acerv_evm.TU.Segkk223_pilon.4,84,22,77,76,119,54,105,38,68,86,45,100,33
Acerv_evm.TU.Segkk673_pilon.1,26,14,13,20,40,18,17,15,6,15,12,25,7
Acerv_evm.TU.Segkk2811_pilon.9,84,204,165,54,99,84,52,181,39,89,38,99,38
Acerv_evm.TU.Segkk1991_pilon.4,129,166,161,104,202,67,144,100,28,59,94,356,43
Acerv_evm.TU.Segkk2537_pilon.1,400,889,1206,862,1369,257,830,608,162,145,510,648,116
Acerv_evm.TU.Segkk1777_pilon.32,92,259,135,40,82,64,25,145,40,100,26,93,35
Acerv_evm.TU.Segkk3052_pilon.15,91,91,82,153,220,58,84,20,15,20,109,173,18
Acerv_evm.TU.Segkk1040_pilon.15,243,422,604,124,226,104,160,646,193,69,72,146,105
Acerv_evm.TU.Segkk30_pilon.11,136,210,290,59,98,70,70,281,93,69,37,82,56
Acerv_evm.TU.Segkk999_pilon.5,71,97,61,103,82,67,48,53,49,61,48,136,51
Acerv_evm.TU.Segkk481_pilon.1,50,34,38,34,69,18,37,23,13,29,28,45,10
Acerv_evm.TU.Segkk19_pilon.21,104,231,118,50,65,78,28,188,41,154,19,101,58
Acerv_evm.TU.Segkk3395_pilon.4,74,63,50,79,161,76,112,91,73,99,43,163,29
Acerv_evm.TU.Segkk3525_pilon.1,48,19,11,27,58,21,24,9,28,39,27,45,10
Acerv_evm.TU.Segkk1271_pilon.4,176,204,201,129,241,91,123,160,106,84,80,185,47
Acerv_evm.TU.Segkk4345_pilon.12,64,73,65,46,62,50,49,34,19,75,27,83,30
Acerv_evm.TU.Segkk119_pilon.17,110,35,36,108,186,75,283,28,72,50,81,132,38
Acerv_evm.TU.Segkk1593_pilon.6,60,62,52,49,91,34,39,33,20,29,30,60,17
Acerv_evm.TU.Segkk3644_pilon.3,1743,4054,3172,1633,2691,1169,1963,2838,903,868,1078,3174,680
Acerv_evm.TU.Segkk2788_pilon.3,191,316,228,147,294,118,146,167,88,110,84,272,62
Acerv_evm.TU.Segkk1821_pilon.34,24,21,27,19,29,21,23,23,17,33,9,28,16
Acerv_evm.TU.Segkk3105_pilon.1,113,135,166,95,130,97,162,128,27,130,111,141,55
Acerv_evm.TU.Segkk3096_pilon.7,25,9,16,11,19,13,17,8,8,21,11,15,9
Acerv_evm.TU.Segkk1350_pilon.5,92,157,200,166,224,73,133,110,53,51,109,152,43
Acerv_evm.TU.Segkk1708_pilon.21,14,7,4,10,14,10,20,11,10,18,9,22,7
Acerv_evm.TU.Segkk20_pilon.1,199,849,693,131,240,115,144,644,123,148,88,234,55
Acerv_evm.TU.Segkk3209_pilon.7,58,21,34,32,45,28,31,19,29,13,26,53,17
Acerv_evm.TU.Segkk1795_pilon.7,34,34,41,84,66,70,49,15,13,33,112,302,80
Acerv_evm.TU.Segkk3327_pilon.18,117,257,131,62,57,100,51,171,60,201,30,114,85
Acerv_evm.TU.Segkk1416_pilon.3,58,52,46,56,78,54,100,80,72,57,29,79,29
Acerv_evm.TU.Segkk551_pilon.2,51,97,46,37,60,58,38,53,17,62,25,64,23
Acerv_evm.TU.Segkk3598_pilon.1,24,21,23,18,34,23,31,26,23,21,17,31,12
Acerv_evm.TU.Segkk227_pilon.2,18,7,12,12,25,11,21,0,10,8,12,26,6
Acerv_evm.TU.Segkk3387_pilon.12,33,17,32,27,61,22,35,20,25,37,19,46,11
Acerv_evm.TU.Segkk1579_pilon.3,235,378,318,304,403,264,715,197,96,169,331,561,199
Acerv_evm.TU.Segkk2795_pilon.15,214,230,339,197,481,185,528,387,137,179,232,445,103
Acerv_evm.TU.Segkk3453_pilon.19,51,32,29,33,67,29,59,47,29,23,18,59,20
Acerv_evm.TU.Segkk791_pilon.1,475,1448,711,338,363,483,223,776,144,846,123,472,290
Acerv_evm.TU.Segkk2237_pilon.15,339,618,357,125,144,315,93,435,144,329,83,284,227
Acerv_evm.TU.Segkk384_pilon.7,69,74,66,68,95,70,81,28,49,37,28,162,33
Acerv_evm.TU.Segkk3381_pilon.2,225,488,481,117,221,121,143,474,119,117,73,221,82
Acerv_evm.TU.Segkk2242_pilon.3,21,18,12,17,20,17,7,12,9,26,5,18,10
Acerv_evm.TU.Segkk4265_pilon.3,25,15,19,16,23,20,10,9,13,16,13,27,14
Acerv_evm.TU.Segkk437_pilon.4,31,114,63,13,18,28,50,251,23,46,14,19,16
Acerv_evm.TU.Segkk3419_pilon.10,24,14,10,16,33,13,12,0,8,27,12,27,13
Acerv_evm.TU.Segkk3618_pilon.7,203,184,205,169,334,110,225,46,134,138,135,238,49
Acerv_evm.TU.Segkk36_pilon.2,157,127,178,90,144,99,82,64,58,212,56,215,78
Acerv_evm.TU.Segkk263_pilon.6,19,29,23,36,44,24,43,43,19,33,19,55,15
Acerv_evm.TU.Segkk1303_pilon.10,392,655,957,784,1092,212,414,473,246,88,431,501,105
Acerv_evm.TU.Segkk169_pilon.1,44,39,6,71,105,24,30,10,15,13,27,71,15
Acerv_evm.TU.Segkk1318_pilon.7,79,143,111,77,158,51,103,110,27,31,59,117,25
Acerv_evm.TU.Segkk2012_pilon.2,389,780,857,215,475,291,276,783,229,386,144,450,158
Acerv_evm.TU.Segkk3397_pilon.3,54,46,54,27,44,32,31,25,25,44,28,47,16
Acerv_evm.TU.Segkk1299_pilon.1,28,27,24,19,33,24,25,35,32,47,21,45,15
Acerv_evm.TU.Segkk3940_pilon.21,190,140,150,101,172,104,102,130,63,86,90,152,56
Acerv_evm.TU.Segkk3047_pilon.5,33,11,16,51,67,33,38,8,27,22,34,47,24
Acerv_evm.TU.Segkk3417_pilon.5,18,112,136,10,21,16,20,111,20,23,8,25,9
Acerv_evm.TU.Segkk3914_pilon.1,52,70,62,30,62,37,37,43,27,67,24,70,22
Acerv_evm.TU.Segkk2328_pilon.2,116,153,60,118,271,161,119,90,99,122,107,529,100
Acerv_evm.TU.Segkk3453_pilon.14,96,226,210,37,74,46,34,187,28,35,17,38,26
Acerv_evm.TU.Segkk1078_pilon.63,40,19,26,19,44,18,32,19,16,25,18,42,7
Acerv_evm.TU.Segkk1929_pilon.4,229,211,265,169,263,118,146,254,98,105,135,252,74
Acerv_evm.TU.Segkk671_pilon.1,370,633,725,190,368,322,122,555,180,352,100,347,240
Acerv_evm.TU.Segkk1883_pilon.14,27,21,24,22,41,24,27,28,16,37,13,28,24
Acerv_evm.TU.Segkk4047_pilon.16,366,681,959,836,624,223,3601,1127,345,202,446,344,88
Acerv_evm.TU.Segkk826_pilon.10,283,1071,1127,171,327,184,286,958,199,327,141,408,140
Acerv_evm.TU.Segkk2424_pilon.11,134,38,19,85,125,123,233,26,77,49,52,227,71
Acerv_evm.TU.Segkk2611_pilon.2,66,70,47,54,54,53,22,20,24,146,54,105,36
Acerv_evm.TU.Segkk2725_pilon.8,37,14,35,26,52,23,42,11,26,37,28,62,9
Acerv_evm.TU.Segkk2716_pilon.12,18,15,24,16,44,19,80,25,23,42,16,62,18
Acerv_evm.TU.Segkk1466_pilon.9,44,43,73,47,120,53,139,43,29,21,62,175,26
Acerv_evm.TU.Segkk3059_pilon.1,49,64,40,47,45,31,36,29,19,19,37,67,18
Acerv_evm.TU.Segkk4124_pilon.2,1193,3689,1317,860,971,1557,444,3545,700,2695,294,1522,1031
Acerv_evm.TU.Segkk4124_pilon.3,1799,4846,1605,1047,1350,1804,608,3592,774,3152,354,1716,1127
Acerv_evm.TU.Segkk3192_pilon.40,281,354,466,255,491,119,244,316,71,55,238,444,72
Acerv_evm.TU.Segkk3412_pilon.6,1652,2377,939,716,909,1391,460,2015,619,2495,379,1147,931
Acerv_evm.TU.Segkk575_pilon.2,206,140,180,121,238,93,112,147,70,49,134,187,55
Acerv_evm.TU.Segkk1947_pilon.7,1871,5915,5070,1052,1953,1006,1377,4667,900,1181,808,2889,689
Acerv_evm.TU.Segkk2551_pilon.2,53,42,51,53,97,39,55,50,31,44,32,73,16
Acerv_evm.TU.Segkk2634_pilon.14,645,1497,705,364,394,566,138,709,193,1115,160,558,308
Acerv_evm.TU.Segkk1079_pilon.5,4548,7611,6411,4724,6933,2828,5159,2576,1067,2614,4117,10827,1405
Acerv_evm.TU.Segkk3844_pilon.1,152,118,124,107,187,89,106,112,91,126,57,167,65
Acerv_evm.TU.Segkk4302_pilon.1,110,269,168,63,76,104,47,351,100,169,27,114,71
Acerv_evm.TU.Segkk338_pilon.10,1017,1117,1147,695,1242,644,714,967,455,501,615,1200,434
Acerv_evm.TU.Segkk451_pilon.2,457,739,877,672,925,269,468,513,184,167,403,570,118
Acerv_evm.TU.Segkk4113_pilon.15,227,306,367,298,464,93,276,131,73,47,139,248,54
Acerv_evm.TU.Segkk3264_pilon.11,102,209,140,47,65,78,26,101,37,92,17,69,31
Acerv_evm.TU.Segkk642_pilon.43,56,86,39,62,40,82,35,51,28,196,31,87,52
Acerv_evm.TU.Segkk642_pilon.42,82,135,66,51,48,104,49,151,46,219,29,85,50
Acerv_evm.TU.Segkk3450_pilon.3,604,740,852,488,996,368,608,542,226,215,325,838,213
Acerv_evm.TU.Segkk2117_pilon.21,45,30,17,32,61,27,40,28,26,18,24,44,16
Acerv_evm.TU.Segkk3637_pilon.63,62,190,220,34,64,46,46,154,50,33,25,70,22
Acerv_evm.TU.Segkk966_pilon.1,75,31,52,39,84,45,42,32,37,53,49,78,25
Acerv_evm.TU.Segkk2521_pilon.10,83,116,109,79,123,60,66,93,44,59,49,94,32
Acerv_evm.TU.Segkk1656_pilon.3,144,40,66,98,185,54,48,49,16,22,69,117,18
Acerv_evm.TU.Segkk1411_pilon.4,1402,2479,2277,830,1573,1057,833,2257,550,1598,376,1365,617
Acerv_evm.TU.Segkk4281_pilon.1,44,13,19,21,36,12,19,15,17,28,18,27,5
Acerv_evm.TU.Segkk2537_pilon.25,150,226,167,254,274,279,232,99,51,225,262,905,204
Acerv_evm.TU.Segkk2119_pilon.10,68,156,149,29,54,22,34,159,38,35,13,49,25
Acerv_evm.TU.Segkk2166_pilon.1,105,148,188,85,180,103,85,111,61,128,54,145,55
Acerv_evm.TU.Segkk3087_pilon.2,50,10,15,33,65,39,38,6,31,27,24,62,12
Acerv_evm.TU.Segkk3540_pilon.3,13,31,22,16,20,21,189,35,14,28,30,37,10
Acerv_evm.TU.Segkk3655_pilon.19,104,231,118,50,65,78,28,188,41,154,19,101,58
Acerv_evm.TU.Segkk2701_pilon.2,108,110,135,100,164,77,176,161,74,37,101,186,29
Acerv_evm.TU.Segkk4122_pilon.1,61,44,54,33,68,44,40,31,38,42,23,64,23
Acerv_evm.TU.Segkk4263_pilon.5,30,10,17,20,45,23,15,15,10,21,22,33,13
Acerv_evm.TU.Segkk1851_pilon.3,40,29,44,36,53,24,43,18,24,38,25,43,8
Acerv_evm.TU.Segkk3377_pilon.3,992,1267,1655,115,292,258,311,2214,258,244,71,197,92
Acerv_evm.TU.Segkk1480_pilon.1,57,51,65,60,129,56,83,53,56,67,40,102,21
Acerv_evm.TU.Segkk1480_pilon.2,12,7,6,12,22,12,18,10,10,13,6,24,8
Acerv_evm.TU.Segkk3538_pilon.3,363,439,545,261,436,263,333,445,217,362,194,407,162
Acerv_evm.TU.Segkk3158_pilon.3,14,13,15,21,33,17,18,12,16,17,11,29,11
