"","GO.IDs"
"8057","GO:0009887"
"8130","GO:0009948"
"8144","GO:0009956"
"8226","GO:0010042"
"8270","GO:0010084"
"8331","GO:0010142"
"8350","GO:0010162"
"8374","GO:0010187"
"8413","GO:0010223"
"8428","GO:0010236"
"8455","GO:0010266"
"8552","GO:0010363"
"8757","GO:0010540"
"8816","GO:0010596"
"8954","GO:0010715"
"9008","GO:0010763"
"9107","GO:0010823"
"9136","GO:0010845"
"9239","GO:0010940"
"9342","GO:0014012"
"9369","GO:0014034"
"9377","GO:0014036"
"9477","GO:0014733"
"9481","GO:0014737"
"9519","GO:0014823"
"9616","GO:0014909"
"10138","GO:0015670"
"10321","GO:0015854"
"10510","GO:0016055"
"10587","GO:0016121"
"10800","GO:0016332"
"11015","GO:0016571"
"11388","GO:0017000"
"11395","GO:0017004"
"11648","GO:0018108"
"11819","GO:0018272"
"11845","GO:0018298"
"12813","GO:0019343"
"12815","GO:0019344"
"12819","GO:0019346"
"13211","GO:0019761"
"13467","GO:0021512"
"13829","GO:0021846"
"13853","GO:0021854"
"13889","GO:0021871"
"13912","GO:0021879"
"14112","GO:0021999"
"14118","GO:0022002"
"14155","GO:0022009"
"14464","GO:0030149"
"14499","GO:0030182"
"14531","GO:0030199"
"14617","GO:0030277"
"14796","GO:0030500"
"14821","GO:0030522"
"14838","GO:0030539"
"14889","GO:0030589"
"15206","GO:0030900"
"15228","GO:0030903"
"15461","GO:0031100"
"15586","GO:0031214"
"15818","GO:0031397"
"16586","GO:0032074"
"16756","GO:0032218"
"16817","GO:0032274"
"16928","GO:0032364"
"16943","GO:0032374"
"17022","GO:0032447"
"17108","GO:0032526"
"17125","GO:0032536"
"17166","GO:0032570"
"17465","GO:0032849"
"18251","GO:0033506"
"18315","GO:0033564"
"18333","GO:0033574"
"18438","GO:0033674"
"18531","GO:0033762"
"18893","GO:0034103"
"19091","GO:0034227"
"19430","GO:0034551"
"19880","GO:0034968"
"20060","GO:0035116"
"20098","GO:0035150"
"20234","GO:0035277"
"20243","GO:0035284"
"20259","GO:0035298"
"20287","GO:0035321"
"20289","GO:0035794"
"20290","GO:0035915"
"20291","GO:0035988"
"20295","GO:0036065"
"20297","GO:0036071"
"20299","GO:0036516"
"20309","GO:0038063"
"20313","GO:0038083"
"20317","GO:0038166"
"20320","GO:0039015"
"20352","GO:0040025"
"20441","GO:0042074"
"20539","GO:0042168"
"20616","GO:0042246"
"20725","GO:0042332"
"20795","GO:0042401"
"20834","GO:0042441"
"20958","GO:0042539"
"21009","GO:0042592"
"21173","GO:0042744"
"21194","GO:0042752"
"21201","GO:0042754"
"21360","GO:0042906"
"21506","GO:0043049"
"21627","GO:0043153"
"22086","GO:0043583"
"22096","GO:0043588"
"22568","GO:0044029"
"22610","GO:0044070"
"22696","GO:0044319"
"22701","GO:0044332"
"22704","GO:0044335"
"22774","GO:0044524"
"22778","GO:0044572"
"22779","GO:0044648"
"22791","GO:0045008"
"22803","GO:0045019"
"22959","GO:0045165"
"23144","GO:0045333"
"23409","GO:0045591"
"23488","GO:0045669"
"23500","GO:0045672"
"23551","GO:0045721"
"23580","GO:0045743"
"23585","GO:0045744"
"23625","GO:0045780"
"23724","GO:0045879"
"24171","GO:0046306"
"24533","GO:0046663"
"24571","GO:0046690"
"24795","GO:0046903"
"25925","GO:0048034"
"25990","GO:0048106"
"26005","GO:0048144"
"26014","GO:0048146"
"26113","GO:0048232"
"26146","GO:0048263"
"26154","GO:0048265"
"26158","GO:0048266"
"26393","GO:0048514"
"26453","GO:0048568"
"26541","GO:0048653"
"26584","GO:0048680"
"26695","GO:0048754"
"26763","GO:0048812"
"26835","GO:0048864"
"27573","GO:0050652"
"27593","GO:0050667"
"27697","GO:0050768"
"27752","GO:0050810"
"27835","GO:0050896"
"28047","GO:0051091"
"28110","GO:0051145"
"28283","GO:0051304"
"28567","GO:0051567"
"28571","GO:0051568"
"28955","GO:0051901"
"29709","GO:0055114"
"29769","GO:0060033"
"29811","GO:0060061"
"29826","GO:0060070"
"29966","GO:0060173"
"30047","GO:0060242"
"30059","GO:0060252"
"30063","GO:0060253"
"30263","GO:0060425"
"30271","GO:0060428"
"30292","GO:0060444"
"30334","GO:0060482"
"30341","GO:0060484"
"30422","GO:0060535"
"30452","GO:0060560"
"30478","GO:0060573"
"30597","GO:0060669"
"30610","GO:0060674"
"30642","GO:0060702"
"30647","GO:0060707"
"30651","GO:0060710"
"30710","GO:0060749"
"30763","GO:0060823"
"30766","GO:0060828"
"30770","GO:0060838"
"30772","GO:0060896"
"30775","GO:0060898"
"30790","GO:0060903"
"30792","GO:0060993"
"30797","GO:0061038"
"30801","GO:0061060"
"30803","GO:0061077"
"30809","GO:0061180"
"30813","GO:0061302"
"30817","GO:0061303"
"30822","GO:0061564"
"30826","GO:0061580"
"31038","GO:0070131"
"31215","GO:0070252"
"31276","GO:0070307"
"31324","GO:0070342"
"31551","GO:0070525"
"31694","GO:0070654"
"31813","GO:0070731"
"31906","GO:0070814"
"31964","GO:0071300"
"31978","GO:0071372"
"31981","GO:0071476"
"31983","GO:0071482"
"31987","GO:0071559"
"31992","GO:0071679"
"32007","GO:0071711"
"32017","GO:0072003"
"32021","GO:0072038"
"32025","GO:0072044"
"32031","GO:0072046"
"32035","GO:0072053"
"32041","GO:0072054"
"32047","GO:0072060"
"32053","GO:0072061"
"32059","GO:0072078"
"32063","GO:0072089"
"32071","GO:0072164"
"32075","GO:0072170"
"32079","GO:0072174"
"32083","GO:0072181"
"32087","GO:0072205"
"32093","GO:0072207"
"32099","GO:0072236"
"32105","GO:0072655"
"32107","GO:0072656"
"32653","GO:0090090"
"32666","GO:0090091"
"32670","GO:0090270"
"32674","GO:0090333"
"32675","GO:0090527"
"32681","GO:0090548"
"32683","GO:0097065"
"32688","GO:0097198"
"32694","GO:0097402"
"32698","GO:0097475"
"32704","GO:0097676"
"32707","GO:0097692"
"32709","GO:0098829"
"32710","GO:0098867"
"32711","GO:0098869"
"32726","GO:0106034"
"32729","GO:0110020"
"32737","GO:1900077"
"32738","GO:1900245"
"32742","GO:1900246"
"32746","GO:1901601"
"32747","GO:1901771"
"32748","GO:1901811"
"32749","GO:1902262"
"32761","GO:1902455"
"32765","GO:1902669"
"32767","GO:1903147"
"32769","GO:1903579"
"32771","GO:1903716"
"32772","GO:1903852"
"32773","GO:1904231"
"32775","GO:1904234"
"32776","GO:1904244"
"32777","GO:1904439"
"32778","GO:1904831"
"32780","GO:1904936"
"32784","GO:1904937"
"32788","GO:1904938"
"32794","GO:1904948"
"32798","GO:1905088"
"32800","GO:1905437"
"32802","GO:1905438"
"32806","GO:1905485"
"32810","GO:1905516"
"32813","GO:1990138"
"32817","GO:1990384"
"32821","GO:1990519"
"32822","GO:1990918"
"32824","GO:2000001"
"32828","GO:2000044"
"32831","GO:2000323"
"32833","GO:2000379"
"32836","GO:2000742"
"32839","GO:2000850"
"32841","GO:2000853"
"32843","GO:2001027"
"32848","GO:2001150"
"32851","GO:2001222"
"32857","GO:2001225"
"32860","GO:2001255"
