Date.Collected,Time,Sample.ID,Sample name,Rep,Species,Treatment in mg/L of sediment,Location,File.Name.fastq,md5checksum_JA,notes
NA,NA,14004RX11,45_T4.1_Ac_SC,1,Acropora cervicornis,T4,FLKeys,45_T4.1_Ac_SC_1.fastq.gz; 45_T4.1_Ac_SC_2.fastq.gz,a80ad6322d4fce7ba175858739e401e7;d9c502fda9a2745de80c4ef29c8aaac8,
NA,NA,14004RX12,46_T4.1_Mc_QYH,1,Montastraea cavernosa,T4,FLKeys,46_T4.1_Mc_QYH_1.fastq.gz; 46_T4.1_Mc_QYH_2.fastq.gz,2ad9fb443dd2e2839c0dbdaab38266e8;3ace91b8dc8789c3b808cce8fb388a03,
NA,NA,14005RX14,47_T3.1_Ac_JB,1,Acropora cervicornis,T3,FLKeys,47_T31_Ac_JB.txt.gz,528f2512e1ee291f1f1428c67874dfe7,
NA,NA,14005RX15,48_T3.1_Of_JNO,1,Obicella faveolata,T3,FLKeys,48_T31_Of_JNO.txt.gz,59852cb94887315d04155b3f07bd34fa,
NA,NA,14005RX16,49_T31_Mc_SWQ,1,Montastraea cavernosa,T3,FLKeys,49_T31_Mc_SWQ.txt.gz,6b2aff3485d29fda9c03c199f43344d6,
NA,NA,14005RX17,50_T21_Of_YZB,1,Obicella faveolata,T2,FLKeys,50_T21_Of_YZB.txt.gz,1b936bbfb317e021dab60120fced1be6,
NA,NA,14005RX18,51_T42_Of_UOF,2,Obicella faveolata,T4,FLKeys,51_T42_Of_UOF.txt.gz,07506817d610775ecb3ff62e40b6e361,
NA,NA,14005RX19,52_T11_Ac_II,1,Acropora cervicornis,T1,FLKeys,52_T11_Ac_II.txt.gz,8db8641fd3870b00d1c4ce76ed9b1c44,
NA,NA,14005RX20,53_T21_Ac_NH,1,Acropora cervicornis,T2,FLKeys,53_T21_Ac_NH.txt.gz,9f6b6383ed70998a9708ae10d856cddb,
NA,NA,14005RX21,54_T42_Ac_JQ,2,Acropora cervicornis,T4,FLKeys,54_T42_Ac_JQ.txt.gz,a433fc469045125f93c35d8538248f3a,
NA,NA,14005RX22,55_T32_Mc_TWP,2,Montastraea cavernosa,T3,FLKeys,55_T32_Mc_TWP.txt.gz,c436b0dcafe9a81754f824d7484a823b,
NA,NA,14005RX23,56_T42_Mc_JAW,2,Montastraea cavernosa,T4,FLKeys,56_T42_Mc_JAW.txt.gz,545505838ea7f5fd6f36605bc24746d2,
NA,NA,14005RX24,57_T32_Ac_NM,2,Acropora cervicornis,T3,FLKeys,57_T32_Ac_NM.txt.gz,40ed520a5b1a3b6e1bf6561d096b9421,
NA,NA,14005RX25,58_T21_Mc_EAH,1,Montastraea cavernosa,T2,FLKeys,58_T21_Mc_EAH.txt.gz,1aee4b636063dfad79e768e19e568596,
NA,NA,14005RX26,59_T11_Of_TQP,1,Obicella faveolata,T1,FLKeys,59_T11_Of_TQP.txt.gz,cebd4d40ecd20ca2dd10e2c14c7d1b42,
NA,NA,14005RX27,60_T32_Of_WXY,2,Obicella faveolata,T3,FLKeys,60_T32_Of_WXY.txt.gz,d35ae27302b0a45663d4a29fb1db260e,
NA,NA,14005RX28,61_T11_Mc_RAP,1,Montastraea cavernosa,T1,FLKeys,61_T11_Mc_RAP.txt.gz,5bb9bbc419acd9eeaa5dfd7ad3a77dce,
