Time,Sample.ID,Sample name,Rep,Species,Treatment in mg/L of sediment,Time point in days,Location,File.Name.fastq
NA,NA,NA,NA,Montipora capitata,unknown,unknown,HIMB,5_2.fastq.gz
NA,NA,NA,NA,Montipora capitata,unknown,unknown,HIMB,10_2.fastq.gz
NA,NA,NA,NA,Montipora capitata,unknown,unknown,HIMB,13_1.fastq.gz
NA,NA,NA,NA,Montipora capitata,unknown,unknown,HIMB,13_2.fastq.gz
NA,NA,NA,NA,Montipora capitata,unknown,unknown,HIMB,14_1.fastq.gz
NA,NA,NA,NA,Montipora capitata,unknown,unknown,HIMB,14_2.fastq.gz
NA,NA,NA,NA,Montipora capitata,unknown,unknown,HIMB,15_2.fastq.gz
NA,NA,NA,NA,Montipora capitata,unknown,unknown,HIMB,16_2.fastq.gz
NA,NA,NA,NA,Montipora capitata,unknown,unknown,HIMB,19_2.fastq.gz
NA,NA,NA,NA,Montipora capitata,unknown,unknown,HIMB,20_2.fastq.gz
NA,NA,NA,NA,Montipora capitata,unknown,unknown,HIMB,40_2.fastq.gz
NA,NA,NA,NA,Montipora capitata,unknown,unknown,HIMB,45_1.fastq.gz
NA,NA,NA,NA,Montipora capitata,unknown,unknown,HIMB,45_2.fastq.gz
,,,,,,,,
