gene_id,10_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,11_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,11_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,12_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,13_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,13_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,14_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,14_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,15_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,16_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,17_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,18_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,19_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,1_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,20_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,21_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,22_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,23_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,24_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,25_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,25_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,26_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,26_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,27_1_test_noGFF.Aligned.sortedByCoord.out.bam.merge.gtf,28_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,29_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,2_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,30_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,31_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,32_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,32_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,33_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,34_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,35_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,36_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,37_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,37_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,38_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,39_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,39_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,3_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,3_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,40_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,41_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,41_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,42_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,43_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,43_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,44_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,45_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,45_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,46_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,47_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,48_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,4_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,4_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,5_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,5_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,6_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,6_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,7_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,8_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,9_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,9_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf
pdam_00019233,0,36,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,25,0,38,0,0,0,0,0,29,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
pdam_00019232,0,22,18,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,8,10,0,0,13,14,12,0,0,0,30,34,15,0,0,0,0,0,0,8,0,34,32,0,0,0,0,0,0,0,0
pdam_00015200,2,730,754,2,0,0,0,1,0,0,3,0,1,602,0,0,0,0,0,0,1,6,4,0,443,0,317,0,0,0,1,0,0,456,576,0,0,638,978,1025,5,3,0,1388,1421,578,7,4,0,0,0,0,371,4,982,1003,0,0,0,4,0,0,0,4
pdam_00015201,0,13,13,1,0,1,0,1,0,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,6,14,0,1,26,13,12,0,0,0,40,40,12,2,2,0,0,0,0,15,0,15,14,0,0,0,0,0,0,0,0
pdam_00015202,0,99,99,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,42,0,36,0,0,0,0,0,0,80,58,0,0,98,130,129,0,0,0,173,176,86,0,0,0,0,0,0,43,0,102,107,0,0,0,0,0,0,0,0
pdam_00015203,6,344,342,6,0,0,0,0,0,8,12,8,9,339,0,0,8,8,17,0,0,4,4,6,253,8,45,10,0,7,0,0,6,272,303,0,0,373,516,523,0,13,8,777,773,320,0,0,0,0,0,10,215,11,554,561,0,0,7,9,0,4,5,0
pdam_00015204,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pdam_00019238,3,2437,2387,4,3,3,13,12,0,1,4,3,0,1035,2,0,2,0,0,4,4,0,2,2,903,0,361,0,0,0,0,0,0,1318,1398,0,0,1005,2456,2409,3,3,2,2525,2462,1076,0,0,4,4,4,0,857,9,2165,2110,4,0,4,3,0,0,0,0
pdam_00015206,1,64,63,1,0,0,0,0,1,1,2,1,0,40,0,1,0,2,1,0,0,2,2,1,25,1,12,0,0,0,0,0,2,38,34,1,1,41,85,86,1,0,2,105,107,38,0,0,2,0,1,1,30,2,46,49,0,1,0,1,1,0,0,0
pdam_00015207,0,595,578,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,230,0,154,0,0,0,0,0,0,411,283,0,0,443,757,757,0,0,0,774,767,394,0,1,0,0,0,0,199,7,702,691,0,0,0,0,0,0,0,0
pdam_00008134,0,103,109,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,55,0,31,0,0,0,0,0,0,70,61,0,0,67,153,153,0,0,0,162,169,72,0,0,0,0,0,0,60,0,163,167,0,0,0,0,0,0,0,0
pdam_00008135,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,16,0,0,0,4,5,6,0,0,0,8,8,9,0,0,0,0,0,0,1,0,7,7,0,0,0,0,0,0,0,0
pdam_00008136,0,128,121,0,0,0,4,4,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,103,0,71,0,0,0,1,0,0,108,117,0,0,124,249,251,0,0,0,286,282,127,0,0,0,0,0,0,73,0,181,178,0,0,0,0,0,0,0,2
pdam_00008137,0,186,181,0,0,2,4,4,0,0,0,0,0,133,0,0,2,0,0,0,0,0,0,0,169,0,147,0,0,0,0,1,0,200,118,2,0,177,367,368,0,0,0,369,359,187,0,0,2,0,0,0,98,0,301,299,0,1,0,1,0,0,0,0
pdam_00008130,0,89,86,0,0,0,0,0,0,0,0,0,0,51,0,0,3,0,0,0,0,0,0,0,29,0,10,0,0,0,0,0,0,58,57,0,0,52,91,89,0,0,0,115,115,61,0,0,0,0,0,0,20,0,60,58,0,0,0,0,0,0,0,0
pdam_00008131,0,32,31,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,0,18,0,0,0,0,0,0,19,7,0,0,12,7,10,0,0,0,41,39,17,0,0,0,0,1,0,0,0,27,32,0,0,0,0,0,0,0,0
pdam_00008132,0,40,38,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,16,0,0,12,19,20,0,0,0,31,32,8,0,0,0,0,0,0,14,0,26,26,0,0,0,0,0,0,0,0
pdam_00008133,0,193,190,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,46,0,54,0,0,0,0,0,0,119,105,0,2,151,208,195,0,0,0,212,202,105,0,0,0,0,0,0,65,0,164,164,0,0,0,0,0,0,0,0
pdam_00008138,0,937,911,0,0,0,6,0,0,0,0,0,0,526,0,0,0,0,0,0,0,0,0,0,487,0,129,0,0,0,0,0,0,769,638,0,0,542,1170,1176,0,0,0,1269,1251,621,0,0,0,0,0,0,432,0,1065,1037,0,0,0,0,0,0,0,0
pdam_00008139,8,345,339,2,0,0,0,0,7,10,0,0,0,178,0,0,0,0,0,0,0,0,0,0,214,0,218,0,0,0,0,0,0,208,298,0,0,248,549,538,0,0,0,404,397,223,0,0,0,0,2,0,218,9,581,577,0,0,4,0,4,0,0,0
pdam_00015972,0,56,52,0,0,0,0,0,0,1,1,1,1,33,1,0,0,0,1,0,1,0,1,0,34,0,41,0,0,0,0,0,0,47,54,0,1,56,87,84,2,2,0,100,102,64,0,1,1,0,0,1,62,0,76,79,0,0,0,0,0,0,2,3
pdam_00015973,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,8,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,8,0,0,0,0,0,0,0,0
pdam_00015970,11,612,582,9,5,2,6,5,10,0,10,3,0,310,0,0,3,6,0,0,0,0,0,0,217,0,270,8,0,0,0,0,4,275,335,0,0,322,622,596,0,0,0,559,537,303,0,0,0,0,0,7,189,19,590,569,0,0,0,0,0,0,0,0
pdam_00015971,0,22,24,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,20,0,0,24,22,21,0,0,0,33,35,0,0,0,0,0,0,0,15,0,29,25,0,0,0,0,0,0,0,0
pdam_00015976,30,1711,1641,34,5,0,7,6,15,35,36,19,29,752,28,0,17,0,28,8,0,6,0,17,1105,17,668,0,0,7,3,9,0,1099,947,0,0,805,2443,2328,7,0,27,1924,1853,1049,7,5,36,0,0,0,621,38,2144,2077,0,1,13,5,0,0,5,4
pdam_00015977,0,54,58,0,0,1,0,0,0,0,2,0,3,64,2,0,0,1,0,0,0,0,2,0,49,0,12,0,0,0,0,0,0,60,45,0,1,82,158,168,0,0,0,174,175,79,0,0,0,0,0,0,40,0,130,132,0,0,0,0,0,0,0,0
pdam_00015974,0,148,135,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,82,0,33,0,0,0,0,0,0,112,99,0,0,87,100,103,0,0,0,197,193,112,0,0,0,0,0,0,70,0,171,167,0,0,0,0,0,0,0,0
pdam_00021846,0,0,2,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0,0,0,0,12,8,6,0,0,0,0,0,0,2,0,15,11,0,0,0,0,0,0,0,0
pdam_00021849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
pdam_00021848,0,635,621,0,0,0,0,0,0,0,27,0,0,403,0,0,0,9,0,0,0,0,0,0,408,0,382,0,2,0,0,0,0,409,375,0,0,444,1065,1051,0,0,0,918,899,484,0,0,0,0,0,8,294,5,1069,1062,0,0,0,0,0,0,0,0
pdam_00015978,0,234,231,0,0,0,0,0,0,0,0,0,0,73,2,0,0,0,0,0,0,0,0,0,66,0,102,0,0,0,0,0,0,107,105,0,0,95,242,234,0,2,0,217,205,109,0,0,0,0,0,0,55,0,207,203,0,0,0,0,0,0,0,0
pdam_00015979,8,543,530,0,0,0,9,6,0,8,13,0,0,285,0,17,0,0,0,0,0,0,0,0,250,5,232,7,0,0,0,0,0,322,313,0,0,337,713,692,0,0,7,727,707,281,0,0,11,0,0,0,178,0,625,612,0,0,6,4,0,0,0,0
pdam_00018298,0,100,95,0,0,0,0,0,0,4,0,0,0,33,0,0,0,0,0,0,0,0,0,0,26,0,25,0,0,0,0,0,0,56,54,0,0,45,90,86,0,0,0,115,116,51,0,0,0,0,0,0,26,0,48,48,0,0,0,0,0,0,0,0
pdam_00018299,0,95,95,0,0,0,0,0,0,0,0,1,0,41,0,1,1,0,0,0,0,0,0,0,42,0,17,0,0,1,0,0,0,84,66,0,1,52,102,97,0,1,0,172,174,60,0,1,0,1,0,0,48,1,86,87,0,0,0,0,0,0,0,0
pdam_00018290,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,40,33,0,0,42,29,0,0,0,0,18,18,33,0,0,0,0,0,0,57,0,30,0,0,0,0,0,0,0,0,0
pdam_00018291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pdam_00018292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pdam_00018293,8,2604,2560,19,6,3,13,13,5,7,28,9,9,1229,4,17,12,0,20,4,0,13,9,0,1884,0,729,25,0,5,3,12,13,1281,1306,4,4,1034,3810,3744,6,4,6,2587,2514,1550,7,5,17,0,0,15,1282,18,3678,3575,5,3,7,7,18,9,0,0
pdam_00018294,0,79,80,7,0,0,0,0,0,0,0,0,0,59,0,0,0,6,0,0,0,0,0,0,47,0,47,0,0,0,0,0,4,65,55,0,0,92,113,117,0,0,6,168,183,79,0,0,14,0,0,9,39,14,139,134,0,0,0,0,0,0,0,0
pdam_00018295,3,469,467,0,0,1,0,0,0,2,0,0,0,147,0,3,0,0,0,0,0,0,0,0,195,0,93,0,0,0,0,0,0,179,159,0,0,153,519,511,0,0,0,424,409,258,0,0,0,0,0,1,142,0,370,366,0,1,0,0,0,0,0,0
pdam_00018296,0,240,239,0,0,0,0,0,0,0,0,0,0,121,0,0,1,0,0,0,0,0,0,0,84,0,22,0,0,0,0,0,0,113,104,0,0,105,199,208,0,0,0,313,312,117,0,0,0,0,0,0,66,0,205,222,0,0,0,0,0,0,0,0
pdam_00018297,2,84,84,2,0,0,0,0,0,0,4,0,0,60,6,0,0,0,0,0,0,0,0,0,78,0,91,0,0,2,2,0,0,85,67,0,0,83,261,251,0,0,0,156,154,79,0,0,0,0,0,0,65,3,158,157,0,0,0,0,0,0,0,0
pdam_00019240,7,263,256,4,0,0,0,0,6,0,4,0,6,212,0,0,5,0,14,0,0,0,0,0,202,0,215,5,0,2,0,0,0,210,194,0,0,249,650,641,0,0,8,481,458,278,0,0,0,0,0,0,196,7,521,511,0,0,0,0,0,0,0,0
pdam_00015296,0,46,46,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,11,0,51,0,0,0,0,0,0,32,36,0,0,40,62,68,0,0,0,59,59,31,0,0,0,0,0,0,21,0,62,62,0,0,0,0,0,0,0,0
pdam_00015295,0,18,19,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,16,24,0,0,18,29,27,0,0,0,32,35,20,0,0,0,0,0,0,17,0,28,33,1,0,0,0,0,0,0,0
pdam_00019243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
pdam_00019244,0,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,10,0,0,6,4,4,0,0,0,4,9,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
