"","1_2","2_2","4_2","11_2","28_2","35_2","36_2","38_2","39_2","41_2","42_2","47_2"
"LOC113668014",499,111,1568,2024,389,550,459,401,1404,1581,894,627
"LOC113686278",196,56,130,91,48,230,229,276,136,238,93,73
"LOC113664139",16,75,9,7,13,13,7,110,5,6,231,14
"LOC113675164",32,4,10,14,11,36,23,26,10,6,32,34
"LOC113669293",95,42,14,35,58,54,100,62,42,44,84,7
"LOC113677341",2546,1641,9101,11397,1126,3194,2889,3548,10531,9804,3718,2424
"LOC113665702",68,117,49,81,52,83,75,82,108,71,89,39
"LOC113674261",94,32,13,30,56,127,118,14,67,29,100,57
"LOC113674426",71,22,189,138,53,68,34,42,168,239,93,52
"LOC113671271",34,4,14,11,19,41,31,48,16,27,42,22
"LOC113668070",14,15,12,6,20,68,34,28,6,12,18,22
"LOC113678520",191,202,285,85,224,277,233,234,95,262,160,121
"LOC113685534",153,47,24,26,193,258,234,162,37,40,205,84
"LOC113685034",14,5,306,953,22,30,32,418,998,506,7,7
"LOC113686536",35,19,35,38,32,47,35,31,27,30,57,31
"LOC113675484",121,76,139,50,92,91,106,126,62,97,74,73
"LOC113678667",75,19,27,19,47,34,29,110,45,31,48,22
"LOC113665515",29,46,29,23,22,45,31,23,35,19,50,42
"LOC113679700",12,18,99,46,5,12,13,30,67,58,10,12
"LOC113665132",832,342,3208,2492,623,422,806,346,2641,2193,1249,741
"LOC113669444",179,147,228,121,250,161,159,229,224,148,235,130
"LOC113669449",60,72,49,9,67,21,27,76,29,59,145,35
"LOC113676595",83,64,38,72,56,93,80,141,117,109,77,66
"LOC113671171",117,100,57,37,75,51,43,59,66,41,122,25
"LOC113680137",50,40,20,23,56,62,66,18,37,38,61,47
"LOC113686073",53,13,310,153,41,19,77,51,943,167,97,24
"LOC113671742",107,57,301,409,96,139,92,110,381,398,122,84
"LOC113671685",285,43,160,84,211,320,215,149,115,391,247,347
"LOC113675135",123,23,94,59,82,43,105,102,123,116,133,85
"LOC113673162",75,83,21,12,47,56,88,72,9,24,28,39
"LOC113672715",43,30,23,36,30,36,52,50,23,23,70,33
"LOC113668167",338,244,1307,1822,358,346,297,253,1242,1208,593,481
"LOC113686086",195,167,149,171,155,195,196,146,102,192,198,179
"LOC113682771",1680,975,5681,4715,1227,1338,859,553,5147,5193,2319,1132
"LOC113676551",531,298,1271,2381,625,617,638,381,1773,1787,837,536
"LOC113664907",1423,842,5229,5619,1974,1834,1653,1316,4480,4382,2290,1607
"LOC113667052",165,82,167,101,92,190,181,292,264,193,225,85
"LOC113669355",94,83,63,69,137,85,69,118,92,47,110,76
"LOC113681444",214,109,84,73,154,260,109,195,147,130,206,67
"LOC113677891",644,637,406,165,941,792,431,947,896,769,1094,543
"LOC113666137",17,31,16,20,14,19,17,66,3,23,54,14
"LOC113674431",1979,715,820,391,1609,1627,1762,1796,476,811,1770,267
"LOC113670678",57,94,16,36,134,34,152,34,25,37,44,37
"LOC113683906",221,318,442,260,206,328,339,445,355,317,203,274
"LOC113686351",37,50,5,42,20,32,34,44,7,9,41,44
"LOC113671244",598,1157,639,630,469,682,608,884,766,752,362,406
"LOC113670059",499,225,429,465,323,937,652,475,724,608,661,297
"LOC113682626",200,103,48,112,112,231,265,252,37,102,333,139
"LOC113668013",164,233,67,78,33,305,197,146,207,72,236,122
"LOC113683892",77,80,1,8,84,162,96,165,8,11,153,89
"LOC113665304",59,95,56,59,36,52,47,76,76,41,59,32
"LOC113666383",45,22,8,50,153,195,115,140,53,61,134,289
"LOC113674816",26,40,5,37,10,16,23,44,11,6,26,16
"LOC113675698",1180,1242,11565,16852,1391,2782,3696,366,11325,12376,1199,1915
"LOC113680239",120,49,81,61,72,100,69,150,89,150,136,63
"LOC113679993",426,144,885,887,389,453,228,232,929,1298,564,238
"LOC113670912",28,17,11,12,42,42,16,32,31,30,57,15
"LOC113681648",6487,2601,26240,23283,4447,9038,5699,5119,19861,21415,9717,7785
"LOC113668956",40,16,13,1,11,43,53,37,9,7,34,7
"LOC113686220",104,46,297,506,70,197,113,128,548,630,171,99
"LOC113672358",30,8,232,222,15,17,24,34,348,129,15,0
"LOC113666714",17,3,10,6,14,12,7,25,8,10,17,13
"LOC113666721",50,22,17,20,40,26,99,10,17,11,40,16
"LOC113667899",201,82,10,4,95,13,259,15,8,6,243,178
"LOC113672564",261,158,777,1082,222,171,152,158,575,683,256,242
"LOC113664141",233,353,79,116,218,259,335,234,227,140,426,342
"LOC113667471",294,181,237,293,362,366,249,420,396,569,422,300
"LOC113678352",58,32,5,23,16,94,29,14,10,8,85,58
"LOC113677713",118,141,80,237,109,160,188,190,73,73,145,85
"LOC113684855",1279,372,314,183,647,2034,904,1767,1432,987,1608,1357
"LOC113678365",29,7,10,0,6,27,11,13,6,12,19,35
"LOC113685955",160,58,77,72,99,306,451,241,190,205,96,132
"LOC113664501",866,412,565,1330,1073,1245,947,625,1126,750,1440,632
"LOC113677377",413,509,476,370,296,785,1086,902,680,600,311,357
"LOC113676077",41,37,42,37,38,43,40,85,55,42,39,37
"LOC113664289",1974,2525,299,224,645,3283,1797,1870,256,220,3903,2699
"LOC113679869",307,328,288,64,186,389,224,424,235,138,61,262
"LOC113673455",229,29,669,361,41,67,96,136,747,593,423,79
"LOC113686891",5,19,14,7,53,96,15,10,17,13,35,17
"LOC113682888",372,200,24,52,340,410,344,386,64,93,443,0
"LOC113677411",25,36,6,55,8,21,99,86,7,12,23,49
"LOC113675828",178,162,20,70,151,164,202,206,36,12,180,110
"LOC113682209",55,15,34,28,54,78,100,53,21,21,80,47
"LOC113678576",73,97,339,316,107,182,165,137,402,346,148,68
"LOC113681730",180,0,56,21,52,152,185,310,44,34,259,221
"LOC113677330",1141,467,668,688,1071,1216,1347,1034,923,979,1112,951
"LOC113685970",18,8,11,4,8,17,17,15,17,8,13,11
"LOC113674578",965,252,44,70,820,1299,1256,1051,61,40,1144,801
"LOC113686410",89,81,75,138,55,111,125,156,138,142,91,56
"LOC113669924",56,51,83,73,48,75,68,58,72,71,83,28
"LOC113669730",517,186,1617,2259,422,484,333,266,1167,1617,803,444
"LOC113674392",110,0,409,263,35,25,13,9,473,666,40,133
"LOC113684180",180,146,36,40,99,195,123,200,16,79,190,101
"LOC113672580",33,24,28,12,17,25,40,44,17,30,18,11
"LOC113675415",13,5,9,6,6,19,14,13,13,12,15,15
"LOC113671697",160,116,37,37,187,233,226,172,43,33,232,129
"LOC113666244",137,977,816,1395,53,208,153,298,3692,1885,286,152
"LOC113667989",53,7,803,966,19,729,94,352,972,1236,55,44
"LOC113666599",884,467,446,456,324,381,746,627,520,729,503,643
"LOC113668440",518,207,54,69,440,506,499,468,130,136,616,317
"LOC113676057",126,61,412,494,190,149,125,107,352,483,166,167
"LOC113664769",571,477,289,143,586,523,510,654,261,825,729,473
"LOC113675180",386,186,930,963,321,428,366,351,931,929,463,281
"LOC113672681",199,147,19,47,202,460,117,211,116,38,461,154
"LOC113670163",278,116,662,402,305,254,154,223,709,938,373,296
"LOC113672798",249,148,218,334,136,292,501,276,223,341,176,201
"LOC113673983",198,49,774,632,205,249,120,134,763,799,386,194
"LOC113671087",23,11,23,5,14,24,14,27,29,14,26,36
"LOC113669782",96,55,29,32,62,69,102,117,31,20,70,38
"LOC113672016",195,95,1198,1492,278,249,274,123,872,963,447,132
"LOC113677266",20,19,18,18,6,25,27,13,16,4,19,6
"LOC113677144",113,91,135,118,111,114,252,141,75,36,135,116
"LOC113677148",96,45,129,83,75,73,97,104,103,150,137,100
"LOC113673554",33,25,270,176,45,36,20,27,148,84,86,27
"LOC113682541",44,16,137,167,39,64,40,28,143,173,86,36
"LOC113684226",13,15,12,7,32,25,20,5,9,8,18,6
"LOC113687133",55,52,56,77,65,71,49,128,93,82,81,38
"LOC113680923",5927,1857,2160,1606,5619,6733,3112,5185,1793,1531,6592,4534
"LOC113671529",58,59,11,42,19,30,46,23,18,17,23,72
"LOC113665493",580,132,1257,959,425,449,277,328,1328,1344,545,368
"LOC113672537",26,29,41,34,22,41,55,74,67,40,24,28
"LOC113668410",63,69,31,27,32,214,35,45,75,42,82,6
"LOC113667610",11,32,9,17,7,10,17,20,9,17,6,16
"LOC113684387",704,494,122,67,662,326,548,96,59,14,773,139
"LOC113674023",94,11,11,18,37,64,74,121,26,23,69,51
"LOC113677393",61,57,17,16,44,39,41,39,27,37,57,18
"LOC113685457",240,87,91,198,160,645,183,437,226,312,292,92
"LOC113681402",104,41,45,63,81,54,83,105,42,52,48,46
"LOC113668306",50,70,32,38,46,114,166,52,24,28,61,67
"LOC113674672",44,27,133,160,46,91,79,59,147,209,50,20
"LOC113674263",2104,692,8031,5305,1348,2389,1619,1651,4918,5255,2539,1846
"LOC113673390",935,431,81,145,893,1166,1125,824,252,99,986,384
"LOC113684636",28,32,21,29,52,79,50,44,34,30,55,74
"LOC113675263",30,15,11,18,40,29,32,36,32,40,40,39
"LOC113683282",91,47,41,7,83,51,33,69,8,27,24,45
"LOC113670359",143,26,21,6,127,165,65,74,38,35,81,82
"LOC113679734",107,58,294,253,105,101,86,62,307,253,137,90
"LOC113686210",124,214,173,132,121,199,217,235,314,262,188,133
"LOC113674289",226,132,935,740,286,223,156,174,763,625,299,275
"LOC113676006",344,108,1305,1061,432,430,213,251,1048,901,509,317
"LOC113673305",19,18,15,14,19,18,15,21,15,18,21,6
"LOC113665605",126,34,498,515,108,149,52,88,360,436,173,116
"LOC113675185",24,3,10,14,16,31,19,16,17,37,39,20
"LOC113672765",39,19,34,59,115,98,48,92,3,64,77,117
"LOC113683360",110,114,32,9,76,132,132,53,51,15,163,79
"LOC113677082",117,39,6,15,87,128,77,63,9,6,40,41
"LOC113686249",147,42,385,415,196,146,93,98,314,395,256,86
"LOC113681475",54,40,55,62,51,68,52,63,78,99,63,42
"LOC113666052",65,44,72,104,60,112,82,104,80,136,74,60
"LOC113682288",96,23,137,205,63,52,55,78,284,287,108,54
"LOC113672842",35,29,53,38,25,55,187,72,27,59,48,29
"LOC113684482",338,221,87,125,30,49,331,391,78,138,47,178
"LOC113683654",32,23,447,281,55,37,0,10,569,621,360,138
"LOC113686292",106,27,54,10,78,175,295,92,1,31,162,211
"LOC113672431",140,97,16,22,87,154,218,31,26,41,219,135
"LOC113681344",310,410,81,78,98,276,322,340,50,228,347,236
"LOC113676604",56,109,29,11,79,12,58,47,20,9,103,45
"LOC113668327",52,35,19,17,31,38,34,62,43,18,38,12
"LOC113669646",41,10,33,5,49,81,8,11,23,7,18,65
"LOC113666187",12,3,89,91,13,38,20,32,209,230,12,6
"LOC113666995",207,72,773,1091,172,210,148,150,671,670,262,180
"LOC113674379",1130,721,3935,5019,1102,1128,1069,745,3437,3355,1551,1080
"LOC113669015",279,358,324,316,504,686,267,515,565,337,711,170
"LOC113680950",160,111,187,218,141,211,184,258,195,339,192,156
"LOC113677075",166,75,592,760,158,202,115,116,536,558,228,143
"LOC113668119",39,15,38,47,47,187,52,45,50,61,65,31
"LOC113672440",160,90,29,36,81,167,8,189,20,23,189,0
"LOC113667981",41,26,22,18,24,31,40,53,30,40,41,15
"LOC113677209",85,25,38,26,33,89,35,74,55,79,75,64
"LOC113686179",17,10,7,7,11,25,19,24,18,3,12,9
"LOC113666891",140,76,50,66,48,115,93,191,79,121,112,63
"LOC113679798",205,45,668,745,212,239,218,108,685,590,303,89
"LOC113667133",154,70,168,70,104,106,120,217,125,129,129,86
"LOC113685903",53,8,36,28,60,70,35,58,28,24,76,24
"LOC113681196",509,455,1977,3572,223,506,826,1007,2733,3013,976,471
"LOC113670165",71,111,68,85,108,87,141,102,132,91,111,94
"LOC113680282",141,55,105,90,117,195,192,171,89,155,139,101
"LOC113682220",34,18,265,361,63,22,31,28,81,59,44,79
"LOC113683409",367,581,111,77,490,834,310,381,7,290,334,458
"LOC113676665",74,80,16,38,27,32,84,98,36,21,97,89
"LOC113669920",362,178,296,368,305,264,340,426,366,470,337,389
"LOC113664336",218,133,777,744,402,327,167,178,744,933,378,282
"LOC113683533",219,117,258,121,190,334,294,248,51,84,323,81
"LOC113683602",32,82,149,190,27,89,96,106,172,267,40,25
"LOC113668461",25,17,25,14,22,26,13,17,29,26,38,27
"LOC113681384",46,39,10,9,40,52,15,10,12,21,4,36
"LOC113679803",77,32,48,31,32,117,119,92,86,84,57,88
"LOC113665832",227,94,231,235,171,317,214,248,325,344,274,169
"LOC113681388",45,35,54,85,43,54,88,64,47,58,52,33
"LOC113667417",104,105,31,61,26,111,188,65,91,61,44,36
"LOC113665340",15,29,33,69,20,72,71,90,65,28,15,34
"LOC113675196",84,26,239,241,59,115,17,48,271,333,139,100
"LOC113678426",16,75,41,36,20,41,50,38,36,33,40,14
"LOC113679600",41,29,337,175,30,153,32,80,401,321,60,65
"LOC113680007",50,31,55,60,39,81,128,106,86,56,54,36
"LOC113679262",137,2222,50,597,413,211,1375,97,268,31,366,112
"LOC113677818",293,187,878,848,296,359,248,282,857,884,426,258
"LOC113678546",41,23,15,10,39,37,29,36,5,20,43,22
"LOC113673745",184,447,236,206,161,365,430,121,212,147,335,116
"LOC113684738",347,327,35,21,0,487,345,138,34,73,509,89
"LOC113687128",30,26,18,21,23,22,37,29,22,42,29,23
"LOC113665670",143,45,66,58,71,97,147,201,39,61,128,93
"LOC113683782",321,182,290,305,427,633,470,297,377,375,416,241
"LOC113664448",22,15,20,3,20,22,23,26,23,27,27,22
"LOC113668080",20,24,402,936,7,89,274,135,504,723,52,109
"LOC113666770",1864,538,334,1538,1238,972,1083,2313,689,972,2272,476
"LOC113675528",109,80,115,85,84,97,95,145,56,71,125,103
"LOC113680735",129,75,366,327,80,172,142,128,337,380,136,93
"LOC113665402",57,25,28,17,64,74,86,105,35,67,73,70
"LOC113684634",10,4,14,10,14,17,12,14,7,17,13,32
"LOC113686478",2114,1013,10697,13219,2111,1259,2158,296,14894,10807,8701,2602
"LOC113668902",82,15,32,23,33,40,18,52,54,54,43,28
"LOC113674440",15,6,6,7,4,11,16,27,16,9,7,7
"LOC113680302",163,71,45,24,103,233,86,199,0,127,158,108
"LOC113677102",30,37,131,147,28,34,65,37,111,113,29,16
"LOC113670989",98,161,44,76,47,92,193,78,61,33,100,79
"LOC113681103",50,124,60,22,63,20,33,96,18,43,23,24
"LOC113672817",200,1623,627,106,217,479,1555,2016,154,437,2299,1108
"LOC113680256",65,33,7,7,90,71,35,45,7,6,86,67
"LOC113670038",25,7,102,68,16,28,22,26,98,74,31,33
"LOC113678771",194,113,221,150,134,285,230,295,115,387,282,119
"LOC113674940",21,7,43,79,14,10,12,5,33,41,22,23
"LOC113671327",120,138,34,66,129,159,138,118,73,14,147,113
"LOC113678704",31,18,11,14,34,38,48,44,25,20,43,28
"LOC113666586",75,25,191,267,51,87,58,85,228,434,123,110
"LOC113669005",108,74,328,311,92,119,85,95,279,331,129,74
"LOC113672513",144,45,27,7,63,119,0,101,22,17,139,39
"LOC113674282",32,27,7,35,284,396,13,18,57,3,365,14
"LOC113678573",52,20,35,34,49,69,68,63,61,83,70,40
"LOC113671459",30,11,15,25,36,45,17,35,16,19,36,25
"LOC113664439",462,332,111,327,521,488,376,445,15,111,582,379
"LOC113686085",235,83,3,51,110,46,359,440,38,21,305,219
"LOC113677292",106,187,58,11,313,89,260,150,29,22,61,169
"LOC113680594",1190,1038,190,610,1087,1351,24,1361,270,112,1265,934
"LOC113681448",37,23,31,9,22,47,14,42,8,24,22,24
"LOC113665823",34,10,78,84,12,32,21,33,93,124,34,17
"LOC113679684",133,42,348,310,138,171,74,123,380,428,188,84
"LOC113668931",139,57,399,403,114,169,120,153,538,456,163,118
"LOC113675766",96,263,17,24,293,79,162,255,17,15,541,62
"LOC113666855",1613,564,2653,3157,1716,855,1014,1517,3605,3518,1959,1321
"LOC113665914",309,88,258,158,237,284,235,320,334,345,293,164
"LOC113681899",134,98,48,138,95,129,153,94,85,90,181,73
"LOC113666334",250,77,652,592,217,244,213,192,557,661,277,161
"LOC113667220",131,32,92,46,218,225,92,63,71,63,85,93
"LOC113668755",750,96,505,366,708,1224,767,717,657,437,1006,492
"LOC113683058",1045,360,933,1405,889,1528,1104,1062,961,965,1229,643
"LOC113667329",127,98,60,22,105,45,83,228,4,14,6,67
"LOC113681269",99,86,71,89,98,89,134,106,48,14,128,78
"LOC113681664",1308,285,2724,2934,1517,925,653,853,2809,2984,1024,1090
"LOC113674435",38,7,23,17,34,50,23,23,28,33,52,13
"LOC113670080",128,58,1012,368,82,151,64,96,1081,150,63,44
"LOC113675208",66,51,54,99,49,120,88,69,65,67,104,61
"LOC113676704",102,25,298,434,54,80,86,88,224,319,126,92
"LOC113677629",207,44,109,116,246,142,129,190,185,28,226,108
"LOC113681737",57,22,9,29,15,34,64,62,41,17,74,5
"LOC113675293",21,7,19,11,10,18,21,23,17,16,16,17
"LOC113671011",127,40,438,491,135,120,27,81,409,470,185,111
"LOC113680325",670,58,8,7,526,1266,794,587,7,8,930,573
"LOC113677300",152,0,587,665,87,44,65,101,491,554,161,143
"LOC113669940",39,13,38,38,47,62,42,36,43,35,44,29
"LOC113682585",84,29,222,260,71,128,63,72,303,314,156,71
"LOC113676347",231,130,838,979,236,410,291,258,958,1064,277,185
"LOC113681731",328,65,48,52,338,428,192,516,396,225,605,213
"LOC113677253",602,494,661,946,426,631,617,778,835,790,690,584
"LOC113684275",43,30,28,42,58,43,38,49,45,63,57,39
"LOC113667213",214,100,518,535,180,203,132,200,536,588,235,168
"LOC113673972",1852,524,5138,4753,1940,2143,1494,1318,4592,5811,2382,1367
"LOC113666660",467,180,136,382,589,520,356,450,285,200,522,227
"LOC113678765",197,83,796,631,220,197,157,162,541,522,305,181
"LOC113681278",366,220,425,488,320,474,442,327,367,444,393,169
"LOC113664632",53,75,336,494,90,165,35,318,564,401,20,38
"LOC113680204",611,355,171,304,140,821,563,737,415,348,729,507
"LOC113673097",165,75,84,193,103,214,335,238,230,144,165,142
"LOC113679941",61,24,194,154,79,81,51,47,184,275,96,61
"LOC113687084",0,1611,104,225,833,1842,3039,1113,191,979,1268,583
"LOC113677313",115,106,77,93,93,193,179,191,79,112,209,137
"LOC113683429",23,24,6,17,18,21,60,20,2,34,31,46
"LOC113673681",101,66,790,975,167,153,202,88,1058,997,98,151
"LOC113665266",236,41,7,13,123,307,186,305,7,15,237,202
"LOC113682923",288,274,147,87,169,154,257,316,102,71,209,388
"LOC113686438",272,70,725,549,363,321,210,234,826,797,376,242
"LOC113684175",22,10,8,14,8,11,16,19,10,11,12,8
"LOC113674262",46,47,261,352,47,62,38,42,163,180,84,56
"LOC113666077",30,17,13,5,60,135,62,75,29,34,29,45
"LOC113674275",88,30,331,215,54,82,69,89,245,369,104,84
"LOC113673934",174,61,993,800,197,163,177,161,765,845,390,49
"LOC113670198",174,60,439,704,140,211,144,149,515,511,275,158
"LOC113685074",25,30,705,430,180,39,164,38,1145,653,360,26
"LOC113664150",458,152,4,63,226,290,121,16,130,113,241,95
"LOC113672776",28,10,10,1,11,14,22,26,11,13,20,12
"LOC113686444",67,35,27,33,56,30,50,88,15,15,55,51
"LOC113676989",26,54,24,39,38,29,40,33,24,25,35,23
"LOC113665263",34,18,21,24,32,47,35,29,18,13,48,26
"LOC113673651",14,18,9,13,12,10,114,11,13,11,56,134
"LOC113676944",26,25,157,181,11,46,58,63,173,171,34,23
"LOC113684534",18,6,25,15,26,38,21,28,20,24,40,24
"LOC113674841",68,33,157,210,36,42,27,43,149,203,59,61
"LOC113677661",84,68,8,81,124,128,202,147,55,38,93,154
"LOC113672378",173,102,776,631,87,391,209,452,826,684,178,176
"LOC113686389",15,8,5,10,12,14,13,17,8,10,16,8
"LOC113676278",193,152,190,162,255,122,103,92,181,190,178,214
"LOC113682566",71,75,9,13,227,33,179,44,45,35,121,162
"LOC113664961",161,100,152,238,90,241,232,269,237,317,212,97
"LOC113664401",47297,110592,4742,15618,77733,62370,61573,62264,4714,2417,82870,56243
"LOC113667540",64,47,114,108,252,96,217,140,63,76,298,221
"LOC113685705",62,17,14,35,30,56,43,64,48,65,69,37
"LOC113680180",18,29,4,27,10,20,26,27,14,30,21,12
"LOC113671323",10,18,141,463,25,58,61,20,414,424,21,35
"LOC113683607",1622,692,3349,4117,1264,1856,950,1003,4448,4901,1964,769
"LOC113672174",86,83,12,28,98,124,117,94,10,26,101,31
"LOC113664340",29,17,115,185,26,34,37,32,128,96,45,37
"LOC113686551",61,12,22,4,13,104,58,40,6,9,57,49
"LOC113679025",91,16,1150,293,139,128,72,90,622,450,259,103
"LOC113680549",91,23,53,25,34,121,15,203,51,5,72,67
"LOC113673231",85,35,487,550,23,72,24,55,565,798,19,6
"LOC113672621",121,78,79,25,79,98,92,209,91,39,170,12
"LOC113667399",10,12,7,8,8,13,18,21,9,10,9,16
"LOC113671440",2183,1078,10192,13926,5374,4102,3124,2078,11578,12265,3482,2639
"LOC113674953",1821,3155,11928,16941,1464,2042,5013,1696,12722,12421,1838,3051
"LOC113664778",10,9,460,495,6,21,20,22,588,670,19,10
"LOC113678991",67,55,52,36,16,39,109,109,50,61,64,34
"LOC113686627",24,20,22,31,27,41,45,37,58,41,50,34
"LOC113679585",169,105,6,29,161,185,8,37,30,26,27,55
"LOC113678949",29,7,15,14,19,21,37,37,16,6,5,12
"LOC113677344",58,38,70,54,89,67,96,93,71,76,66,292
"LOC113670771",37,14,3,17,31,15,13,48,13,17,15,76
"LOC113678968",60,37,24,2,30,61,42,65,26,26,63,31
"LOC113682120",6228,1335,18398,22895,8532,4876,7997,4825,20289,20102,8295,8345
"LOC113671933",26,66,19,26,19,38,159,10,14,27,0,15
"LOC113674987",42,36,35,80,14,92,237,75,74,57,103,63
"LOC113680561",46,10,81,69,36,28,17,32,120,95,49,52
"LOC113671669",183,42,541,743,123,205,47,98,435,660,282,136
"LOC113667788",224,297,25,100,149,226,212,151,10,129,237,149
"LOC113671517",111,235,100,99,132,151,159,149,21,146,100,144
"LOC113681275",641,331,1992,2630,497,710,705,438,1936,2080,1215,584
"LOC113686637",13,6,6,15,8,9,32,12,7,6,12,5
"LOC113673289",401,0,668,450,392,6,10,8,806,831,391,256
"LOC113684081",224,299,233,171,279,275,401,202,13,177,282,127
"LOC113666760",52,7,152,143,9,37,25,44,155,166,47,29
"LOC113672662",1775,650,1077,1485,1433,1854,1499,1343,2219,2107,1665,785
"LOC113671602",75,198,17,49,29,103,187,71,20,12,412,142
"LOC113680398",58,9,1416,997,58,488,93,515,857,1014,84,116
"LOC113677525",4554,771,2116,576,2853,6755,3072,5459,1846,3163,4050,2878
"LOC113673427",244,33,49,41,104,138,229,327,84,166,125,66
"LOC113675837",128,77,805,527,98,109,72,111,428,364,139,100
"LOC113669798",805,432,1007,3469,342,397,631,770,3976,5003,812,781
"LOC113664349",4475,1623,3039,3345,3044,3378,5427,6069,1143,3258,3054,1247
"LOC113672901",37,14,38,36,27,48,43,40,48,46,38,19
"LOC113666259",131,115,235,200,117,212,264,253,386,309,174,120
"LOC113680337",183,242,86,71,218,176,197,170,114,164,164,168
"LOC113684639",746,377,234,89,657,649,390,1002,14,64,790,459
"LOC113675178",18,25,9,6,19,16,17,25,10,7,27,10
"LOC113683186",30,11,31,16,37,12,23,16,14,31,33,16
"LOC113684236",99,43,101,152,115,195,130,119,116,155,172,154
"LOC113674773",16,114,294,168,12,13,23,199,221,206,30,14
"LOC113675081",48,27,147,210,39,57,61,49,181,196,69,36
"LOC113669063",9,13,627,778,33,8,156,15,892,533,64,23
"LOC113677516",259,21,17,13,42,277,253,370,6,117,152,171
"LOC113678323",1156,592,4453,5017,929,1861,1949,1010,4437,4418,1470,1041
"LOC113669820",572,363,109,87,445,967,380,526,80,147,970,327
"LOC113682109",150,185,101,270,112,150,395,162,162,125,171,148
"LOC113665188",82,30,138,378,32,43,27,31,357,431,103,43
"LOC113676583",6066,2496,2155,2942,4562,4158,3904,4385,3773,4625,3911,2785
"LOC113664124",27,20,20,5,21,15,16,31,21,6,34,15
"LOC113668497",34,14,159,230,67,59,58,31,164,204,62,57
"LOC113670970",40,18,21,20,13,42,38,98,49,23,29,19
"LOC113664893",91,60,69,45,64,76,57,39,43,56,85,44
"LOC113686921",2160,1403,7734,4247,1813,1428,1474,1366,6419,6049,3385,1962
"LOC113676510",25,140,133,343,15,31,68,42,277,176,25,23
"LOC113666179",266,44,1030,1112,171,234,159,109,679,804,346,211
"LOC113677794",912,164,5,38,293,1334,632,1097,68,60,1433,659
"LOC113682506",1496,369,5015,7008,1350,2262,1410,952,4214,4852,2491,1633
"LOC113666117",14,8,6,4,7,11,24,10,11,7,14,8
"LOC113684224",530,274,218,466,407,406,530,546,686,670,529,332
